レースコード,レース日,レース場,レース回,締切時刻,取得日時,結果記録時刻,決まり手,1着_艇番,1着_選手名,1着_レースタイム,2着_艇番,2着_選手名,2着_レースタイム,3着_艇番,3着_選手名,3着_レースタイム,4着_艇番,4着_選手名,4着_レースタイム,5着_艇番,5着_選手名,5着_レースタイム,6着_艇番,6着_選手名,6着_レースタイム,1コース_艇番,1コース_スタートタイミング,1コース_F,2コース_艇番,2コース_スタートタイミング,2コース_F,3コース_艇番,3コース_スタートタイミング,3コース_F,4コース_艇番,4コース_スタートタイミング,4コース_F,5コース_艇番,5コース_スタートタイミング,5コース_F,6コース_艇番,6コース_スタートタイミング,6コース_F,天候,風向,風速(m),波の高さ(cm),気温(℃),水温(℃)
202512032401,2025-12-03,24,01R,,,,まくり差し,6,井上　　恵一,"1'13""6",2,三宅　　健太,"1'14""4",4,広瀬　　聖仁,"1'14""9",1,中野　　和裕,"1'15""6",3,笹木　　香吾,,5,作間　　　章,,1,0.17,,2,0.23,,3,0.22,,4,0.29,,5,0.43,,6,0.35,,2,1,8.0,7.0,8.0,15.0
202512032402,2025-12-03,24,02R,,,,まくり,2,数原　　　魁,"1'13""0",4,中野　　希一,"1'14""2",5,伏島　　祐介,"1'15""3",6,木場　　悠介,"1'16""2",1,吉田　　　光,,3,待鳥　　雄紀,,1,0.49,,2,0.2,,3,0.64,,4,0.22,,5,0.21,,6,0.23,,3,1,8.0,7.0,8.0,15.0
202512032403,2025-12-03,24,03R,,,,逃　げ,1,齋藤　　和政,"1'13""9",6,照屋　　厚仁,"1'15""4",2,石倉　　拓美,"1'15""8",3,渡辺　　空依,"1'17""4",4,村上　　　遼,,5,石井　　伸長,,1,0.12,,2,0.13,,3,0.18,,4,0.18,,5,0.22,,6,0.23,,2,1,8.0,7.0,8.0,15.0
202512032404,2025-12-03,24,04R,,,,まくり,3,柴田　　直哉,"1'13""4",2,森　　　悠稀,"1'14""7",5,森作　　広大,"1'15""7",6,島村　　隆幸,"1'15""8",1,今出　　晋二,,4,佐々木　英樹,,1,0.18,,2,0.09,,3,0.06,,4,0.13,,5,0.14,,6,0.14,,2,1,8.0,7.0,9.0,15.0
202512032405,2025-12-03,24,05R,,,,まくり,3,伊藤　　喜智,"1'13""2",6,尾嶋　　一広,"1'13""6",2,楠原　　翔太,"1'15""6",4,河野　　　大,"1'15""8",5,奥田　　　誠,,1,竹田　　広樹,,1,0.13,,2,0.2,,3,0.17,,4,0.17,,5,0.18,,6,0.17,,2,1,8.0,7.0,9.0,15.0
202512032406,2025-12-03,24,06R,,,,逃　げ,1,伊藤　　将吉,"1'13""0",3,佐竹　　太一,"1'14""0",4,泥谷　　一毅,"1'15""0",2,妻鳥　　晋也,"1'15""4",6,広瀬　　聖仁,,5,内田　　　壮,,1,0.13,,2,0.19,,3,0.17,,4,0.17,,6,0.39,,5,0.54,,2,1,8.0,7.0,9.0,15.0
202512032407,2025-12-03,24,07R,,,,逃　げ,1,川原　　祐明,"1'12""9",3,高木　　圭大,"1'14""3",5,笹木　　香吾,"1'15""5",4,峰重　　侑治,"1'16""7",2,待鳥　　雄紀,,6,上岡　　巧汰,,1,0.12,,2,0.07,,3,0.06,,4,0.17,,5,0.04,,6,0.08,,2,1,8.0,7.0,9.0,15.0
202512032408,2025-12-03,24,08R,,,,逃　げ,1,高井　　雄基,"1'13""0",6,有賀　　達也,"1'14""1",4,吉田　　　光,"1'15""2",3,吉村　　　誠,"1'15""3",5,三宅　　健太,,2,渡辺　　空依,,1,0.04,,2,0.05,,3,0.05,,4,0.06,,5,0.07,,6,0.06,,2,1,8.0,7.0,9.0,15.0
202512032409,2025-12-03,24,09R,,,,逃　げ,1,星　　　栄爾,"1'14""0",3,作間　　　章,"1'15""2",5,数原　　　魁,"1'15""8",2,伊藤　　喜智,"1'17""0",6,佐々木　英樹,,4,齋藤　　和政,,1,0.21,,2,0.24,,3,0.25,,4,0.41,,5,0.34,,6,0.35,,2,1,8.0,7.0,9.0,15.0
202512032410,2025-12-03,24,10R,,,,逃　げ,1,室田　　泰史,"1'18""5",2,黒野　　元基,"1'21""1",3,伏島　　祐介,"1'23""0",6,河野　　　大,"1'26""1",5,柴田　　直哉,,,,,1,0.09,,2,0.17,,3,0.23,,4,0.2,,5,0.15,,6,0.15,,2,8,8.0,7.0,9.0,15.0
