レースコード,レース日,レース場,レース回,締切時刻,取得日時,結果記録時刻,決まり手,1着_艇番,1着_選手名,1着_レースタイム,2着_艇番,2着_選手名,2着_レースタイム,3着_艇番,3着_選手名,3着_レースタイム,4着_艇番,4着_選手名,4着_レースタイム,5着_艇番,5着_選手名,5着_レースタイム,6着_艇番,6着_選手名,6着_レースタイム,1コース_艇番,1コース_スタートタイミング,1コース_F,2コース_艇番,2コース_スタートタイミング,2コース_F,3コース_艇番,3コース_スタートタイミング,3コース_F,4コース_艇番,4コース_スタートタイミング,4コース_F,5コース_艇番,5コース_スタートタイミング,5コース_F,6コース_艇番,6コース_スタートタイミング,6コース_F,天候,風向,風速(m),波の高さ(cm),気温(℃),水温(℃)
202512252201,2025-12-25,22,01R,,,,逃　げ,1,村上　　　遼,"1'50""7",2,高橋　　龍治,"1'52""4",4,中島　　友和,"1'53""4",3,畑　　　和宏,"1'53""9",5,出畑　　孝成,,6,高木　　圭大,,1,0.09,,2,0.15,,3,0.22,,4,0.21,,5,0.22,,6,0.22,,1,8,6.0,6.0,8.0,14.0
202512252202,2025-12-25,22,02R,,,,逃　げ,1,真子　奈津実,"1'51""5",5,嶋田　　有里,"1'53""5",2,北村　　寧々,"1'54""0",4,神里　　琴音,"1'54""5",3,菅野　はやか,,6,中尾　　彩香,,1,0.16,,2,0.19,,3,0.19,,4,0.18,,5,0.26,,6,0.31,,2,8,5.0,5.0,11.0,14.0
202512252203,2025-12-25,22,03R,,,,まくり差し,4,森　　晋太郎,"1'51""2",3,白井　　英治,"1'52""0",5,中島　　浩哉,"1'54""5",2,上瀧　　絢也,"1'56""6",1,山本　　幸也,,6,西村　　仁吾,,1,0.28,,2,0.21,,3,0.13,,4,0.12,,5,0.22,,6,0.29,,2,8,5.0,5.0,11.0,14.0
202512252204,2025-12-25,22,04R,,,,まくり差し,2,坪口　　竜也,"1'50""7",3,田頭　　　実,"1'52""5",5,村本　　大成,"1'54""1",4,佃　　　來紀,"1'54""4",6,吉原　　快誓,,1,和合　　俊介,,1,0.17,,3,0.15,,2,0.22,,5,0.23,,4,0.15,,6,0.2,,2,8,5.0,5.0,11.0,14.0
202512252205,2025-12-25,22,05R,,,,逃　げ,1,小林　　孝弘,"1'50""9",2,岡村　　将也,"1'52""8",4,橋本　　英一,"1'54""4",3,熊本　　英一,"1'55""5",6,谷川　　将太,,5,奥村　明日香,,1,0.13,,2,0.14,,3,0.14,,4,0.12,,5,0.23,,6,0.14,,2,8,5.0,5.0,10.0,14.0
202512252206,2025-12-25,22,06R,,,,差　し,2,岡村　　　仁,"1'52""8",1,津留　浩一郎,"1'54""3",3,小林　　文彦,"1'54""5",5,江藤　　敦宏,"1'56""6",6,出畑　　孝成,,4,菅野　はやか,,1,0.08,,2,0.11,,3,0.15,,4,0.09,,5,0.09,,6,0.16,,1,8,6.0,6.0,10.0,14.0
202512252207,2025-12-25,22,07R,,,,差　し,2,嶋田　　有里,"2'04""2",4,高橋　　龍治,"2'08""7",6,湯川　　浩司,"2'12""5",5,西村　　仁吾,"2'13""7",1,小松　　卓司,,,,,1,0.19,,2,0.19,,3,0.18,,4,0.17,,6,0.22,,5,0.29,,1,8,6.0,6.0,9.0,14.0
202512252208,2025-12-25,22,08R,,,,逃　げ,1,石川　　真二,"1'51""5",6,加藤　　雅之,"1'55""2",4,桂林　　　寛,"1'55""9",2,高木　　圭大,"1'56""1",3,真子　奈津実,,5,上瀧　　絢也,,1,0.24,,2,0.28,,3,0.25,,4,0.28,,5,0.22,,6,0.36,,1,1,6.0,6.0,9.0,14.0
202512252209,2025-12-25,22,09R,,,,抜　き,1,権藤　　俊光,"1'50""7",2,谷川　　将太,"1'51""8",4,田頭　　　実,"1'54""1",3,中島　　友和,"1'55""7",5,胡本　　悟志,,6,神里　　琴音,,1,0.16,,4,0.15,,2,0.13,,3,0.14,,5,0.11,,6,0.24,,1,1,6.0,6.0,9.0,14.0
202512252210,2025-12-25,22,10R,,,,まくり,3,佃　　　來紀,"1'50""1",1,池田　　剛規,"1'53""3",5,小林　　文彦,"1'54""9",6,北村　　寧々,"1'55""1",2,小野　　達哉,,4,畑　　　和宏,,1,0.14,,2,0.14,,4,0.27,,3,0.19,,5,0.24,,6,0.22,,1,8,6.0,6.0,9.0,14.0
202512252211,2025-12-25,22,11R,,,,逃　げ,1,山崎　　　郡,"1'50""6",3,森　　晋太郎,"1'53""2",6,坪口　　竜也,"1'53""4",2,百武　　　翔,"1'55""1",4,津留　浩一郎,,5,小林　　孝弘,,1,0.19,,2,0.16,,3,0.11,,4,0.31,,5,0.24,,6,0.25,,1,8,6.0,6.0,8.0,14.0
