レースコード,レース日,レース場コード,レース回,状態,1枠_枠番pt,1枠_寄与_枠番pt,1枠_選手pt,1枠_寄与_選手pt,1枠_モーター2連率pt,1枠_寄与_モーター2連率pt,1枠_展示pt,1枠_寄与_展示pt,1枠_気象pt,1枠_寄与_気象pt,1枠_強さpt,2枠_枠番pt,2枠_寄与_枠番pt,2枠_選手pt,2枠_寄与_選手pt,2枠_モーター2連率pt,2枠_寄与_モーター2連率pt,2枠_展示pt,2枠_寄与_展示pt,2枠_気象pt,2枠_寄与_気象pt,2枠_強さpt,3枠_枠番pt,3枠_寄与_枠番pt,3枠_選手pt,3枠_寄与_選手pt,3枠_モーター2連率pt,3枠_寄与_モーター2連率pt,3枠_展示pt,3枠_寄与_展示pt,3枠_気象pt,3枠_寄与_気象pt,3枠_強さpt,4枠_枠番pt,4枠_寄与_枠番pt,4枠_選手pt,4枠_寄与_選手pt,4枠_モーター2連率pt,4枠_寄与_モーター2連率pt,4枠_展示pt,4枠_寄与_展示pt,4枠_気象pt,4枠_寄与_気象pt,4枠_強さpt,5枠_枠番pt,5枠_寄与_枠番pt,5枠_選手pt,5枠_寄与_選手pt,5枠_モーター2連率pt,5枠_寄与_モーター2連率pt,5枠_展示pt,5枠_寄与_展示pt,5枠_気象pt,5枠_寄与_気象pt,5枠_強さpt,6枠_枠番pt,6枠_寄与_枠番pt,6枠_選手pt,6枠_寄与_選手pt,6枠_モーター2連率pt,6枠_寄与_モーター2連率pt,6枠_展示pt,6枠_寄与_展示pt,6枠_気象pt,6枠_寄与_気象pt,6枠_強さpt
202607190101,2026-07-19,01,1R,daily,67.18,24.53,46.24,10.65,49.02,4.36,50.0,10.88,50.0,4.89,55.32,48.68,17.78,44.28,10.2,58.69,5.22,50.0,10.88,50.0,4.89,48.98,50.87,18.58,44.28,10.2,49.19,4.38,50.0,10.88,50.0,4.89,48.93,50.2,18.33,42.32,9.75,52.38,4.66,50.0,10.88,50.0,4.89,48.52,46.88,17.12,40.36,9.3,61.07,5.43,50.0,10.88,50.0,4.89,47.62,35.49,12.96,42.32,9.75,54.92,4.89,50.0,10.88,50.0,4.89,43.37
202607190102,2026-07-19,01,2R,daily,67.18,24.53,44.28,10.2,53.78,4.79,50.0,10.88,50.0,4.89,55.29,48.68,17.78,48.2,11.1,56.56,5.03,50.0,10.88,50.0,4.89,49.69,50.87,18.58,42.32,9.75,54.43,4.84,50.0,10.88,50.0,4.89,48.95,50.2,18.33,38.4,8.84,50.82,4.52,50.0,10.88,50.0,4.89,47.47,46.88,17.12,40.36,9.3,48.28,4.3,50.0,10.88,50.0,4.89,46.49,35.49,12.96,54.08,12.46,55.25,4.92,50.0,10.88,50.0,4.89,46.11
202607190103,2026-07-19,01,3R,daily,67.18,24.53,44.28,10.2,57.55,5.12,50.0,10.88,50.0,4.89,55.63,48.68,17.78,50.16,11.55,54.35,4.84,50.0,10.88,50.0,4.89,49.94,50.87,18.58,36.44,8.39,49.1,4.37,50.0,10.88,50.0,4.89,47.12,50.2,18.33,46.24,10.65,60.25,5.36,50.0,10.88,50.0,4.89,50.12,46.88,17.12,42.32,9.75,61.15,5.44,50.0,10.88,50.0,4.89,48.08,35.49,12.96,48.2,11.1,52.63,4.68,50.0,10.88,50.0,4.89,44.52
202607190104,2026-07-19,01,4R,daily,67.18,24.53,48.2,11.1,55.09,4.9,50.0,10.88,50.0,4.89,56.31,48.68,17.78,40.36,9.3,51.56,4.59,50.0,10.88,50.0,4.89,47.44,50.87,18.58,44.28,10.2,57.38,5.11,50.0,10.88,50.0,4.89,49.66,50.2,18.33,48.2,11.1,53.04,4.72,50.0,10.88,50.0,4.89,49.93,46.88,17.12,44.28,10.2,58.61,5.22,50.0,10.88,50.0,4.89,48.31,35.49,12.96,52.12,12.0,53.78,4.79,50.0,10.88,50.0,4.89,45.53
202607190105,2026-07-19,01,5R,daily,67.18,24.53,50.16,11.55,47.96,4.27,50.0,10.88,50.0,4.89,56.13,48.68,17.78,42.32,9.75,54.92,4.89,50.0,10.88,50.0,4.89,48.19,50.87,18.58,42.32,9.75,55.42,4.93,50.0,10.88,50.0,4.89,49.03,50.2,18.33,58.0,13.36,64.51,5.74,50.0,10.88,50.0,4.89,53.21,46.88,17.12,46.24,10.65,58.28,5.19,50.0,10.88,50.0,4.89,48.73,35.49,12.96,50.16,11.55,47.71,4.25,50.0,10.88,50.0,4.89,44.53
202607190106,2026-07-19,01,6R,daily,67.18,24.53,54.08,12.46,49.92,4.44,50.0,10.88,50.0,4.89,57.21,48.68,17.78,38.4,8.84,50.82,4.52,50.0,10.88,50.0,4.89,46.92,50.87,18.58,42.32,9.75,52.87,4.71,50.0,10.88,50.0,4.89,48.81,50.2,18.33,40.36,9.3,61.07,5.43,50.0,10.88,50.0,4.89,48.84,46.88,17.12,44.28,10.2,58.69,5.22,50.0,10.88,50.0,4.89,48.32,35.49,12.96,38.4,8.84,59.27,5.27,50.0,10.88,50.0,4.89,42.85
202607190107,2026-07-19,01,7R,daily,67.18,24.53,50.16,11.55,49.27,4.38,50.0,10.88,50.0,4.89,56.25,48.68,17.78,40.36,9.3,48.28,4.3,50.0,10.88,50.0,4.89,47.15,50.87,18.58,44.28,10.2,57.55,5.12,50.0,10.88,50.0,4.89,49.67,50.2,18.33,42.32,9.75,61.15,5.44,50.0,10.88,50.0,4.89,49.3,46.88,17.12,42.32,9.75,52.38,4.66,50.0,10.88,50.0,4.89,47.3,35.49,12.96,46.24,10.65,49.02,4.36,50.0,10.88,50.0,4.89,43.75
202607190108,2026-07-19,01,8R,daily,67.18,24.53,48.2,11.1,53.04,4.72,50.0,10.88,50.0,4.89,56.13,48.68,17.78,42.32,9.75,49.35,4.39,50.0,10.88,50.0,4.89,47.69,50.87,18.58,40.36,9.3,51.56,4.59,50.0,10.88,50.0,4.89,48.24,50.2,18.33,36.44,8.39,49.1,4.37,50.0,10.88,50.0,4.89,46.87,46.88,17.12,48.2,11.1,43.69,3.89,50.0,10.88,50.0,4.89,47.88,35.49,12.96,32.52,7.49,50.33,4.48,50.0,10.88,50.0,4.89,40.7
202607190109,2026-07-19,01,9R,daily,67.18,24.53,44.28,10.2,51.97,4.62,50.0,10.88,50.0,4.89,55.13,48.68,17.78,46.24,10.65,58.28,5.19,50.0,10.88,50.0,4.89,49.39,50.87,18.58,48.2,11.1,47.96,4.27,50.0,10.88,50.0,4.89,49.72,50.2,18.33,42.32,9.75,54.43,4.84,50.0,10.88,50.0,4.89,48.7,46.88,17.12,48.2,11.1,50.01,4.45,50.0,10.88,50.0,4.89,48.45,35.49,12.96,34.48,7.94,45.58,4.06,50.0,10.88,50.0,4.89,40.73
202607190110,2026-07-19,01,10R,daily,67.18,24.53,52.12,12.0,53.78,4.79,50.0,10.88,50.0,4.89,57.1,48.68,17.78,48.2,11.1,55.09,4.9,50.0,10.88,50.0,4.89,49.56,50.87,18.58,46.24,10.65,60.25,5.36,50.0,10.88,50.0,4.89,50.37,50.2,18.33,44.28,10.2,53.78,4.79,50.0,10.88,50.0,4.89,49.09,46.88,17.12,50.16,11.55,54.35,4.84,50.0,10.88,50.0,4.89,49.28,35.49,12.96,50.16,11.55,47.96,4.27,50.0,10.88,50.0,4.89,44.56
