レースコード,レース日,レース場コード,レース回,状態,1枠_枠番pt,1枠_寄与_枠番pt,1枠_選手pt,1枠_寄与_選手pt,1枠_モーター2連率pt,1枠_寄与_モーター2連率pt,1枠_展示pt,1枠_寄与_展示pt,1枠_気象pt,1枠_寄与_気象pt,1枠_強さpt,2枠_枠番pt,2枠_寄与_枠番pt,2枠_選手pt,2枠_寄与_選手pt,2枠_モーター2連率pt,2枠_寄与_モーター2連率pt,2枠_展示pt,2枠_寄与_展示pt,2枠_気象pt,2枠_寄与_気象pt,2枠_強さpt,3枠_枠番pt,3枠_寄与_枠番pt,3枠_選手pt,3枠_寄与_選手pt,3枠_モーター2連率pt,3枠_寄与_モーター2連率pt,3枠_展示pt,3枠_寄与_展示pt,3枠_気象pt,3枠_寄与_気象pt,3枠_強さpt,4枠_枠番pt,4枠_寄与_枠番pt,4枠_選手pt,4枠_寄与_選手pt,4枠_モーター2連率pt,4枠_寄与_モーター2連率pt,4枠_展示pt,4枠_寄与_展示pt,4枠_気象pt,4枠_寄与_気象pt,4枠_強さpt,5枠_枠番pt,5枠_寄与_枠番pt,5枠_選手pt,5枠_寄与_選手pt,5枠_モーター2連率pt,5枠_寄与_モーター2連率pt,5枠_展示pt,5枠_寄与_展示pt,5枠_気象pt,5枠_寄与_気象pt,5枠_強さpt,6枠_枠番pt,6枠_寄与_枠番pt,6枠_選手pt,6枠_寄与_選手pt,6枠_モーター2連率pt,6枠_寄与_モーター2連率pt,6枠_展示pt,6枠_寄与_展示pt,6枠_気象pt,6枠_寄与_気象pt,6枠_強さpt
202607160702,2026-07-16,07,2R,daily,67.16,25.81,50.93,12.84,44.94,2.56,50.0,11.09,50.0,4.24,56.54,51.25,19.69,56.83,14.33,52.78,3.0,50.0,11.09,50.0,4.24,52.36,53.58,20.59,50.93,12.84,39.67,2.26,50.0,11.09,50.0,4.24,51.02,50.73,19.5,78.47,19.79,54.89,3.12,50.0,11.09,50.0,4.24,57.74,44.04,16.93,48.96,12.35,42.83,2.44,50.0,11.09,50.0,4.24,47.04,32.76,12.59,84.37,21.28,44.64,2.54,50.0,11.09,50.0,4.24,51.74
202607160702,2026-07-16,07,2R,realtime,67.16,25.81,50.93,12.84,44.94,2.56,50.25,11.15,32.86,2.79,55.14,51.25,19.69,56.83,14.33,52.78,3.0,54.67,12.13,42.25,3.58,52.74,53.58,20.59,50.93,12.84,39.67,2.26,45.06,10.0,71.16,6.03,51.72,50.73,19.5,78.47,19.79,54.89,3.12,38.25,8.49,58.07,4.92,55.82,32.76,12.59,48.96,12.35,42.83,2.44,59.74,13.25,51.73,4.39,45.01,44.04,16.93,84.37,21.28,44.64,2.54,51.98,11.53,44.15,3.74,56.02
202607160703,2026-07-16,07,3R,daily,67.16,25.81,52.9,13.34,46.45,2.64,50.0,11.09,50.0,4.24,57.12,51.25,19.69,50.93,12.84,46.6,2.65,50.0,11.09,50.0,4.24,50.52,53.58,20.59,68.64,17.31,44.34,2.52,50.0,11.09,50.0,4.24,55.75,50.73,19.5,66.67,16.81,63.32,3.6,50.0,11.09,50.0,4.24,55.24,44.04,16.93,62.74,15.82,52.93,3.01,50.0,11.09,50.0,4.24,51.09,32.76,12.59,66.67,16.81,58.95,3.36,50.0,11.09,50.0,4.24,48.09
202607160703,2026-07-16,07,3R,realtime,67.16,25.81,52.9,13.34,46.45,2.64,63.32,14.05,23.37,1.98,57.82,44.04,16.93,50.93,12.84,46.6,2.65,49.51,10.98,51.78,4.39,47.79,50.73,19.5,68.64,17.31,44.34,2.52,43.25,9.6,57.41,4.87,53.79,32.76,12.59,66.67,16.81,63.32,3.6,28.7,6.37,59.96,5.08,44.46,51.25,19.69,62.74,15.82,52.93,3.01,62.82,13.94,49.28,4.18,56.64,53.58,20.59,66.67,16.81,58.95,3.36,52.38,11.62,58.43,4.95,57.33
202607160704,2026-07-16,07,4R,daily,67.16,25.81,54.87,13.83,61.21,3.48,50.0,11.09,50.0,4.24,58.46,51.25,19.69,54.87,13.83,41.93,2.39,50.0,11.09,50.0,4.24,51.25,53.58,20.59,74.54,18.8,51.27,2.92,50.0,11.09,50.0,4.24,57.64,50.73,19.5,52.9,13.34,41.48,2.36,50.0,11.09,50.0,4.24,50.53,44.04,16.93,52.9,13.34,50.82,2.89,50.0,11.09,50.0,4.24,48.49,32.76,12.59,70.6,17.8,69.5,3.96,50.0,11.09,50.0,4.24,49.68
202607160704,2026-07-16,07,4R,realtime,67.16,25.81,54.87,13.83,61.21,3.48,54.95,12.19,11.26,0.95,56.27,51.25,19.69,54.87,13.83,41.93,2.39,53.06,11.77,57.34,4.86,52.55,53.58,20.59,74.54,18.8,51.27,2.92,44.86,9.95,42.89,3.64,55.89,50.73,19.5,52.9,13.34,41.48,2.36,40.33,8.95,57.31,4.86,49.0,44.04,16.93,52.9,13.34,50.82,2.89,42.56,9.44,60.84,5.16,47.76,32.76,12.59,70.6,17.8,69.5,3.96,64.21,14.24,70.55,5.98,54.57
202607160705,2026-07-16,07,5R,daily,67.16,25.81,48.96,12.35,39.22,2.23,50.0,11.09,50.0,4.24,55.72,51.25,19.69,74.54,18.8,59.11,3.36,50.0,11.09,50.0,4.24,57.19,53.58,20.59,60.77,15.32,46.6,2.65,50.0,11.09,50.0,4.24,53.9,50.73,19.5,64.7,16.32,35.45,2.02,50.0,11.09,50.0,4.24,53.16,44.04,16.93,52.9,13.34,53.23,3.03,50.0,11.09,50.0,4.24,48.63,32.76,12.59,92.24,23.26,38.61,2.2,50.0,11.09,50.0,4.24,53.38
202607160705,2026-07-16,07,5R,realtime,67.16,25.81,48.96,12.35,39.22,2.23,46.67,10.35,11.26,0.95,51.7,51.25,19.69,74.54,18.8,59.11,3.36,40.93,9.08,57.34,4.86,55.79,53.58,20.59,60.77,15.32,46.6,2.65,45.43,10.08,42.89,3.64,52.28,44.04,16.93,64.7,16.32,35.45,2.02,41.53,9.21,60.84,5.16,49.63,32.76,12.59,52.9,13.34,53.23,3.03,57.38,12.73,70.55,5.98,47.67,50.73,19.5,92.24,23.26,38.61,2.2,68.05,15.1,57.31,4.86,64.91
202607160706,2026-07-16,07,6R,daily,67.16,25.81,74.54,18.8,55.79,3.18,50.0,11.09,50.0,4.24,63.11,51.25,19.69,52.9,13.34,50.22,2.86,50.0,11.09,50.0,4.24,51.22,53.58,20.59,78.47,19.79,67.39,3.84,50.0,11.09,50.0,4.24,59.55,50.73,19.5,58.8,14.83,52.02,2.96,50.0,11.09,50.0,4.24,52.62,44.04,16.93,60.77,15.32,54.43,3.1,50.0,11.09,50.0,4.24,50.68,32.76,12.59,58.8,14.83,52.78,3.0,50.0,11.09,50.0,4.24,45.75
202607160706,2026-07-16,07,6R,realtime,67.16,25.81,74.54,18.8,55.79,3.18,63.27,14.04,2.93,0.25,62.07,51.25,19.69,52.9,13.34,50.22,2.86,58.63,13.01,61.3,5.2,54.09,53.58,20.59,78.47,19.79,67.39,3.84,31.35,6.95,35.31,2.99,54.16,50.73,19.5,58.8,14.83,52.02,2.96,65.61,14.56,58.04,4.92,56.76,44.04,16.93,60.77,15.32,54.43,3.1,34.93,7.75,65.61,5.56,48.66,32.76,12.59,58.8,14.83,52.78,3.0,46.19,10.25,76.99,6.53,47.19
