レースコード,レース日,レース場コード,レース回,状態,1枠_枠番pt,1枠_寄与_枠番pt,1枠_選手pt,1枠_寄与_選手pt,1枠_モーター2連率pt,1枠_寄与_モーター2連率pt,1枠_展示pt,1枠_寄与_展示pt,1枠_気象pt,1枠_寄与_気象pt,1枠_強さpt,2枠_枠番pt,2枠_寄与_枠番pt,2枠_選手pt,2枠_寄与_選手pt,2枠_モーター2連率pt,2枠_寄与_モーター2連率pt,2枠_展示pt,2枠_寄与_展示pt,2枠_気象pt,2枠_寄与_気象pt,2枠_強さpt,3枠_枠番pt,3枠_寄与_枠番pt,3枠_選手pt,3枠_寄与_選手pt,3枠_モーター2連率pt,3枠_寄与_モーター2連率pt,3枠_展示pt,3枠_寄与_展示pt,3枠_気象pt,3枠_寄与_気象pt,3枠_強さpt,4枠_枠番pt,4枠_寄与_枠番pt,4枠_選手pt,4枠_寄与_選手pt,4枠_モーター2連率pt,4枠_寄与_モーター2連率pt,4枠_展示pt,4枠_寄与_展示pt,4枠_気象pt,4枠_寄与_気象pt,4枠_強さpt,5枠_枠番pt,5枠_寄与_枠番pt,5枠_選手pt,5枠_寄与_選手pt,5枠_モーター2連率pt,5枠_寄与_モーター2連率pt,5枠_展示pt,5枠_寄与_展示pt,5枠_気象pt,5枠_寄与_気象pt,5枠_強さpt,6枠_枠番pt,6枠_寄与_枠番pt,6枠_選手pt,6枠_寄与_選手pt,6枠_モーター2連率pt,6枠_寄与_モーター2連率pt,6枠_展示pt,6枠_寄与_展示pt,6枠_気象pt,6枠_寄与_気象pt,6枠_強さpt
202607040101,2026-07-04,01,1R,daily,67.18,24.53,42.32,9.75,46.48,4.14,50.0,10.88,50.0,4.89,54.19,48.68,17.78,48.2,11.1,52.63,4.68,50.0,10.88,50.0,4.89,49.34,50.87,18.58,42.32,9.75,47.55,4.23,50.0,10.88,50.0,4.89,48.33,50.2,18.33,44.28,10.2,43.53,3.87,50.0,10.88,50.0,4.89,48.18,46.88,17.12,48.2,11.1,43.53,3.87,50.0,10.88,50.0,4.89,47.87,35.49,12.96,52.12,12.0,54.1,4.81,50.0,10.88,50.0,4.89,45.55
202607040101,2026-07-04,01,1R,realtime,67.18,24.53,42.32,9.75,46.48,4.14,55.04,11.98,38.38,3.75,54.16,48.68,17.78,48.2,11.1,52.63,4.68,66.15,14.4,45.7,4.47,52.43,50.87,18.58,42.32,9.75,47.55,4.23,53.49,11.65,33.79,3.31,47.51,35.49,12.96,44.28,10.2,43.53,3.87,39.29,8.55,65.33,6.39,41.98,46.88,17.12,48.2,11.1,43.53,3.87,45.81,9.97,53.08,5.19,47.26,50.2,18.33,52.12,12.0,54.1,4.81,40.19,8.75,63.71,6.23,50.13
202607040102,2026-07-04,01,2R,daily,67.18,24.53,44.28,10.2,54.43,4.84,50.0,10.88,50.0,4.89,55.35,48.68,17.78,42.32,9.75,45.58,4.06,50.0,10.88,50.0,4.89,47.36,50.87,18.58,48.2,11.1,58.78,5.23,50.0,10.88,50.0,4.89,50.69,50.2,18.33,48.2,11.1,55.42,4.93,50.0,10.88,50.0,4.89,50.14,46.88,17.12,42.32,9.75,54.27,4.83,50.0,10.88,50.0,4.89,47.47,35.49,12.96,58.0,13.36,48.53,4.32,50.0,10.88,50.0,4.89,46.41
202607040102,2026-07-04,01,2R,realtime,67.18,24.53,44.28,10.2,54.43,4.84,52.64,11.46,36.31,3.55,54.59,48.68,17.78,42.32,9.75,45.58,4.06,46.82,10.19,51.96,5.08,46.86,50.87,18.58,48.2,11.1,58.78,5.23,58.89,12.82,42.3,4.14,51.87,50.2,18.33,48.2,11.1,55.42,4.93,57.08,12.43,57.4,5.61,52.41,46.88,17.12,42.32,9.75,54.27,4.83,32.92,7.17,52.43,5.13,43.99,35.49,12.96,58.0,13.36,48.53,4.32,51.64,11.24,59.58,5.83,47.71
202607040103,2026-07-04,01,3R,daily,67.18,24.53,46.24,10.65,49.6,4.41,50.0,10.88,50.0,4.89,55.37,48.68,17.78,42.32,9.75,40.74,3.63,50.0,10.88,50.0,4.89,46.93,50.87,18.58,58.0,13.36,53.04,4.72,50.0,10.88,50.0,4.89,52.43,50.2,18.33,46.24,10.65,36.81,3.28,50.0,10.88,50.0,4.89,48.03,46.88,17.12,42.32,9.75,44.92,4.0,50.0,10.88,50.0,4.89,46.64,35.49,12.96,42.32,9.75,51.07,4.54,50.0,10.88,50.0,4.89,43.03
202607040103,2026-07-04,01,3R,realtime,48.68,17.78,46.24,10.65,49.6,4.41,61.86,13.47,46.59,4.56,50.86,50.2,18.33,42.32,9.75,40.74,3.63,31.35,6.82,64.8,6.34,44.87,67.18,24.53,58.0,13.36,53.04,4.72,45.6,9.93,37.54,3.67,56.21,50.87,18.58,46.24,10.65,36.81,3.28,52.4,11.41,33.12,3.24,47.15,46.88,17.12,42.32,9.75,44.92,4.0,45.38,9.88,53.21,5.2,45.95,35.49,12.96,42.32,9.75,51.07,4.54,63.38,13.8,64.72,6.33,47.38
202607040104,2026-07-04,01,4R,daily,67.18,24.53,42.32,9.75,50.42,4.49,50.0,10.88,50.0,4.89,54.54,48.68,17.78,48.2,11.1,49.43,4.4,50.0,10.88,50.0,4.89,49.05,50.87,18.58,50.16,11.55,53.61,4.77,50.0,10.88,50.0,4.89,50.68,50.2,18.33,61.92,14.26,50.33,4.48,50.0,10.88,50.0,4.89,52.85,46.88,17.12,48.2,11.1,33.61,2.99,50.0,10.88,50.0,4.89,46.99,35.49,12.96,44.28,10.2,53.37,4.75,50.0,10.88,50.0,4.89,43.68
202607040104,2026-07-04,01,4R,realtime,67.18,24.53,42.32,9.75,50.42,4.49,56.02,12.2,37.54,3.67,54.64,48.68,17.78,48.2,11.1,49.43,4.4,50.09,10.91,46.59,4.56,48.74,50.87,18.58,50.16,11.55,53.61,4.77,50.82,11.06,33.12,3.24,49.21,50.2,18.33,61.92,14.26,50.33,4.48,52.34,11.39,64.8,6.34,54.8,46.88,17.12,48.2,11.1,33.61,2.99,53.07,11.55,53.21,5.2,47.97,35.49,12.96,44.28,10.2,53.37,4.75,37.66,8.2,64.72,6.33,42.44
202607040105,2026-07-04,01,5R,daily,67.18,24.53,46.24,10.65,48.37,4.3,50.0,10.88,50.0,4.89,55.26,48.68,17.78,58.0,13.36,56.24,5.0,50.0,10.88,50.0,4.89,51.92,50.87,18.58,48.2,11.1,45.0,4.0,50.0,10.88,50.0,4.89,49.46,50.2,18.33,48.2,11.1,39.92,3.55,50.0,10.88,50.0,4.89,48.76,46.88,17.12,44.28,10.2,43.37,3.86,50.0,10.88,50.0,4.89,46.95,35.49,12.96,42.32,9.75,53.45,4.76,50.0,10.88,50.0,4.89,43.24
202607040105,2026-07-04,01,5R,realtime,67.18,24.53,46.24,10.65,48.37,4.3,50.14,10.92,37.54,3.67,54.08,48.68,17.78,58.0,13.36,56.24,5.0,63.54,13.83,46.59,4.56,54.53,50.87,18.58,48.2,11.1,45.0,4.0,54.16,11.79,33.12,3.24,48.71,50.2,18.33,48.2,11.1,39.92,3.55,57.23,12.46,64.8,6.34,51.78,46.88,17.12,44.28,10.2,43.37,3.86,27.14,5.91,53.21,5.2,42.29,35.49,12.96,42.32,9.75,53.45,4.76,47.77,10.4,64.72,6.33,44.19
