レースコード,タイトル,レース日,レース場,レース回,風速(m),風向,波の高さ(cm),天候,気温(℃),水温(℃),艇1_艇番,艇1_コース,艇1_体重(kg),艇1_体重調整(kg),艇1_展示タイム,艇1_チルト調整,艇1_スタート展示,艇2_艇番,艇2_コース,艇2_体重(kg),艇2_体重調整(kg),艇2_展示タイム,艇2_チルト調整,艇2_スタート展示,艇3_艇番,艇3_コース,艇3_体重(kg),艇3_体重調整(kg),艇3_展示タイム,艇3_チルト調整,艇3_スタート展示,艇4_艇番,艇4_コース,艇4_体重(kg),艇4_体重調整(kg),艇4_展示タイム,艇4_チルト調整,艇4_スタート展示,艇5_艇番,艇5_コース,艇5_体重(kg),艇5_体重調整(kg),艇5_展示タイム,艇5_チルト調整,艇5_スタート展示,艇6_艇番,艇6_コース,艇6_体重(kg),艇6_体重調整(kg),艇6_展示タイム,艇6_チルト調整,艇6_スタート展示
201904090101,第１２回ドラキリュウカップ・３世代対抗戦,2019-04-09,1,01R,1.0,3,1.0,2,9.0,13.0,1,1,51.4,0.0,6.87,-0.5,-0.01,2,2,54.0,0.0,6.9,-0.5,-0.05,3,3,51.2,0.0,6.9,-0.5,-0.09,4,4,51.2,0.0,6.85,-0.5,-0.11,5,5,51.4,0.0,6.8,-0.5,-0.04,6,6,54.0,0.0,6.87,-0.5,0.14
201904090102,第１２回ドラキリュウカップ・３世代対抗戦,2019-04-09,1,02R,5.0,3,5.0,1,11.0,13.0,1,1,51.1,0.0,7.03,-0.5,-0.04,2,2,55.3,0.0,7.09,-0.5,-0.09,3,3,50.5,0.5,6.95,-0.5,-0.01,4,4,51.0,0.0,7.2,-0.5,0.03,5,6,51.3,0.0,7.06,-0.5,0.07,6,5,53.8,0.0,7.16,0.0,0.0
201904090103,第１２回ドラキリュウカップ・３世代対抗戦,2019-04-09,1,03R,6.0,2,5.0,1,11.0,13.0,1,1,51.3,0.0,6.81,-0.5,0.09,2,2,53.3,0.0,6.79,-0.5,0.05,3,3,54.9,0.0,6.73,-0.5,-0.03,4,4,51.0,0.0,6.85,-0.5,0.02,5,6,53.1,0.0,6.91,-0.5,0.06,6,5,51.2,0.0,6.82,-0.5,0.02
201904090104,第１２回ドラキリュウカップ・３世代対抗戦,2019-04-09,1,04R,4.0,2,3.0,1,12.0,13.0,1,1,50.5,0.5,6.94,-0.5,-0.17,2,3,51.0,0.0,6.91,-0.5,-0.05,3,4,51.0,0.0,6.96,-0.5,0.0,4,5,51.1,0.0,6.92,-0.5,-0.01,5,2,51.6,0.0,6.96,-0.5,-0.09,6,6,51.0,0.0,6.85,1.0,0.02
201904090105,第１２回ドラキリュウカップ・３世代対抗戦,2019-04-09,1,05R,5.0,2,4.0,1,12.0,13.0,1,1,51.9,0.0,6.97,-0.5,-0.04,2,2,52.8,0.0,6.98,-0.5,0.05,3,3,51.6,0.0,7.04,-0.5,0.04,4,4,54.9,0.0,7.01,-0.5,0.03,5,5,51.0,0.0,6.97,-0.5,0.06,6,6,51.3,0.0,6.77,-0.5,0.07
201904090106,第１２回ドラキリュウカップ・３世代対抗戦,2019-04-09,1,06R,5.0,2,4.0,1,12.0,13.0,1,1,51.0,0.0,6.86,-0.5,0.09,2,2,54.9,0.0,6.88,-0.5,0.11,3,3,54.0,0.0,6.9,-0.5,0.09,4,4,51.0,0.0,6.94,-0.5,0.03,5,5,52.4,0.0,6.75,-0.5,0.08,6,6,53.2,0.0,7.0,-0.5,0.14
201904090108,第１２回ドラキリュウカップ・３世代対抗戦,2019-04-09,1,08R,8.0,2,7.0,1,11.0,13.0,1,1,51.0,0.0,7.01,-0.5,-0.01,2,2,60.3,0.0,7.06,-0.5,0.09,3,3,50.5,0.5,7.07,-0.5,-0.17,4,4,52.0,0.0,6.94,-0.5,-0.18,5,5,51.3,0.0,6.99,-0.5,-0.19,6,6,50.5,0.5,6.91,-0.5,-0.02
201904090109,第１２回ドラキリュウカップ・３世代対抗戦,2019-04-09,1,09R,5.0,2,5.0,1,11.0,13.0,1,1,52.3,0.0,6.81,-0.5,0.16,2,2,51.4,0.0,6.87,-0.5,0.12,3,3,53.3,0.0,6.71,-0.5,0.25,4,4,51.1,0.0,6.79,-0.5,0.09,5,5,51.0,0.0,6.79,-0.5,0.14,6,6,51.1,0.0,6.81,-0.5,0.01
201904090110,第１２回ドラキリュウカップ・３世代対抗戦,2019-04-09,1,10R,3.0,3,2.0,2,10.0,13.0,1,1,51.2,0.0,6.78,-0.5,-0.01,2,2,50.5,0.5,6.82,-0.5,0.05,3,3,51.0,0.0,6.72,-0.5,-0.06,4,4,54.9,0.0,6.75,-0.5,0.15,5,5,51.0,0.0,6.72,-0.5,-0.07,6,6,51.6,0.0,6.83,-0.5,-0.02
201904090111,第１２回ドラキリュウカップ・３世代対抗戦,2019-04-09,1,11R,1.0,3,1.0,2,10.0,13.0,1,1,52.8,0.0,6.73,-0.5,0.01,2,2,51.2,0.0,6.75,-0.5,-0.08,3,3,53.8,0.0,6.74,-0.5,0.01,4,4,51.0,0.0,6.82,-0.5,0.17,5,5,51.0,0.0,6.78,-0.5,0.04,6,6,51.0,0.0,6.75,-0.5,-0.01
