レースコード,レース日,レース場,レース回,ステータス,計測数,計測項目1,計測項目2,計測項目3,艇1_選手名,艇1_値1,艇1_値2,艇1_値3,艇2_選手名,艇2_値1,艇2_値2,艇2_値3,艇3_選手名,艇3_値1,艇3_値2,艇3_値3,艇4_選手名,艇4_値1,艇4_値2,艇4_値3,艇5_選手名,艇5_値1,艇5_値2,艇5_値3,艇6_選手名,艇6_値1,艇6_値2,艇6_値3
202502160101,2025-02-16,01,01R,1,3,半周ラップ,まわり足,直線,宇田川 信一,18.36,4.56,7.61,鈴木 賢一,18.53,4.78,7.61,芦澤 望,18.52,4.75,7.76,富澤 祐作,18.66,4.52,7.6,浦野 海,18.53,4.59,7.62,原田 秀弥,18.83,4.55,7.74
202502160102,2025-02-16,01,02R,1,3,半周ラップ,まわり足,直線,多田 有佑,18.58,4.37,7.54,照屋 厚仁,18.66,4.7,7.58,間嶋 仁志,18.86,4.99,7.68,小池 公生,18.84,4.74,7.57,前沢 丈史,18.79,4.65,7.54,山本 稔太朗,18.54,4.69,7.6
202502160103,2025-02-16,01,03R,1,3,半周ラップ,まわり足,直線,柴田 直哉,18.66,4.47,7.58,新田 雄史,18.46,4.72,7.5,荒井 翔伍,18.93,4.75,7.79,渡邉 俊介,18.53,4.55,7.59,木村 浩士,18.43,4.51,7.72,鳥居塚 嶺王,18.37,4.64,7.5
202502160104,2025-02-16,01,04R,1,3,半周ラップ,まわり足,直線,小西 英輝,18.65,4.51,7.5,砂長 知輝,18.46,4.56,7.54,松竹 大輔,18.56,4.5,7.68,森 竜也,18.48,4.79,7.62,野間 大樹,18.24,4.77,7.66,伊藤 将吉,18.88,4.79,7.58
202502160105,2025-02-16,01,05R,1,3,半周ラップ,まわり足,直線,外崎 悟,18.59,4.56,7.61,鶴田 勇雄,18.67,4.81,7.66,前田 聖文,18.78,4.63,7.59,酒井 俊弘,18.79,4.59,7.61,井上 尚悟,18.98,4.77,7.69,佐藤 大介,18.93,4.82,7.56
202502160106,2025-02-16,01,06R,1,3,半周ラップ,まわり足,直線,中嶋 健一郎,18.44,4.69,7.64,伊藤 尚汰,18.64,4.72,7.49,山田 真聖,18.5,4.61,7.65,石川 諒,18.63,4.61,7.53,金子 良昭,18.48,4.71,7.57,間嶋 仁志,19.07,4.76,7.55
202502160107,2025-02-16,01,07R,1,3,半周ラップ,まわり足,直線,濱本 優一,18.27,4.59,7.7,柴田 直哉,18.86,4.61,7.73,藤岡 俊介,18.63,4.36,7.72,藤生 雄人,18.8,4.74,7.68,坂本 一真,18.36,4.72,7.72,金子 貴志,18.78,4.61,7.68
202502160108,2025-02-16,01,08R,1,3,半周ラップ,まわり足,直線,松竹 大輔,18.42,4.51,7.64,國弘 翔平,18.8,4.7,7.72,浦野 海,18.53,4.61,7.69,山本 稔太朗,18.44,4.56,7.72,木下 翔太,18.81,4.56,7.78,木村 浩士,18.69,4.66,7.84
202502160109,2025-02-16,01,09R,1,3,半周ラップ,まわり足,直線,野間 大樹,18.38,4.56,7.55,小林 一樹,18.36,4.69,7.5,萬 正嗣,18.74,4.61,7.63,前田 聖文,18.7,4.68,7.61,鈴木 賢一,18.48,4.69,7.58,小池 公生,18.78,4.58,7.65
202502160110,2025-02-16,01,10R,1,3,半周ラップ,まわり足,直線,荒井 翔伍,18.67,4.64,7.65,佐藤 大介,18.87,4.74,7.65,伊藤 将吉,18.79,4.66,7.69,近藤 友宝,18.62,4.71,7.69,多田 有佑,18.53,4.65,7.61,富澤 祐作,18.56,4.62,7.63
202502160111,2025-02-16,01,11R,1,3,半周ラップ,まわり足,直線,前沢 丈史,18.59,4.61,7.73,藤岡 俊介,18.54,4.62,7.69,原田 秀弥,18.96,4.57,7.73,鶴田 勇雄,18.85,4.7,7.75,中嶋 健一郎,18.65,4.84,7.56,渡邉 俊介,18.4,4.69,7.53
202502160112,2025-02-16,01,12R,1,3,半周ラップ,まわり足,直線,新田 雄史,18.24,4.44,7.61,木下 翔太,18.45,4.55,7.51,濱本 優一,18.51,4.56,7.66,芦澤 望,18.52,4.83,7.7,照屋 厚仁,18.4,4.56,7.6,砂長 知輝,18.64,4.54,7.65
202502160401,2025-02-16,04,01R,1,3,一周,まわり足,直線,相馬 翔,37.06,5.3,7.64,上原 健次郎,37.6,5.77,7.49,遠藤 圭吾,37.33,5.2,7.58,上瀧 絢也,38.0,5.33,7.64,坂本 雄紀,37.62,5.32,7.58,眞崎 武蔵,37.51,5.4,7.5
202502160402,2025-02-16,04,02R,1,3,一周,まわり足,直線,石原 光,37.17,5.27,7.67,島崎 丈一朗,37.37,5.2,7.67,加藤 優弥,37.87,5.37,7.67,富永 夏哉人,37.72,5.41,7.6,田村 慶,37.45,5.18,7.57,長谷川 暖,36.87,5.1,7.6
202502160403,2025-02-16,04,03R,1,3,一周,まわり足,直線,小川 竜太朗,37.21,5.33,7.53,佃 來紀,37.59,5.25,7.63,西岡 顕心,37.87,5.37,7.67,堀越 雄貴,37.93,5.3,7.67,栗原 一馬,38.07,5.27,7.7,松井 貫太,37.53,5.23,7.67
