レースコード,レース日,レース場,レース回,締切時刻,取得日時,計測数,計測項目1,計測項目2,計測項目3,艇1_選手名,艇1_値1,艇1_値2,艇1_値3,艇2_選手名,艇2_値1,艇2_値2,艇2_値3,艇3_選手名,艇3_値1,艇3_値2,艇3_値3,艇4_選手名,艇4_値1,艇4_値2,艇4_値3,艇5_選手名,艇5_値1,艇5_値2,艇5_値3,艇6_選手名,艇6_値1,艇6_値2,艇6_値3
202605112301,2026-05-11,23,01R,08:32,2026-05-11T08:30:37.776080+09:00,3,一周,まわり足,直線,青木 幸太郎,36.63,5.34,7.67,中島 浩哉,37.01,5.42,7.62,山口 亮,37.5,5.53,7.64,川辺 郭人,37.77,5.6,7.58,本村 大,36.97,5.7,7.71,村田 浩司,36.53,5.67,7.67
202605111401,2026-05-11,14,01R,08:44,2026-05-11T08:35:29.843558+09:00,3,一周,まわり足,直線,葛原 大陽,36.84,5.57,6.94,川崎 公靖,36.5,5.73,6.97,赤池 修平,37.42,6.11,7.07,西岡 蒼志,36.6,5.8,7.03,新田 洋一,36.8,5.71,7.03,常盤 海心,36.35,5.96,7.1
202605112302,2026-05-11,23,02R,08:58,2026-05-11T08:50:34.329197+09:00,3,一周,まわり足,直線,楠原 翔太,36.98,5.55,7.67,泥谷 一毅,37.13,5.43,7.74,深山 祐二,37.05,5.32,7.7,日高 龍之介,36.36,5.5,7.9,高山 弘斗,36.97,5.67,7.66,西村 秀樹,37.34,5.62,7.76
202605111402,2026-05-11,14,02R,09:10,2026-05-11T09:00:41.398095+09:00,3,一周,まわり足,直線,三木 晴斗,36.27,5.57,6.8,堀本 和也,36.67,5.73,6.91,三好 勇人,36.72,5.7,6.92,川田 正人,37.23,5.4,7.19,丸尾 義孝,37.07,5.87,6.93,武田 信一,37.17,5.8,7.03
202605112303,2026-05-11,23,03R,09:26,2026-05-11T09:20:35.350814+09:00,3,一周,まわり足,直線,田中 京介,37.2,5.27,7.72,樅山 拓馬,37.13,5.33,7.77,植田 太一,36.8,5.4,7.74,山田 和佐,36.94,5.52,7.73,長谷川 親王,38.17,5.87,7.58,吉川 颯汰,37.26,5.84,7.77
202605111403,2026-05-11,14,03R,09:36,2026-05-11T09:30:35.375607+09:00,3,一周,まわり足,直線,菅 章哉,36.4,5.57,6.89,村岡 賢,36.9,5.6,7.0,片岡 秀樹,36.72,5.84,6.9,井川 大作,36.6,5.5,7.07,吉永 泰弘,36.86,5.6,7.0,水原 慎,37.0,5.91,6.93
202605112304,2026-05-11,23,04R,09:52,2026-05-11T09:45:31.774305+09:00,3,一周,まわり足,直線,前川 守嗣,37.51,5.22,7.73,石井 伸長,37.6,5.49,7.64,末永 祐輝,37.07,5.5,7.54,武重 雄介,37.43,5.55,7.61,寺本 重宣,37.17,5.37,7.58,鐘ヶ江 真司,37.03,5.4,7.71
202605111404,2026-05-11,14,04R,10:02,2026-05-11T09:55:28.635965+09:00,3,一周,まわり足,直線,市橋 卓士,36.4,5.7,7.01,齊藤 優,36.57,5.4,7.13,小坂 宗司,36.27,5.9,6.84,垂水 悠,36.13,5.67,6.97,松本 弓雄,36.73,5.77,6.99,中岡 正彦,36.53,5.8,6.87
202605112305,2026-05-11,23,05R,10:19,2026-05-11T10:10:28.017537+09:00,3,一周,まわり足,直線,上平 真二,36.97,5.2,7.74,村田 浩司,37.15,5.31,7.58,岡本 翔太郎,37.13,5.6,7.5,木幡 純也,38.13,5.46,7.65,君島 秀三,37.33,5.4,7.58,塩田 雄一,37.37,5.54,7.61
202605110801,2026-05-11,08,01R,10:30,2026-05-11T10:20:30.108672+09:00,3,一周,まわり足,直線,松山 将吾,36.43,5.83,7.03,橋本 年光,37.34,5.75,7.22,坂井 滉哉,37.95,6.05,7.13,本吉 正樹,37.3,5.87,7.11,山下 智己,36.93,5.45,7.08,塚越 陸斗,37.87,5.75,7.16
202605111405,2026-05-11,14,05R,10:28,2026-05-11T10:20:30.108672+09:00,3,一周,まわり足,直線,樫葉 次郎,36.47,6.16,6.97,佐々木 和伸,36.51,5.67,6.93,原村 拓也,37.07,5.73,6.97,馬野 耀,36.95,5.85,6.87,田村 隆信,36.75,5.51,7.18,岩津 徹郎,36.43,5.5,7.03
202605111101,2026-05-11,11,01R,10:33,2026-05-11T10:25:33.968832+09:00,3,一周,まわり足,直線,柳橋 宏紀,37.36,5.63,8.07,西川 真人,37.77,6.03,7.93,牧山 敦也,38.0,5.9,8.2,小松 卓司,38.2,6.03,8.01,佐藤 駿介,38.01,6.16,7.93,中岡 健人,37.15,6.02,7.83
202605110901,2026-05-11,09,01R,10:39,2026-05-11T10:30:31.096996+09:00,3,一周,まわり足,直線,川原 正明,37.03,4.23,8.8,西村 豪洋,37.2,4.67,8.63,東 潤樹,37.6,4.63,8.87,酒井 陽祐,37.6,4.53,8.77,澤 大介,37.33,4.9,8.63,佐藤 旭,37.13,4.83,8.47
202605112306,2026-05-11,23,06R,10:47,2026-05-11T10:40:31.764659+09:00,3,一周,まわり足,直線,本村 大,37.27,5.4,7.69,白井 友晴,37.14,5.42,7.67,門間 雄大,37.5,5.66,7.69,百武 翔,37.2,5.39,7.74,日高 龍之介,36.93,5.42,7.68,大神 康司,37.3,5.66,7.74
202605111601,2026-05-11,16,01R,10:51,2026-05-11T10:45:34.308763+09:00,3,一周,まわり足,直線,三川 昂暁,36.9,5.7,6.77,佐藤 右京,37.13,5.53,6.7,木場 悠介,37.2,5.7,6.73,高田 綾,37.03,5.83,6.83,加木 郁,36.83,5.7,6.73,間野 兼礼,36.6,5.6,6.8
202605111406,2026-05-11,14,06R,10:58,2026-05-11T10:50:40.382005+09:00,3,一周,まわり足,直線,宮野 仁,36.3,5.73,6.89,新田 洋一,36.6,5.87,6.89,竹田 吉行,36.83,5.87,6.93,烏野 賢太,36.83,5.83,7.03,林 美憲,37.4,5.7,6.96,藤山 湧太,36.7,5.67,6.92
202605110802,2026-05-11,08,02R,11:02,2026-05-11T10:55:35.259120+09:00,3,一周,まわり足,直線,黒崎 竜也,37.1,5.63,7.03,繁野谷 圭介,37.47,6.1,7.09,橋本 明,37.68,5.64,7.05,佐藤 博亮,37.06,5.65,7.18,豊田 泰洋,37.81,5.69,7.25,一ノ木 匠,37.58,6.1,7.29
202605111102,2026-05-11,11,02R,11:01,2026-05-11T10:55:35.259120+09:00,3,一周,まわり足,直線,遠藤 圭吾,37.33,5.57,8.03,萩原 知哉,37.43,5.93,7.97,川原 祐明,37.43,6.23,8.13,服部 達哉,37.84,5.76,8.07,三嶌 こころ,38.34,5.83,8.07,郷原 章平,37.99,6.17,7.83
202605110902,2026-05-11,09,02R,11:07,2026-05-11T11:00:39.623298+09:00,3,一周,まわり足,直線,大久保信一郎,36.93,4.47,8.63,松尾 充,37.0,4.26,8.78,西丸 侑太朗,37.13,4.63,8.57,中 亮太,37.27,4.67,8.6,久永 祥平,37.57,4.83,8.53,川崎 智稔,37.43,4.73,8.4
202605111602,2026-05-11,16,02R,11:19,2026-05-11T11:10:30.717403+09:00,3,一周,まわり足,直線,細川 明人,37.17,5.77,6.67,吉岡 誠,37.33,5.93,6.63,森 弘行,37.23,5.83,6.77,坂本 奈央,38.23,6.47,6.63,尾道 佳諭,37.3,5.63,6.87,小川 晃司,36.87,5.53,6.87
202605112307,2026-05-11,23,07R,11:16,2026-05-11T11:10:30.717403+09:00,3,一周,まわり足,直線,深山 祐二,37.41,5.32,7.6,長尾 章平,37.03,5.46,7.69,石川 吉鎬,37.37,5.37,7.81,大田 直弥,37.65,5.64,7.66,中島 昂章,37.1,5.27,7.74,下田 哲也,38.33,5.67,7.72
202605110803,2026-05-11,08,03R,11:29,2026-05-11T11:20:29.605733+09:00,3,一周,まわり足,直線,夏山 亮平,36.79,6.2,7.04,正木 聖賢,37.59,5.88,7.21,倉田 茂将,37.76,5.56,7.29,尾形 栄治,37.73,5.59,7.28,砂長 知輝,37.0,5.54,7.09,吉武 真也,37.84,5.99,7.06
202605111407,2026-05-11,14,07R,11:28,2026-05-11T11:20:29.605733+09:00,3,一周,まわり足,直線,長谷川 雅和,37.16,5.77,6.8,井川 大作,36.75,5.82,6.87,葛原 大陽,36.5,5.93,6.94,山田 祐也,37.2,6.03,6.83,岡部 浩,36.94,5.64,7.01,川田 正人,37.53,5.3,7.1
