レースコード,レース日,レース場,レース回,締切時刻,取得日時,計測数,計測項目1,計測項目2,計測項目3,艇1_選手名,艇1_値1,艇1_値2,艇1_値3,艇2_選手名,艇2_値1,艇2_値2,艇2_値3,艇3_選手名,艇3_値1,艇3_値2,艇3_値3,艇4_選手名,艇4_値1,艇4_値2,艇4_値3,艇5_選手名,艇5_値1,艇5_値2,艇5_値3,艇6_選手名,艇6_値1,艇6_値2,艇6_値3
202605201401,2026-05-20,14,01R,08:32,2026-05-20T08:22:21.674481+09:00,3,一周,まわり足,直線,興津 藍,36.45,5.6,6.93,菊池 宏志,36.88,5.63,6.93,志道 吉和,37.86,6.0,7.13,伊藤 雄二,38.58,6.17,7.13,浦田 晃嗣,37.4,5.9,7.17,橋本 久和,37.01,5.7,7.13
202605201801,2026-05-20,18,01R,08:44,2026-05-20T08:35:04.524134+09:00,2,一周,まわり足,,清埜 翔子,37.26,11.53,,加藤 奈月,38.41,12.0,,坂野 さくら,38.5,12.28,,犬童 千秋,38.46,12.12,,鈴木 成美,38.35,12.01,,寺田 夢生,38.83,12.06,
202605201402,2026-05-20,14,02R,08:58,2026-05-20T08:48:18.855221+09:00,3,一周,まわり足,直線,下出 卓矢,37.31,5.96,7.04,広次 修,36.67,5.87,6.97,三浦 敬太,36.87,5.9,7.07,中野 和裕,36.87,5.9,7.12,吉田 俊彦,36.73,5.67,7.12,鈴木 賢一,36.9,5.83,7.23
202605201802,2026-05-20,18,02R,09:10,2026-05-20T09:02:00.764942+09:00,2,一周,まわり足,,武井 莉里佳,37.7,11.8,,内山 七海,38.2,12.18,,角 ひとみ,38.34,12.02,,金田 幸子,37.98,11.69,,福島 陽子,38.21,11.98,,小野 生奈,37.84,11.94,
202605201403,2026-05-20,14,03R,09:24,2026-05-20T09:14:48.252342+09:00,3,一周,まわり足,直線,田路 朋史,36.81,6.32,6.89,荒牧 凪沙,37.01,5.89,6.9,栗原 直也,36.45,5.73,6.9,宮地 秀祈,37.29,5.7,7.24,木村 亮太,36.73,5.77,7.09,近藤 稔也,37.17,5.96,7.03
202605201803,2026-05-20,18,03R,09:36,2026-05-20T09:26:28.811938+09:00,2,一周,まわり足,,寺田 空詩,37.44,11.52,,古賀 千晶,38.69,12.22,,竹井 奈美,37.54,11.71,,片岡 恵里,38.28,11.94,,三松 直美,38.57,12.27,,登 みひ果,38.24,12.13,
202605201404,2026-05-20,14,04R,09:50,2026-05-20T09:40:21.311067+09:00,3,一周,まわり足,直線,吉田 凌太朗,36.75,5.67,6.9,佐口 達也,37.73,5.77,7.02,竹腰 正樹,37.33,5.77,7.02,稗田 聖也,36.93,5.77,7.12,飯島 誠,37.2,5.9,6.99,佐々木 康幸,36.63,5.6,7.07
202605201804,2026-05-20,18,04R,10:02,2026-05-20T09:54:30.399946+09:00,2,一周,まわり足,,浜田 亜理沙,37.94,11.81,,大橋 栄里佳,38.38,11.71,,田村 美和,38.42,11.79,,佐々木 裕美,37.82,11.84,,喜多須 杏奈,39.3,12.13,,稲生 夏季,37.79,11.89,
202605201405,2026-05-20,14,05R,10:18,2026-05-20T10:08:27.367691+09:00,3,一周,まわり足,直線,渡部 悟,36.73,5.75,6.87,竹之内 極,36.47,5.7,7.0,田村 慶,37.04,5.72,6.99,大場 敏,37.02,5.65,7.03,金子 貴志,37.32,5.92,7.07,秋元 哲,36.77,5.57,7.07
202605200801,2026-05-20,08,01R,10:31,2026-05-20T10:21:00.870787+09:00,3,一周,まわり足,直線,麻生 慎介,36.77,5.37,7.17,高山 秀雄,37.44,5.61,7.25,西村 豪洋,37.29,5.84,7.08,小川 日紀太,37.63,5.64,7.26,井川 大作,37.19,5.43,7.31,田中 結,37.5,6.0,7.12
