登録番号,重み付き和,重み付き二乗和,重み計,基準日
3458,3.2921066665,0.6110291048,20.5234947879,2026-09-15
3459,3.0422324176,0.5552165628,20.1060307697,2026-09-15
3461,2.463270655,0.541930488,12.9278862582,2026-09-15
3463,4.3423722393,0.7920057397,26.6427032022,2026-09-15
3467,4.214384427,0.8400111067,23.8548106658,2026-09-15
3470,3.5606324477,0.7491881356,20.3211450157,2026-09-15
3471,3.9091309057,0.8010508066,22.4193147756,2026-09-15
3473,4.0874985633,0.6163439185,31.485029842,2026-09-15
3474,4.8081462657,0.9175890862,28.6754417923,2026-09-15
3475,4.4750234644,0.9119814445,25.7517983403,2026-09-15
3477,5.0419450953,1.0218527333,27.291345157,2026-09-15
3478,4.0044971256,0.6881181004,26.7006497576,2026-09-15
3482,3.9204976151,0.6284462215,28.5052126055,2026-09-15
3484,4.7433281011,0.9145231848,27.5507406913,2026-09-15
3489,5.7129555126,0.9250096466,40.2500212419,2026-09-15
3497,3.4176922944,0.6903140953,19.7295963469,2026-09-15
3499,3.1102187633,0.5742945346,19.6641267253,2026-09-15
3502,6.0679316587,1.2435945347,35.906261602,2026-09-15
3503,4.3569264367,0.7556842818,29.9650034198,2026-09-15
3505,4.368594068,0.712058471,31.4306297123,2026-09-15
3507,4.213178453,0.9241766944,22.1314019816,2026-09-15
3508,5.3092771651,1.0915486382,28.8016855145,2026-09-15
3509,3.1823996795,0.5535495325,22.8194654294,2026-09-15
3514,4.7495762991,0.8810369216,27.7677689241,2026-09-15
3516,4.4260084625,0.8083151301,28.6144920133,2026-09-15
3517,3.6534078861,0.5812678703,26.8188282093,2026-09-15
3518,4.6534423882,1.1555509719,22.8138452883,2026-09-15
3519,4.0885948932,1.1091973377,21.8908962483,2026-09-15
3523,3.4409515319,0.6307567452,20.689990101,2026-09-15
3527,4.3117065617,0.8411465547,25.6388377658,2026-09-15
3528,3.6656683025,0.8055058383,18.7942550754,2026-09-15
3532,2.2164244171,0.4270525444,14.1698715329,2026-09-15
3535,3.0863066665,0.6367752299,16.4975367405,2026-09-15
3538,3.178517627,0.7496121874,15.4455991353,2026-09-15
3539,5.2456940444,1.0409566585,29.2057511169,2026-09-15
3541,5.2154964366,0.9686615693,31.0526266444,2026-09-15
3542,3.7703805074,0.7912224665,20.605810973,2026-09-15
3543,3.5561711723,0.6842090338,20.6559720062,2026-09-15
3544,3.8802119656,0.7812721224,22.0177075029,2026-09-15
3546,4.6946113287,1.0496723151,24.7681387344,2026-09-15
3548,3.6478315438,0.5607232104,27.9933000107,2026-09-15
3550,4.2433101588,0.8134545028,26.6633324182,2026-09-15
3551,3.3808480911,0.6775475276,20.7608431394,2026-09-15
3554,6.771963634,1.4081602344,35.4689841353,2026-09-15
3556,4.8035544463,0.8483345169,30.6707466731,2026-09-15
3557,4.4930791028,0.8734266762,29.1127587364,2026-09-15
3558,4.398013371,0.8141497559,28.4603468222,2026-09-15
3562,4.5798276833,0.8072966157,29.8877351253,2026-09-15
3563,4.5898480227,0.7670704733,31.3011423766,2026-09-15
3564,4.4404767086,0.8154874021,27.2945388601,2026-09-15
3566,4.5297432709,0.9719706214,24.9433707805,2026-09-15
3567,3.4285933638,0.6707499578,19.7706366891,2026-09-15
3568,3.9027680934,0.7133769901,23.505566169,2026-09-15
3569,4.15435066,0.8992857588,21.374585103,2026-09-15
3572,4.7989343163,1.1713413254,23.9168214634,2026-09-15
3574,4.8748423253,0.8779491303,30.6225592626,2026-09-15
3576,4.5506797425,0.8269490816,28.6517993765,2026-09-15
3577,3.1045906574,0.5189064623,23.1358190529,2026-09-15
3578,0.5421396564,0.1226705668,2.678947967,2026-09-15
3579,2.7731359605,0.5297287885,17.5029874695,2026-09-15
3580,4.4750472245,0.9163543965,26.5700654439,2026-09-15
3581,4.5546228444,0.8946063778,25.8247986092,2026-09-15
3582,4.6510704461,0.7973685449,30.7060164279,2026-09-15
3583,3.9378967795,0.9296741559,20.5913225745,2026-09-15
3584,4.651722523,0.9050491214,26.2890022312,2026-09-15
3587,3.2530386997,0.633136911,20.0230908441,2026-09-15
3589,3.2364874066,0.5929766444,20.827466569,2026-09-15
3590,3.562675836,0.5450329617,29.631278332,2026-09-15
3591,1.5083920341,0.3244597345,8.7885498199,2026-09-15
3596,3.0836972551,0.6258732727,17.8986922404,2026-09-15
3602,4.0489395757,0.8461257248,23.1888240261,2026-09-15
3604,3.4257644722,0.7347850906,17.3843078387,2026-09-15
3605,4.5862594378,0.9711524956,24.1785510927,2026-09-15
3606,4.0007976108,0.7262370129,25.6379057404,2026-09-15
3611,4.1388595468,0.6917099504,28.8407949684,2026-09-15
3612,4.512596679,0.7330728037,31.9162000051,2026-09-15
3613,4.5391012834,0.7133256521,32.7162515687,2026-09-15
3614,4.9669069944,0.9680902318,28.6994076307,2026-09-15
3615,3.4182487685,0.5392258893,23.8369959228,2026-09-15
3616,2.685457683,0.4812420516,17.5884169255,2026-09-15
3617,4.5540080461,0.9911216298,23.736938367,2026-09-15
3618,5.3308861597,1.0994180527,30.3583624661,2026-09-15
3619,3.8728043444,0.7150954362,22.6143486587,2026-09-15
3620,3.5652864546,0.639938116,21.5768911851,2026-09-15
3621,0.5222059925,0.1270506316,2.849821647,2026-09-15
3623,3.6286754191,0.7387454272,21.7396387413,2026-09-15
3627,5.2657259312,1.1280763662,26.7369055443,2026-09-15
3629,3.9613117054,0.8087900265,21.9110637822,2026-09-15
3630,3.6119303639,0.6761062331,22.7727435409,2026-09-15
3631,0.622180958,0.1412316957,3.2611358765,2026-09-15
3635,3.487591438,0.6667910753,20.7871320629,2026-09-15
3637,3.3201468666,0.6948106045,18.6849637164,2026-09-15
3641,5.8899239141,1.2048046655,32.7842472235,2026-09-15
3642,4.1568165986,0.8847814955,23.3915778125,2026-09-15
3643,4.312673175,0.8783029289,23.8121436176,2026-09-15
3645,1.3696896019,0.2023968103,10.4799564143,2026-09-15
3647,3.9003225244,0.6786038757,28.3180194649,2026-09-15
3652,3.2753158015,0.6577760497,19.2737614326,2026-09-15
3653,4.5724197433,1.1435207482,20.3643873532,2026-09-15
3654,3.7944460153,0.6316163883,27.5365752428,2026-09-15
3655,5.2462969331,1.1853190002,25.0274758686,2026-09-15
3656,2.3190705905,0.4722604459,12.9981595699,2026-09-15
3659,4.7508140357,0.9234257247,27.8065644617,2026-09-15
3660,4.6184296095,1.0756169754,22.359173016,2026-09-15
3661,4.7114114256,0.9113602226,27.9043808738,2026-09-15
3662,4.9103503978,0.9882965925,28.6195692683,2026-09-15
3663,4.6245139395,0.8747615834,27.3382007897,2026-09-15
3664,3.65738939,0.7098846289,21.5252946368,2026-09-15
3679,4.2857481392,0.6889441607,30.1644615915,2026-09-15
3680,5.6418631729,1.3156943648,28.6505955612,2026-09-15
3681,3.4058678125,0.6028890296,21.8489856002,2026-09-15
3684,3.8468936052,0.8803408018,22.0972743001,2026-09-15
3685,3.7032590967,0.8727560743,19.7572079377,2026-09-15
3686,3.9145059576,0.738202564,22.6074576514,2026-09-15
3687,3.3127548036,0.7521403228,20.5436476054,2026-09-15
3690,5.0137947819,1.0575591045,26.5049115094,2026-09-15
3692,5.1962922752,0.8512775842,38.326780112,2026-09-15
3696,4.3196222471,0.7838449922,26.4887346299,2026-09-15
3699,4.8697628934,1.0436517516,26.2194149458,2026-09-15
3701,3.2235243754,0.5638644523,21.9375241098,2026-09-15
3703,4.3117128488,0.891505643,24.8818307802,2026-09-15
3704,1.9459391633,0.4984859426,8.3518882193,2026-09-15
3708,4.610884186,0.8229650748,29.3295537172,2026-09-15
3710,3.5799274562,0.672944256,22.2206862728,2026-09-15
