レースコード,レース日,レース場,レース回,締切時刻,取得日時,艇1_コース,艇1_スタート展示,艇2_コース,艇2_スタート展示,艇3_コース,艇3_スタート展示,艇4_コース,艇4_スタート展示,艇5_コース,艇5_スタート展示,艇6_コース,艇6_スタート展示
202606152101,2026-06-15,21,01R,08:32,2026-06-15T08:22:24.346148+09:00,1,0.12,2,0.23,3,0.21,4,0.13,5,0.18,6,0.17
202606151001,2026-06-15,10,01R,08:44,2026-06-15T08:34:21.361789+09:00,1,-0.01,2,-0.07,3,0.02,4,0.02,5,0.16,6,0.03
202606152102,2026-06-15,21,02R,08:58,2026-06-15T08:48:22.123307+09:00,1,0.1,2,0.1,3,0.04,4,0.04,5,0.05,6,0.18
202606151002,2026-06-15,10,02R,09:10,2026-06-15T09:00:37.596372+09:00,1,-0.02,2,0.03,3,0.11,6,0.09,4,-0.06,5,-0.06
202606152103,2026-06-15,21,03R,09:24,2026-06-15T09:14:26.829180+09:00,1,0.23,2,0.13,3,0.11,4,0.09,5,0.17,6,0.17
202606151003,2026-06-15,10,03R,09:36,2026-06-15T09:26:22.968909+09:00,1,0.07,2,0.09,3,0.02,4,0.11,5,0.17,6,0.11
202606152104,2026-06-15,21,04R,09:50,2026-06-15T09:40:28.200265+09:00,1,0.23,2,0.43,3,0.22,4,0.42,5,0.26,6,0.11
202606151004,2026-06-15,10,04R,10:02,2026-06-15T09:52:23.651461+09:00,1,0.05,2,0.05,3,0.1,4,0.04,5,0.02,6,0.04
202606152105,2026-06-15,21,05R,10:18,2026-06-15T10:08:27.646062+09:00,1,0.04,3,0.18,4,0.14,6,0.37,2,0.21,5,0.23
202606151005,2026-06-15,10,05R,10:30,2026-06-15T10:20:25.582125+09:00,1,0.15,2,0.06,3,0.03,4,0.13,5,0.02,6,0.14
202606150801,2026-06-15,08,01R,10:33,2026-06-15T10:24:27.945147+09:00,1,0.05,2,0.16,3,-0.02,4,-0.01,5,0.09,6,0.14
202606152106,2026-06-15,21,06R,10:48,2026-06-15T10:38:56.226414+09:00,1,0.01,2,0.0,3,-0.05,4,0.13,5,0.05,6,0.04
202606151601,2026-06-15,16,01R,10:53,2026-06-15T10:44:22.148521+09:00,1,0.04,2,-0.01,3,0.05,4,0.03,5,0.04,6,0.15
