レースコード,レース日,レース場コード,レース回,状態,1枠_コースpt,1枠_寄与_コースpt,1枠_選手pt,1枠_寄与_選手pt,1枠_モーターpt,1枠_寄与_モーターpt,1枠_展示pt,1枠_寄与_展示pt,1枠_気象pt,1枠_寄与_気象pt,1枠_強さpt,2枠_コースpt,2枠_寄与_コースpt,2枠_選手pt,2枠_寄与_選手pt,2枠_モーターpt,2枠_寄与_モーターpt,2枠_展示pt,2枠_寄与_展示pt,2枠_気象pt,2枠_寄与_気象pt,2枠_強さpt,3枠_コースpt,3枠_寄与_コースpt,3枠_選手pt,3枠_寄与_選手pt,3枠_モーターpt,3枠_寄与_モーターpt,3枠_展示pt,3枠_寄与_展示pt,3枠_気象pt,3枠_寄与_気象pt,3枠_強さpt,4枠_コースpt,4枠_寄与_コースpt,4枠_選手pt,4枠_寄与_選手pt,4枠_モーターpt,4枠_寄与_モーターpt,4枠_展示pt,4枠_寄与_展示pt,4枠_気象pt,4枠_寄与_気象pt,4枠_強さpt,5枠_コースpt,5枠_寄与_コースpt,5枠_選手pt,5枠_寄与_選手pt,5枠_モーターpt,5枠_寄与_モーターpt,5枠_展示pt,5枠_寄与_展示pt,5枠_気象pt,5枠_寄与_気象pt,5枠_強さpt,6枠_コースpt,6枠_寄与_コースpt,6枠_選手pt,6枠_寄与_選手pt,6枠_モーターpt,6枠_寄与_モーターpt,6枠_展示pt,6枠_寄与_展示pt,6枠_気象pt,6枠_寄与_気象pt,6枠_強さpt
202607291810,2026-07-29,18,10R,daily,68.24,28.41,52.22,12.28,36.38,2.52,50.0,9.24,50.0,4.73,57.17,48.7,20.27,42.43,9.98,49.1,3.4,50.0,9.24,50.0,4.73,47.62,48.34,20.13,39.99,9.4,50.19,3.48,50.0,9.24,50.0,4.73,46.97,46.65,19.42,59.56,14.0,38.27,2.65,50.0,9.24,50.0,4.73,50.04,44.71,18.62,57.11,13.43,41.98,2.91,50.0,9.24,50.0,4.73,48.92,43.21,17.99,35.09,8.25,42.97,2.98,50.0,9.24,50.0,4.73,43.18
202607291810,2026-07-29,18,10R,realtime,68.24,28.41,52.22,12.28,40.1,2.78,61.23,11.31,38.06,3.6,58.38,48.7,20.27,42.43,9.98,46.48,3.22,42.51,7.85,55.84,5.28,46.6,48.34,20.13,39.99,9.4,44.76,3.1,38.39,7.09,72.22,6.83,46.55,46.65,19.42,59.56,14.0,37.39,2.59,54.75,10.12,28.26,2.67,48.8,44.71,18.62,57.11,13.43,37.51,2.6,57.29,10.59,72.53,6.86,52.08,43.21,17.99,35.09,8.25,43.02,2.98,45.69,8.44,33.06,3.13,40.79
202607291811,2026-07-29,18,11R,daily,71.63,29.82,59.56,14.0,47.05,3.26,50.0,9.24,50.0,4.73,61.05,48.73,20.29,42.43,9.98,34.66,2.4,50.0,9.24,50.0,4.73,46.63,46.74,19.46,44.88,10.55,53.43,3.7,50.0,9.24,50.0,4.73,47.68,46.21,19.24,57.11,13.43,47.59,3.3,50.0,9.24,50.0,4.73,49.93,44.03,18.33,42.43,9.98,39.97,2.77,50.0,9.24,50.0,4.73,45.04,42.51,17.7,49.77,11.7,48.38,3.35,50.0,9.24,50.0,4.73,46.72
202607291811,2026-07-29,18,11R,realtime,71.63,29.82,59.56,14.0,46.05,3.19,67.46,12.47,33.51,3.17,62.65,48.73,20.29,42.43,9.98,43.87,3.04,48.52,8.96,54.35,5.14,47.4,46.74,19.46,44.88,10.55,57.85,4.01,50.05,9.25,75.27,7.12,50.38,46.21,19.24,57.11,13.43,35.83,2.48,48.16,8.9,27.09,2.56,46.61,44.03,18.33,42.43,9.98,42.96,2.97,42.6,7.87,77.87,7.36,46.51,42.51,17.7,49.77,11.7,58.4,4.04,43.05,7.95,31.89,3.01,44.41
202607291812,2026-07-29,18,12R,daily,77.46,32.25,71.79,16.88,29.74,2.06,50.0,9.24,50.0,4.73,65.15,45.4,18.9,57.11,13.43,47.36,3.28,50.0,9.24,50.0,4.73,49.57,45.51,18.95,62.01,14.58,44.93,3.11,50.0,9.24,50.0,4.73,50.6,45.21,18.82,76.68,18.03,35.27,2.44,50.0,9.24,50.0,4.73,53.26,43.53,18.12,59.56,14.0,51.37,3.56,50.0,9.24,50.0,4.73,49.65,42.74,17.79,64.45,15.16,58.14,4.03,50.0,9.24,50.0,4.73,50.94
202607291812,2026-07-29,18,12R,realtime,77.46,32.25,71.79,16.88,29.59,2.05,57.76,10.67,36.0,3.4,65.25,45.4,18.9,57.11,13.43,40.8,2.82,35.55,6.57,62.53,5.91,47.64,45.51,18.95,62.01,14.58,39.24,2.72,50.01,9.24,73.98,6.99,52.48,45.21,18.82,76.68,18.03,34.26,2.37,44.0,8.13,32.99,3.12,50.48,43.53,18.12,59.56,14.0,63.01,4.36,47.42,8.76,60.17,5.69,50.94,42.74,17.79,64.45,15.16,53.79,3.72,65.1,12.03,34.3,3.24,51.94
202607291901,2026-07-29,19,1R,daily,70.54,28.64,46.86,10.71,40.78,3.7,50.0,9.45,50.0,4.28,56.78,49.17,19.97,44.58,10.19,42.18,3.83,50.0,9.45,50.0,4.28,47.71,46.78,19.0,42.31,9.67,45.07,4.09,50.0,9.45,50.0,4.28,46.49,47.47,19.28,51.4,11.75,37.36,3.39,50.0,9.45,50.0,4.28,48.14,43.34,17.6,42.31,9.67,62.95,5.71,50.0,9.45,50.0,4.28,46.72,42.63,17.31,46.86,10.71,55.47,5.04,50.0,9.45,50.0,4.28,46.79
202607291901,2026-07-29,19,1R,realtime,70.54,28.64,46.86,10.71,38.05,3.45,70.27,13.29,44.16,3.78,59.87,49.17,19.97,44.58,10.19,45.51,4.13,53.73,10.16,63.52,5.43,49.88,46.78,19.0,42.31,9.67,50.58,4.59,53.16,10.05,40.08,3.43,46.74,47.47,19.28,51.4,11.75,32.7,2.97,48.16,9.11,62.55,5.35,48.45,43.34,17.6,42.31,9.67,59.71,5.42,44.3,8.38,46.64,3.99,45.06,42.63,17.31,46.86,10.71,65.26,5.92,30.39,5.75,43.02,3.68,43.37
202607291902,2026-07-29,19,2R,daily,68.62,27.87,49.13,11.23,54.51,4.95,50.0,9.45,50.0,4.28,57.77,49.72,20.19,49.13,11.23,66.83,6.07,50.0,9.45,50.0,4.28,51.21,48.15,19.55,46.86,10.71,60.75,5.51,50.0,9.45,50.0,4.28,49.51,45.55,18.5,37.77,8.63,48.39,4.39,50.0,9.45,50.0,4.28,45.25,45.26,18.38,46.86,10.71,44.13,4.01,50.0,9.45,50.0,4.28,46.82,42.63,17.31,65.03,14.86,47.99,4.36,50.0,9.45,50.0,4.28,50.26
202607291902,2026-07-29,19,2R,realtime,68.62,27.87,49.13,11.23,54.06,4.91,68.22,12.9,42.39,3.62,60.53,49.72,20.19,49.13,11.23,57.79,5.25,51.2,9.68,65.67,5.62,51.96,48.15,19.55,46.86,10.71,60.04,5.45,46.06,8.71,53.44,4.57,48.99,45.55,18.5,37.77,8.63,44.66,4.05,36.34,6.87,55.98,4.79,42.84,45.26,18.38,46.86,10.71,32.04,2.91,36.7,6.94,49.06,4.19,43.13,42.63,17.31,65.03,14.86,43.21,3.92,61.47,11.62,33.44,2.86,50.58
