レースコード,レース日,レース場,レース回,ステータス,計測数,計測項目1,計測項目2,計測項目3,艇1_選手名,艇1_値1,艇1_値2,艇1_値3,艇2_選手名,艇2_値1,艇2_値2,艇2_値3,艇3_選手名,艇3_値1,艇3_値2,艇3_値3,艇4_選手名,艇4_値1,艇4_値2,艇4_値3,艇5_選手名,艇5_値1,艇5_値2,艇5_値3,艇6_選手名,艇6_値1,艇6_値2,艇6_値3
202411290401,2024-11-29,04,01R,1,3,一周,まわり足,直線,植木 美帆,37.52,5.75,7.65,吉田 彩乃,37.9,5.47,7.63,飯塚 響,38.13,5.77,7.55,長尾 萌加,37.5,5.77,7.43,田中 瀬里奈,38.01,5.83,7.51,佐々木 裕美,37.93,5.73,7.7
202411290403,2024-11-29,04,03R,1,3,一周,まわり足,直線,寺島 美里,37.74,5.37,7.6,奥村 明日香,37.77,5.23,7.53,山口 真喜子,38.07,5.48,7.63,豊田 結,37.8,5.43,7.6,大豆生田 蒼,37.43,5.36,7.53,清水 沙樹,38.37,5.57,7.7
202411290404,2024-11-29,04,04R,1,3,一周,まわり足,直線,清水 未唯,37.54,5.42,7.63,赤井 睦,38.07,5.8,7.57,松本 晶恵,37.8,5.6,7.57,土屋 千明,38.2,5.83,7.53,武井 莉里佳,37.37,5.57,7.53,後藤 美翼,37.43,5.43,7.73
202411290405,2024-11-29,04,05R,1,3,一周,まわり足,直線,角 ひとみ,37.66,5.41,7.64,樋口 由加里,37.74,5.54,7.6,中田 夕貴,37.11,5.59,7.52,神里 琴音,37.88,5.65,7.67,植木 美帆,38.67,5.83,7.73,香川 素子,38.03,5.53,7.73
202411290406,2024-11-29,04,06R,1,3,一周,まわり足,直線,佐藤 ほのか,37.47,5.27,7.57,関野 文,37.63,5.17,7.53,平川 香織,38.03,5.43,7.57,来田 衣織,37.76,5.47,7.63,高石 梨菜,38.2,5.33,7.67,長尾 萌加,37.7,5.57,7.67
202411290407,2024-11-29,04,07R,1,3,一周,まわり足,直線,橋谷田 佳織,38.71,5.6,7.63,清水 沙樹,38.5,5.63,7.67,川井 萌,39.12,5.69,7.69,喜井 つかさ,38.23,5.57,7.81,森下 愛梨,38.46,5.67,7.67,田中 瀬里奈,39.23,5.5,7.73
202411290409,2024-11-29,04,09R,1,3,一周,まわり足,直線,西村 歩,38.08,5.29,7.6,山口 真喜子,37.98,5.52,7.75,神里 琴音,37.91,5.7,7.6,飯塚 響,38.72,5.84,7.58,松本 晶恵,38.01,5.64,7.63,中澤 宏奈,38.56,6.1,7.8
202411290410,2024-11-29,04,10R,1,3,一周,まわり足,直線,後藤 美翼,37.2,5.27,7.6,武井 莉里佳,37.7,5.23,7.57,豊田 結,37.83,5.33,7.7,平川 香織,37.7,5.57,7.67,関野 文,37.94,5.26,7.57,角 ひとみ,38.47,5.5,7.63
202411290411,2024-11-29,04,11R,1,3,一周,まわり足,直線,香川 素子,38.1,5.17,7.53,大豆生田 蒼,37.1,5.23,7.63,喜井 つかさ,38.05,5.37,7.63,中田 夕貴,37.53,5.2,7.53,奥村 明日香,37.5,5.27,7.68,佐藤 ほのか,38.2,5.73,7.53
202411290412,2024-11-29,04,12R,1,3,一周,まわり足,直線,守屋 美穂,37.33,5.47,7.57,高石 梨菜,37.93,5.5,7.53,土屋 千明,38.3,5.5,7.63,川井 萌,38.8,5.54,7.63,樋口 由加里,38.26,5.74,7.6,清水 未唯,38.57,5.5,7.64
202411290701,2024-11-29,07,01R,1,3,一周,まわり足,直線,安藤 裕貴,37.16,4.98,6.44,豊田 泰洋,37.43,4.91,6.27,加木 郁,37.43,5.03,6.29,安達 美帆,37.68,5.31,6.27,末永 祐輝,37.07,5.38,6.13,大場 広孝,36.88,5.26,6.27
202411290702,2024-11-29,07,02R,1,3,一周,まわり足,直線,深水 慎一郎,37.03,5.03,6.28,中村 辰也,37.16,4.94,6.37,江本 真治,37.25,5.06,6.29,渡邊 哲也,37.32,5.18,6.27,松本 浩貴,37.68,5.32,6.22,伊藤 栞,36.79,5.14,6.39
202411290703,2024-11-29,07,03R,1,3,一周,まわり足,直線,鈴木 智啓,37.15,4.89,6.36,川上 昇平,37.31,5.39,6.33,黒崎 竜也,37.0,5.17,6.33,加藤 翔馬,37.94,5.48,6.16,矢野 真梨菜,37.73,6.08,6.11,岡村 慶太,37.23,5.33,6.31
202411290704,2024-11-29,07,04R,1,3,一周,まわり足,直線,中里 優子,37.12,5.13,6.27,伊藤 尚汰,37.66,5.34,6.21,藤田 靖弘,37.86,5.43,6.19,岩永 雅人,37.25,5.21,6.2,小森 信雄,37.24,5.39,6.32,北村 征嗣,36.94,4.95,6.27
202411290705,2024-11-29,07,05R,1,3,一周,まわり足,直線,本橋 克洋,37.24,5.04,6.32,仲道 大輔,37.53,5.18,6.27,福島 陽子,37.79,5.44,6.37,安藤 裕貴,37.6,5.42,6.36,笠置 博之,37.1,5.21,6.38,中嶋 世奈,38.68,5.6,6.31
202411290706,2024-11-29,07,06R,1,3,一周,まわり足,直線,田中 信一郎,36.26,4.79,6.32,長野 道臣,36.91,5.25,6.35,間庭 菜摘,37.3,5.14,6.29,豊田 泰洋,37.3,5.09,6.23,小林 基樹,37.79,5.28,6.21,山田 竜一,37.36,5.14,6.28
202411290707,2024-11-29,07,07R,1,3,一周,まわり足,直線,山口 剛,36.39,4.93,6.32,渡邊 哲也,37.38,5.45,6.39,末永 祐輝,37.06,5.31,6.15,真子 奈津実,37.48,5.28,6.39,雑賀 勇貴,37.42,5.38,6.25,加藤 翔馬,37.93,5.29,6.22
202411290708,2024-11-29,07,08R,1,3,一周,まわり足,直線,黒崎 竜也,36.62,4.79,6.23,須藤 隆雄,37.96,5.2,6.35,後藤 孝義,37.81,5.29,6.35,桐生 順平,36.73,4.95,6.19,中村 辰也,37.79,5.28,6.29,加木 郁,37.35,5.21,6.28
202411290709,2024-11-29,07,09R,1,3,一周,まわり足,直線,岩永 雅人,36.88,5.1,6.16,酒井 陽祐,37.43,5.09,6.31,本橋 克洋,37.65,5.33,6.18,深水 慎一郎,37.02,5.19,6.24,川上 昇平,37.44,5.36,6.3,芝田 浩治,37.47,5.41,6.14
202411290710,2024-11-29,07,10R,1,3,一周,まわり足,直線,藤田 靖弘,37.72,5.21,6.23,笠置 博之,37.38,5.27,6.37,鈴木 智啓,37.68,5.37,6.22,大場 広孝,36.94,5.06,6.44,渡 修平,37.59,5.4,6.46,江本 真治,37.3,5.14,6.36
202411290711,2024-11-29,07,11R,1,3,一周,まわり足,直線,真子 奈津実,37.28,5.19,6.33,福島 陽子,37.89,5.18,6.45,伊藤 栞,37.54,5.1,6.27,中里 優子,37.54,5.25,6.17,安達 美帆,37.61,5.43,6.33,間庭 菜摘,36.97,5.46,6.09
202411290712,2024-11-29,07,12R,1,3,一周,まわり足,直線,桐生 順平,36.4,4.89,6.26,田中 信一郎,36.38,5.02,6.13,北村 征嗣,36.82,5.13,6.38,山口 剛,36.84,5.39,6.23,岡村 慶太,37.28,5.29,6.38,仲道 大輔,37.84,5.43,6.28
202411290801,2024-11-29,08,01R,1,3,一周,まわり足,直線,山本 隆幸,36.93,5.47,7.07,岡部 大輔,37.87,5.5,7.3,宮脇 遼太,37.6,5.4,7.3,花本 夏樹,38.23,5.63,7.27,澁川 夏,37.57,5.33,7.17,守屋 大地,38.27,5.5,7.3
202411290802,2024-11-29,08,02R,1,3,一周,まわり足,直線,岸本 雄貴,38.33,5.53,7.23,坂口 貴彦,38.3,5.9,7.23,堀本 和也,37.83,5.4,7.17,金子 和之,38.47,5.83,7.23,渡辺 真至,37.87,5.53,7.2,吉田 一心,37.13,5.47,7.3
202411290803,2024-11-29,08,03R,1,3,一周,まわり足,直線,山口 広樹,36.73,5.17,7.2,東本 勝利,37.4,5.57,7.27,浜崎 準也,37.13,5.4,7.23,西川 拓利,37.4,5.43,7.23,白井 友晴,38.0,5.57,7.27,松本 弓雄,38.27,5.53,7.33
202411290804,2024-11-29,08,04R,1,3,一周,まわり足,直線,宮本 裕之,38.1,5.63,7.23,鶴田 勇雄,38.33,5.5,7.37,村岡 賢,38.33,5.8,7.33,佐々木 翔斗,37.93,5.77,7.33,浅見 昌克,37.73,5.67,7.37,鈴木 柊介,38.73,5.77,7.3
202411290805,2024-11-29,08,05R,1,3,一周,まわり足,直線,永田 啓二,37.9,5.5,7.23,田中 宏典,38.4,5.67,7.37,桑島 和宏,38.13,5.63,7.27,古川 健,38.6,5.57,7.4,杉江 浩明,38.5,5.77,7.23,花本 夏樹,39.33,5.7,7.37
202411290806,2024-11-29,08,06R,1,3,一周,まわり足,直線,泉 具巳,,5.73,7.26,杢野 誓良,,5.97,7.32,原 豊土,,5.69,7.28,藤山 翔大,,6.3,7.15,坂口 貴彦,,5.88,7.39,荒木 颯斗,,5.91,7.33
202411290807,2024-11-29,08,07R,1,3,一周,まわり足,直線,鈴木 章司,,6.08,7.12,浜崎 準也,,5.56,7.15,平見 真彦,,5.66,7.26,岸本 雄貴,,6.38,7.35,西川 拓利,,5.5,7.26,澁川 夏,,5.65,7.17
202411290808,2024-11-29,08,08R,1,3,一周,まわり足,直線,増田 進,,5.64,7.25,白井 友晴,,5.57,7.36,竹腰 正樹,,5.43,7.42,豊田 健士郎,,5.47,7.25,村岡 賢,,5.57,7.3,岸蔭 亮,,5.73,7.33
