レースコード,レース日,レース場コード,レース回,状態,1枠_枠番pt,1枠_寄与_枠番pt,1枠_選手pt,1枠_寄与_選手pt,1枠_モーターpt,1枠_寄与_モーターpt,1枠_展示pt,1枠_寄与_展示pt,1枠_気象pt,1枠_寄与_気象pt,1枠_展開優位pt,1枠_寄与_展開優位pt,1枠_強さpt,2枠_枠番pt,2枠_寄与_枠番pt,2枠_選手pt,2枠_寄与_選手pt,2枠_モーターpt,2枠_寄与_モーターpt,2枠_展示pt,2枠_寄与_展示pt,2枠_気象pt,2枠_寄与_気象pt,2枠_展開優位pt,2枠_寄与_展開優位pt,2枠_強さpt,3枠_枠番pt,3枠_寄与_枠番pt,3枠_選手pt,3枠_寄与_選手pt,3枠_モーターpt,3枠_寄与_モーターpt,3枠_展示pt,3枠_寄与_展示pt,3枠_気象pt,3枠_寄与_気象pt,3枠_展開優位pt,3枠_寄与_展開優位pt,3枠_強さpt,4枠_枠番pt,4枠_寄与_枠番pt,4枠_選手pt,4枠_寄与_選手pt,4枠_モーターpt,4枠_寄与_モーターpt,4枠_展示pt,4枠_寄与_展示pt,4枠_気象pt,4枠_寄与_気象pt,4枠_展開優位pt,4枠_寄与_展開優位pt,4枠_強さpt,5枠_枠番pt,5枠_寄与_枠番pt,5枠_選手pt,5枠_寄与_選手pt,5枠_モーターpt,5枠_寄与_モーターpt,5枠_展示pt,5枠_寄与_展示pt,5枠_気象pt,5枠_寄与_気象pt,5枠_展開優位pt,5枠_寄与_展開優位pt,5枠_強さpt,6枠_枠番pt,6枠_寄与_枠番pt,6枠_選手pt,6枠_寄与_選手pt,6枠_モーターpt,6枠_寄与_モーターpt,6枠_展示pt,6枠_寄与_展示pt,6枠_気象pt,6枠_寄与_気象pt,6枠_展開優位pt,6枠_寄与_展開優位pt,6枠_強さpt
202606060101,2026-06-06,01,1R,daily,66.9,23.42,44.56,9.75,40.32,4.44,50.0,10.06,50.0,4.93,50.0,1.06,53.66,48.67,17.03,42.61,9.33,31.39,3.46,50.0,10.06,50.0,4.93,50.0,1.06,45.87,50.83,17.79,48.47,10.61,41.62,4.58,50.0,10.06,50.0,4.93,50.0,1.06,49.03,50.16,17.56,48.47,10.61,50.0,5.51,50.0,10.06,50.0,4.93,50.0,1.06,49.72,46.89,16.41,44.56,9.75,50.0,5.51,50.0,10.06,50.0,4.93,50.0,1.06,47.72,35.67,12.49,44.56,9.75,58.53,6.45,50.0,10.06,50.0,4.93,50.0,1.06,44.73
202606060101,2026-06-06,01,1R,realtime,66.9,23.42,44.56,9.75,40.32,4.44,64.91,13.06,32.8,3.23,49.89,1.06,54.96,48.67,17.03,42.61,9.33,31.39,3.46,22.65,4.56,48.29,4.76,49.89,1.06,40.19,50.83,17.79,48.47,10.61,41.62,4.58,55.52,11.17,43.19,4.25,49.89,1.06,49.47,50.16,17.56,48.47,10.61,50.0,5.51,49.64,9.99,57.96,5.71,49.89,1.06,50.43,46.89,16.41,44.56,9.75,50.0,5.51,58.47,11.76,53.57,5.28,49.89,1.06,49.77,35.67,12.49,44.56,9.75,58.53,6.45,48.72,9.8,64.13,6.32,49.89,1.06,45.87
202606060102,2026-06-06,01,2R,daily,66.9,23.42,36.74,8.04,50.0,5.51,50.0,10.06,50.0,4.93,50.0,1.06,53.01,48.67,17.03,48.47,10.61,69.36,7.64,50.0,10.06,50.0,4.93,50.0,1.06,51.33,50.83,17.79,48.47,10.61,40.38,4.45,50.0,10.06,50.0,4.93,50.0,1.06,48.9,50.16,17.56,44.56,9.75,65.05,7.16,50.0,10.06,50.0,4.93,50.0,1.06,50.52,46.89,16.41,44.56,9.75,53.76,5.92,50.0,10.06,50.0,4.93,50.0,1.06,48.14,35.67,12.49,44.56,9.75,48.52,5.34,50.0,10.06,50.0,4.93,50.0,1.06,43.63
202606060102,2026-06-06,01,2R,realtime,66.9,23.42,36.74,8.04,50.0,5.51,57.41,11.55,35.02,3.45,49.89,1.06,53.02,48.67,17.03,48.47,10.61,69.36,7.64,55.16,11.1,52.13,5.14,49.89,1.06,52.58,50.83,17.79,48.47,10.61,40.38,4.45,50.97,10.25,41.57,4.1,49.89,1.06,48.26,50.16,17.56,44.56,9.75,65.05,7.16,49.7,10.0,58.08,5.72,49.89,1.06,51.26,46.89,16.41,44.56,9.75,53.76,5.92,37.65,7.57,52.64,5.19,49.89,1.06,45.91,35.67,12.49,44.56,9.75,48.52,5.34,49.02,9.86,60.47,5.96,49.89,1.06,44.46
202606060103,2026-06-06,01,3R,daily,66.9,23.42,42.61,9.33,50.0,5.51,50.0,10.06,50.0,4.93,50.0,1.06,54.3,48.67,17.03,42.61,9.33,50.0,5.51,50.0,10.06,50.0,4.93,50.0,1.06,47.91,50.83,17.79,48.47,10.61,50.0,5.51,50.0,10.06,50.0,4.93,50.0,1.06,49.96,50.16,17.56,42.61,9.33,63.57,7.0,50.0,10.06,50.0,4.93,50.0,1.06,49.93,46.89,16.41,54.34,11.89,40.86,4.5,50.0,10.06,50.0,4.93,50.0,1.06,48.85,35.67,12.49,34.78,7.61,50.0,5.51,50.0,10.06,50.0,4.93,50.0,1.06,41.65
202606060103,2026-06-06,01,3R,realtime,66.9,23.42,42.61,9.33,50.0,5.51,71.77,14.44,36.05,3.55,49.89,1.06,57.3,50.83,17.79,42.61,9.33,50.0,5.51,47.14,9.48,35.27,3.48,56.57,1.2,46.78,50.16,17.56,48.47,10.61,50.0,5.51,47.28,9.51,66.35,6.54,47.83,1.02,50.74,48.67,17.03,42.61,9.33,63.57,7.0,36.02,7.25,42.18,4.16,45.28,0.96,45.73,46.89,16.41,54.34,11.89,40.86,4.5,43.41,8.73,54.34,5.35,49.89,1.06,47.95,35.67,12.49,34.78,7.61,50.0,5.51,54.31,10.93,65.75,6.48,49.89,1.06,44.07
202606060104,2026-06-06,01,4R,daily,66.9,23.42,42.61,9.33,50.0,5.51,50.0,10.06,50.0,4.93,50.0,1.06,54.3,48.67,17.03,42.61,9.33,54.52,6.0,50.0,10.06,50.0,4.93,50.0,1.06,48.41,50.83,17.79,52.38,11.47,50.0,5.51,50.0,10.06,50.0,4.93,50.0,1.06,50.81,50.16,17.56,50.43,11.04,50.0,5.51,50.0,10.06,50.0,4.93,50.0,1.06,50.15,46.89,16.41,50.43,11.04,50.0,5.51,50.0,10.06,50.0,4.93,50.0,1.06,49.01,35.67,12.49,40.65,8.9,59.71,6.58,50.0,10.06,50.0,4.93,50.0,1.06,44.01
202606060104,2026-06-06,01,4R,realtime,66.9,23.42,42.61,9.33,50.0,5.51,54.15,10.89,36.36,3.58,49.89,1.06,53.78,48.67,17.03,42.61,9.33,54.52,6.0,41.27,8.3,46.26,4.56,49.89,1.06,46.29,50.83,17.79,52.38,11.47,50.0,5.51,43.64,8.78,31.53,3.11,49.89,1.06,47.71,50.16,17.56,50.43,11.04,50.0,5.51,43.86,8.83,66.18,6.52,49.89,1.06,50.51,46.89,16.41,50.43,11.04,50.0,5.51,59.12,11.89,53.5,5.27,49.89,1.06,51.18,35.67,12.49,40.65,8.9,59.71,6.58,57.87,11.64,66.08,6.51,49.89,1.06,47.17
202606060105,2026-06-06,01,5R,daily,66.9,23.42,48.47,10.61,50.0,5.51,50.0,10.06,50.0,4.93,50.0,1.06,55.58,48.67,17.03,50.43,11.04,50.0,5.51,50.0,10.06,50.0,4.93,50.0,1.06,49.63,50.83,17.79,44.56,9.75,58.53,6.45,50.0,10.06,50.0,4.93,50.0,1.06,50.04,50.16,17.56,50.43,11.04,51.12,5.63,50.0,10.06,50.0,4.93,50.0,1.06,50.27,46.89,16.41,44.56,9.75,58.12,6.4,50.0,10.06,50.0,4.93,50.0,1.06,48.61,35.67,12.49,73.9,16.18,44.68,4.92,50.0,10.06,50.0,4.93,50.0,1.06,49.63
202606060105,2026-06-06,01,5R,realtime,66.9,23.42,48.47,10.61,50.0,5.51,55.86,11.24,36.36,3.58,49.89,1.06,55.41,48.67,17.03,50.43,11.04,50.0,5.51,67.53,13.59,46.26,4.56,49.89,1.06,52.78,50.83,17.79,44.56,9.75,58.53,6.45,42.63,8.58,31.53,3.11,49.89,1.06,46.73,50.16,17.56,50.43,11.04,51.12,5.63,39.97,8.04,66.18,6.52,49.89,1.06,49.85,46.89,16.41,44.56,9.75,58.12,6.4,47.87,9.63,53.5,5.27,49.89,1.06,48.53,35.67,12.49,73.9,16.18,44.68,4.92,46.06,9.27,66.08,6.51,49.89,1.06,50.42
