レースコード,レース日,レース場コード,レース回,状態,1枠_枠番pt,1枠_寄与_枠番pt,1枠_選手pt,1枠_寄与_選手pt,1枠_モーター2連率pt,1枠_寄与_モーター2連率pt,1枠_展示pt,1枠_寄与_展示pt,1枠_気象pt,1枠_寄与_気象pt,1枠_強さpt,2枠_枠番pt,2枠_寄与_枠番pt,2枠_選手pt,2枠_寄与_選手pt,2枠_モーター2連率pt,2枠_寄与_モーター2連率pt,2枠_展示pt,2枠_寄与_展示pt,2枠_気象pt,2枠_寄与_気象pt,2枠_強さpt,3枠_枠番pt,3枠_寄与_枠番pt,3枠_選手pt,3枠_寄与_選手pt,3枠_モーター2連率pt,3枠_寄与_モーター2連率pt,3枠_展示pt,3枠_寄与_展示pt,3枠_気象pt,3枠_寄与_気象pt,3枠_強さpt,4枠_枠番pt,4枠_寄与_枠番pt,4枠_選手pt,4枠_寄与_選手pt,4枠_モーター2連率pt,4枠_寄与_モーター2連率pt,4枠_展示pt,4枠_寄与_展示pt,4枠_気象pt,4枠_寄与_気象pt,4枠_強さpt,5枠_枠番pt,5枠_寄与_枠番pt,5枠_選手pt,5枠_寄与_選手pt,5枠_モーター2連率pt,5枠_寄与_モーター2連率pt,5枠_展示pt,5枠_寄与_展示pt,5枠_気象pt,5枠_寄与_気象pt,5枠_強さpt,6枠_枠番pt,6枠_寄与_枠番pt,6枠_選手pt,6枠_寄与_選手pt,6枠_モーター2連率pt,6枠_寄与_モーター2連率pt,6枠_展示pt,6枠_寄与_展示pt,6枠_気象pt,6枠_寄与_気象pt,6枠_強さpt
202606190201,2026-06-19,02,1R,daily,67.28,20.56,37.41,11.25,52.94,5.18,50.0,10.09,50.0,4.7,51.78,53.19,16.26,42.38,12.75,48.45,4.74,50.0,10.09,50.0,4.7,48.53,50.23,15.35,29.97,9.01,50.03,4.89,50.0,10.09,50.0,4.7,44.05,49.6,15.16,44.86,13.49,63.38,6.2,50.0,10.09,50.0,4.7,49.64,44.89,13.72,44.86,13.49,46.73,4.57,50.0,10.09,50.0,4.7,46.57,33.82,10.34,37.41,11.25,54.39,5.32,50.0,10.09,50.0,4.7,41.7
202606190201,2026-06-19,02,1R,realtime,67.28,20.56,37.41,11.25,52.94,5.18,59.94,12.1,54.56,5.13,54.22,53.19,16.26,42.38,12.75,48.45,4.74,52.44,10.59,24.5,2.3,46.63,50.23,15.35,29.97,9.01,50.03,4.89,46.62,9.41,44.06,4.14,42.81,49.6,15.16,44.86,13.49,63.38,6.2,60.67,12.25,69.68,6.55,53.64,44.89,13.72,44.86,13.49,46.73,4.57,43.19,8.72,53.5,5.03,45.52,33.82,10.34,37.41,11.25,54.39,5.32,37.15,7.5,53.54,5.03,39.44
202606190202,2026-06-19,02,2R,daily,67.28,20.56,34.93,10.51,52.41,5.12,50.0,10.09,50.0,4.7,50.99,53.19,16.26,47.34,14.24,50.96,4.98,50.0,10.09,50.0,4.7,50.27,50.23,15.35,52.3,15.73,50.03,4.89,50.0,10.09,50.0,4.7,50.77,49.6,15.16,32.45,9.76,57.17,5.59,50.0,10.09,50.0,4.7,45.3,44.89,13.72,42.38,12.75,55.06,5.38,50.0,10.09,50.0,4.7,46.64,33.82,10.34,49.82,14.98,57.96,5.67,50.0,10.09,50.0,4.7,45.78
202606190203,2026-06-19,02,3R,daily,67.28,20.56,37.41,11.25,54.79,5.36,50.0,10.09,50.0,4.7,51.96,53.19,16.26,42.38,12.75,46.6,4.56,50.0,10.09,50.0,4.7,48.35,50.23,15.35,52.3,15.73,46.6,4.56,50.0,10.09,50.0,4.7,50.43,49.6,15.16,37.41,11.25,56.38,5.51,50.0,10.09,50.0,4.7,46.71,44.89,13.72,42.38,12.75,57.7,5.64,50.0,10.09,50.0,4.7,46.9,33.82,10.34,62.23,18.72,52.81,5.16,50.0,10.09,50.0,4.7,49.01
202606190204,2026-06-19,02,4R,daily,67.28,20.56,39.89,12.0,46.2,4.52,50.0,10.09,50.0,4.7,51.87,53.19,16.26,47.34,14.24,57.57,5.63,50.0,10.09,50.0,4.7,50.91,50.23,15.35,37.41,11.25,50.69,4.96,50.0,10.09,50.0,4.7,46.35,49.6,15.16,47.34,14.24,57.96,5.67,50.0,10.09,50.0,4.7,49.86,44.89,13.72,42.38,12.75,57.17,5.59,50.0,10.09,50.0,4.7,46.85,33.82,10.34,44.86,13.49,48.05,4.7,50.0,10.09,50.0,4.7,43.32
202606190205,2026-06-19,02,5R,daily,67.28,20.56,54.79,16.48,57.57,5.63,50.0,10.09,50.0,4.7,57.46,53.19,16.26,29.97,9.01,50.03,4.89,50.0,10.09,50.0,4.7,44.95,50.23,15.35,49.82,14.98,59.81,5.85,50.0,10.09,50.0,4.7,50.98,49.6,15.16,54.79,16.48,54.39,5.32,50.0,10.09,50.0,4.7,51.75,44.89,13.72,44.86,13.49,62.85,6.14,50.0,10.09,50.0,4.7,48.15,33.82,10.34,39.89,12.0,53.07,5.19,50.0,10.09,50.0,4.7,42.32
202606190206,2026-06-19,02,6R,daily,67.28,20.56,49.82,14.98,48.32,4.72,50.0,10.09,50.0,4.7,55.06,53.19,16.26,52.3,15.73,57.04,5.58,50.0,10.09,50.0,4.7,52.35,50.23,15.35,32.45,9.76,57.17,5.59,50.0,10.09,50.0,4.7,45.49,49.6,15.16,47.34,14.24,47.26,4.62,50.0,10.09,50.0,4.7,48.81,44.89,13.72,52.3,15.73,51.62,5.05,50.0,10.09,50.0,4.7,49.29,33.82,10.34,67.2,20.21,62.72,6.13,50.0,10.09,50.0,4.7,51.47
202606190207,2026-06-19,02,7R,daily,67.28,20.56,59.75,17.97,49.77,4.87,50.0,10.09,50.0,4.7,58.19,53.19,16.26,44.86,13.49,48.18,4.71,50.0,10.09,50.0,4.7,49.25,50.23,15.35,37.41,11.25,52.94,5.18,50.0,10.09,50.0,4.7,46.57,49.6,15.16,47.34,14.24,50.96,4.98,50.0,10.09,50.0,4.7,49.17,44.89,13.72,42.38,12.75,46.6,4.56,50.0,10.09,50.0,4.7,45.81,33.82,10.34,44.86,13.49,57.3,5.6,50.0,10.09,50.0,4.7,44.22
202606190208,2026-06-19,02,8R,daily,67.28,20.56,47.34,14.24,57.96,5.67,50.0,10.09,50.0,4.7,55.26,53.19,16.26,37.41,11.25,54.79,5.36,50.0,10.09,50.0,4.7,47.66,50.23,15.35,49.82,14.98,46.07,4.5,50.0,10.09,50.0,4.7,49.63,49.6,15.16,37.41,11.25,54.39,5.32,50.0,10.09,50.0,4.7,46.52,44.89,13.72,44.86,13.49,47.66,4.66,50.0,10.09,50.0,4.7,46.66,33.82,10.34,69.68,20.96,47.52,4.65,50.0,10.09,50.0,4.7,50.73
202606190209,2026-06-19,02,9R,daily,67.28,20.56,44.86,13.49,46.73,4.57,50.0,10.09,50.0,4.7,53.42,53.19,16.26,52.3,15.73,49.77,4.87,50.0,10.09,50.0,4.7,51.64,50.23,15.35,62.23,18.72,52.81,5.16,50.0,10.09,50.0,4.7,54.02,49.6,15.16,37.41,11.25,50.69,4.96,50.0,10.09,50.0,4.7,46.16,44.89,13.72,52.3,15.73,50.03,4.89,50.0,10.09,50.0,4.7,49.13,33.82,10.34,49.82,14.98,59.81,5.85,50.0,10.09,50.0,4.7,45.96
