レースコード,レース日,レース場,レース回,締切時刻,取得日時,艇1_コース,艇1_スタート展示,艇2_コース,艇2_スタート展示,艇3_コース,艇3_スタート展示,艇4_コース,艇4_スタート展示,艇5_コース,艇5_スタート展示,艇6_コース,艇6_スタート展示
202605281801,2026-05-28,18,01R,08:32,2026-05-28T08:22:21.937720+09:00,1,0.05,2,0.02,3,0.21,4,0.03,5,0.02,6,0.11
202605281001,2026-05-28,10,01R,08:39,2026-05-28T08:30:37.268940+09:00,1,0.03,2,0.06,3,0.12,4,-0.01,5,0.02,6,0.15
202605282101,2026-05-28,21,01R,08:46,2026-05-28T08:36:29.986158+09:00,1,0.22,2,0.1,3,0.15,4,0.07,5,0.18,6,0.07
202605281802,2026-05-28,18,02R,08:58,2026-05-28T08:48:23.065225+09:00,1,0.08,2,0.09,3,0.29,4,0.22,5,0.17,6,0.19
202605281002,2026-05-28,10,02R,09:05,2026-05-28T08:56:32.593659+09:00,1,0.04,2,-0.02,3,-0.14,4,-0.03,5,-0.1,6,-0.01
202605282102,2026-05-28,21,02R,09:12,2026-05-28T09:02:34.142662+09:00,1,0.04,2,0.01,3,-0.09,4,0.08,5,0.09,6,-0.06
202605281803,2026-05-28,18,03R,09:24,2026-05-28T09:14:49.701173+09:00,1,0.14,2,0.11,3,0.09,4,0.02,5,0.05,6,0.13
202605281003,2026-05-28,10,03R,09:31,2026-05-28T09:22:27.421280+09:00,1,-0.09,2,-0.07,3,0.07,4,-0.01,5,-0.02,6,0.02
202605282103,2026-05-28,21,03R,09:38,2026-05-28T09:28:22.065941+09:00,1,0.18,2,0.23,3,0.19,4,0.12,5,0.09,6,0.1
202605281804,2026-05-28,18,04R,09:50,2026-05-28T09:40:40.482037+09:00,1,0.06,2,0.15,3,0.19,4,0.04,5,0.14,6,0.07
202605281004,2026-05-28,10,04R,09:57,2026-05-28T09:48:22.787361+09:00,1,0.08,2,0.14,3,0.11,4,0.09,5,0.09,6,0.08
202605282104,2026-05-28,21,04R,10:04,2026-05-28T09:54:23.718836+09:00,1,-0.02,2,-0.02,3,0.06,4,0.05,5,0.1,6,0.2
202605281805,2026-05-28,18,05R,10:16,2026-05-28T10:06:29.056734+09:00,1,0.02,2,-0.07,3,0.16,4,0.27,5,0.12,6,0.41
202605281005,2026-05-28,10,05R,10:23,2026-05-28T10:14:38.797394+09:00,1,0.17,3,0.11,2,0.18,4,0.16,5,0.26,6,0.25
202605280801,2026-05-28,08,01R,10:31,2026-05-28T10:21:39.472405+09:00,1,0.14,2,0.04,5,0.32,3,-0.01,6,-0.08,4,0.23
202605282105,2026-05-28,21,05R,10:30,2026-05-28T10:21:39.472405+09:00,1,0.02,2,0.07,3,0.12,4,0.1,5,0.24,6,0.07
202605280601,2026-05-28,06,01R,10:44,2026-05-28T10:34:26.648910+09:00,1,-0.04,2,-0.01,3,0.1,4,0.21,5,0.05,6,0.14
202605281806,2026-05-28,18,06R,10:46,2026-05-28T10:36:22.601228+09:00,1,0.18,2,0.09,3,0.03,4,0.05,5,0.1,6,-0.04
202605280201,2026-05-28,02,01R,10:47,2026-05-28T10:38:21.564029+09:00,1,0.22,2,0.17,3,0.18,4,0.12,5,0.39,6,0.04
202605281006,2026-05-28,10,06R,10:51,2026-05-28T10:42:26.728968+09:00,1,0.15,2,0.12,3,0.17,4,0.17,5,0.07,6,0.09
202605281701,2026-05-28,17,01R,10:56,2026-05-28T10:46:23.525888+09:00,1,0.07,2,0.04,3,-0.06,4,0.15,5,0.12,6,-0.06
202605280802,2026-05-28,08,02R,10:59,2026-05-28T10:50:28.800385+09:00,1,0.27,2,0.29,3,0.23,4,0.26,5,0.14,6,0.26
202605282106,2026-05-28,21,06R,11:00,2026-05-28T10:50:28.800385+09:00,1,-0.02,2,0.0,3,0.0,4,0.11,6,-0.1,5,-0.01
