レースコード,レース日,レース場,レース回,締切時刻,取得日時,状態,艇1_体重(kg),艇1_体重調整(kg),艇1_展示タイム,艇1_チルト,艇2_体重(kg),艇2_体重調整(kg),艇2_展示タイム,艇2_チルト,艇3_体重(kg),艇3_体重調整(kg),艇3_展示タイム,艇3_チルト,艇4_体重(kg),艇4_体重調整(kg),艇4_展示タイム,艇4_チルト,艇5_体重(kg),艇5_体重調整(kg),艇5_展示タイム,艇5_チルト,艇6_体重(kg),艇6_体重調整(kg),艇6_展示タイム,艇6_チルト
202512110301,2025-12-11,03,01R,,backfill-from-daily,,52.0,0.0,6.93,0.5,52.0,0.0,6.92,-0.5,54.5,0.0,7.08,0.0,52.0,0.0,6.86,0.5,54.3,0.0,7.07,0.0,57.8,0.0,7.04,0.5
202512110302,2025-12-11,03,02R,,backfill-from-daily,,52.0,0.0,6.87,0.5,53.4,0.0,6.93,0.5,52.0,0.0,7.01,1.0,52.9,0.0,7.1,0.5,52.3,0.0,6.92,0.5,49.0,3.0,7.04,0.5
202512110303,2025-12-11,03,03R,,backfill-from-daily,,53.8,0.0,6.81,0.5,52.4,0.0,7.06,0.5,52.1,0.0,6.82,0.0,52.1,0.0,7.0,0.5,51.0,1.0,7.04,0.5,52.0,0.0,6.81,0.0
202512110304,2025-12-11,03,04R,,backfill-from-daily,,52.0,0.0,6.96,0.0,53.4,0.0,6.82,0.0,53.8,0.0,6.88,0.5,52.3,0.0,6.92,0.5,52.7,0.0,7.12,0.0,51.0,1.0,7.01,0.0
202512110305,2025-12-11,03,05R,,backfill-from-daily,,52.2,0.0,6.91,0.0,52.0,0.0,6.9,0.0,54.0,0.0,7.06,0.0,52.2,0.0,6.9,0.0,51.5,0.5,7.08,0.5,57.8,0.0,6.91,0.5
202512110306,2025-12-11,03,06R,,backfill-from-daily,,54.3,0.0,7.02,0.5,52.4,0.0,6.99,0.0,52.0,0.0,6.91,0.5,52.0,0.0,6.98,0.5,49.0,3.0,7.04,0.5,52.7,0.0,6.95,0.0
202512110307,2025-12-11,03,07R,,backfill-from-daily,,54.5,0.0,6.95,0.5,53.1,0.0,7.07,0.5,52.4,0.0,7.07,0.5,52.0,0.0,7.08,0.5,52.9,0.0,7.05,1.0,52.0,0.0,6.89,1.0
202512110308,2025-12-11,03,08R,,backfill-from-daily,,51.0,1.0,7.01,0.5,52.4,0.0,6.97,0.5,50.5,1.5,7.01,1.0,52.0,0.0,6.94,0.5,52.0,0.0,6.88,1.5,50.5,1.5,6.98,0.0
202512110309,2025-12-11,03,09R,,backfill-from-daily,,52.3,0.0,7.85,1.0,52.3,0.0,7.49,0.5,54.5,0.0,7.73,0.5,52.2,0.0,7.65,0.5,52.0,0.0,7.55,0.0,52.0,0.0,7.34,0.0
202512110310,2025-12-11,03,10R,,backfill-from-daily,,54.1,0.0,7.17,0.5,52.0,0.0,7.5,1.0,53.4,0.0,7.5,0.5,52.0,0.0,7.73,0.5,52.0,0.0,8.67,1.0,54.0,0.0,7.45,0.5
202512110311,2025-12-11,03,11R,,backfill-from-daily,,51.5,0.5,,,53.8,0.0,7.51,0.5,52.0,0.0,8.65,0.5,53.8,0.0,7.3,0.5,53.4,0.0,7.4,0.5,52.0,0.0,7.82,0.5
202512110312,2025-12-11,03,12R,,backfill-from-daily,,52.4,0.0,7.77,0.0,52.1,0.0,7.48,0.0,52.9,0.0,7.35,0.5,52.0,0.0,7.22,0.5,52.1,0.0,7.53,0.5,53.1,0.0,7.8,0.5
202512110501,2025-12-11,05,01R,,backfill-from-daily,,56.0,0.0,6.71,-0.5,53.0,0.0,6.72,0.0,53.8,0.0,6.75,-0.5,60.2,0.0,6.84,-0.5,52.2,0.0,6.72,-0.5,52.1,0.0,6.71,-0.5
202512110502,2025-12-11,05,02R,,backfill-from-daily,,52.0,0.0,6.77,-0.5,54.7,0.0,6.8,-0.5,52.1,0.0,6.69,-0.5,55.0,0.0,6.67,-0.5,56.2,0.0,6.83,-0.5,52.1,0.0,6.68,-0.5
202512110503,2025-12-11,05,03R,,backfill-from-daily,,53.6,0.0,6.72,-0.5,53.9,0.0,6.72,-0.5,55.0,0.0,6.76,-0.5,54.6,0.0,6.74,-0.5,53.1,0.0,6.76,-0.5,53.8,0.0,6.76,0.0
202512110504,2025-12-11,05,04R,,backfill-from-daily,,52.6,0.0,6.61,-0.5,52.0,0.0,6.76,-0.5,50.5,1.5,6.72,-0.5,52.0,0.0,6.75,-0.5,53.0,0.0,6.74,-0.5,52.0,0.0,6.73,-0.5
202512110505,2025-12-11,05,05R,,backfill-from-daily,,52.5,0.0,6.68,-0.5,53.2,0.0,6.75,0.0,52.3,0.0,6.74,-0.5,54.6,0.0,6.68,-0.5,60.2,0.0,6.78,-0.5,53.6,0.0,6.74,-0.5
202512110506,2025-12-11,05,06R,,backfill-from-daily,,52.0,0.0,6.76,-0.5,53.8,0.0,6.73,-0.5,52.0,0.0,6.77,-0.5,52.5,0.0,6.74,-0.5,55.0,0.0,6.72,-0.5,52.0,0.0,6.72,-0.5
