レースコード,レース日,レース場,レース回,締切時刻,取得日時,艇1_コース,艇1_スタート展示,艇2_コース,艇2_スタート展示,艇3_コース,艇3_スタート展示,艇4_コース,艇4_スタート展示,艇5_コース,艇5_スタート展示,艇6_コース,艇6_スタート展示
202602030301,2026-02-03,03,01R,,backfill-from-daily,1,0.21,2,0.06,3,-0.01,4,0.15,5,0.29,6,0.33
202602030302,2026-02-03,03,02R,,backfill-from-daily,1,0.19,2,0.51,3,0.22,4,0.13,5,0.16,6,0.03
202602030303,2026-02-03,03,03R,,backfill-from-daily,1,0.22,2,-0.05,3,-0.07,4,0.06,5,-0.11,6,0.01
202602030304,2026-02-03,03,04R,,backfill-from-daily,1,0.09,2,0.21,3,0.19,4,0.11,5,0.11,6,0.13
202602030305,2026-02-03,03,05R,,backfill-from-daily,,,1,-0.07,2,0.01,3,0.34,4,-0.06,5,-0.1
202602030306,2026-02-03,03,06R,,backfill-from-daily,1,0.15,2,0.08,3,0.11,4,0.11,5,0.12,,
202602030307,2026-02-03,03,07R,,backfill-from-daily,1,0.03,2,0.14,3,0.25,4,0.19,5,0.07,6,0.2
202602030308,2026-02-03,03,08R,,backfill-from-daily,1,0.11,2,0.17,3,0.18,4,0.08,5,0.22,6,0.28
202602030309,2026-02-03,03,09R,,backfill-from-daily,1,0.42,2,0.28,3,0.21,4,0.28,5,0.23,6,0.21
202602030310,2026-02-03,03,10R,,backfill-from-daily,1,0.24,2,0.47,3,0.38,4,0.3,5,0.26,6,0.36
202602030311,2026-02-03,03,11R,,backfill-from-daily,1,0.3,2,0.29,3,0.19,4,0.02,5,0.38,6,0.08
202602030312,2026-02-03,03,12R,,backfill-from-daily,1,0.19,2,-0.01,3,0.31,,,4,-0.02,5,0.03
202602030601,2026-02-03,06,01R,,backfill-from-daily,1,0.11,2,0.06,3,0.07,4,0.11,5,0.24,6,0.14
202602030602,2026-02-03,06,02R,,backfill-from-daily,1,0.01,2,0.07,3,0.04,4,0.17,5,0.07,6,-0.01
202602030603,2026-02-03,06,03R,,backfill-from-daily,1,0.05,2,0.05,3,0.14,4,-0.03,5,-0.07,6,-0.03
