レースコード,予想1着,予想2着,予想3着,実際1着,実際2着,実際3着,1着的中,2着的中,3着的中,全的中,予想決まり手,決まり手,決まり手的中,艇1_予想コース,艇1_実際コース,艇2_予想コース,艇2_実際コース,艇3_予想コース,艇3_実際コース,艇4_予想コース,艇4_実際コース,艇5_予想コース,艇5_実際コース,艇6_予想コース,艇6_実際コース,コース一致数,進入完全一致,艇1_予想ST,艇1_実際ST,艇2_予想ST,艇2_実際ST,艇3_予想ST,艇3_実際ST,艇4_予想ST,艇4_実際ST,艇5_予想ST,艇5_実際ST,艇6_予想ST,艇6_実際ST,ST_MAE
202602102301,1,2,3,1,3,2,○,×,×,×,逃げ,逃げ,○,1.0,1.0,2.0,2.0,3.0,3.0,4.0,4.0,5.0,5.0,6.0,6.0,6,○,0.18,0.12,0.09,0.15,0.09,0.15,0.07,0.18,0.21,0.21,0.09,0.21,0.06833333333333333
202602102302,1,3,2,1,3,4,○,○,×,×,逃げ,逃げ,○,1.0,1.0,2.0,2.0,3.0,3.0,4.0,4.0,5.0,5.0,6.0,6.0,6,○,0.21,0.05,0.09,0.24,0.29,0.12,0.15,0.09,0.28,0.04,0.12,0.04,0.1433333333333333
202602102304,1,2,5,4,6,2,×,×,×,×,逃げ,まくり,×,1.0,1.0,2.0,2.0,3.0,3.0,4.0,4.0,5.0,5.0,6.0,6.0,6,○,-0.17,0.15,0.07,0.21,0.06,0.11,-0.01,0.03,0.17,0.05,0.09,0.05,0.11833333333333335
202602102305,1,2,3,1,2,5,○,○,×,×,逃げ,逃げ,○,1.0,1.0,2.0,2.0,3.0,3.0,4.0,4.0,5.0,5.0,6.0,6.0,6,○,0.06,0.17,0.11,0.12,0.15,0.12,0.15,0.11,0.19,0.09,0.24,0.08,0.075
202602102306,1,3,4,1,2,4,○,×,○,×,逃げ,逃げ,○,1.0,1.0,2.0,2.0,3.0,3.0,4.0,4.0,5.0,6.0,6.0,5.0,4,×,0.07,0.17,0.03,0.21,0.11,0.21,0.14,0.22,0.27,0.24,0.19,0.26,0.09333333333333334
202602102307,2,1,4,4,1,6,×,○,×,×,差し,逃げ,×,1.0,1.0,2.0,2.0,3.0,3.0,4.0,4.0,5.0,5.0,6.0,6.0,6,○,-0.04,0.26,0.19,0.24,0.13,0.26,0.12,0.16,0.21,0.28,0.08,0.16,0.11166666666666668
202602102309,1,2,4,6,3,2,×,×,×,×,逃げ,まくり,×,1.0,1.0,2.0,2.0,3.0,3.0,4.0,4.0,5.0,5.0,6.0,6.0,6,○,0.09,0.26,0.07,0.16,0.08,0.25,0.16,0.16,-0.05,0.15,0.04,0.08,0.11166666666666668
202602102310,1,2,6,1,6,2,○,×,×,×,逃げ,逃げ,○,1.0,1.0,2.0,2.0,3.0,3.0,4.0,4.0,5.0,5.0,6.0,6.0,6,○,0.02,0.11,0.18,0.11,0.08,0.23,0.16,0.32,0.05,0.26,0.17,0.21,0.12
202602102311,1,3,2,1,3,2,○,○,○,○,逃げ,逃げ,○,1.0,1.0,2.0,2.0,3.0,3.0,4.0,4.0,5.0,5.0,6.0,6.0,6,○,0.03,0.19,0.07,0.19,0.15,0.22,-0.02,0.17,-0.06,0.21,0.01,0.21,0.16833333333333333
202602102312,1,3,5,1,3,2,○,○,×,×,逃げ,逃げ,○,1.0,1.0,2.0,2.0,3.0,3.0,4.0,4.0,5.0,5.0,6.0,6.0,6,○,-0.03,0.11,0.08,0.14,0.18,0.18,0.17,0.24,0.22,0.29,0.17,0.34,0.085
