レースコード,予想1着,予想2着,予想3着,実際1着,実際2着,実際3着,1着的中,2着的中,3着的中,全的中,予想決まり手,決まり手,決まり手的中,艇1_予想コース,艇1_実際コース,艇2_予想コース,艇2_実際コース,艇3_予想コース,艇3_実際コース,艇4_予想コース,艇4_実際コース,艇5_予想コース,艇5_実際コース,艇6_予想コース,艇6_実際コース,コース一致数,進入完全一致,艇1_予想ST,艇1_実際ST,艇2_予想ST,艇2_実際ST,艇3_予想ST,艇3_実際ST,艇4_予想ST,艇4_実際ST,艇5_予想ST,艇5_実際ST,艇6_予想ST,艇6_実際ST,ST_MAE
202602081801,1,2,4,1,2,4,○,○,○,○,逃げ,逃げ,○,1.0,1.0,2.0,2.0,3.0,3.0,4.0,4.0,5.0,5.0,6.0,6.0,6,○,-0.03,0.13,0.04,0.18,0.14,0.2,0.09,0.22,-0.02,0.19,0.26,0.19,0.12833333333333333
202602081802,1,2,4,4,5,1,×,×,×,×,逃げ,まくり,×,1.0,1.0,2.0,2.0,3.0,3.0,4.0,4.0,5.0,5.0,6.0,6.0,6,○,-0.1,0.35,-0.09,0.34,0.12,0.29,0.02,0.2,-0.07,0.29,-0.04,0.27,0.31666666666666665
202602081803,1,3,2,1,4,2,○,×,○,×,逃げ,逃げ,○,1.0,1.0,2.0,2.0,4.0,3.0,6.0,4.0,3.0,6.0,5.0,5.0,3,×,-0.06,0.09,-0.1,0.08,0.14,0.08,-0.06,0.08,-0.11,0.13,-0.01,0.12,0.15
202602081804,1,3,4,1,2,5,○,×,×,×,逃げ,逃げ,○,1.0,1.0,2.0,2.0,3.0,3.0,4.0,4.0,5.0,5.0,6.0,6.0,6,○,0.01,0.21,0.14,0.35,0.15,0.39,-0.08,0.51,-0.11,0.35,-0.11,0.35,0.35999999999999993
202602081805,1,2,3,1,3,4,○,×,×,×,逃げ,逃げ,○,1.0,1.0,2.0,2.0,3.0,3.0,4.0,4.0,5.0,6.0,6.0,5.0,4,×,0.03,0.15,0.02,0.16,0.08,0.17,0.09,0.15,0.16,0.26,0.05,0.17,0.105
202602081806,1,2,4,1,6,3,○,×,×,×,逃げ,逃げ,○,1.0,1.0,2.0,2.0,3.0,3.0,4.0,4.0,5.0,5.0,6.0,6.0,6,○,-0.1,0.19,-0.04,0.21,-0.21,0.19,-0.02,0.22,0.04,0.29,-0.07,0.21,0.28500000000000003
202602081807,1,4,2,1,4,5,○,○,×,×,逃げ,,-,1.0,1.0,2.0,2.0,3.0,3.0,4.0,4.0,5.0,5.0,6.0,6.0,6,○,-0.09,0.13,0.13,0.13,-0.13,0.12,-0.19,0.14,-0.12,0.09,-0.05,0.13,0.19833333333333333
202602081808,1,2,3,1,3,4,○,×,×,×,逃げ,逃げ,○,1.0,1.0,2.0,2.0,3.0,3.0,4.0,4.0,5.0,5.0,6.0,6.0,6,○,0.05,0.18,-0.05,0.21,-0.08,0.16,0.01,0.21,-0.06,0.21,0.01,0.23,0.22
202602081809,1,2,3,1,4,2,○,×,×,×,逃げ,逃げ,○,1.0,1.0,2.0,2.0,3.0,3.0,4.0,4.0,5.0,5.0,6.0,6.0,6,○,0.17,0.14,-0.03,0.14,0.13,0.14,0.06,0.16,0.01,0.14,0.23,0.21,0.07666666666666667
202602081810,1,2,3,6,1,3,×,×,○,×,逃げ,まくり,×,1.0,1.0,2.0,4.0,3.0,2.0,5.0,5.0,6.0,6.0,4.0,3.0,3,×,0.07,0.06,-0.04,0.16,0.04,0.12,0.07,0.18,0.07,0.14,0.07,0.13,0.08833333333333333
202602081811,1,2,3,4,6,2,×,×,×,×,逃げ,まくり,×,1.0,1.0,2.0,2.0,3.0,3.0,4.0,4.0,5.0,5.0,6.0,6.0,6,○,0.06,0.2,0.06,0.17,0.11,0.19,0.02,0.06,-0.05,0.19,-0.06,0.2,0.145
202602081812,1,2,3,1,3,2,○,×,×,×,逃げ,逃げ,○,1.0,1.0,2.0,2.0,3.0,3.0,4.0,4.0,5.0,5.0,6.0,6.0,6,○,0.08,0.14,0.01,0.09,0.02,0.08,0.14,0.14,0.0,0.19,-0.03,0.22,0.10666666666666667
202602081701,1,2,3,1,6,5,○,×,×,×,逃げ,逃げ,○,,1.0,,2.0,,3.0,,4.0,,5.0,,6.0,0,×,,0.09,,0.26,,0.29,,0.19,,0.12,,0.11,
202602081702,1,4,3,3,2,6,×,×,×,×,逃げ,差し,×,,1.0,,2.0,,3.0,,6.0,,4.0,,5.0,0,×,,0.18,,0.07,,0.12,,0.17,,0.19,,0.16,
202602081703,1,2,4,3,1,4,×,×,○,×,逃げ,差し,×,,1.0,,2.0,,3.0,,4.0,,5.0,,6.0,0,×,,0.24,,0.35,,0.24,,0.26,,0.25,,0.25,
202602081704,1,2,3,2,3,4,×,×,×,×,逃げ,まくり,×,,1.0,,2.0,,3.0,,5.0,,4.0,,6.0,0,×,,0.26,,0.17,,0.21,,0.25,,0.22,,0.21,
202602081705,1,3,4,1,2,3,○,×,×,×,逃げ,逃げ,○,,1.0,,2.0,,3.0,,4.0,,5.0,,6.0,0,×,,0.08,,0.07,,0.08,,0.05,,0.06,,0.01,
202602081706,1,5,3,1,2,6,○,×,×,×,逃げ,逃げ,○,,1.0,,2.0,,3.0,,4.0,,5.0,,6.0,0,×,,0.22,,0.25,,0.35,,0.42,,0.45,,0.4,
202602081707,1,3,2,1,3,2,○,○,○,○,逃げ,逃げ,○,,1.0,,2.0,,3.0,,4.0,,5.0,,6.0,0,×,,0.21,,0.26,,0.22,,0.29,,0.29,,0.44,
202602081708,1,4,3,5,6,3,×,×,○,×,逃げ,差し,×,,1.0,,2.0,,3.0,,4.0,,5.0,,6.0,0,×,,0.28,,0.33,,0.32,,0.22,,0.26,,0.41,
202602081709,1,2,5,1,3,4,○,×,×,×,逃げ,逃げ,○,,1.0,,2.0,,3.0,,4.0,,5.0,,6.0,0,×,,0.12,,0.23,,0.08,,0.16,,0.15,,0.15,
