レースコード,レース日,レース場,レース回,ステータス,計測数,計測項目1,計測項目2,計測項目3,艇1_選手名,艇1_値1,艇1_値2,艇1_値3,艇2_選手名,艇2_値1,艇2_値2,艇2_値3,艇3_選手名,艇3_値1,艇3_値2,艇3_値3,艇4_選手名,艇4_値1,艇4_値2,艇4_値3,艇5_選手名,艇5_値1,艇5_値2,艇5_値3,艇6_選手名,艇6_値1,艇6_値2,艇6_値3
202503180401,2025-03-18,4,01R,1,3,一周,まわり足,直線,萩原 秀人,35.68,4.96,7.47,齊藤 仁,36.4,4.97,7.57,尾上 雅也,36.97,5.12,7.6,山本 寛久,36.83,5.23,7.67,吉川 貴仁,37.37,5.92,7.54,今泉 友吾,36.53,5.07,7.54
202503180402,2025-03-18,4,02R,1,3,一周,まわり足,直線,大池 佑来,37.18,5.15,7.48,山田 祐也,38.51,5.47,7.43,遠藤 エミ,37.41,5.9,7.31,佐々木 康幸,37.45,5.57,7.57,山田 哲也,37.53,5.23,7.54,湯川 浩司,37.24,5.27,7.63
202503180403,2025-03-18,4,03R,1,3,一周,まわり足,直線,藤原 菜希,36.8,5.13,7.57,木下 翔太,37.5,5.13,7.63,野中 一平,37.3,5.33,7.67,篠崎 元志,36.97,5.2,7.61,重野 哲之,37.87,5.2,7.6,上田 龍星,36.54,5.2,7.6
202503180404,2025-03-18,4,04R,1,3,一周,まわり足,直線,渡邉 和将,36.63,5.2,7.6,中村 晃朋,37.09,5.31,7.54,藤田 俊祐,37.35,5.26,7.55,島村 隆幸,37.17,5.17,7.65,河合 佑樹,37.38,5.3,7.49,渡邉 雄朗,38.47,5.67,7.7
202503180405,2025-03-18,4,05R,1,3,一周,まわり足,直線,浜田 亜理沙,37.01,5.21,7.63,毒島 誠,37.14,4.92,7.53,東本 勝利,37.17,5.2,7.57,重成 一人,37.44,5.76,7.47,藤岡 俊介,37.29,5.35,7.62,佐藤 隆太郎,36.83,5.6,7.53
202503180406,2025-03-18,4,06R,1,3,一周,まわり足,直線,有賀 達也,36.97,5.17,7.66,深谷 知博,37.18,5.1,7.63,山本 寛久,37.17,5.46,7.67,河村 了,37.4,5.37,7.53,中野 次郎,37.52,5.51,7.67,稲田 浩二,37.33,5.43,7.64
202503180407,2025-03-18,4,07R,1,3,一周,まわり足,直線,和田 兼輔,37.07,5.13,7.6,佐々木 康幸,37.27,5.17,7.7,下出 卓矢,38.0,5.27,7.73,藤原 菜希,37.7,5.17,7.57,松田 大志郎,37.44,5.2,7.6,齊藤 仁,37.47,5.17,7.6
202503180408,2025-03-18,4,08R,1,3,一周,まわり足,直線,篠崎 仁志,36.63,5.07,7.67,石渡 鉄兵,36.87,4.97,7.65,島村 隆幸,37.53,5.07,7.7,萩原 秀人,37.16,4.93,7.6,遠藤 エミ,37.03,5.5,7.6,松田 祐季,37.2,5.16,7.6
202503180409,2025-03-18,4,09R,1,3,一周,まわり足,直線,今垣 光太郎,37.25,5.4,7.7,桐生 順平,36.7,5.0,7.57,今泉 友吾,37.07,5.33,7.7,丸野 一樹,38.03,5.2,7.67,野中 一平,37.83,5.43,7.63,河合 佑樹,37.93,5.37,7.73
202503180410,2025-03-18,4,10R,1,3,一周,まわり足,直線,吉川 元浩,36.77,5.33,7.53,湯川 浩司,37.2,5.2,7.67,渡邉 雄朗,38.37,5.43,7.87,重野 哲之,38.03,5.27,7.73,吉田 俊彦,37.63,5.37,7.69,毒島 誠,37.23,5.13,7.64
202503180411,2025-03-18,4,11R,1,3,一周,まわり足,直線,篠崎 元志,36.73,5.4,7.67,佐藤 隆太郎,37.07,5.3,7.8,椎名 豊,37.47,5.43,7.87,渡邉 和将,37.47,5.33,7.7,山田 祐也,37.57,5.63,7.67,近江 翔吾,36.9,5.9,7.6
202503180412,2025-03-18,4,12R,1,3,一周,まわり足,直線,茅原 悠紀,36.77,5.03,7.6,河村 了,37.3,5.13,7.7,木下 翔太,38.0,5.23,7.73,大池 佑来,37.37,5.47,7.6,和田 兼輔,37.37,5.83,7.7,木村 仁紀,37.87,5.33,7.73
202503180701,2025-03-18,7,01R,1,3,一周,まわり足,直線,八木 治樹,36.98,4.74,6.32,夏山 亮平,37.57,5.16,6.24,高橋 正男,37.25,5.0,6.21,大場 敏,37.43,5.01,6.2,広瀬 聖仁,37.36,5.1,6.15,角山 雄哉,37.04,5.02,6.3
202503180702,2025-03-18,7,02R,1,3,一周,まわり足,直線,峰重 力也,36.59,4.81,6.35,山崎 祥,37.66,5.17,6.25,森 照夫,37.06,5.16,6.33,石川 諒,37.22,5.07,6.32,樋口 亮,37.21,5.05,6.19,平石 和男,37.21,5.34,6.21
202503180703,2025-03-18,7,03R,1,3,一周,まわり足,直線,高田 明,37.43,4.83,6.19,中嶋 健一郎,37.33,5.32,6.22,板倉 敦史,36.98,5.0,6.29,野相 弘司,37.59,5.06,6.33,松井 繁,37.4,5.3,6.19,谷本 幸司,37.68,5.03,6.25
