レースコード,タイトル,日次,レース日,レース場,レース回,レース名,距離(m),天候,風向,風速(m),波の高さ(cm),決まり手,単勝_艇番,単勝_払戻金,複勝_1着_艇番,複勝_1着_払戻金,複勝_2着_艇番,複勝_2着_払戻金,2連単_組番,2連単_払戻金,2連単_人気,2連複_組番,2連複_払戻金,2連複_人気,拡連複_1-2着_組番,拡連複_1-2着_払戻金,拡連複_1-2着_人気,拡連複_1-3着_組番,拡連複_1-3着_払戻金,拡連複_1-3着_人気,拡連複_2-3着_組番,拡連複_2-3着_払戻金,拡連複_2-3着_人気,3連単_組番,3連単_払戻金,3連単_人気,3連複_組番,3連複_払戻金,3連複_人気,1着_着順,1着_艇番,1着_登録番号,1着_選手名,1着_モーター番号,1着_ボート番号,1着_展示タイム,1着_進入コース,1着_スタートタイミング,1着_レースタイム,2着_着順,2着_艇番,2着_登録番号,2着_選手名,2着_モーター番号,2着_ボート番号,2着_展示タイム,2着_進入コース,2着_スタートタイミング,2着_レースタイム,3着_着順,3着_艇番,3着_登録番号,3着_選手名,3着_モーター番号,3着_ボート番号,3着_展示タイム,3着_進入コース,3着_スタートタイミング,3着_レースタイム,4着_着順,4着_艇番,4着_登録番号,4着_選手名,4着_モーター番号,4着_ボート番号,4着_展示タイム,4着_進入コース,4着_スタートタイミング,4着_レースタイム,5着_着順,5着_艇番,5着_登録番号,5着_選手名,5着_モーター番号,5着_ボート番号,5着_展示タイム,5着_進入コース,5着_スタートタイミング,5着_レースタイム,6着_着順,6着_艇番,6着_登録番号,6着_選手名,6着_モーター番号,6着_ボート番号,6着_展示タイム,6着_進入コース,6着_スタートタイミング,6着_レースタイム
201901262401,スポーツ報知杯,第6日,2019/01/26,大村,01R,一般,1800,晴,北西,5,4,逃げ,1,100,1,100,2,140,1-2,770,4,1-2,540,3,1-2,180,3,1-4,130,1,2-4,930,11,1-2-4,2240,10,1-2-4,860,5,1,1,4299,中 島 浩 哉,62,71,6.93,1,0.08,109.7,2,2,3281,塚 本 太二郎,59,39,7.06,2,0.11,111.3,3,4,4023,柴 田 友 和,67,67,6.94,4,0.17,112.2,4,3,3755,吉 村 和 也,47,73,6.97,3,0.15,113.4,5,5,3353,前 田 光 昭,73,68,6.99,5,0.17,,6,6,5022,伊 藤 尚 汰,13,38,6.97,6,0.16,
201901262402,スポーツ報知杯,第6日,2019/01/26,大村,02R,一般,1800,晴,北西,5,4,逃げ,1,150,1,100,2,120,1-2,230,1,1-2,200,1,1-2,120,2,1-3,110,1,2-3,190,4,1-2-3,630,1,1-2-3,280,1,1,1,4638,小 林 遼 太,69,15,6.89,1,0.19,109.4,2,2,4112,大久保 信一郎,52,32,6.92,2,0.15,110.4,3,3,4610,佐 藤 大 佑,19,51,6.94,3,0.18,112.1,4,6,4096,石 橋 道 友,29,46,7.03,6,0.24,113.4,5,4,4491,田 中 堅,36,12,7.02,4,0.27,,6,5,4956,齊 藤 大 将,40,69,6.97,5,0.25,
201901262403,スポーツ報知杯,第6日,2019/01/26,大村,03R,一般,1800,晴,北,5,4,逃げ,1,310,1,180,2,170,1-2,720,1,1-2,480,1,1-2,360,8,1-4,620,10,2-4,190,1,1-2-4,3910,16,1-2-4,1230,8,1,1,4864,小 川 日紀太,71,37,6.73,1,0.12,108.8,2,2,3771,折 下 寛 法,37,53,6.83,2,0.08,110.3,3,4,3747,國 崎 良 春,48,16,6.91,4,0.14,110.6,4,3,3462,竹 上 真 司,32,19,6.79,3,0.13,111.4,5,6,4061,萩 原 秀 人,76,25,6.79,6,0.17,,6,5,4321,岩 田 優 一,11,60,6.83,5,0.21,
201901262404,スポーツ報知杯,第6日,2019/01/26,大村,04R,一般,1800,晴,北,5,4,逃げ,1,200,1,120,4,310,1-4,950,3,1-4,800,3,1-4,260,4,1-3,140,1,3-4,500,10,1-4-3,3290,10,1-3-4,570,2,1,1,3156,金 子 良 昭,49,18,6.82,1,0.18,109.4,2,4,3548,室 田 泰 史,41,33,6.88,4,0.21,110.9,3,3,3995,重 野 哲 之,63,48,6.82,3,0.18,111.2,4,2,3696,白 井 友 晴,70,31,6.77,2,0.19,111.2,5,6,3251,平 石 和 男,15,26,6.86,6,0.16,,6,5,3713,伊 藤 誠 二,21,27,6.92,5,0.14,
201901262405,スポーツ報知杯,第6日,2019/01/26,大村,05R,一般  進入固定,1800,晴,北,5,4,逃げ,1,100,1,100,5,420,1-5,1120,4,1-5,920,4,1-5,220,4,1-2,200,2,2-5,860,9,1-5-2,3440,13,1-2-5,1390,5,1,1,4445,宮 地 元 輝,43,52,6.75,1,0.11,107.8,2,5,3708,岡 部 貴 司,33,55,6.78,5,0.19,110.7,3,2,4271,川 崎 公 靖,65,44,6.8,2,0.15,112.2,4,6,4735,角 山 雄 哉,38,50,6.76,6,0.22,112.8,5,4,4653,小 野 達 哉,39,24,6.79,4,0.2,,6,3,4023,柴 田 友 和,67,67,6.8,3,0.17,
201901262406,スポーツ報知杯,第6日,2019/01/26,大村,06R,夜ガチ戦一般,1800,晴,北,5,4,逃げ,1,120,1,110,4,390,1-4,370,2,1-4,270,2,1-4,130,2,1-5,160,3,4-5,350,5,1-4-5,770,1,1-4-5,420,1,1,1,4144,石 塚 久 也,46,21,6.74,1,0.21,109.1,2,4,4201,佐 竹 友 樹,27,76,6.81,4,0.23,110.4,3,5,3282,池 本 輝 明,57,28,6.81,5,0.3,112.4,4,3,2912,尾 崎 鉄 也,17,49,6.8,3,0.17,112.6,5,2,4164,岩 永 節 也,50,22,6.81,2,0.18,,6,6,5053,山 口 広 樹,16,62,6.84,6,0.39,
201901262407,スポーツ報知杯,第6日,2019/01/26,大村,07R,夜ドキ戦一般,1800,晴,北,3,2,まくり,6,280,6,100,3,240,6-3,880,3,3-6,640,2,3-6,170,3,1-6,110,1,1-3,150,2,6-3-1,1600,7,1-3-6,220,1,1,6,3159,江 口 晃 生,55,56,6.71,2,0.15,108.8,2,3,3153,前 川 竜 次,58,45,6.8,4,0.21,110.7,3,1,4319,三 宅 潤,22,65,6.78,1,0.23,112.6,4,2,3829,落 合 純,66,35,6.82,3,0.15,113.3,5,4,4889,後 藤 盛 也,30,59,6.82,5,0.16,,6,5,5022,伊 藤 尚 汰,13,38,6.75,6,0.15,
201901262408,スポーツ報知杯,第6日,2019/01/26,大村,08R,一般,1800,晴,北,2,1,逃げ,1,100,1,100,2,220,1-2,270,2,1-2,190,1,1-2,140,3,1-6,110,1,2-6,390,6,1-2-6,820,2,1-2-6,440,2,1,1,4102,益 田 啓 司,68,11,6.78,1,0.11,107.7,2,2,4574,東 潤 樹,45,30,6.89,2,0.11,108.0,3,6,4472,尾 嶋 一 広,44,47,6.83,6,0.16,110.2,4,3,3602,奥 平 拓 也,34,40,6.86,3,0.09,112.0,5,5,3691,加 藤 知 弘,54,29,6.87,5,0.17,,6,4,3934,鋤 柄 貴 俊,23,34,6.89,4,0.14,
201901262409,スポーツ報知杯,第6日,2019/01/26,大村,09R,準優勝戦,1800,晴,北,1,1,逃げ,1,120,1,110,5,340,1-5,2340,7,1-5,1770,6,1-5,700,11,1-6,320,4,5-6,2190,15,1-5-6,11840,30,1-5-6,4130,10,1,1,4096,石 橋 道 友,29,46,6.79,1,0.03,108.0,2,5,3771,折 下 寛 法,37,53,6.81,6,0.08,109.1,3,6,3156,金 子 良 昭,49,18,6.85,4,0.14,110.8,4,4,3462,竹 上 真 司,32,19,6.79,5,0.09,111.6,5,2,3251,平 石 和 男,15,26,6.84,2,0.29,,6,3,4144,石 塚 久 也,46,21,6.8,3,0.23,
201901262410,スポーツ報知杯,第6日,2019/01/26,大村,10R,準優勝戦,1800,晴,北,1,1,逃げ,1,110,1,100,2,110,1-2,150,1,1-2,170,1,1-2,100,1,1-3,200,4,2-3,380,6,1-2-3,510,2,1-2-3,310,2,1,1,3159,江 口 晃 生,55,56,6.72,1,0.05,107.3,2,2,4445,宮 地 元 輝,43,52,6.82,2,0.04,109.1,3,3,3747,國 崎 良 春,48,16,6.87,3,0.06,110.2,4,4,3995,重 野 哲 之,63,48,6.88,4,0.05,111.2,5,5,4610,佐 藤 大 佑,19,51,6.86,5,0.07,,6,6,4201,佐 竹 友 樹,27,76,6.84,6,0.11,
