場コード,基準節終了日,モーター番号,使用開始日,使用終了日,グレード,タイトル,使用者名,着順列
15,2026-08-28,1,2026-08-24,2026-08-28,一般,ＢＴＳまるがめ開設４０周年記念　報知グリーンカップ,上村 慎太郎,６　１４５　３　３６
15,2026-08-28,1,2026-08-17,2026-08-21,一般,ＲＮＣ杯争奪　サマーチャンピオンレース,石丸 海渡,１４１４６３４２[４]
15,2026-08-28,1,2026-08-07,2026-08-11,一般,サッポロビールカップ２０２６,入海 馨,４１６５１１４２[３]
15,2026-08-28,2,2026-08-24,2026-08-28,一般,ＢＴＳまるがめ開設４０周年記念　報知グリーンカップ,繁野谷 圭介,１１２５２　５５１５
15,2026-08-28,2,2026-08-17,2026-08-21,一般,ＲＮＣ杯争奪　サマーチャンピオンレース,小野寺 智洋,１　４５４２６３３１
15,2026-08-28,2,2026-07-28,2026-08-02,一般,男女Ｗ優勝戦　大阪スポーツカップ,嶋田 貴支,４　３３２　２３５４１６
15,2026-08-28,3,2026-08-24,2026-08-28,一般,ＢＴＳまるがめ開設４０周年記念　報知グリーンカップ,中岡 駿,６３６　４　５６３４
15,2026-08-28,3,2026-08-17,2026-08-21,一般,ＲＮＣ杯争奪　サマーチャンピオンレース,中岡 健人,４４１　３６６　５
15,2026-08-28,3,2026-07-28,2026-08-02,一般,男女Ｗ優勝戦　大阪スポーツカップ,吉川 颯汰,６６５　６　６５６　６
15,2026-08-28,4,2026-08-24,2026-08-28,一般,ＢＴＳまるがめ開設４０周年記念　報知グリーンカップ,浦野 海,４４転　４　１６６４
15,2026-08-28,4,2026-08-07,2026-08-11,一般,サッポロビールカップ２０２６,草川 壮良,６　５６４　３　５６
15,2026-08-28,4,2026-07-28,2026-08-02,一般,男女Ｗ優勝戦　大阪スポーツカップ,金子 龍斗,５　１４４６６　４　５１
15,2026-08-28,5,2026-04-18,2026-04-22,一般,日本モーターボート選手会会長杯,倉田 郁美,４６６　４５６　５
15,2026-08-28,5,2026-04-09,2026-04-15,一般,外向発売所「Ｂポートまるがめ」リニューアル記念,渡部 悟,４３２５１　１４４１１５２３
15,2026-08-28,5,2026-03-30,2026-04-04,一般,日本トーター杯,堀内 亜海,６　６６６　６６６　６６
15,2026-08-28,6,2026-08-24,2026-08-28,一般,ＢＴＳまるがめ開設４０周年記念　報知グリーンカップ,前田 聖文,３３２３５６３２１
15,2026-08-28,6,2026-08-17,2026-08-21,一般,ＲＮＣ杯争奪　サマーチャンピオンレース,吉永 泰弘,５　４５５　３　４５
15,2026-08-28,6,2026-08-07,2026-08-11,一般,サッポロビールカップ２０２６,上田 隆章,２２２　５１４６５３
15,2026-08-28,7,2026-08-24,2026-08-28,一般,ＢＴＳまるがめ開設４０周年記念　報知グリーンカップ,岡崎 恭裕,３３２２５２１５１３
15,2026-08-28,7,2026-08-17,2026-08-21,一般,ＲＮＣ杯争奪　サマーチャンピオンレース,大廣 咲季,６３６　６　６５３
15,2026-08-28,7,2026-08-07,2026-08-11,一般,サッポロビールカップ２０２６,上田 龍星,２２１２２３３１[４]
15,2026-08-28,8,2026-08-24,2026-08-28,一般,ＢＴＳまるがめ開設４０周年記念　報知グリーンカップ,木谷 賢太,１３１１２１２１[１]
15,2026-08-28,8,2026-08-17,2026-08-21,一般,ＲＮＣ杯争奪　サマーチャンピオンレース,中田 元泰,１４３４３２１３１４
15,2026-08-28,8,2026-07-28,2026-08-02,一般,男女Ｗ優勝戦　大阪スポーツカップ,森 陽多,６　５６３　４６２　５
15,2026-08-28,9,2026-08-17,2026-08-21,一般,ＲＮＣ杯争奪　サマーチャンピオンレース,秋山 広一,２２５３１４２　３２
15,2026-08-28,9,2026-08-07,2026-08-11,一般,サッポロビールカップ２０２６,久保 翔耶,５　３　５６５　１６
15,2026-08-28,9,2026-07-28,2026-08-02,一般,男女Ｗ優勝戦　大阪スポーツカップ,嶋田 有里,１５６　６６６　４　５２
15,2026-08-28,10,2026-08-24,2026-08-28,一般,ＢＴＳまるがめ開設４０周年記念　報知グリーンカップ,倉田 茂将,５　５　３３１　６４
15,2026-08-28,10,2026-08-07,2026-08-11,一般,サッポロビールカップ２０２６,西岡 育未,６　２６６　３４６４
15,2026-08-28,10,2026-07-20,2026-07-25,一般,にっぽん未来プロジェクト競走ｉｎまるがめ,黒田 剛,４　２４１　４４６　４６
15,2026-08-28,11,2026-04-25,2026-04-30,一般,安岐真人杯争奪　瀬戸の大魔神大賞,中村 晃朋,１５２５２　４６１３落１
15,2026-08-28,11,2026-04-18,2026-04-22,一般,日本モーターボート選手会会長杯,高橋 涼夏,６６５　５６６　６２
15,2026-08-28,11,2026-04-09,2026-04-15,一般,外向発売所「Ｂポートまるがめ」リニューアル記念,成貞 琳平,３　５５５　４２５　２　１５
15,2026-08-28,12,2026-08-24,2026-08-28,一般,ＢＴＳまるがめ開設４０周年記念　報知グリーンカップ,大神 康司,３２３６４５１１２
15,2026-08-28,12,2026-08-17,2026-08-21,一般,ＲＮＣ杯争奪　サマーチャンピオンレース,長谷川 親王,４６６　５　５３５
15,2026-08-28,12,2026-07-28,2026-08-02,一般,男女Ｗ優勝戦　大阪スポーツカップ,森田 梨湖,５　４５４　６５４　４
15,2026-08-28,13,2026-08-17,2026-08-21,一般,ＲＮＣ杯争奪　サマーチャンピオンレース,三嶌 こころ,４　２　４４６　５６
15,2026-08-28,13,2026-07-28,2026-08-02,一般,男女Ｗ優勝戦　大阪スポーツカップ,加藤 奈月,５６６　１５２　２　３３
15,2026-08-28,13,2026-07-09,2026-07-14,一般,中讃テレビ杯,川上 聡介,３　２５２３５２１６５６
