場コード,基準節終了日,モーター番号,使用開始日,使用終了日,グレード,タイトル,使用者名,着順列
16,2026-08-13,11,2026-08-08,2026-08-13,一般,第４４回天領杯,峰重 侑治,２６転　６　４４４　４２
16,2026-08-13,11,2026-07-28,2026-08-02,一般,山陽新聞社杯,片橋 幸貴,５２１２１　２２５１[３]
16,2026-08-13,11,2026-07-17,2026-07-22,ＧⅢ,第２５回シモデンカップ,吉田 一心,６　１１４６２　３４２２
16,2026-08-13,12,2026-08-08,2026-08-13,一般,第４４回天領杯,天野 誠,１５沈　３　６６６　６５
16,2026-08-13,12,2026-07-28,2026-08-02,一般,山陽新聞社杯,清埜 翔子,６２３５３　３６２　５５
16,2026-08-13,12,2026-07-17,2026-07-22,ＧⅢ,第２５回シモデンカップ,森口 和紀,５　エ５２　５３落　２６
16,2026-08-13,13,2026-08-08,2026-08-13,一般,第４４回天領杯,福島 陽子,１　５５３　６６５　５３
16,2026-08-13,13,2026-07-17,2026-07-22,ＧⅢ,第２５回シモデンカップ,宮野 仁,５　１２５　３６６　３６
16,2026-08-13,13,2026-07-09,2026-07-13,一般,ＢＴＳ岡山わけ開設５周年記念競走,藤原 菜希,２３２２２　４４１１
16,2026-08-13,14,2026-07-28,2026-08-02,一般,山陽新聞社杯,古賀 繁輝,１　３２１１５４１３１１
16,2026-08-13,14,2026-07-09,2026-07-13,一般,ＢＴＳ岡山わけ開設５周年記念競走,武重 雄介,３　１５５６３　３２
16,2026-08-13,14,2026-06-30,2026-07-05,ＧⅡ,モーターボート大賞　全国地区代表戦,安達 裕樹,１　Ｆ４６　３６６　４
16,2026-08-13,15,2026-07-28,2026-08-02,一般,山陽新聞社杯,大平 誉史明,２２６　３５１２３５３２
16,2026-08-13,15,2026-07-09,2026-07-13,一般,ＢＴＳ岡山わけ開設５周年記念競走,赤松 咲香,６６５　６　４Ｆ６
16,2026-08-13,15,2026-06-21,2026-06-26,一般,サッポロビールカップ,野田 昇吾,５　５６６　６３５　５６
16,2026-08-13,16,2026-08-08,2026-08-13,一般,第４４回天領杯,浮田 圭浩,４　１４３５３　５５４
16,2026-08-13,16,2026-07-28,2026-08-02,一般,山陽新聞社杯,池田 美優,５　３５５　６３６５６
16,2026-08-13,16,2026-07-17,2026-07-22,ＧⅢ,第２５回シモデンカップ,渡邊 裕貴,４　５３３４１　３２６４
16,2026-08-13,17,2026-08-08,2026-08-13,一般,第４４回天領杯,前原 大道,４２１４６　１３妨２２
16,2026-08-13,17,2026-07-28,2026-08-02,一般,山陽新聞社杯,坪井 爽佑,２２５　６４３４６　５３
16,2026-08-13,17,2026-07-17,2026-07-22,ＧⅢ,第２５回シモデンカップ,池田 雄祐,６　４６４６５　１２４５
16,2026-08-13,18,2026-08-08,2026-08-13,一般,第４４回天領杯,村岡 賢人,２　４４１４２４１４３２
16,2026-08-13,18,2026-07-28,2026-08-02,一般,山陽新聞社杯,金子 順一,１　４４１４１５６５３６
