gamma_B2_全,gamma_B1_全,gamma_A2_SG,gamma_A2_一般,gamma_A1_SG,gamma_A1_一般,amp_B2_全,amp_A2_SG,amp_A2_一般,amp_A1_SG,amp_A1_一般,lane_on,half_life,shrink_k,penalty,n_sessions,value,rho_04,rho_23,rho_24,rho_14
1.0,1.0,1.0,1.0,1.0,1.0,125.0,125.0,75.0,100.0,50.0,True,60.0,10.0,-100.0,6,0.5807886205369095,0.6225813925296826,0.589949907950035,0.5887450920616648,0.29041667581594605
0.7062057512530174,3.489105511396341,1.9026045946019634,1.3146091546310463,0.3853054671298477,0.3852797006364793,23.4067773592705,208.80081501089322,101.85822566867641,136.07801490147398,21.146536167031595,True,27.025455675986628,9.091248360355031,-244.97864704396986,4,0.46518165937526584,0.5952496712885246,0.38132933881217956,0.49772290185534596,0.18121443416620903
1.0710499222736416,0.8280444240472666,0.5605506182664317,1.3635915636722524,0.36805045057557684,0.5619752870204945,53.93925667147034,68.77172495876584,167.6751025700418,34.345084207755725,80.50384505270131,True,80.84406742169708,8.526206184364577,-280.48452210441616,6,0.5043773620319298,0.5806268176272887,0.46507411311854824,0.5315827190054129,0.22188669763779476
3.6364434274228086,2.351513137757598,0.5817434941684071,0.32775471864739214,1.6666279801251986,0.8471033940255083,27.83287678075588,76.45453149298412,21.951997004258857,234.67875319825237,40.30685101059538,True,63.43304444484985,27.335513967163983,-244.5436633423419,6,0.4816592424526849,0.5725115166425192,0.39179743560047564,0.5363234580786586,0.24751579516783506
2.144336462793401,3.3822792238345656,2.9882677121619663,1.3118474057425946,3.220973832314379,0.3195181983553495,34.00350826442216,22.605879840724718,48.26676078282909,57.29938473542881,41.702416368727114,True,32.68662766477711,27.134804157912424,-257.7227325075712,6,0.4817763448358471,0.6355199384393624,0.3828713813985575,0.5137684802571009,0.1901637250156932
0.3074028774803515,3.8571834054755962,2.1272344951548665,0.43372807195653823,0.25385709168530946,2.3980233619818234,135.63092984672633,144.01540623155273,161.47835210763998,24.440678788136108,52.79811354853789,False,84.4533708791995,16.54490124263246,-280.9324949141929,4,0.2838662171941353,0.27752798179046967,0.1811010399040346,0.41056623735490433,0.040811552045118556
0.6158851671393084,1.890050409892569,1.4643190084362727,2.9258401879319607,0.9258559804138309,0.3482938692855753,137.99741637040032,156.95770551890388,91.44147053340812,161.34583428320002,76.16907478441682,True,16.09529487100857,5.394571349665222,-290.5712442939797,5,0.47036568310885696,0.5758035727023785,0.4133563771446435,0.48964541181900795,0.2240804926709368
0.5976711974908874,1.024047591554786,3.0957004871483003,0.49901978334242053,0.7799922487003687,2.031020151847998,37.163577850810626,24.635727675700338,43.833297869422516,30.948595328786954,247.99291766246222,True,168.04839532543295,40.18360384495573,-244.02898233418927,6,0.5384138316699653,0.5842251114601583,0.49615220216708733,0.5700009391105239,0.3738853535054932
1.11525140657284,2.345280725198635,2.998758204511471,0.6037461126084568,0.33919991138425526,0.4703284963294342,63.58398347237385,183.2694226243873,205.7442520587894,20.380101171513108,79.74719822011066,True,20.913346982723535,16.8807585701814,-17.127088826244233,4,0.5269181703239306,0.5781003559999548,0.5025872644987028,0.5436716036421896,0.33554617364058226
1.0534796799376016,1.7557358834345844,0.6851626480538477,3.6989821303835786,3.6044750919972826,0.5024769015074176,76.88464563523625,45.174187059802335,43.2542126797682,22.10102480588224,104.21573137086293,True,32.47992627188527,45.41329429833269,-228.13143279990828,4,0.503377030175766,0.6300842179684318,0.41409774377270986,0.5291576486333295,0.31374751188269473
