stadium,n_samples,mu_waku,sigma_waku,mu_racer,sigma_racer,mu_motor,sigma_motor,mu_exhibit,sigma_exhibit,mu_weather,sigma_weather,w_waku,w_racer,w_motor,w_exhibit,w_weather,mu_y,sigma_y,mse,r2,fallback
桐生,6626,5.052912,1.385639,53.916916,5.102415,0.016783,0.17305,50.000963,6.322582,6.5e-05,0.158488,0.358486,0.221818,0.124099,0.207518,0.088079,3.532448,1.696996,0.780041,0.219959,0
戸田,5449,5.042371,1.244248,53.092611,4.105032,0.020398,0.166424,49.999923,6.194692,0.000848,0.334252,0.284855,0.307131,0.121765,0.208199,0.078049,3.541751,1.693897,0.794735,0.205265,0
江戸川,5139,5.086654,1.387942,53.385227,4.26734,0.014224,0.18507,50.001635,10.002673,-0.000796,0.184802,0.466524,0.234996,0.111424,0.068037,0.119019,3.546604,1.692076,0.786672,0.213328,0
平和島,5644,5.062092,1.314205,53.139252,4.081886,0.032999,0.176539,49.99813,6.385698,0.001109,0.289777,0.318398,0.292705,0.119613,0.2087,0.060585,3.53579,1.696589,0.76518,0.23482,0
多摩川,5570,5.037801,1.460313,53.339921,4.2487,0.01744,0.195391,50.014571,5.651977,0.000335,0.199802,0.35858,0.232971,0.107214,0.217134,0.084101,3.5307,1.697884,0.704201,0.295799,0
浜名湖,6624,5.044989,1.522702,53.780955,4.984058,0.017411,0.194748,49.985977,6.077495,-0.000634,0.351357,0.384485,0.201818,0.097814,0.237156,0.078726,3.533665,1.695961,0.735532,0.264468,0
蒲郡,7036,5.049294,1.593574,53.52637,5.083249,0.003829,0.165604,50.003228,6.19873,-0.000478,0.180455,0.383013,0.248735,0.077224,0.210384,0.080643,3.535247,1.696075,0.709069,0.290931,0
常滑,6067,5.046066,1.645128,54.057659,5.24589,-0.005753,0.176512,49.990524,6.405132,0.000234,0.196406,0.38071,0.19811,0.079052,0.245988,0.09614,3.526949,1.698774,0.722453,0.277547,0
津,5194,5.042166,1.707205,53.80856,5.258605,0.001822,0.180524,49.999282,5.555051,-6.7e-05,0.128101,0.418567,0.213442,0.085834,0.221854,0.060303,3.532538,1.696959,0.705816,0.294184,0
三国,5608,5.041311,1.551213,52.798729,3.555081,0.017607,0.17307,49.993899,6.997476,-0.000232,0.108061,0.384215,0.284187,0.081542,0.169733,0.080323,3.536377,1.694508,0.711652,0.288348,0
びわこ,5815,5.047449,1.478887,53.426554,4.124047,0.012943,0.183683,50.00066,5.951876,0.000169,0.134646,0.405564,0.236016,0.097867,0.182077,0.078477,3.533792,1.695734,0.730532,0.269468,0
住之江,5532,5.05078,1.714649,55.068527,6.018995,-0.038646,0.180093,50.00032,8.079572,0.000317,0.245399,0.43574,0.189863,0.105621,0.207199,0.061578,3.541215,1.694575,0.71382,0.28618,0
尼崎,6748,5.044574,1.639881,54.652731,5.778634,-0.00859,0.164096,50.000646,7.751001,0.000168,0.181931,0.399963,0.187849,0.104358,0.238808,0.069023,3.536011,1.696271,0.715172,0.284828,0
鳴門,5285,5.048345,1.32993,54.65852,5.654468,0.004453,0.199135,50.016604,5.939722,0.000323,0.165141,0.354838,0.180598,0.116117,0.234185,0.114261,3.539262,1.694842,0.787364,0.212636,0
丸亀,6269,5.056235,1.605568,53.410293,4.035731,0.012491,0.183186,49.998639,6.094445,0.000286,0.168378,0.380921,0.230504,0.096946,0.207924,0.083705,3.533897,1.696837,0.720028,0.279972,0
児島,6966,5.037571,1.581334,53.413117,4.45747,0.00992,0.169591,49.994914,5.554725,-0.000111,0.148376,0.41527,0.217748,0.089009,0.177207,0.100766,3.529285,1.698048,0.73769,0.26231,0
宮島,6378,5.057169,1.587731,54.027378,5.225795,-0.002014,0.170056,49.999621,6.028583,-0.000291,0.153506,0.458913,0.193489,0.086631,0.184223,0.076744,3.543117,1.692986,0.727273,0.272727,0
徳山,6924,5.045252,1.825569,53.092673,4.087669,0.028075,0.174695,50.020868,8.090653,5.5e-05,0.152516,0.433561,0.248444,0.079966,0.186628,0.051401,3.522819,1.699534,0.636625,0.363375,0
下関,5688,5.045988,1.735089,53.384122,4.401265,-0.005153,0.163018,50.000909,6.348066,0.000106,0.139252,0.428415,0.219386,0.083397,0.188415,0.080388,3.526195,1.699471,0.690699,0.309301,0
若松,5925,5.047879,1.601938,53.88189,5.08522,-0.002369,0.154937,49.987597,7.048547,-0.000236,0.166721,0.39896,0.220892,0.074749,0.217099,0.088301,3.533502,1.696688,0.702181,0.297819,0
芦屋,4380,5.043977,1.631862,54.969621,6.147601,-0.002605,0.172233,49.994343,7.101195,-0.000464,0.20844,0.455378,0.147768,0.090893,0.203102,0.102858,3.539498,1.696233,0.736292,0.263708,0
福岡,3907,5.057762,1.742252,53.996518,5.303743,0.015348,0.184203,49.990153,6.895617,-0.000362,0.14916,0.438412,0.199008,0.087715,0.243227,0.031638,3.538009,1.694864,0.64468,0.35532,0
唐津,6283,5.048412,1.656673,53.771906,4.928264,1e-06,0.172792,49.995564,5.928912,-0.000252,0.144244,0.447404,0.223896,0.083064,0.176974,0.068662,3.541461,1.693625,0.684049,0.315951,0
大村,5905,5.04228,1.759646,53.688701,4.958142,0.001839,0.194315,49.99662,6.622774,0.000164,0.150991,0.45969,0.19327,0.085433,0.185162,0.076446,3.536325,1.695362,0.68497,0.31503,0
