stadium,n_samples,mu_waku,sigma_waku,mu_racer,sigma_racer,mu_motor,sigma_motor,mu_exhibit,sigma_exhibit,mu_weather,sigma_weather,w_waku,w_racer,w_motor,w_exhibit,w_weather,mu_y,sigma_y,mse,r2,fallback
桐生,0,5.051369,1.396557,53.096215,4.009877,0.0,1.0,0.0,1.0,0.0,1.0,0.2,0.2,0.2,0.2,0.2,3.5,1.0,,,1
戸田,0,5.047231,1.272662,53.588993,4.831402,0.0,1.0,0.0,1.0,0.0,1.0,0.2,0.2,0.2,0.2,0.2,3.5,1.0,,,1
江戸川,0,5.096107,1.352125,53.361922,4.564676,0.0,1.0,0.0,1.0,0.0,1.0,0.2,0.2,0.2,0.2,0.2,3.5,1.0,,,1
平和島,0,5.048728,1.285717,53.796732,4.643532,0.0,1.0,0.0,1.0,0.0,1.0,0.2,0.2,0.2,0.2,0.2,3.5,1.0,,,1
多摩川,0,5.039649,1.443311,53.895328,4.792684,0.0,1.0,0.0,1.0,0.0,1.0,0.2,0.2,0.2,0.2,0.2,3.5,1.0,,,1
浜名湖,0,5.036463,1.594369,53.526506,4.720753,0.0,1.0,0.0,1.0,0.0,1.0,0.2,0.2,0.2,0.2,0.2,3.5,1.0,,,1
蒲郡,0,5.047481,1.719931,53.396554,4.737632,0.0,1.0,0.0,1.0,0.0,1.0,0.2,0.2,0.2,0.2,0.2,3.5,1.0,,,1
常滑,0,5.035413,1.540605,54.240199,5.170839,0.0,1.0,0.0,1.0,0.0,1.0,0.2,0.2,0.2,0.2,0.2,3.5,1.0,,,1
津,0,5.044783,1.581162,53.933849,5.003924,0.0,1.0,0.0,1.0,0.0,1.0,0.2,0.2,0.2,0.2,0.2,3.5,1.0,,,1
三国,0,5.035596,1.469671,53.024452,3.866916,0.0,1.0,0.0,1.0,0.0,1.0,0.2,0.2,0.2,0.2,0.2,3.5,1.0,,,1
びわこ,0,5.043651,1.425222,53.770563,4.507012,0.0,1.0,0.0,1.0,0.0,1.0,0.2,0.2,0.2,0.2,0.2,3.5,1.0,,,1
住之江,0,5.043371,1.612552,55.124584,6.289263,0.0,1.0,0.0,1.0,0.0,1.0,0.2,0.2,0.2,0.2,0.2,3.5,1.0,,,1
尼崎,0,5.058972,1.656237,53.458137,4.904552,0.0,1.0,0.0,1.0,0.0,1.0,0.2,0.2,0.2,0.2,0.2,3.5,1.0,,,1
鳴門,0,5.067775,1.351497,54.003856,4.688485,0.0,1.0,0.0,1.0,0.0,1.0,0.2,0.2,0.2,0.2,0.2,3.5,1.0,,,1
丸亀,0,5.049311,1.499547,53.824972,4.849171,0.0,1.0,0.0,1.0,0.0,1.0,0.2,0.2,0.2,0.2,0.2,3.5,1.0,,,1
児島,0,5.037646,1.497771,52.738835,3.597813,0.0,1.0,0.0,1.0,0.0,1.0,0.2,0.2,0.2,0.2,0.2,3.5,1.0,,,1
宮島,0,5.058224,1.612577,52.887989,3.60793,0.0,1.0,0.0,1.0,0.0,1.0,0.2,0.2,0.2,0.2,0.2,3.5,1.0,,,1
徳山,0,5.037801,1.705944,53.816483,4.932048,0.0,1.0,0.0,1.0,0.0,1.0,0.2,0.2,0.2,0.2,0.2,3.5,1.0,,,1
下関,0,5.035771,1.733873,54.026754,5.120422,0.0,1.0,0.0,1.0,0.0,1.0,0.2,0.2,0.2,0.2,0.2,3.5,1.0,,,1
若松,0,5.049345,1.676728,53.778384,4.9808,0.0,1.0,0.0,1.0,0.0,1.0,0.2,0.2,0.2,0.2,0.2,3.5,1.0,,,1
芦屋,0,5.066705,1.645833,53.30124,4.48123,0.0,1.0,0.0,1.0,0.0,1.0,0.2,0.2,0.2,0.2,0.2,3.5,1.0,,,1
福岡,0,5.047577,1.727645,53.593882,4.908091,0.0,1.0,0.0,1.0,0.0,1.0,0.2,0.2,0.2,0.2,0.2,3.5,1.0,,,1
唐津,0,5.04302,1.635277,53.725439,4.703075,0.0,1.0,0.0,1.0,0.0,1.0,0.2,0.2,0.2,0.2,0.2,3.5,1.0,,,1
大村,0,5.046206,1.786708,53.254357,3.985671,0.0,1.0,0.0,1.0,0.0,1.0,0.2,0.2,0.2,0.2,0.2,3.5,1.0,,,1
