stadium,n_samples,mu_waku,sigma_waku,mu_racer,sigma_racer,mu_motor,sigma_motor,mu_exhibit,sigma_exhibit,mu_weather,sigma_weather,w_waku,w_racer,w_motor,w_exhibit,w_weather,mu_y,sigma_y,mse,r2,fallback
桐生,6231,5.058413,1.40113,53.744865,5.099473,0.023921,0.174158,49.998129,6.178043,0.000425,0.116418,0.350031,0.224985,0.116902,0.195963,0.112119,3.537153,1.694779,0.776859,0.223141,0
戸田,6237,5.046428,1.267711,53.725382,4.795081,0.005873,0.173301,49.995183,6.085381,-0.000139,0.095837,0.33939,0.221716,0.124528,0.210846,0.10352,3.537117,1.694697,0.823098,0.176902,0
江戸川,5583,5.103149,1.377031,53.023516,4.036253,0.02194,0.180364,49.986262,10.012483,-0.000768,0.162215,0.444588,0.256889,0.102097,0.095825,0.100601,3.557048,1.688514,0.757558,0.242442,0
平和島,4819,5.063117,1.296096,53.088073,4.161615,0.041876,0.172401,49.992503,6.376223,0.000812,0.287502,0.309321,0.284469,0.130937,0.214312,0.060961,3.537871,1.695779,0.76532,0.23468,0
多摩川,5900,5.042936,1.45309,53.44132,4.28828,0.009062,0.209278,50.011962,5.619518,0.00033,0.191921,0.340715,0.231457,0.147401,0.199102,0.081325,3.542203,1.694082,0.738736,0.261264,0
浜名湖,6401,5.048789,1.565805,53.586794,4.655038,0.014042,0.184704,49.992078,6.129967,-0.00092,0.212487,0.406313,0.203093,0.107089,0.206622,0.076883,3.535385,1.695461,0.724537,0.275463,0
蒲郡,7301,5.051348,1.644606,53.461452,4.973204,0.006581,0.164922,50.006342,6.191985,-0.000232,0.120853,0.401082,0.248524,0.086669,0.190818,0.072908,3.538419,1.694455,0.700063,0.299937,0
常滑,6223,5.046624,1.596817,54.237375,5.236994,-0.010644,0.172007,49.989772,6.442516,0.000188,0.177991,0.389136,0.194633,0.08102,0.242448,0.092763,3.530452,1.698085,0.7271,0.2729,0
津,5081,5.043613,1.678151,53.935253,5.473845,0.001021,0.162899,50.000357,5.507614,1e-05,0.126634,0.446331,0.207022,0.068668,0.188246,0.089733,3.535721,1.695112,0.730542,0.269458,0
三国,5418,5.041332,1.531076,52.730455,3.544755,0.018568,0.166801,49.992329,7.080272,-0.000255,0.112307,0.38831,0.281495,0.075235,0.166921,0.08804,3.531931,1.695921,0.708081,0.291919,0
びわこ,4759,5.050004,1.435845,53.179782,3.942383,0.025325,0.189199,50.003407,6.005436,2.9e-05,0.124397,0.360149,0.245621,0.11122,0.191956,0.091054,3.534986,1.695446,0.749278,0.250722,0
住之江,5976,5.046388,1.694535,55.586656,6.706432,-0.022821,0.170878,49.99415,8.005648,-0.00025,0.240866,0.429008,0.152623,0.120824,0.222013,0.075532,3.538153,1.695696,0.740188,0.259812,0
尼崎,5524,5.051024,1.651066,54.230237,5.624275,-0.004079,0.160674,50.000099,7.724651,0.00014,0.198322,0.398072,0.199656,0.116561,0.232187,0.053524,3.535119,1.696366,0.708218,0.291782,0
鳴門,5413,5.065834,1.343857,53.670485,4.164764,0.002488,0.197519,50.004157,5.978496,0.000447,0.166472,0.32584,0.236715,0.11623,0.212054,0.109161,3.547201,1.690389,0.789672,0.210328,0
丸亀,6657,5.057514,1.55819,53.935165,4.868853,-0.010444,0.175504,49.995238,6.107971,0.00045,0.162938,0.402381,0.188836,0.086297,0.2144,0.108086,3.536728,1.696043,0.737387,0.262613,0
児島,5821,5.043424,1.563553,53.438612,4.536863,0.01033,0.171086,49.996391,5.476078,-0.000212,0.157326,0.432133,0.209978,0.086865,0.171067,0.099957,3.532383,1.696989,0.736867,0.263133,0
宮島,6926,5.060179,1.602794,53.393091,4.481944,0.019101,0.166688,49.988715,6.109688,-0.000159,0.126095,0.456077,0.209582,0.082578,0.157997,0.093767,3.548657,1.6911,0.719661,0.280339,0
徳山,7050,5.041932,1.758604,53.818838,4.888053,0.004497,0.181022,50.005701,8.078311,-5.2e-05,0.146864,0.451173,0.177541,0.086037,0.195765,0.089484,3.527092,1.697446,0.682686,0.317314,0
下関,5881,5.0408,1.73861,54.084247,5.241112,-0.00669,0.154238,49.995573,6.326687,0.000124,0.133079,0.461809,0.174038,0.072307,0.20132,0.090526,3.525081,1.699723,0.695384,0.304616,0
若松,5843,5.054881,1.651343,53.853204,5.008543,-0.002484,0.166578,49.985226,7.064702,-0.000146,0.16048,0.409003,0.213423,0.096493,0.191042,0.090039,3.534486,1.69544,0.692752,0.307248,0
芦屋,4168,5.057845,1.663169,53.936441,4.895497,0.021239,0.163591,49.993734,7.254741,-0.000894,0.207572,0.436221,0.190561,0.075173,0.208084,0.089961,3.549904,1.692652,0.70744,0.29256,0
福岡,4867,5.057251,1.739496,54.355645,5.868995,0.030091,0.182751,49.988818,6.675023,0.000251,0.113277,0.447328,0.159171,0.091487,0.229124,0.07289,3.537908,1.693711,0.68013,0.31987,0
唐津,4786,5.046277,1.660423,54.0121,5.143446,-0.006371,0.173585,49.993672,5.992413,-0.000114,0.151481,0.447271,0.218649,0.066572,0.190075,0.077433,3.530297,1.697083,0.68169,0.31831,0
大村,6080,5.047345,1.784544,53.629392,4.841849,-0.00165,0.182277,50.00372,6.654662,2.5e-05,0.13854,0.490503,0.177338,0.08355,0.167134,0.081475,3.535526,1.695404,0.663725,0.336275,0
