レースコード,レース日,レース場,レース回,締切時刻,取得日時,単勝_艇番,単勝_払戻金,複勝_1着_艇番,複勝_1着_払戻金,複勝_2着_艇番,複勝_2着_払戻金,複勝_3着_艇番,複勝_3着_払戻金,2連単_組番,2連単_払戻金,2連単_人気,2連複_組番,2連複_払戻金,2連複_人気,拡連複_1-2着_組番,拡連複_1-2着_払戻金,拡連複_1-2着_人気,拡連複_1-3着_組番,拡連複_1-3着_払戻金,拡連複_1-3着_人気,拡連複_2-3着_組番,拡連複_2-3着_払戻金,拡連複_2-3着_人気,3連単_組番,3連単_払戻金,3連単_人気,3連複_組番,3連複_払戻金,3連複_人気
202607291001,2026-07-29,10,01R,08:32,2026-07-29T08:40:34.136753+09:00,1,120,1,110,6,220,,,1-6,960,4,1=6,580,3,1=6,210,3,1=5,340,4,5=6,1150,13,1-6-5,4330,16,1=5=6,1380,7
202607292301,2026-07-29,23,01R,08:39,2026-07-29T08:48:23.996549+09:00,1,100,1,100,5,320,,,1-5,1090,4,1=5,890,4,1=5,240,4,1=4,190,3,4=5,620,9,1-5-4,2560,11,1=4=5,850,5
202607291801,2026-07-29,18,01R,08:46,2026-07-29T08:56:22.254492+09:00,1,120,1,100,4,200,,,1-4,390,3,1=4,310,3,1=4,130,2,1=3,120,1,3=4,230,5,1-4-3,1580,8,1=3=4,490,2
202607291002,2026-07-29,10,02R,08:58,2026-07-29T09:06:26.107452+09:00,2,150,2,110,1,100,,,2-1,280,2,1=2,160,1,1=2,100,1,2=3,130,2,1=3,150,3,2-1-3,650,2,1=2=3,240,1
202607292302,2026-07-29,23,02R,09:05,2026-07-29T09:14:24.694860+09:00,2,180,2,120,3,200,,,2-3,1190,4,2=3,970,2,2=3,210,3,2=6,500,7,3=6,620,8,2-3-6,4430,13,2=3=6,2790,8
202607291802,2026-07-29,18,02R,09:12,2026-07-29T09:20:46.824980+09:00,1,220,1,100,4,100,,,1-4,530,2,1=4,190,1,1=4,100,1,1=3,170,2,3=4,210,3,1-4-3,770,2,1=3=4,250,1
202607291003,2026-07-29,10,03R,09:24,2026-07-29T09:31:06.229888+09:00,2,610,2,280,4,160,,,2-4,3040,15,2=4,660,4,2=4,390,10,2=3,170,2,3=4,210,4,2-4-3,4900,22,2=3=4,550,3
202607292303,2026-07-29,23,03R,09:31,2026-07-29T09:40:20.661841+09:00,1,150,1,110,4,240,,,1-4,530,2,1=4,390,2,1=4,170,1,1=2,200,3,2=4,790,10,1-4-2,2230,9,1=2=4,1100,6
202607291803,2026-07-29,18,03R,09:38,2026-07-29T09:48:28.841202+09:00,3,730,3,120,1,100,,,3-1,1280,5,1=3,210,1,1=3,120,1,3=5,410,8,1=5,300,5,3-1-5,4650,17,1=3=5,510,3
202607291004,2026-07-29,10,04R,09:50,2026-07-29T09:58:22.777577+09:00,1,150,1,130,2,240,,,1-2,730,3,1=2,580,3,1=2,240,4,1=3,110,1,2=3,360,5,1-2-3,1120,3,1=2=3,300,2
202607292304,2026-07-29,23,04R,09:57,2026-07-29T10:06:24.602614+09:00,5,1440,5,230,6,290,,,5-6,3990,15,5=6,1120,5,5=6,150,1,1=5,160,2,1=6,470,8,5-6-1,10930,45,1=5=6,1110,5
202607291804,2026-07-29,18,04R,10:04,2026-07-29T10:14:25.910714+09:00,2,170,2,110,6,410,,,2-6,2020,6,2=6,1550,6,2=6,510,6,2=3,300,3,3=6,760,9,2-6-3,8710,23,2=3=6,1980,6
202607291005,2026-07-29,10,05R,10:16,2026-07-29T10:26:24.775803+09:00,4,3450,4,590,5,410,,,4-5,9820,21,4=5,4500,10,4=5,570,8,2=4,1400,14,2=5,210,3,4-5-2,43280,78,2=4=5,3570,10
202607292305,2026-07-29,23,05R,10:23,2026-07-29T10:34:27.415823+09:00,1,160,1,110,3,140,,,1-3,190,1,1=3,230,1,1=3,140,1,1=5,200,3,3=5,270,5,1-3-5,700,2,1=3=5,420,2
202607291805,2026-07-29,18,05R,10:30,2026-07-29T10:40:33.971182+09:00,1,100,1,100,6,200,,,1-6,700,3,1=6,390,2,1=6,240,2,1=5,320,6,5=6,1080,12,1-6-5,5840,18,1=5=6,3150,10
202607291101,2026-07-29,11,01R,10:40,2026-07-29T10:50:36.423002+09:00,1,200,1,110,3,130,,,1-3,350,1,1=3,300,1,1=3,140,1,1=6,210,3,3=6,270,5,1-3-6,1040,1,1=3=6,440,1
202607291006,2026-07-29,10,06R,10:44,2026-07-29T10:54:27.240778+09:00,1,180,1,210,3,160,,,1-3,1180,6,1=3,710,5,1=3,190,3,1=4,330,6,3=4,180,2,1-3-4,2320,4,1=3=4,510,2
202607291701,2026-07-29,17,01R,10:50,2026-07-29T10:58:24.615211+09:00,1,150,1,120,3,280,,,1-3,450,2,1=3,730,3,1=3,200,3,1=6,280,5,3=6,760,11,1-3-6,2640,9,1=3=6,1990,6
202607292306,2026-07-29,23,06R,10:52,2026-07-29T11:02:25.427122+09:00,1,330,1,160,3,220,,,1-3,1010,4,1=3,550,3,1=3,310,6,1=5,180,1,3=5,210,5,1-3-5,2110,5,1=3=5,520,2
202607291806,2026-07-29,18,06R,11:00,2026-07-29T11:08:21.646861+09:00,1,150,1,100,5,180,,,1-5,760,3,1=5,400,2,1=5,140,3,1=3,100,1,3=5,140,2,1-5-3,930,3,1=3=5,200,1
202607291102,2026-07-29,11,02R,11:10,2026-07-29T11:20:34.052637+09:00,1,130,1,140,5,290,,,1-5,1870,7,1=5,1730,6,1=5,400,5,1=6,400,6,5=6,1370,15,1-5-6,10540,34,1=5=6,3550,12
202607291007,2026-07-29,10,07R,11:14,2026-07-29T11:24:28.306582+09:00,1,150,1,130,2,240,,,1-2,640,2,1=2,540,3,1=2,250,4,1=3,220,2,2=3,260,5,1-2-3,1550,2,1=2=3,430,1
202607292307,2026-07-29,23,07R,11:20,2026-07-29T11:32:22.352626+09:00,2,500,2,230,3,130,,,2-3,840,3,2=3,490,3,2=3,220,3,2=5,410,7,3=5,470,8,2-3-5,5440,22,2=3=5,1860,7
202607291702,2026-07-29,17,02R,11:29,2026-07-29T11:38:26.599811+09:00,2,590,2,540,3,1010,,,2-3,2880,8,2=3,2460,9,2=3,290,5,1=2,190,2,1=3,190,2,2-3-1,8120,23,1=2=3,410,2
202607291807,2026-07-29,18,07R,11:31,2026-07-29T11:42:24.870477+09:00,3,400,3,200,1,220,,,3-1,960,4,1=3,370,1,1=3,250,6,3=6,130,1,1=6,250,5,3-1-6,2080,6,1=3=6,450,1
202607291103,2026-07-29,11,03R,11:40,2026-07-29T11:50:34.579663+09:00,1,190,1,130,2,200,,,1-2,780,3,1=2,520,3,1=2,310,4,1=4,240,3,2=4,350,6,1-2-4,2540,8,1=2=4,820,3
202607291008,2026-07-29,10,08R,11:44,2026-07-29T11:52:27.396474+09:00,4,670,4,210,2,130,,,4-2,1340,7,2=4,570,4,2=4,140,2,4=6,250,5,2=6,150,3,4-2-6,4040,15,2=4=6,450,2
202607292308,2026-07-29,23,08R,11:49,2026-07-29T11:58:26.054937+09:00,1,160,1,100,5,100,,,1-5,360,1,1=5,270,1,1=5,100,1,1=3,380,9,3=5,220,3,1-5-3,1210,4,1=3=5,340,2
202607291601,2026-07-29,16,01R,11:52,2026-07-29T12:01:26.453157+09:00,1,110,1,100,3,170,,,1-3,330,2,1=3,520,3,1=3,220,3,1=6,1060,11,3=6,2370,12,1-3-6,11680,26,1=3=6,8790,15
202607290401,2026-07-29,04,01R,11:54,2026-07-29T12:01:26.453157+09:00,4,450,4,210,5,210,,,4-5,2280,11,4=5,1100,7,4=5,330,6,2=4,350,8,2=5,450,10,4-5-2,10080,45,2=4=5,1730,9
202607291703,2026-07-29,17,03R,12:01,2026-07-29T12:08:26.563706+09:00,1,180,1,120,6,120,,,1-6,610,3,1=6,350,2,1=6,210,3,1=3,230,4,3=6,320,6,1-6-3,1760,5,1=3=6,440,2
202607291808,2026-07-29,18,08R,12:03,2026-07-29T12:10:25.740370+09:00,1,110,1,100,2,190,,,1-2,540,2,1=2,490,4,1=2,290,5,1=3,260,3,2=3,820,10,1-2-3,1240,6,1=2=3,770,6
202607291104,2026-07-29,11,04R,12:11,2026-07-29T12:18:25.178956+09:00,3,590,3,200,1,130,,,3-1,2340,8,1=3,570,2,1=3,290,2,3=5,770,13,1=5,370,7,3-1-5,11100,39,1=3=5,1660,7
202607291009,2026-07-29,10,09R,12:14,2026-07-29T12:22:27.656367+09:00,2,100,2,120,4,160,,,2-4,370,1,2=4,380,1,2=4,100,1,1=2,510,7,1=4,550,8,2-4-1,2700,9,1=2=4,780,3
202607291602,2026-07-29,16,02R,12:19,2026-07-29T12:30:42.098452+09:00,1,150,1,140,3,110,,,1-3,350,1,1=3,280,1,1=3,100,1,1=6,210,3,3=6,180,2,1-3-6,920,1,1=3=6,480,1
202607292309,2026-07-29,23,09R,12:21,2026-07-29T12:30:42.098452+09:00,1,170,1,260,6,360,,,1-6,1670,12,1=6,580,2,1=6,390,8,1=4,1010,15,4=6,740,12,1-6-4,17430,80,1=4=6,2970,17
202607290402,2026-07-29,04,02R,12:23,2026-07-29T12:32:26.959677+09:00,3,190,3,120,4,290,,,3-4,1640,8,3=4,1280,5,3=4,380,6,3=5,200,3,4=5,550,8,3-4-5,4350,16,3=4=5,1270,5
202607292201,2026-07-29,22,01R,12:27,2026-07-29T12:36:23.988331+09:00,1,100,1,150,3,170,,,1-3,260,2,1=3,190,1,1=3,140,1,1=4,230,5,3=4,570,9,1-3-4,950,5,1=3=4,740,4
202607291704,2026-07-29,17,04R,12:32,2026-07-29T12:38:29.065681+09:00,1,150,1,100,6,670,,,1-6,1570,6,1=6,1060,4,1=6,370,4,1=3,380,5,3=6,510,7,1-6-3,6200,20,1=3=6,1270,6
202607291809,2026-07-29,18,09R,12:34,2026-07-29T12:42:37.764421+09:00,1,100,1,100,3,210,,,1-3,270,1,1=3,160,1,1=3,160,2,1=6,200,4,3=6,450,5,1-3-6,650,1,1=3=6,440,2
202607291105,2026-07-29,11,05R,12:43,2026-07-29T12:52:26.083659+09:00,1,160,1,130,3,220,,,1-3,580,3,1=3,490,2,1=3,290,3,1=6,490,10,3=6,480,9,1-3-6,2880,10,1=3=6,1600,7
202607291010,2026-07-29,10,10R,12:47,2026-07-29T12:54:21.099317+09:00,2,960,2,380,4,280,,,2-4,2210,11,2=4,1600,9,2=4,520,8,1=2,440,6,1=4,270,3,2-4-1,8100,39,1=2=4,920,4
202607291603,2026-07-29,16,03R,12:51,2026-07-29T13:00:26.748308+09:00,3,560,3,200,4,260,,,3-4,1270,7,3=4,430,2,3=4,300,3,3=5,540,8,4=5,320,5,3-4-5,4470,23,3=4=5,1570,8
202607290403,2026-07-29,04,03R,12:53,2026-07-29T13:02:26.844634+09:00,5,520,5,170,6,320,,,5-6,1350,5,5=6,750,4,5=6,190,2,4=5,180,1,4=6,290,6,5-6-4,2970,6,4=5=6,390,1
202607292202,2026-07-29,22,02R,12:55,2026-07-29T13:02:26.844634+09:00,3,500,3,140,5,390,,,3-5,1560,9,3=5,1080,7,3=5,240,3,1=3,240,4,1=5,420,9,3-5-1,9620,48,1=3=5,1450,8
202607292310,2026-07-29,23,10R,12:57,2026-07-29T13:04:24.876513+09:00,1,150,1,100,6,300,,,1-6,1390,5,1=6,1630,5,1=6,280,4,1=5,250,3,5=6,690,11,1-6-5,5850,26,1=5=6,1740,8
202607291705,2026-07-29,17,05R,13:02,2026-07-29T13:10:26.376519+09:00,4,700,4,120,2,300,,,4-2,5420,11,2=4,2240,9,2=4,340,3,3=4,710,7,2=3,730,8,4-2-3,25760,50,2=3=4,3790,10
202607291810,2026-07-29,18,10R,13:04,2026-07-29T13:12:23.849626+09:00,1,190,1,100,4,100,,,1-4,290,1,1=4,200,1,1=4,140,1,1=5,140,2,4=5,230,5,1-4-5,670,1,1=4=5,340,1
202607291106,2026-07-29,11,06R,13:14,2026-07-29T13:22:24.465864+09:00,2,330,2,170,1,150,,,2-1,1080,4,1=2,460,2,1=2,230,3,2=5,350,9,1=5,470,10,2-1-5,5520,25,1=2=5,1670,8
202607291604,2026-07-29,16,04R,13:19,2026-07-29T13:30:38.052412+09:00,2,210,2,100,5,140,,,2-5,620,2,2=5,580,3,2=5,140,1,2=3,330,6,3=5,430,8,2-5-3,3370,15,2=3=5,1060,5
202607291011,2026-07-29,10,11R,13:21,2026-07-29T13:30:38.052412+09:00,1,190,1,760,5,260,,,1-5,7010,22,1=5,2390,12,1=5,1270,15,1=2,270,4,2=5,400,7,1-5-2,14330,61,1=2=5,2860,12
202607290404,2026-07-29,04,04R,13:23,2026-07-29T13:30:38.052412+09:00,4,320,4,110,1,100,,,4-1,770,6,1=4,270,2,1=4,100,3,3=4,100,1,1=3,100,2,4-1-3,1450,5,1=3=4,140,1
202607292203,2026-07-29,22,03R,13:27,2026-07-29T13:36:27.102584+09:00,2,470,2,270,5,390,,,2-5,3770,13,2=5,4990,9,2=5,370,6,2=3,110,1,3=5,260,5,2-5-3,5320,23,2=3=5,660,4
202607292311,2026-07-29,23,11R,13:30,2026-07-29T13:38:25.246162+09:00,1,140,1,100,2,710,,,1-2,260,1,1=2,150,1,1=2,130,1,1=4,290,3,2=4,390,6,1-2-4,710,2,1=2=4,350,2
202607291706,2026-07-29,17,06R,13:36,2026-07-29T13:42:22.899232+09:00,1,120,1,100,2,210,,,1-2,270,1,1=2,220,1,1=2,120,2,1=4,100,1,2=4,170,4,1-2-4,470,1,1=2=4,220,1
202607291811,2026-07-29,18,11R,13:39,2026-07-29T13:48:26.591708+09:00,1,100,1,110,6,510,,,1-6,1700,6,1=6,1250,4,1=6,380,6,1=4,130,1,4=6,320,5,1-6-4,2890,10,1=4=6,480,3
202607291107,2026-07-29,11,07R,13:45,2026-07-29T13:52:24.501522+09:00,1,210,1,150,5,430,,,1-5,1700,9,1=5,1220,6,1=5,370,8,1=3,180,1,3=5,290,7,1-5-3,5120,23,1=3=5,780,4
202607291605,2026-07-29,16,05R,13:52,2026-07-29T14:02:23.215253+09:00,1,250,1,150,3,160,,,1-3,880,3,1=3,590,4,1=3,370,4,1=2,370,5,2=3,390,6,1-3-2,2190,7,1=2=3,500,3
202607290405,2026-07-29,04,05R,13:54,2026-07-29T14:04:27.688690+09:00,4,670,4,150,5,180,,,4-5,1210,7,4=5,460,2,4=5,200,3,1=4,210,4,1=5,170,1,4-5-1,3080,10,1=4=5,380,1
202607291012,2026-07-29,10,12R,13:58,2026-07-29T14:08:23.327716+09:00,1,100,1,130,4,280,,,1-4,660,2,1=4,650,3,1=4,270,5,1=3,100,1,3=4,300,6,1-4-3,1760,6,1=3=4,370,1
202607292204,2026-07-29,22,04R,14:01,2026-07-29T14:10:31.421600+09:00,4,1280,4,330,6,180,,,4-6,5600,16,4=6,1770,10,4=6,650,10,2=4,420,7,2=6,520,9,4-6-2,23390,62,2=4=6,2160,11
202607291707,2026-07-29,17,07R,14:04,2026-07-29T14:12:29.562539+09:00,1,190,1,100,2,190,,,1-2,350,1,1=2,170,1,1=2,160,1,1=4,290,7,2=4,350,8,1-2-4,1790,8,1=2=4,600,3
202607292312,2026-07-29,23,12R,14:06,2026-07-29T14:14:29.113025+09:00,5,2260,5,230,4,210,,,5-4,11900,22,4=5,4120,11,4=5,470,8,3=5,470,8,3=4,560,10,5-4-3,51690,80,3=4=5,2350,8
202607291812,2026-07-29,18,12R,14:13,2026-07-29T14:24:23.229394+09:00,4,680,4,350,2,490,,,4-2,8600,25,2=4,2940,10,2=4,590,12,4=5,670,13,2=5,690,14,4-2-5,34350,87,2=4=5,7050,20
202607291108,2026-07-29,11,08R,14:16,2026-07-29T14:26:24.991545+09:00,1,110,1,110,5,590,,,1-5,770,4,1=5,740,4,1=5,220,2,1=6,270,4,5=6,870,13,1-5-6,2290,11,1=5=6,1330,9
