レースコード,レース日,レース場,レース回,締切時刻,取得日時,単勝_艇番,単勝_払戻金,複勝_1着_艇番,複勝_1着_払戻金,複勝_2着_艇番,複勝_2着_払戻金,複勝_3着_艇番,複勝_3着_払戻金,2連単_組番,2連単_払戻金,2連単_人気,2連複_組番,2連複_払戻金,2連複_人気,拡連複_1-2着_組番,拡連複_1-2着_払戻金,拡連複_1-2着_人気,拡連複_1-3着_組番,拡連複_1-3着_払戻金,拡連複_1-3着_人気,拡連複_2-3着_組番,拡連複_2-3着_払戻金,拡連複_2-3着_人気,3連単_組番,3連単_払戻金,3連単_人気,3連複_組番,3連複_払戻金,3連複_人気
202607021603,2026-07-02,16,03R,11:43,2026-07-02T11:52:22.202558+09:00,4,560,4,340,5,1010,,,4-5,5250,16,4=5,3140,12,4=5,1460,13,4=6,730,9,5=6,1730,14,4-5-6,12760,40,4=5=6,6020,16
202607022108,2026-07-02,21,08R,11:49,2026-07-02T11:56:22.760895+09:00,2,130,2,140,5,610,,,2-5,2590,9,2=5,2000,7,2=5,330,5,1=2,140,1,1=5,800,14,2-5-1,8810,33,1=2=5,1350,5
202607020401,2026-07-02,04,01R,11:55,2026-07-02T12:04:24.267089+09:00,4,310,4,150,3,180,,,4-3,730,4,3=4,430,3,3=4,240,3,4=5,670,11,3=5,650,10,4-3-5,3650,14,3=4=5,1260,6
202607021104,2026-07-02,11,04R,11:59,2026-07-02T12:08:24.444196+09:00,1,350,1,140,6,100,,,1-6,920,4,1=6,450,2,1=6,160,2,1=3,240,6,3=6,200,4,1-6-3,2210,8,1=3=6,760,4
202607020502,2026-07-02,05,02R,12:02,2026-07-02T12:10:21.923308+09:00,1,160,1,100,3,100,,,1-3,290,1,1=3,200,1,1=3,100,1,1=6,340,7,3=6,280,5,1-3-6,1750,7,1=3=6,570,4
202607022308,2026-07-02,23,08R,12:04,2026-07-02T12:14:22.460594+09:00,1,420,1,150,3,300,,,1-3,1640,6,1=3,1290,6,1=3,260,4,1=4,150,2,3=4,300,7,1-3-4,2750,12,1=3=4,590,3
202607020602,2026-07-02,06,02R,12:08,2026-07-02T12:16:24.251230+09:00,4,120,4,110,3,110,,,4-3,650,4,3=4,390,2,3=4,190,2,4=5,220,4,3=5,240,5,4-3-5,1630,5,3=4=5,510,4
202607020804,2026-07-02,08,04R,12:12,2026-07-02T12:24:18.942135+09:00,2,340,2,350,1,110,,,2-1,3040,14,1=2,1430,7,1=2,740,12,2=6,780,13,1=6,610,10,2-1-6,8860,41,1=2=6,2150,10
202607021604,2026-07-02,16,04R,12:15,2026-07-02T12:24:18.942135+09:00,5,600,5,150,1,180,,,5-1,4270,16,1=5,1620,7,1=5,460,9,3=5,290,4,1=3,210,3,5-1-3,11280,40,1=3=5,480,2
202607022201,2026-07-02,22,01R,12:20,2026-07-02T12:28:24.043791+09:00,1,100,1,100,2,130,,,1-2,150,1,1=2,170,1,1=2,120,1,1=4,230,4,2=4,570,7,1-2-4,540,2,1=2=4,340,3
