date,stadium,race_round,title,race_code,tansho,fukusho,wakren,fuku2,santan,sanfuku,santan_yosoku,sanfuku_yosoku,rentan,renfuku,rentan_yosoku,renfuku_yosoku,wide,wide_yosoku,trio,trio_yosoku,tiomate,r1_number,r1_name,r1_weight,r1_result,r1_time,r1_difference,r2_number,r2_name,r2_weight,r2_result,r2_time,r2_difference,r3_number,r3_name,r3_weight,r3_result,r3_time,r3_difference,r4_number,r4_name,r4_weight,r4_result,r4_time,r4_difference,r5_number,r5_name,r5_weight,r5_result,r5_time,r5_difference,r6_number,r6_name,r6_weight,r6_result,r6_time,r6_difference
2025-12-29,大村,05R,レッツ５戦　                 H1800m  晴　  風  西　　 5m  波　  5cm,135,,,,,,,,,,,,,,,,,,1,富 永 夏哉人,27.0,1,,,2,宮 地 元 輝,32.0,2,,,3,古 賀 繁 輝,26.0,3,,,4,安河内 健,22.0,4,,,6,田 中 宏 典,37.0,5,,,5,松 尾 基 成,19.0,6,,
2025-12-29,大村,06R,予選　　　　                 H1800m  曇り  風  西　　 4m  波　  4cm,136,,,,,,,,,,,,,,,,,,3,堤 啓 輔,13.0,1,,,4,深 川 真 二,8.0,2,,,1,笠 雅 雄,23.0,3,,,2,武 富 智 亮,25.0,4,,,5,横 田 貴 満,5.0,5,,,6,尾 崎 雄 二,38.0,6,,
2025-12-29,大村,07R,予選　　　　                 H1800m  雨　  風  西　　 4m  波　  4cm,137,,,,,,,,,,,,,,,,,,5,末 永 和 也,15.0,1,,,3,竹 田 広 樹,20.0,2,,,2,北 川 太 一,42.0,3,,,1,山 一 鉄 也,3.0,4,,,6,小 野 勇 作,10.0,5,,,4,杉 山 勝 匡,48.0,6,,
2025-12-29,大村,09R,予選　　　　                 H1800m  曇り  風  南西　 4m  波　  4cm,139,,,,,,,,,,,,,,,,,,1,田 中 太一郎,49.0,1,,,2,岡 部 大 輔,43.0,2,,,3,冨 成 謙 児,58.0,3,,,4,吉 田 光,24.0,4,,,5,宮 地 元 輝,32.0,5,,,6,小 柳 勝 希,14.0,6,,
2025-12-29,大村,10R,R       予選特賞　　                 H1800m  雨　  風  南西　 3m  波　  3cm,1310,,,,,,,,,,,,,,,,,,2,峰 竜 太,16.0,1,,,3,富 永 夏哉人,27.0,2,,,4,堤 啓 輔,13.0,3,,,5,久 富 政 弘,59.0,4,,,6,倉 尾 大 介,47.0,5,,,1,松 江 秀 徳,51.0,6,,
2025-12-29,大村,11R,R       宝当特選　　                 H1800m  晴　  風  南西　 3m  波　  3cm,1311,,,,,,,,,,,,,,,,,,1,古 賀 繁 輝,26.0,1,,,3,武 富 智 亮,25.0,2,,,5,常 住 蓮,4.0,3,,,2,上 野 真之介,28.0,4,,,6,藤 田 浩 人,33.0,5,,,4,小 野 勇 作,10.0,6,,
2025-12-29,大村,12R,R       からっキー選                 H1800m  晴　  風  南西　 3m  波　  3cm,1312,,,,,,,,,,,,,,,,,,3,横 田 貴 満,5.0,1,,,1,山 田 康 二,50.0,2,,,4,定 松 勇 樹,57.0,3,,,5,牧 山 敦 也,40.0,4,,,6,北 川 太 一,42.0,5,,,2,安河内 健,22.0,6,,
2025-12-29,大村,01R,カタメン１一                 H1800m  曇り  風  南　　 3m  波　  3cm,131,,,,,,,,,,,,,,,,,,1,坪 口 竜 也,47.0,1,,,5,中 島 友 和,63.0,2,,,3,橋 本 英 一,24.0,3,,,6,桂 林 寛,13.0,4,,,4,和 合 俊 介 44,152.0,5,,,2,熊 本 英 一 40,136.0,6,,
2025-12-29,大村,02R,一般戦　　　                 H1800m  曇り  風  南　　 3m  波　  3cm,132,,,,,,,,,,,,,,,,,,5,谷 川 将 太,49.0,1,,,6,山 崎 郡,51.0,2,,,4,加 藤 雅 之,69.0,3,,,2,村 本 大 成,61.0,4,,,1,小 松 卓 司 45,167.0,5,,,3,津 留 浩一郎 15,118.0,6,,
2025-12-29,大村,03R,カタメン３一                 H1800m  曇り  風  南　　 3m  波　  3cm,133,,,,,,,,,,,,,,,,,,3,岡 村 将 也,46.0,1,,,5,胡 本 悟 志,74.0,2,,,4,小 林 孝 弘,42.0,3,,,1,北 村 寧 々,48.0,4,,,6,畑 和 宏 35,113.0,5,,,2,江 藤 敦 宏 16,159.0,6,,
2025-12-29,大村,04R,一般戦　　　                 H1800m  曇り  風  南　　 3m  波　  3cm,134,,,,,,,,,,,,,,,,,,1,佃 來 紀,57.0,1,,,4,菅 野 はやか,41.0,2,,,6,湯 川 浩 司,39.0,3,,,5,池 田 剛 規,20.0,4,,,2,高 木 圭 大 75,139.0,5,,,3,山 本 幸 也 18,160.0,6,,
2025-12-29,大村,05R,一般戦　　　                 H1800m  雨　  風  南　　 1m  波　  2cm,135,,,,,,,,,,,,,,,,,,1,小 林 文 彦,28.0,1,,,2,高 橋 龍 治,33.0,2,,,6,石 川 真 二,43.0,3,,,5,百 武 翔,70.0,4,,,4,出 畑 孝 成 25,120.0,5,,,3,中 尾 彩 香 65,170.0,6,,
