date,stadium,race_round,title,race_code,tansho,fukusho,wakren,fuku2,santan,sanfuku,santan_yosoku,sanfuku_yosoku,rentan,renfuku,rentan_yosoku,renfuku_yosoku,wide,wide_yosoku,trio,trio_yosoku,tiomate,r1_number,r1_name,r1_weight,r1_result,r1_time,r1_difference,r2_number,r2_name,r2_weight,r2_result,r2_time,r2_difference,r3_number,r3_name,r3_weight,r3_result,r3_time,r3_difference,r4_number,r4_name,r4_weight,r4_result,r4_time,r4_difference,r5_number,r5_name,r5_weight,r5_result,r5_time,r5_difference,r6_number,r6_name,r6_weight,r6_result,r6_time,r6_difference
2025-12-28,大村,01R,シリーズ戦予                 H1800m  晴　  風  南西　 2m  波　  1cm,131,,,,,,,,,,,,,,,,,,1,平 川 香 織,14.0,1,,,2,米 丸 乃 絵,26.0,2,,,6,堀之内 紀代子,73.0,3,,,3,井 上 遥 妃,30.0,4,,,5,細 川 裕 子 22,31.0,5,,,4,小 芦 るり華 13,65.0,6,,
2025-12-28,大村,02R,シリーズ戦予                 H1800m  晴　  風  西　　 1m  波　  1cm,132,,,,,,,,,,,,,,,,,,1,宇 野 弥 生,49.0,1,,,3,樋 口 由加里,39.0,2,,,6,落 合 直 子,18.0,3,,,4,清 水 沙 樹,50.0,4,,,5,角 ひとみ 53,57.0,5,,,2,今 井 裕 梨 12,19.0,6,,
2025-12-28,大村,03R,シリーズ戦予                 H1800m  晴　  風  北西　 1m  波　  1cm,133,,,,,,,,,,,,,,,,,,1,若 狭 奈美子,48.0,1,,,2,大 瀧 明日香,15.0,2,,,3,富 樫 麗 加,25.0,3,,,4,中 田 夕 貴,24.0,4,,,6,津 田 裕 絵 52,24.0,5,,,5,寺 島 美 里 72,40.0,6,,
2025-12-28,大村,04R,シリーズ戦予                 H1800m  晴　  風  西　　 1m  波　  1cm,134,,,,,,,,,,,,,,,,,,2,山 口 真喜子,17.0,1,,,1,深 川 麻奈美,69.0,2,,,4,海 野 ゆかり,76.0,3,,,3,向 井 美 鈴,35.0,4,,,5,小 池 礼 乃 33,29.0,5,,,6,山 下 夏 鈴 59,15.0,6,,
2025-12-28,大村,05R,シリーズ戦予                 H1800m  晴　  風  南西　 1m  波　  1cm,135,,,,,,,,,,,,,,,,,,2,井 上 遥 妃,30.0,1,,,1,湯 淺 紀 香,67.0,2,,,3,中 川 り な,31.0,3,,,5,勝 浦 真 帆,36.0,4,,,4,平 田 さやか 28,77.0,5,,,6,前 田 紗 希 32,74.0,6,,
2025-12-28,大村,06R,シリーズ戦予                 H1800m  晴　  風  東　　 1m  波　  1cm,136,,,,,,,,,,,,,,,,,,1,三 浦 永 理,56.0,1,,,2,平 川 香 織,14.0,2,,,6,武 井 莉里佳,27.0,3,,,3,西 村 歩,34.0,4,,,4,黒 澤 めぐみ 46,60.0,5,,,5,岩 崎 芳 美 57,20.0,6,,
2025-12-28,大村,07R,シリーズ戦予                 H1800m  晴　  風  東　　 1m  波　  1cm,137,,,,,,,,,,,,,,,,,,1,山 田 理 央,16.0,1,,,2,櫻 本 あゆみ,44.0,2,,,4,喜 井 つかさ,70.0,3,,,5,落 合 直 子,18.0,4,,,3,細 川 裕 子 22,31.0,5,,,6,寺 島 美 里 72,40.0,6,,
2025-12-28,大村,08R,シリーズ戦予                 H1800m  晴　  風  南東　 1m  波　  1cm,138,,,,,,,,,,,,,,,,,,2,刑 部 亜里紗,47.0,1,,,3,角 ひとみ,53.0,2,,,4,堀之内 紀代子,73.0,3,,,1,関 野 文,38.0,4,,,5,富 樫 麗 加 25,68.0,5,,,6,松 尾 夏 海 45,54.0,6,,
2025-12-28,大村,09R,シリーズ戦予                 H1800m  晴　  風  東　　 1m  波　  1cm,139,,,,,,,,,,,,,,,,,,1,勝 浦 真 帆,36.0,1,,,2,藤 原 菜 希,51.0,2,,,5,小 芦 るり華,13.0,3,,,3,深 川 麻奈美,69.0,4,,,6,中 田 夕 貴 24,26.0,5,,,4,樋 口 由加里 39,12.0,6,,
2025-12-28,大村,10R,R       シリーズ戦予                 H1800m  晴　  風  南東　 2m  波　  1cm,1310,,,,,,,,,,,,,,,,,,3,若 狭 奈美子,48.0,1,,,1,海 野 ゆかり,76.0,2,,,4,前 田 紗 希,32.0,3,,,5,米 丸 乃 絵,26.0,4,,,2,黒 澤 めぐみ 46,60.0,5,,,6,今 井 裕 梨 12,19.0,6,,
