レースコード,レース日,レース場,レース回,ステータス,計測数,計測項目1,計測項目2,計測項目3,艇1_選手名,艇1_値1,艇1_値2,艇1_値3,艇2_選手名,艇2_値1,艇2_値2,艇2_値3,艇3_選手名,艇3_値1,艇3_値2,艇3_値3,艇4_選手名,艇4_値1,艇4_値2,艇4_値3,艇5_選手名,艇5_値1,艇5_値2,艇5_値3,艇6_選手名,艇6_値1,艇6_値2,艇6_値3
202404210201,2024-04-21,2,01R,1,3,一周,まわり足,直線,白井 友晴,36.82,5.52,7.06,大澤 大夢,37.36,5.4,7.09,大塚 康雅,37.27,5.7,7.03,井上 尚悟,37.19,5.46,7.18,丹下 健,37.47,5.43,7.31,尾形 栄治,37.23,5.57,7.2
202404210202,2024-04-21,2,02R,1,3,一周,まわり足,直線,町田 洸希,37.64,5.65,7.05,三浦 裕貴,37.04,5.26,6.93,板倉 敦史,37.2,5.44,7.01,河合 三弘,37.64,5.44,7.14,平石 和男,37.2,5.69,6.98,品川 賢次,37.53,6.0,6.94
202404210203,2024-04-21,2,03R,1,3,一周,まわり足,直線,小澤 学,37.24,5.66,7.03,浜野 孝志,36.83,5.6,7.13,木場 悠介,37.39,5.7,7.07,金山 立樹,37.19,5.61,7.05,長谷川 充,36.92,5.83,7.03,花本 夏樹,37.9,6.06,7.06
202404210204,2024-04-21,2,04R,1,3,一周,まわり足,直線,岡部 貴司,37.56,5.85,6.98,西舘 健,37.42,5.45,7.19,関口 智久,37.48,5.56,7.28,多田 有佑,37.16,5.49,7.24,山本 浩次,37.43,5.37,7.17,上條 嘉嗣,38.01,5.39,7.09
202404210205,2024-04-21,2,05R,1,3,一周,まわり足,直線,一柳 和孝,36.45,5.53,6.99,佐口 達也,37.64,5.53,7.09,田中 豪,37.23,5.6,7.18,丸岡 正典,37.47,5.56,7.1,井上 尚悟,37.63,5.6,7.07,宮内 由紀英,37.54,5.87,7.07
202404210206,2024-04-21,2,06R,1,3,一周,まわり足,直線,中嶋 達也,37.45,5.43,7.13,大塚 康雅,37.44,5.56,7.1,別府 正幸,38.25,5.82,7.1,廣瀬 将亨,37.14,5.36,7.14,町田 洸希,38.1,5.81,7.04,土屋 太朗,37.85,5.59,7.13
202404210207,2024-04-21,2,07R,1,3,一周,まわり足,直線,畑田 汰一,36.38,5.35,6.97,南 佑典,37.17,5.34,7.1,澤崎 雄哉,37.72,5.61,7.1,花本 夏樹,37.91,5.4,7.16,河合 三弘,37.15,5.44,7.24,大澤 大夢,37.81,5.52,7.12
202404210208,2024-04-21,2,08R,1,3,一周,まわり足,直線,西舘 健,37.27,5.86,7.0,品川 賢次,37.16,5.9,7.03,小澤 学,38.2,5.73,7.13,鹿島 敏弘,37.76,5.61,7.17,田中 和也,37.24,5.43,7.13,東本 勝利,37.7,5.2,7.24
202404210209,2024-04-21,2,09R,1,3,一周,まわり足,直線,田中 豪,37.2,5.63,7.1,平石 和男,36.72,5.9,6.93,岡部 哲,37.43,5.7,7.07,山崎 郡,37.07,5.87,7.0,木場 悠介,37.63,5.63,7.1,多田 有佑,37.38,5.46,7.23
202404210210,2024-04-21,2,10R,1,3,一周,まわり足,直線,別府 正幸,37.6,5.47,7.05,石野 貴之,37.03,5.27,7.07,上條 嘉嗣,37.21,5.39,7.07,一柳 和孝,37.09,5.46,7.03,金山 立樹,37.33,5.64,7.13,品田 直樹,37.76,5.93,7.03
