レースコード,レース日,レース場コード,レース回,1枠_登録番号,1枠_推定ST,1枠_推定ST_p25,1枠_推定ST_p75,2枠_登録番号,2枠_推定ST,2枠_推定ST_p25,2枠_推定ST_p75,3枠_登録番号,3枠_推定ST,3枠_推定ST_p25,3枠_推定ST_p75,4枠_登録番号,4枠_推定ST,4枠_推定ST_p25,4枠_推定ST_p75,5枠_登録番号,5枠_推定ST,5枠_推定ST_p25,5枠_推定ST_p75,6枠_登録番号,6枠_推定ST,6枠_推定ST_p25,6枠_推定ST_p75
202608160101,2026-08-16,01,01R,3973,0.1872,0.1488,0.2255,5301,0.1592,0.1255,0.193,3475,0.1704,0.1337,0.2071,4113,0.1603,0.1248,0.1958,3860,0.1958,0.1534,0.2382,3655,0.2081,0.1708,0.2454
202608160102,2026-08-16,01,02R,4888,0.1584,0.1166,0.2002,4940,0.1707,0.1207,0.2207,3482,0.1287,0.0925,0.1649,5390,0.1491,0.108,0.1903,3947,0.1739,0.1327,0.2151,3659,0.177,0.1435,0.2104
202608160103,2026-08-16,01,03R,4407,0.1524,0.1124,0.1924,3406,0.1555,0.1136,0.1974,4281,0.1498,0.1085,0.1911,4880,0.1544,0.1191,0.1897,3827,0.1685,0.1209,0.216,4486,0.1654,0.1251,0.2057
202608160104,2026-08-16,01,04R,4491,0.1741,0.1295,0.2187,5103,0.2003,0.1424,0.2583,4362,0.1352,0.1013,0.169,3805,0.1184,0.0861,0.1507,5090,0.1666,0.1313,0.2019,5455,0.1837,0.1287,0.2386
202608160105,2026-08-16,01,05R,5234,0.1253,0.0854,0.1651,3441,0.1803,0.1325,0.2281,4568,0.1272,0.0949,0.1596,4420,0.1498,0.1109,0.1888,5301,0.1591,0.1254,0.1929,5150,0.194,0.1484,0.2395
202608160106,2026-08-16,01,06R,4240,0.1353,0.0953,0.1753,4987,0.1588,0.1242,0.1934,5320,0.1575,0.117,0.198,5153,0.1791,0.1313,0.227,4940,0.1706,0.1206,0.2206,5390,0.1655,0.1244,0.2067
202608160107,2026-08-16,01,07R,4787,0.1204,0.0828,0.158,3860,0.1959,0.1535,0.2383,4540,0.1368,0.0863,0.1873,3947,0.171,0.1298,0.2122,4880,0.1573,0.122,0.1926,3475,0.1898,0.1531,0.2265
202608160108,2026-08-16,01,08R,4550,0.1548,0.1185,0.1911,5364,0.1489,0.0992,0.1987,3655,0.1887,0.1514,0.226,5103,0.1973,0.1394,0.2553,4645,0.1376,0.0993,0.1759,4766,0.1383,0.1016,0.1749
202608160109,2026-08-16,01,09R,5065,0.1131,0.0819,0.1443,4113,0.1633,0.1278,0.1988,3973,0.1887,0.1503,0.227,3827,0.1656,0.118,0.2131,3850,0.1311,0.0956,0.1665,5141,0.1668,0.1329,0.2006
202608160110,2026-08-16,01,10R,4420,0.1453,0.1064,0.1843,5234,0.1328,0.0929,0.1726,3805,0.1154,0.0831,0.1477,3406,0.1525,0.1106,0.1944,4888,0.1658,0.124,0.2076,4407,0.1733,0.1333,0.2133
202608160111,2026-08-16,01,11R,4362,0.1337,0.0998,0.1675,4240,0.1428,0.1028,0.1828,4787,0.1219,0.0843,0.1595,3482,0.1317,0.0955,0.1679,3441,0.1802,0.1324,0.228,4491,0.195,0.1504,0.2396
202608160112,2026-08-16,01,12R,4188,0.1062,0.0695,0.1429,4238,0.1404,0.1044,0.1764,4851,0.1197,0.0856,0.1537,3740,0.1554,0.1133,0.1975,5216,0.1528,0.1156,0.1901,4539,0.1381,0.1062,0.17
202608160201,2026-08-16,02,01R,5368,0.1276,0.0862,0.169,3306,0.148,0.1085,0.1875,4201,0.155,0.1128,0.1972,5194,0.1683,0.1247,0.212,4031,0.1585,0.1121,0.205,4532,0.155,0.1172,0.1929
202608160202,2026-08-16,02,02R,3075,0.1167,0.0736,0.1597,4900,0.172,0.1223,0.2217,3793,0.1382,0.0916,0.1847,5132,0.1445,0.1054,0.1835,3647,0.1598,0.1175,0.202,5288,0.1458,0.105,0.1865
202608160203,2026-08-16,02,03R,3381,0.1203,0.0806,0.1599,3696,0.1678,0.1325,0.203,3503,0.1609,0.1211,0.2008,4110,0.1758,0.1372,0.2144,5357,0.1653,0.1055,0.225,5182,0.1596,0.1145,0.2046
202608160204,2026-08-16,02,04R,4836,0.1336,0.0918,0.1754,3807,0.1561,0.1118,0.2003,4419,0.1464,0.104,0.1888,3880,0.1938,0.1459,0.2417,4186,0.1458,0.104,0.1876,5454,0.2249,0.1777,0.2722
202608160205,2026-08-16,02,05R,5035,0.1492,0.105,0.1933,4031,0.1586,0.1122,0.2051,4432,0.1392,0.0989,0.1796,4532,0.1386,0.1008,0.1765,5288,0.1323,0.0915,0.173,4898,0.1803,0.125,0.2355
202608160206,2026-08-16,02,06R,3679,0.1372,0.1027,0.1717,4201,0.161,0.1188,0.2032,4900,0.166,0.1163,0.2157,5182,0.1432,0.0981,0.1882,5368,0.135,0.0936,0.1764,3075,0.1376,0.0945,0.1806
202608160207,2026-08-16,02,07R,5132,0.14,0.1009,0.179,5194,0.1713,0.1277,0.215,3696,0.1618,0.1265,0.197,3503,0.1639,0.1241,0.2038,5454,0.2114,0.1642,0.2587,3306,0.1614,0.1219,0.2009
202608160208,2026-08-16,02,08R,3793,0.1367,0.0901,0.1832,4110,0.1788,0.1402,0.2174,3807,0.1501,0.1058,0.1943,4419,0.1494,0.107,0.1918,4898,0.1668,0.1115,0.222,5357,0.1788,0.119,0.2385
202608160209,2026-08-16,02,09R,4432,0.1377,0.0974,0.1781,4186,0.1459,0.1041,0.1877,3381,0.1218,0.0821,0.1614,5035,0.1537,0.1095,0.1978,3880,0.1967,0.1488,0.2446,3647,0.1733,0.131,0.2155
202608160210,2026-08-16,02,10R,5087,0.1515,0.1148,0.1881,4809,0.1466,0.1062,0.187,4230,0.1567,0.1176,0.1959,4547,0.1492,0.1055,0.1929,5066,0.154,0.1147,0.1933,5246,0.1575,0.1166,0.1984
202608160211,2026-08-16,02,11R,5220,0.1088,0.0713,0.1463,5191,0.1176,0.0798,0.1554,3983,0.1348,0.0956,0.174,5051,0.1436,0.1051,0.1821,4428,0.1171,0.0852,0.1491,4836,0.1545,0.1127,0.1963
202608160212,2026-08-16,02,12R,5112,0.1498,0.1083,0.1912,4637,0.1626,0.1219,0.2032,4953,0.1454,0.109,0.1819,3952,0.1278,0.0918,0.1637,4159,0.1474,0.1108,0.184,3679,0.1581,0.1236,0.1926
202608160401,2026-08-16,04,01R,4211,0.1222,0.0853,0.1591,4676,0.1713,0.1282,0.2143,4728,0.1994,0.1588,0.2399,5175,0.1585,0.1138,0.2032,4895,0.1278,0.0856,0.17,5422,0.2129,0.1701,0.2557
202608160402,2026-08-16,04,02R,4421,0.1762,0.1267,0.2257,3385,0.1503,0.1109,0.1896,4283,0.1721,0.1207,0.2235,5415,0.2557,0.194,0.3174,3256,0.1379,0.0955,0.1803,4560,0.1698,0.1309,0.2087
202608160403,2026-08-16,04,03R,4053,0.1658,0.1193,0.2123,3463,0.1794,0.1391,0.2197,5005,0.1289,0.0839,0.1739,5253,0.2409,0.2011,0.2806,4191,0.1516,0.1142,0.1889,5436,0.212,0.1608,0.2632
202608160404,2026-08-16,04,04R,4779,0.1368,0.0976,0.1759,3966,0.1672,0.1208,0.2137,4813,0.1966,0.149,0.2441,3826,0.1417,0.1011,0.1823,3992,0.1556,0.1212,0.1901,5449,0.2089,0.152,0.2658
202608160405,2026-08-16,04,05R,4488,0.1438,0.1066,0.181,4152,0.1532,0.1156,0.1907,5365,0.1952,0.1444,0.2459,4484,0.2113,0.1232,0.2993,4759,0.1465,0.1078,0.1852,4619,0.1687,0.1117,0.2256
202608160406,2026-08-16,04,06R,5228,0.1469,0.1095,0.1843,3319,0.1571,0.12,0.1943,4211,0.1237,0.0868,0.1606,5047,0.1583,0.1119,0.2048,5422,0.1994,0.1566,0.2422,5135,0.1878,0.141,0.2346
202608160407,2026-08-16,04,07R,4283,0.1706,0.1192,0.222,4496,0.1621,0.1197,0.2045,5253,0.2379,0.1981,0.2776,4676,0.1683,0.1252,0.2113,4421,0.1836,0.1341,0.2331,3353,0.1799,0.1289,0.2308
