レースコード,レース日,レース場コード,レース回,1枠_登録番号,1枠_推定ST,1枠_推定ST_p25,1枠_推定ST_p75,2枠_登録番号,2枠_推定ST,2枠_推定ST_p25,2枠_推定ST_p75,3枠_登録番号,3枠_推定ST,3枠_推定ST_p25,3枠_推定ST_p75,4枠_登録番号,4枠_推定ST,4枠_推定ST_p25,4枠_推定ST_p75,5枠_登録番号,5枠_推定ST,5枠_推定ST_p25,5枠_推定ST_p75,6枠_登録番号,6枠_推定ST,6枠_推定ST_p25,6枠_推定ST_p75
202608120101,2026-08-12,01,01R,3973,0.1906,0.1519,0.2294,3532,0.165,0.1252,0.2048,3482,0.1329,0.0962,0.1695,5153,0.1867,0.1399,0.2334,3659,0.1613,0.1267,0.1958,4486,0.1716,0.1307,0.2124
202608120102,2026-08-12,01,02R,3947,0.1672,0.1232,0.2111,4766,0.1136,0.0761,0.151,4987,0.1555,0.12,0.191,4281,0.1547,0.113,0.1965,5065,0.1215,0.0901,0.1529,4787,0.1433,0.1048,0.1818
202608120103,2026-08-12,01,03R,3860,0.1914,0.1475,0.2353,4940,0.174,0.1237,0.2242,3827,0.1628,0.1197,0.2059,5364,0.1428,0.0973,0.1882,3740,0.1527,0.1113,0.1942,4188,0.1269,0.0898,0.1639
202608120104,2026-08-12,01,04R,3441,0.1787,0.1322,0.2252,4362,0.1434,0.1087,0.1781,5301,0.1533,0.1181,0.1885,3850,0.1324,0.0957,0.1691,5090,0.171,0.1337,0.2084,4539,0.1378,0.1054,0.1702
202608120105,2026-08-12,01,05R,3805,0.1142,0.0811,0.1472,4851,0.1291,0.0936,0.1646,5153,0.1837,0.1369,0.2304,5150,0.1447,0.0991,0.1902,3406,0.1622,0.1218,0.2027,5455,0.1949,0.1416,0.2481
202608120106,2026-08-12,01,06R,5216,0.1512,0.1135,0.1888,3482,0.1389,0.1022,0.1755,3655,0.1907,0.1509,0.2306,3947,0.1717,0.1277,0.2156,5320,0.1627,0.121,0.2043,4113,0.1772,0.1413,0.2132
202608120107,2026-08-12,01,07R,4420,0.1459,0.1055,0.1863,3860,0.1989,0.155,0.2428,5141,0.143,0.108,0.1779,4987,0.1585,0.123,0.194,3973,0.198,0.1593,0.2368,5390,0.1693,0.128,0.2107
202608120108,2026-08-12,01,08R,4240,0.1404,0.0985,0.1823,4491,0.1879,0.1431,0.2327,5103,0.1987,0.1494,0.248,3827,0.1658,0.1227,0.2089,5234,0.132,0.0918,0.1722,4568,0.151,0.117,0.1851
202608120109,2026-08-12,01,09R,4888,0.1683,0.1257,0.2109,4787,0.1299,0.0914,0.1684,3659,0.1554,0.1208,0.1899,4645,0.1332,0.0933,0.1731,5301,0.1592,0.124,0.1944,4880,0.1699,0.1346,0.2051
202608120110,2026-08-12,01,10R,3475,0.1699,0.132,0.2079,4486,0.1582,0.1173,0.199,5216,0.1527,0.115,0.1903,3441,0.1832,0.1367,0.2297,4550,0.1608,0.123,0.1986,4238,0.1564,0.1188,0.194
202608120111,2026-08-12,01,11R,4362,0.1359,0.1012,0.1706,5065,0.1216,0.0902,0.153,4188,0.1075,0.0704,0.1445,3532,0.162,0.1222,0.2018,4540,0.1278,0.0865,0.1692,4407,0.1741,0.1337,0.2144
202608120112,2026-08-12,01,12R,4851,0.1216,0.0861,0.1571,3740,0.1528,0.1114,0.1943,4539,0.1184,0.086,0.1508,4420,0.1504,0.11,0.1908,4491,0.1878,0.143,0.2326,4766,0.127,0.0895,0.1644
202608120201,2026-08-12,02,01R,5368,0.1334,0.0897,0.1771,5394,0.1786,0.1335,0.2236,5246,0.1423,0.1019,0.1828,3952,0.1259,0.0907,0.161,4031,0.1655,0.1223,0.2086,4898,0.158,0.111,0.205
202608120202,2026-08-12,02,02R,5194,0.1689,0.126,0.2117,3983,0.1441,0.1042,0.1839,4428,0.116,0.0839,0.1481,3880,0.193,0.1529,0.233,3381,0.137,0.0965,0.1775,5112,0.1788,0.1362,0.2213
202608120203,2026-08-12,02,03R,4432,0.1416,0.1008,0.1824,5182,0.1462,0.1045,0.1879,4953,0.1459,0.1093,0.1826,4144,0.164,0.1253,0.2027,5051,0.1506,0.1106,0.1906,4186,0.1657,0.1226,0.2088
202608120204,2026-08-12,02,04R,3647,0.1542,0.1114,0.197,5066,0.1514,0.1119,0.1908,5191,0.1114,0.0743,0.1485,4900,0.1726,0.1272,0.2179,5220,0.1212,0.0824,0.1599,3696,0.1825,0.1474,0.2176
202608120205,2026-08-12,02,05R,3679,0.1442,0.1103,0.1781,3497,0.1646,0.1277,0.2014,5288,0.1276,0.0903,0.165,4532,0.1377,0.1007,0.1748,4201,0.163,0.1222,0.2037,4836,0.159,0.1168,0.2012
202608120206,2026-08-12,02,06R,3503,0.1625,0.1227,0.2022,4637,0.1714,0.1324,0.2104,4031,0.1596,0.1164,0.2027,4159,0.1489,0.1111,0.1867,3793,0.1544,0.1116,0.1971,4444,0.1395,0.1006,0.1784
202608120207,2026-08-12,02,07R,4547,0.1477,0.1073,0.1882,3075,0.128,0.0822,0.1738,3306,0.1467,0.1048,0.1886,4110,0.1829,0.1437,0.2221,4432,0.149,0.1082,0.1898,3880,0.2094,0.1693,0.2494
