レースコード,レース日,レース場コード,レース回,1枠_登録番号,1枠_推定ST,1枠_推定ST_p25,1枠_推定ST_p75,2枠_登録番号,2枠_推定ST,2枠_推定ST_p25,2枠_推定ST_p75,3枠_登録番号,3枠_推定ST,3枠_推定ST_p25,3枠_推定ST_p75,4枠_登録番号,4枠_推定ST,4枠_推定ST_p25,4枠_推定ST_p75,5枠_登録番号,5枠_推定ST,5枠_推定ST_p25,5枠_推定ST_p75,6枠_登録番号,6枠_推定ST,6枠_推定ST_p25,6枠_推定ST_p75
202608280101,2026-08-28,01,01R,4361,0.1279,0.0922,0.1635,4848,0.1438,0.1016,0.1861,4366,0.1517,0.1105,0.1929,4787,0.1226,0.0847,0.1604,4061,0.1278,0.0927,0.163,4939,0.1415,0.1057,0.1773
202608280102,2026-08-28,01,02R,4350,0.12,0.0887,0.1513,4604,0.1396,0.1041,0.1751,4030,0.1272,0.0941,0.1603,4188,0.1123,0.0768,0.1479,4444,0.1261,0.0888,0.1635,4237,0.1567,0.1105,0.203
202608280103,2026-08-28,01,03R,4013,0.1348,0.0924,0.1772,5121,0.1406,0.1026,0.1786,4362,0.1318,0.0979,0.1657,4166,0.1176,0.0829,0.1523,3415,0.1307,0.0941,0.1674,4686,0.1374,0.1013,0.1736
202608280104,2026-08-28,01,04R,4445,0.1122,0.0739,0.1504,4477,0.1306,0.0948,0.1664,3716,0.1186,0.0868,0.1503,4685,0.1479,0.111,0.1848,3897,0.1171,0.0821,0.1521,4719,0.1425,0.1106,0.1743
202608280105,2026-08-28,01,05R,4266,0.1439,0.0848,0.203,3783,0.1489,0.1097,0.1882,5224,0.1277,0.0913,0.1641,4586,0.1166,0.0849,0.1482,4320,0.1221,0.0822,0.1621,4682,0.1447,0.1123,0.1772
202608280106,2026-08-28,01,06R,4205,0.1166,0.0843,0.149,3854,0.1519,0.1076,0.1962,3941,0.1172,0.0844,0.15,4061,0.1249,0.0898,0.1601,4350,0.1274,0.0961,0.1587,4851,0.1337,0.0993,0.168
202608280107,2026-08-28,01,07R,4831,0.1353,0.1017,0.1689,4188,0.1153,0.0798,0.1509,4361,0.1294,0.0937,0.165,4337,0.1157,0.0803,0.1511,3590,0.1274,0.0864,0.1685,4352,0.1463,0.1123,0.1802
202608280108,2026-08-28,01,08R,4787,0.1181,0.0802,0.1559,4719,0.1291,0.0972,0.1609,4166,0.1146,0.0799,0.1493,4371,0.1275,0.0869,0.1681,4571,0.1524,0.1072,0.1976,4604,0.153,0.1175,0.1885
202608280109,2026-08-28,01,09R,4418,0.1103,0.075,0.1457,4237,0.1433,0.0971,0.1896,4586,0.1136,0.0819,0.1452,4939,0.1251,0.0893,0.1609,4344,0.1462,0.1004,0.1919,4547,0.1614,0.1183,0.2045
202608280110,2026-08-28,01,10R,4262,0.1272,0.0952,0.1592,4320,0.1222,0.0823,0.1622,4013,0.1363,0.0939,0.1787,3959,0.1366,0.0977,0.1754,4685,0.1508,0.1139,0.1877,4848,0.1572,0.115,0.1995
