レースコード,レース日,レース場コード,レース回,1枠_登録番号,1枠_推定ST,2枠_登録番号,2枠_推定ST,3枠_登録番号,3枠_推定ST,4枠_登録番号,4枠_推定ST,5枠_登録番号,5枠_推定ST,6枠_登録番号,6枠_推定ST
202608010101,2026-08-01,01,01R,5108,0.2343,4275,0.2068,4408,0.1835,5416,0.1245,5291,0.2056,4965,0.1832
202608010102,2026-08-01,01,02R,3302,0.1634,5184,0.1829,3474,0.1663,4927,0.1454,4733,0.1509,3604,0.2023
202608010103,2026-08-01,01,03R,3470,0.1659,3845,0.197,5117,0.1813,3355,0.251,5390,0.1663,5204,0.1794
202608010104,2026-08-01,01,04R,3528,0.1841,5129,0.1486,4300,0.1607,5069,0.1609,4045,0.1522,4901,0.1752
202608010105,2026-08-01,01,05R,5180,0.1891,4965,0.1698,4990,0.2076,5182,0.1402,5003,0.1668,5163,0.1933
202608010106,2026-08-01,01,06R,4936,0.1966,5123,0.1698,5184,0.1769,3175,0.1507,5416,0.1274,4784,0.2477
202608010107,2026-08-01,01,07R,4927,0.1409,4947,0.1769,4885,0.1369,4987,0.1576,4408,0.1894,3355,0.2674
202608010108,2026-08-01,01,08R,5129,0.1411,3604,0.1889,4275,0.2008,5390,0.1634,4773,0.1732,5340,0.1685
202608010109,2026-08-01,01,09R,4589,0.1654,4300,0.1667,5291,0.1997,3302,0.1679,3509,0.155,4240,0.1744
202608010110,2026-08-01,01,10R,4045,0.1448,5204,0.166,4936,0.1981,4071,0.1664,4990,0.2135,3518,0.2037
202608010111,2026-08-01,01,11R,4733,0.1435,5163,0.1799,3334,0.1871,4947,0.1739,4901,0.1617,3778,0.2161
202608010112,2026-08-01,01,12R,4885,0.1354,4773,0.1733,4014,0.1667,3845,0.194,5069,0.1638,5182,0.1566
202608010501,2026-08-01,05,01R,3306,0.1416,3643,0.1645,4228,0.163,4340,0.204,4518,0.1877,5454,0.2174
202608010502,2026-08-01,05,02R,4076,0.187,3994,0.1776,4836,0.1479,5216,0.1546,3436,0.1558,3256,0.1563
202608010503,2026-08-01,05,03R,4568,0.1331,5057,0.1414,4526,0.1362,4362,0.1392,4306,0.1993,4389,0.1914
202608010504,2026-08-01,05,04R,5082,0.1648,4759,0.1599,4356,0.1537,5232,0.149,5383,0.1453,4384,0.1835
202608010505,2026-08-01,05,05R,4540,0.1197,5360,0.1949,5230,0.1838,5434,0.1455,4084,0.1484,4254,0.1572
202608010506,2026-08-01,05,06R,3659,0.1555,4997,0.1717,3850,0.1366,4754,0.1464,3643,0.1644,4095,0.1465
202608010507,2026-08-01,05,07R,4581,0.1518,4728,0.2002,4119,0.165,4053,0.1776,4548,0.2487,5454,0.2174
202608010508,2026-08-01,05,08R,4526,0.1347,3256,0.1429,4340,0.201,5383,0.1424,5153,0.1922,3339,0.1821
202608010509,2026-08-01,05,09R,4834,0.1236,4518,0.1878,5360,0.1889,5082,0.1693,4389,0.1779,4444,0.143
202608010510,2026-08-01,05,10R,4084,0.141,4568,0.1406,4384,0.1641,4182,0.1721,5216,0.1575,5004,0.1485
202608010511,2026-08-01,05,11R,4759,0.1524,4306,0.1994,3659,0.157,4581,0.1563,4254,0.1437,4836,0.1673
202608010512,2026-08-01,05,12R,4362,0.1347,4540,0.1272,5232,0.146,3994,0.1746,4053,0.1805,4754,0.1628
202608010601,2026-08-01,06,01R,3630,0.1499,4086,0.1328,3983,0.1373,3459,0.1503,3953,0.1974,3564,0.177
202608010602,2026-08-01,06,02R,4007,0.1264,3713,0.1808,3990,0.1375,3988,0.1282,3054,0.1899,4064,0.1785
202608010603,2026-08-01,06,03R,3690,0.1884,3445,0.1877,3541,0.1583,4040,0.1472,3563,0.1459,4061,0.1363
202608010604,2026-08-01,06,04R,3984,0.1484,3934,0.1641,3870,0.1772,3718,0.1556,3928,0.1627,3352,0.1808
202608010605,2026-08-01,06,05R,3998,0.1595,4152,0.1549,3319,0.1475,4006,0.1601,3742,0.1726,3744,0.1279
202608010606,2026-08-01,06,06R,4010,0.1524,3956,0.1629,3940,0.1383,3953,0.1945,3612,0.1266,3315,0.1693
202608010607,2026-08-01,06,07R,3459,0.1458,3710,0.1707,3909,0.1013,3997,0.1554,3562,0.1572,3990,0.1569
202608010608,2026-08-01,06,08R,3713,0.1733,3712,0.1663,3445,0.1817,3854,0.168,3630,0.1573,3882,0.1763
202608010609,2026-08-01,06,09R,3988,0.1237,3730,0.1481,4061,0.1169,3931,0.1302,3870,0.1831,3983,0.1567
