レースコード,レース日,レース場コード,レース回,1枠_登録番号,1枠_推定ST,2枠_登録番号,2枠_推定ST,3枠_登録番号,3枠_推定ST,4枠_登録番号,4枠_推定ST,5枠_登録番号,5枠_推定ST,6枠_登録番号,6枠_推定ST
202608050101,2026-08-05,01,01R,5108,0.2267,4408,0.1937,3355,0.2576,5003,0.1676,4071,0.1669,4987,0.1726
202608050102,2026-08-05,01,02R,3302,0.1606,3175,0.1585,3528,0.184,5291,0.204,5390,0.1632,4733,0.1632
202608050103,2026-08-05,01,03R,3474,0.1639,5182,0.1469,4947,0.1796,4990,0.2019,5416,0.1324,4901,0.1717
202608050104,2026-08-05,01,04R,4965,0.1561,5180,0.194,3509,0.1489,3778,0.2066,4275,0.2055,5069,0.1747
202608050105,2026-08-05,01,05R,4589,0.1612,5123,0.1692,4071,0.161,4240,0.1507,4045,0.1485,4784,0.2363
202608050106,2026-08-05,01,06R,5129,0.1364,3355,0.2636,3518,0.1792,3470,0.1665,3528,0.1899,4300,0.1817
202608050107,2026-08-05,01,07R,3845,0.1943,5291,0.207,4014,0.1735,4987,0.1562,4408,0.1936,5416,0.1459
202608050108,2026-08-05,01,08R,4936,0.2021,4275,0.2056,5003,0.1646,5117,0.18,4773,0.1768,5390,0.1767
202608050109,2026-08-05,01,09R,4901,0.1508,4784,0.2229,5108,0.2282,5123,0.1662,3778,0.2095,5163,0.196
202608050110,2026-08-05,01,10R,4733,0.1423,3302,0.1681,4240,0.1477,5069,0.1583,5182,0.1468,5129,0.1573
202608050111,2026-08-05,01,11R,4014,0.172,4965,0.1636,3845,0.1958,3474,0.1684,3175,0.1584,4589,0.1821
202608050112,2026-08-05,01,12R,4885,0.1328,3334,0.1915,4927,0.1438,5340,0.1477,5204,0.1623,3604,0.2026
202608050401,2026-08-05,04,01R,3226,0.1758,4329,0.1608,4821,0.1806,3912,0.1277,3590,0.142,4710,0.1502
202608050402,2026-08-05,04,02R,4539,0.1217,4216,0.1365,3161,0.1679,4085,0.1988,4639,0.1544,4114,0.1944
202608050403,2026-08-05,04,03R,4583,0.1338,4483,0.1358,3434,0.177,4631,0.1443,4532,0.139,4314,0.159
202608050404,2026-08-05,04,04R,4113,0.1657,3907,0.1544,4128,0.1613,4073,0.1414,4471,0.1536,4397,0.1428
202608050405,2026-08-05,04,05R,4684,0.1248,3898,0.1355,5076,0.1514,4269,0.1376,4188,0.1187,4898,0.1568
202608050406,2026-08-05,04,06R,4156,0.1413,4669,0.1521,3664,0.1663,4215,0.153,4216,0.1364,4504,0.1429
202608050407,2026-08-05,04,07R,3268,0.1498,4549,0.1864,4978,0.156,4483,0.1328,4939,0.1235,3912,0.1441
202608050408,2026-08-05,04,08R,4067,0.1453,4639,0.1545,4863,0.1716,4397,0.1264,4329,0.1607,4177,0.1801
202608050409,2026-08-05,04,09R,3161,0.1664,4911,0.1593,4188,0.1128,4314,0.1426,3226,0.1832,4073,0.1578
202608050410,2026-08-05,04,10R,4269,0.1331,3590,0.1421,4532,0.1331,4113,0.1702,4085,0.2017,4215,0.1694
202608050411,2026-08-05,04,11R,4471,0.1462,4504,0.1295,4930,0.1421,4583,0.1383,4549,0.1863,5076,0.1708
202608050412,2026-08-05,04,12R,4939,0.1161,4710,0.1368,4539,0.1232,4684,0.1293,4156,0.1487,4128,0.1807
202608050501,2026-08-05,05,01R,5057,0.1371,4526,0.1425,4340,0.2012,5383,0.1346,3850,0.1394,5232,0.1631
202608050502,2026-08-05,05,02R,4540,0.1236,4836,0.1469,3339,0.153,4306,0.1889,4053,0.1778,4362,0.1591
202608050503,2026-08-05,05,03R,5153,0.1823,5230,0.1879,4548,0.2485,3994,0.1709,5360,0.191,5454,0.22
202608050504,2026-08-05,05,04R,3306,0.1463,4182,0.1767,4254,0.1321,5216,0.1525,4834,0.1304,3436,0.163
202608050505,2026-08-05,05,05R,4728,0.2007,5082,0.1821,3256,0.138,4119,0.164,4084,0.1448,4754,0.1641
202608050506,2026-08-05,05,06R,4568,0.1308,4076,0.1943,4356,0.1533,3659,0.1556,5383,0.1375,4384,0.1729
202608050507,2026-08-05,05,07R,4581,0.1479,3850,0.1395,4306,0.1859,3339,0.156,5153,0.1897,5454,0.22
202608050508,2026-08-05,05,08R,5216,0.148,4548,0.2545,3994,0.1679,4340,0.2042,4540,0.131,5434,0.1592
202608050509,2026-08-05,05,09R,5232,0.1422,4053,0.1779,4754,0.1447,4254,0.1351,4182,0.1766,5057,0.158
202608050510,2026-08-05,05,10R,3436,0.1421,4084,0.1449,3659,0.1526,3256,0.141,4836,0.1468,4568,0.1517
202608050511,2026-08-05,05,11R,4362,0.1382,4834,0.1305,4119,0.161,4356,0.1563,4076,0.1942,4581,0.1688
202608050512,2026-08-05,05,12R,4095,0.1218,4444,0.1273,4759,0.1453,4228,0.1644,4389,0.1772,4518,0.206
202608050601,2026-08-05,06,01R,4152,0.1508,3459,0.16,3934,0.1586,3564,0.1558,3541,0.1651,3563,0.1579
202608050602,2026-08-05,06,02R,3630,0.1478,3730,0.1502,3713,0.176,3928,0.1536,3953,0.1967,4064,0.1785
202608050603,2026-08-05,06,03R,3562,0.1513,3712,0.157,3998,0.1597,3445,0.1783,3744,0.1224,3931,0.1467
202608050604,2026-08-05,06,04R,3983,0.134,3882,0.1626,4007,0.1243,3870,0.1746,3352,0.1679,4010,0.1704
202608050605,2026-08-05,06,05R,3612,0.1184,3990,0.1417,3988,0.1228,3710,0.1681,3742,0.1683,4040,0.1663
202608050606,2026-08-05,06,06R,3984,0.1457,3934,0.1646,3854,0.1644,4152,0.1553,4006,0.1696,3718,0.1719
202608050607,2026-08-05,06,07R,4086,0.1225,3564,0.1588,4025,0.1678,3730,0.1472,3459,0.1599,3998,0.1791
202608050608,2026-08-05,06,08R,3541,0.1577,3928,0.1566,3690,0.1798,3744,0.1195,3630,0.1552,3352,0.1814
202608050609,2026-08-05,06,09R,3713,0.1745,3953,0.1968,3931,0.1273,3882,0.1596,3054,0.1885,3988,0.1422
202608050610,2026-08-05,06,10R,4040,0.1454,3984,0.1532,3562,0.1528,4007,0.1273,3612,0.1258,3983,0.1549
202608050611,2026-08-05,06,11R,4064,0.1576,3445,0.1813,3742,0.1624,3854,0.1674,4025,0.1737,4086,0.1434
202608050612,2026-08-05,06,12R,4061,0.1168,3940,0.1407,3909,0.0964,3956,0.1543,3997,0.1571,3319,0.1727
202608050901,2026-08-05,09,01R,5038,0.1223,3543,0.1662,5033,0.1678,5424,0.2,4623,0.1503,4649,0.1423
202608050902,2026-08-05,09,02R,5183,0.1395,3692,0.1366,5259,0.154,3620,0.1706,3516,0.1639,4952,0.1884
202608050903,2026-08-05,09,03R,5209,0.181,4505,0.1456,5101,0.171,3505,0.1488,4099,0.1561,3568,0.175
202608050904,2026-08-05,09,04R,4258,0.1767,3747,0.1546,5257,0.1428,4429,0.1842,4466,0.1616,4220,0.171
202608050905,2026-08-05,09,05R,4797,0.1384,3635,0.1577,4864,0.1622,3948,0.1777,4693,0.1871,3814,0.1932
202608050906,2026-08-05,09,06R,4339,0.1752,4401,0.1429,5136,0.1252,3212,0.1533,4803,0.1926,4391,0.1614
202608050907,2026-08-05,09,07R,3543,0.1587,4146,0.1457,4952,0.169,4643,0.1284,4398,0.1329,5430,0.2023
202608050908,2026-08-05,09,08R,3516,0.1565,5101,0.177,4656,0.1451,4926,0.1345,3747,0.1545,5424,0.2164
202608050909,2026-08-05,09,09R,3715,0.1496,4649,0.1289,3505,0.1458,4794,0.1246,5183,0.1469,4429,0.2006
202608050910,2026-08-05,09,10R,4099,0.1487,3620,0.1736,4953,0.141,3814,0.1768,4401,0.1428,5033,0.1872
202608050911,2026-08-05,09,11R,5136,0.1237,3568,0.1616,4466,0.1557,4163,0.1546,5038,0.1297,4864,0.1816
202608050912,2026-08-05,09,12R,4926,0.13,4398,0.133,4391,0.142,4797,0.1429,5257,0.1487,4505,0.159
202608051001,2026-08-05,10,01R,3918,0.1547,4154,0.1801,5350,0.1564,3868,0.1775,5178,0.1786,4905,0.2025
202608051002,2026-08-05,10,02R,4514,0.1802,4977,0.1475,4211,0.127,4219,0.2017,4896,0.1945,5006,0.1949
202608051003,2026-08-05,10,03R,4991,0.1503,5020,0.1714,4561,0.2061,5169,0.1885,5091,0.1493,3889,0.1753
202608051004,2026-08-05,10,04R,4134,0.1607,5369,0.1565,4688,0.1168,4226,0.1472,5166,0.1497,3745,0.18
202608051005,2026-08-05,10,05R,4049,0.1495,4632,0.1806,3660,0.1856,4557,0.1837,4826,0.1299,4469,0.1816
202608051006,2026-08-05,10,06R,4495,0.1449,4967,0.1525,4906,0.1522,5267,0.143,5425,0.2241,4876,0.1745
202608051007,2026-08-05,10,07R,5091,0.1419,5015,0.1392,4896,0.1886,4574,0.173,4154,0.18,3721,0.1302
202608051008,2026-08-05,10,08R,3834,0.1598,4523,0.1472,3918,0.1562,4991,0.1548,3963,0.1663,4211,0.1464
202608051009,2026-08-05,10,09R,4181,0.188,4557,0.1867,4134,0.1622,4514,0.1847,4561,0.212,4239,0.1491
202608051010,2026-08-05,10,10R,3868,0.173,3889,0.1619,4977,0.1415,4826,0.127,4906,0.1581,4529,0.1452
202608051011,2026-08-05,10,11R,5166,0.1423,3721,0.1168,4219,0.1987,4049,0.154,4967,0.1524,5350,0.1758
202608051012,2026-08-05,10,12R,4688,0.1153,4469,0.1682,4905,0.1831,4495,0.1494,4523,0.1471,5015,0.1526
202608051201,2026-08-05,12,01R,4651,0.1605,4203,0.1627,4944,0.1588,3653,0.223,5235,0.1696,5143,0.2013
202608051202,2026-08-05,12,02R,5244,0.1664,4411,0.1824,5186,0.1653,5354,0.1624,4390,0.1827,3699,0.21
202608051203,2026-08-05,12,03R,5138,0.1617,3538,0.2122,3976,0.1737,4175,0.1145,4950,0.153,4458,0.1626
202608051204,2026-08-05,12,04R,4195,0.1407,4158,0.1639,4457,0.1704,4828,0.1589,5131,0.1746,4348,0.1684
202608051205,2026-08-05,12,05R,4644,0.1293,3392,0.1921,5301,0.1497,5235,0.1667,4234,0.1578,5298,0.1471
202608051206,2026-08-05,12,06R,4231,0.1534,4350,0.1295,4796,0.1391,5143,0.1849,4761,0.1304,5354,0.1788
202608051207,2026-08-05,12,07R,3797,0.1969,3412,0.1575,4651,0.162,4137,0.1234,5186,0.1712,3538,0.2256
202608051208,2026-08-05,12,08R,4883,0.1369,5131,0.1747,3965,0.157,4411,0.1794,3653,0.2259,3976,0.1931
202608051209,2026-08-05,12,09R,4120,0.1472,3699,0.1966,4233,0.1586,5138,0.1662,4335,0.1246,4944,0.1782
202608051210,2026-08-05,12,10R,4828,0.1544,4083,0.1429,4390,0.1768,4081,0.1681,3790,0.1788,4796,0.1585
202608051211,2026-08-05,12,11R,4305,0.14,5031,0.1589,4950,0.1471,4761,0.1275,3412,0.1574,4890,0.1424
202608051212,2026-08-05,12,12R,4137,0.1189,4175,0.1175,4348,0.149,4644,0.1338,4350,0.1294,3965,0.1764
202608051401,2026-08-05,14,01R,3333,0.1384,4636,0.185,3458,0.1546,4343,0.1627,3361,0.1603,4367,0.2242
202608051402,2026-08-05,14,02R,4564,0.1611,3616,0.1454,3523,0.1817,4571,0.1531,4596,0.1576,5423,0.2287
202608051403,2026-08-05,14,03R,3853,0.1676,4704,0.1249,4708,0.1916,4865,0.1843,3757,0.1628,5388,0.2159
202608051404,2026-08-05,14,04R,5016,0.1318,5199,0.1061,4732,0.1088,3572,0.1812,4063,0.1249,5343,0.1672
202608051405,2026-08-05,14,05R,3841,0.1477,3950,0.1499,4167,0.1441,4028,0.1596,4374,0.1413,4672,0.1843
202608051406,2026-08-05,14,06R,3477,0.1762,3304,0.1648,4383,0.1773,4039,0.1381,3584,0.1659,4343,0.1791
202608051407,2026-08-05,14,07R,3361,0.1529,4865,0.1873,4812,0.1335,5249,0.1374,3523,0.1876,4000,0.1817
202608051408,2026-08-05,14,08R,3458,0.1531,5154,0.1579,4564,0.1626,4247,0.1631,3743,0.1405,3572,0.1976
202608051409,2026-08-05,14,09R,3282,0.1706,4367,0.2108,4839,0.13,4167,0.1471,5388,0.2024,3616,0.1588
202608051410,2026-08-05,14,10R,3305,0.1477,3757,0.1629,3841,0.1492,4636,0.182,4732,0.1147,4039,0.1545
202608051411,2026-08-05,14,11R,4055,0.1538,4596,0.1577,4000,0.1623,3853,0.1721,5199,0.106,3304,0.1782
202608051412,2026-08-05,14,12R,4028,0.1551,3743,0.1406,4063,0.119,4704,0.1219,4812,0.1394,4571,0.1695
202608051701,2026-08-05,17,01R,5160,0.1336,4844,0.1769,4103,0.2087,3455,0.1543,3370,0.1972,4951,0.1686
202608051702,2026-08-05,17,02R,3372,0.1882,4196,0.1696,3294,0.1703,3812,0.162,5265,0.1528,5435,0.2577
202608051703,2026-08-05,17,03R,4998,0.1175,4822,0.1626,4296,0.1493,3641,0.1719,5043,0.1354,5014,0.1729
202608051704,2026-08-05,17,04R,4376,0.14,4436,0.1789,4470,0.1321,4443,0.1706,4358,0.2205,4236,0.1444
202608051705,2026-08-05,17,05R,5037,0.1505,4743,0.1296,5089,0.1459,3811,0.1408,5245,0.1602,4962,0.1671
202608051706,2026-08-05,17,06R,4218,0.1312,4572,0.155,3455,0.1513,4388,0.1463,3878,0.1614,4230,0.1848
202608051707,2026-08-05,17,07R,3606,0.1547,3370,0.1973,4824,0.1195,4106,0.1803,5435,0.2442,4798,0.1351
202608051708,2026-08-05,17,08R,4627,0.1432,5265,0.1529,4998,0.119,5358,0.1941,4286,0.1456,4844,0.1903
202608051709,2026-08-05,17,09R,4103,0.2072,3294,0.1763,5087,0.1515,4376,0.1445,4822,0.1625,3377,0.2189
202608051710,2026-08-05,17,10R,3812,0.1575,3641,0.1749,4396,0.1759,4951,0.1522,4743,0.1295,4443,0.187
202608051711,2026-08-05,17,11R,5043,0.128,3811,0.1438,4196,0.1636,4218,0.1357,5160,0.141,4470,0.1515
202608051712,2026-08-05,17,12R,5089,0.1444,4286,0.1457,4388,0.1433,4798,0.1187,4296,0.1552,4436,0.1923
202608051901,2026-08-05,19,01R,3647,0.1549,3614,0.1664,3776,0.1754,3957,0.1728,3461,0.1796,3863,0.1689
202608051902,2026-08-05,19,02R,4368,0.1808,3696,0.1685,3535,0.1818,4917,0.1417,5000,0.1392,3737,0.1564
202608051903,2026-08-05,19,03R,4151,0.1736,3544,0.1763,3615,0.1421,4346,0.1764,4637,0.1773,3908,0.1492
202608051904,2026-08-05,19,04R,3804,0.1397,4079,0.1564,4186,0.1519,5375,0.1781,5120,0.1608,3499,0.1748
202608051905,2026-08-05,19,05R,4451,0.1419,3286,0.167,4301,0.18,4601,0.1202,3467,0.1827,4263,0.1992
202608051906,2026-08-05,19,06R,3776,0.1739,4702,0.1414,5115,0.1377,5063,0.1685,3582,0.1525,3875,0.1799
202608051907,2026-08-05,19,07R,4346,0.1719,5050,0.1567,3647,0.1564,4485,0.159,3946,0.135,3535,0.2012
202608051908,2026-08-05,19,08R,3430,0.1498,5000,0.1393,4437,0.1602,4985,0.1327,3544,0.1762,5460,0.1929
202608051909,2026-08-05,19,09R,4772,0.1043,4917,0.1447,4369,0.1504,4263,0.1828,4186,0.1578,3614,0.1798
202608051910,2026-08-05,19,10R,4637,0.1699,5152,0.2197,4368,0.1823,5191,0.114,3957,0.1757,4702,0.1548
202608051911,2026-08-05,19,11R,4601,0.1157,3582,0.1526,3863,0.1495,4151,0.1781,4079,0.1563,5050,0.1701
202608051912,2026-08-05,19,12R,3946,0.1276,3499,0.1614,4451,0.1434,3696,0.1655,3615,0.148,4437,0.1796
202608052101,2026-08-05,21,01R,3627,0.184,4393,0.1916,3922,0.1763,3596,0.1738,5468,0.1821,5114,0.1753
202608052102,2026-08-05,21,02R,4365,0.1634,4995,0.1793,5147,0.1394,4448,0.1467,5355,0.1748,5409,0.1533
202608052103,2026-08-05,21,03R,4531,0.1379,4253,0.175,4788,0.1387,5008,0.1283,4428,0.1227,3619,0.1871
202608052104,2026-08-05,21,04R,4042,0.179,4016,0.1525,4630,0.1819,3482,0.1349,4122,0.1652,5161,0.1581
202608052105,2026-08-05,21,05R,3740,0.1442,4121,0.1226,3807,0.1524,3406,0.1575,3353,0.1548,4570,0.1683
202608052106,2026-08-05,21,06R,4139,0.1679,3075,0.1279,5090,0.1661,4365,0.1679,4393,0.1915,3627,0.2049
202608052107,2026-08-05,21,07R,5237,0.1429,3922,0.1823,4665,0.1557,4253,0.172,4995,0.1792,5468,0.1956
202608052108,2026-08-05,21,08R,3596,0.1693,3072,0.1625,5355,0.1689,4788,0.1417,5147,0.1453,4042,0.1999
202608052109,2026-08-05,21,09R,3888,0.1295,4122,0.1653,4428,0.1168,5409,0.1369,4121,0.1225,3740,0.1651
202608052110,2026-08-05,21,10R,5090,0.1646,3406,0.1605,5114,0.1559,4570,0.1519,4531,0.1453,4016,0.1659
