レースコード,レース日,レース場コード,レース回,1枠_登録番号,1枠_推定ST,2枠_登録番号,2枠_推定ST,3枠_登録番号,3枠_推定ST,4枠_登録番号,4枠_推定ST,5枠_登録番号,5枠_推定ST,6枠_登録番号,6枠_推定ST
202608060201,2026-08-06,02,01R,5167,0.1447,4416,0.1771,5077,0.1736,3945,0.1829,4274,0.1584,5036,0.1596
202608060202,2026-08-06,02,02R,4511,0.1583,4311,0.1623,5246,0.1418,4811,0.157,3546,0.1725,3842,0.1969
202608060203,2026-08-06,02,03R,4405,0.1499,3891,0.1709,4109,0.1337,3439,0.1437,5190,0.1688,4030,0.1501
202608060204,2026-08-06,02,04R,3771,0.1201,4659,0.1359,3642,0.1912,5044,0.1283,5100,0.1689,4210,0.17
202608060205,2026-08-06,02,05R,4111,0.1504,3478,0.1524,4197,0.1782,4044,0.1245,3772,0.1462,5185,0.1632
202608060206,2026-08-06,02,06R,3945,0.1784,4711,0.1494,3939,0.1367,4907,0.1287,4415,0.1278,5466,0.2
202608060207,2026-08-06,02,07R,4292,0.1239,3808,0.1583,4511,0.1598,3652,0.1738,5304,0.1996,5077,0.193
202608060208,2026-08-06,02,08R,4274,0.151,3546,0.1726,4405,0.1514,5224,0.1346,5419,0.2231,5032,0.1703
202608060209,2026-08-06,02,09R,5044,0.1238,5246,0.1478,4111,0.1519,5190,0.1659,4739,0.1411,4416,0.1905
202608060210,2026-08-06,02,10R,4109,0.1322,5036,0.1462,3771,0.1216,3605,0.1885,4311,0.1622,4711,0.1628
202608060211,2026-08-06,02,11R,3439,0.1392,4210,0.1566,3478,0.1464,5167,0.1492,4907,0.1316,4811,0.1734
202608060212,2026-08-06,02,12R,4044,0.12,4415,0.1279,4030,0.1307,4292,0.1284,4659,0.1358,5224,0.151
202608060401,2026-08-06,04,01R,3907,0.1467,4631,0.1495,4911,0.1504,4669,0.1481,4978,0.1623,4863,0.1977
202608060402,2026-08-06,04,02R,3590,0.1341,3664,0.1701,4684,0.1231,3268,0.1536,4114,0.1791,4329,0.1762
202608060403,2026-08-06,04,03R,4177,0.1639,4128,0.1615,4215,0.1488,4930,0.1458,4821,0.1862,4085,0.2134
202608060404,2026-08-06,04,04R,3434,0.173,3912,0.1294,4073,0.1388,4188,0.1135,3898,0.1339,4539,0.1401
202608060405,2026-08-06,04,05R,5076,0.1487,4471,0.1549,4710,0.1264,4156,0.142,4314,0.1412,4898,0.1584
202608060406,2026-08-06,04,06R,4216,0.1289,4067,0.155,4532,0.1326,4639,0.1549,4483,0.1339,4911,0.1698
202608060407,2026-08-06,04,07R,3226,0.1763,3268,0.1566,4269,0.1352,3161,0.167,4939,0.1224,4631,0.1629
