レースコード,レース日,レース場,レース回,締切時刻,取得日時,結果記録時刻,決まり手,1着_艇番,1着_選手名,1着_レースタイム,2着_艇番,2着_選手名,2着_レースタイム,3着_艇番,3着_選手名,3着_レースタイム,4着_艇番,4着_選手名,4着_レースタイム,5着_艇番,5着_選手名,5着_レースタイム,6着_艇番,6着_選手名,6着_レースタイム,1コース_艇番,1コース_スタートタイミング,1コース_F,2コース_艇番,2コース_スタートタイミング,2コース_F,3コース_艇番,3コース_スタートタイミング,3コース_F,4コース_艇番,4コース_スタートタイミング,4コース_F,5コース_艇番,5コース_スタートタイミング,5コース_F,6コース_艇番,6コース_スタートタイミング,6コース_F,天候,風向,風速(m),波の高さ(cm),気温(℃),水温(℃)
202608081001,2026-08-08,10,01R,08:32,2026-08-08T08:48:18.721554+09:00,0835,逃　げ,1,中村　　魁生,"1'50""3",3,為本　　智也,"1'51""2",6,長谷川　親王,"1'54""2",2,宮村　　勇哉,"1'55""3",5,土井　　祥伍,,4,堀本　　翔太,,1,0.21,,2,0.21,,3,0.19,,4,0.19,,6,0.22,,5,0.25,,1,5,1.0,1.0,30.0,29.0
202608081401,2026-08-08,14,01R,08:44,2026-08-08T09:00:57.644935+09:00,0847,逃　げ,1,林　　　美憲,"1'50""1",6,三木　　晴斗,"1'50""8",4,佐々木　英樹,"1'52""8",3,村松　　栄太,"1'54""2",5,近藤　　稔也,,2,小野　　信樹,,1,0.24,,2,0.21,,3,0.21,,4,0.14,,5,0.13,,6,0.11,,1,4,2.0,2.0,29.0,29.0
202608081002,2026-08-08,10,02R,08:58,2026-08-08T09:14:28.271097+09:00,0901,逃　げ,1,高橋　　竜矢,"1'50""5",2,原田　　秀弥,"1'51""9",5,森安　　弘雅,"1'54""2",6,花本　　夏樹,"1'55""0",3,本岡　　勝利,,4,花本　　　剛,,1,0.16,,2,0.3,,3,0.34,,4,0.28,,5,0.24,,6,0.29,,1,6,2.0,2.0,30.0,29.0
202608081402,2026-08-08,14,02R,09:10,2026-08-08T09:28:32.900660+09:00,0914,逃　げ,1,片岡　　秀樹,"1'49""3",5,岩崎　　正哉,"1'51""1",3,岡部　　　浩,"1'52""0",4,宮田　　龍馬,"1'52""1",2,池本　　輝明,,6,佐野　　優都,,1,0.12,,2,0.15,,3,0.14,,4,0.11,,5,0.13,,6,0.23,,1,4,3.0,3.0,29.0,29.0
202608081003,2026-08-08,10,03R,09:24,2026-08-08T09:40:19.373896+09:00,0927,逃　げ,1,仲道　　大輔,"1'50""7",3,馬野　　　耀,"1'51""5",2,岡崎　　凪汰,"1'53""0",5,村田　　　敦,"1'55""1",4,須藤　　隆雄,,6,梅木　　敬太,,1,0.07,,2,0.02,,3,0.01,,4,0.02,,5,0.06,,6,0.09,,1,,0.0,0.0,31.0,29.0
202608081403,2026-08-08,14,03R,09:36,2026-08-08T09:53:21.223093+09:00,0940,逃　げ,1,田村　　隆信,"1'49""8",2,守屋　　大地,"1'50""2",4,河野　　　大,"1'52""4",5,東　　　健介,"1'53""8",6,赤池　　修平,,3,石川　　哲秀,,1,0.11,,2,0.06,,3,0.07,,4,0.15,,5,0.18,,6,0.17,,1,4,3.0,3.0,30.0,29.0
202608081004,2026-08-08,10,04R,09:50,2026-08-08T10:10:20.005493+09:00,0953,逃　げ,1,鈴木　　雅希,"1'55""1",4,深井　　利寿,"1'57""4",5,石本　　裕武,"2'00""9",2,橋本　　年光,"2'02""4",3,村田　　浩司,,,,,1,0.09,,2,0.08,,3,0.1,,4,0.11,,5,0.13,,6,0.13,,1,8,3.0,3.0,31.0,29.0
202608081404,2026-08-08,14,04R,10:02,2026-08-08T10:20:23.150860+09:00,1006,まくり,4,垂水　　　悠,"1'48""8",1,西野　　雄貴,"1'49""7",5,山本　景士郎,"1'52""0",2,半田　　尚也,"1'53""7",3,吉田　　俊彦,,6,高橋　　嗣穏,,1,0.07,,2,0.24,,3,0.1,,4,0.09,,5,0.13,,6,0.17,,1,4,3.0,3.0,30.0,29.0
202608081005,2026-08-08,10,05R,10:18,2026-08-08T10:34:19.657346+09:00,1021,逃　げ,1,網代　　良芽,"1'51""3",6,嶋　　　義信,"1'52""6",3,細川　　明人,"1'54""6",5,上條　　嘉嗣,"1'54""9",4,藤山　　翔大,,2,成貞　　琳平,,1,0.19,,2,0.19,,3,0.31,,4,0.33,,5,0.23,,6,0.13,,1,8,3.0,3.0,30.0,30.0
202608081405,2026-08-08,14,05R,10:28,2026-08-08T10:44:25.501374+09:00,1032,差　し,2,安田　　政彦,"1'49""9",1,寳田　　亮治,"1'50""8",4,丸尾　　義孝,"1'52""1",3,畑　　　和宏,"1'53""4",5,佐々木　和伸,,6,立具　　敬司,,1,0.14,,2,0.12,,3,0.13,,4,0.14,,5,0.16,,6,0.19,,1,4,3.0,3.0,30.0,29.0
202608080901,2026-08-08,09,01R,10:32,2026-08-08T10:50:22.421776+09:00,1036,まくり差し,5,野田　　昇吾,"1'51""2",1,大崎　　　翔,"1'52""4",4,深川　　和仁,"1'54""2",6,中野　　孝二,"1'54""6",2,金子　　貴志,,3,松下　　誉士,,1,0.2,,2,0.15,,3,0.11,,4,0.11,,5,0.12,,6,0.14,,1,3,3.0,2.0,29.0,29.0
202608081801,2026-08-08,18,01R,10:38,2026-08-08T11:00:36.386880+09:00,1041,まくり差し,6,細川　　裕子,"1'50""8",5,渡邉　真奈美,"1'53""4",1,武井　莉里佳,"1'54""8",2,西村　美智子,"1'55""9",4,小野　　生奈,,3,山川　美由紀,,1,0.09,,2,0.09,,3,0.22,,4,0.12,,5,0.03,,6,0.1,,1,4,5.0,5.0,31.0,28.0
