レースコード,レース日,レース場コード,レース回,状態,1枠_枠番pt,1枠_寄与_枠番pt,1枠_選手pt,1枠_寄与_選手pt,1枠_モーターpt,1枠_寄与_モーターpt,1枠_展示pt,1枠_寄与_展示pt,1枠_気象pt,1枠_寄与_気象pt,1枠_強さpt,2枠_枠番pt,2枠_寄与_枠番pt,2枠_選手pt,2枠_寄与_選手pt,2枠_モーターpt,2枠_寄与_モーターpt,2枠_展示pt,2枠_寄与_展示pt,2枠_気象pt,2枠_寄与_気象pt,2枠_強さpt,3枠_枠番pt,3枠_寄与_枠番pt,3枠_選手pt,3枠_寄与_選手pt,3枠_モーターpt,3枠_寄与_モーターpt,3枠_展示pt,3枠_寄与_展示pt,3枠_気象pt,3枠_寄与_気象pt,3枠_強さpt,4枠_枠番pt,4枠_寄与_枠番pt,4枠_選手pt,4枠_寄与_選手pt,4枠_モーターpt,4枠_寄与_モーターpt,4枠_展示pt,4枠_寄与_展示pt,4枠_気象pt,4枠_寄与_気象pt,4枠_強さpt,5枠_枠番pt,5枠_寄与_枠番pt,5枠_選手pt,5枠_寄与_選手pt,5枠_モーターpt,5枠_寄与_モーターpt,5枠_展示pt,5枠_寄与_展示pt,5枠_気象pt,5枠_寄与_気象pt,5枠_強さpt,6枠_枠番pt,6枠_寄与_枠番pt,6枠_選手pt,6枠_寄与_選手pt,6枠_モーターpt,6枠_寄与_モーターpt,6枠_展示pt,6枠_寄与_展示pt,6枠_気象pt,6枠_寄与_気象pt,6枠_強さpt
202605051902,2026-05-05,19,2R,daily,69.4,31.31,50.0,8.63,53.09,12.72,50.0,5.3,50.0,1.54,59.49,52.94,23.89,50.0,8.63,35.98,8.62,50.0,5.3,50.0,1.54,47.97,49.93,22.53,50.0,8.63,46.97,11.25,50.0,5.3,50.0,1.54,49.24,48.47,21.87,50.0,8.63,49.14,11.77,50.0,5.3,50.0,1.54,49.1,43.56,19.65,50.0,8.63,40.37,9.67,50.0,5.3,50.0,1.54,44.78,36.45,16.45,50.0,8.63,31.05,7.44,50.0,5.3,50.0,1.54,39.35
202605051903,2026-05-05,19,3R,daily,69.4,31.31,50.0,8.63,59.99,14.37,50.0,5.3,50.0,1.54,61.14,52.94,23.89,50.0,8.63,41.45,9.93,50.0,5.3,50.0,1.54,49.28,49.93,22.53,50.0,8.63,50.62,12.12,50.0,5.3,50.0,1.54,50.12,48.47,21.87,50.0,8.63,35.44,8.49,50.0,5.3,50.0,1.54,45.82,43.56,19.65,50.0,8.63,52.44,12.56,50.0,5.3,50.0,1.54,47.68,36.45,16.45,50.0,8.63,34.35,8.23,50.0,5.3,50.0,1.54,40.14
202605051904,2026-05-05,19,4R,daily,69.4,31.31,50.0,8.63,54.07,12.95,50.0,5.3,50.0,1.54,59.73,52.94,23.89,50.0,8.63,55.06,13.19,50.0,5.3,50.0,1.54,52.54,49.93,22.53,50.0,8.63,50.23,12.03,50.0,5.3,50.0,1.54,50.02,48.47,21.87,50.0,8.63,42.39,10.15,50.0,5.3,50.0,1.54,47.49,43.56,19.65,50.0,8.63,55.06,13.19,50.0,5.3,50.0,1.54,48.3,36.45,16.45,50.0,8.63,39.82,9.54,50.0,5.3,50.0,1.54,41.45
202605051905,2026-05-05,19,5R,daily,69.4,31.31,50.0,8.63,53.18,12.74,50.0,5.3,50.0,1.54,59.51,52.94,23.89,50.0,8.63,49.68,11.9,50.0,5.3,50.0,1.54,51.25,49.93,22.53,50.0,8.63,48.6,11.64,50.0,5.3,50.0,1.54,49.63,48.47,21.87,50.0,8.63,42.04,10.07,50.0,5.3,50.0,1.54,47.4,43.56,19.65,50.0,8.63,56.78,13.6,50.0,5.3,50.0,1.54,48.72,36.45,16.45,50.0,8.63,30.51,7.31,50.0,5.3,50.0,1.54,39.22
202605051906,2026-05-05,19,6R,daily,69.4,31.31,50.0,8.63,56.54,13.54,50.0,5.3,50.0,1.54,60.32,52.94,23.89,50.0,8.63,52.99,12.69,50.0,5.3,50.0,1.54,52.04,49.93,22.53,50.0,8.63,42.04,10.07,50.0,5.3,50.0,1.54,48.06,48.47,21.87,50.0,8.63,31.05,7.44,50.0,5.3,50.0,1.54,44.77,43.56,19.65,50.0,8.63,49.59,11.88,50.0,5.3,50.0,1.54,46.99,36.45,16.45,50.0,8.63,31.59,7.57,50.0,5.3,50.0,1.54,39.48
202605051907,2026-05-05,19,7R,daily,69.4,31.31,50.0,8.63,58.56,14.03,50.0,5.3,50.0,1.54,60.8,52.94,23.89,50.0,8.63,40.37,9.67,50.0,5.3,50.0,1.54,49.02,49.93,22.53,50.0,8.63,49.14,11.77,50.0,5.3,50.0,1.54,49.76,48.47,21.87,50.0,8.63,51.61,12.36,50.0,5.3,50.0,1.54,49.7,43.56,19.65,50.0,8.63,34.35,8.23,50.0,5.3,50.0,1.54,43.34,36.45,16.45,50.0,8.63,41.45,9.93,50.0,5.3,50.0,1.54,41.84
202605051908,2026-05-05,19,8R,daily,69.4,31.31,50.0,8.63,57.03,13.66,50.0,5.3,50.0,1.54,60.44,52.94,23.89,50.0,8.63,46.38,11.11,50.0,5.3,50.0,1.54,50.46,49.93,22.53,50.0,8.63,39.82,9.54,50.0,5.3,50.0,1.54,47.53,48.47,21.87,50.0,8.63,50.62,12.12,50.0,5.3,50.0,1.54,49.46,43.56,19.65,50.0,8.63,35.98,8.62,50.0,5.3,50.0,1.54,43.73,36.45,16.45,50.0,8.63,42.39,10.15,50.0,5.3,50.0,1.54,42.06
202605051909,2026-05-05,19,9R,daily,69.4,31.31,50.0,8.63,55.06,13.19,50.0,5.3,50.0,1.54,59.96,52.94,23.89,50.0,8.63,42.04,10.07,50.0,5.3,50.0,1.54,49.42,49.93,22.53,50.0,8.63,54.61,13.08,50.0,5.3,50.0,1.54,51.07,48.47,21.87,50.0,8.63,49.14,11.77,50.0,5.3,50.0,1.54,49.1,43.56,19.65,50.0,8.63,49.14,11.77,50.0,5.3,50.0,1.54,46.89,36.45,16.45,50.0,8.63,35.44,8.49,50.0,5.3,50.0,1.54,40.4
202605051910,2026-05-05,19,10R,daily,69.4,31.31,50.0,8.63,49.59,11.88,50.0,5.3,50.0,1.54,58.65,52.94,23.89,50.0,8.63,53.18,12.74,50.0,5.3,50.0,1.54,52.09,49.93,22.53,50.0,8.63,59.99,14.37,50.0,5.3,50.0,1.54,52.36,48.47,21.87,50.0,8.63,54.07,12.95,50.0,5.3,50.0,1.54,50.29,43.56,19.65,50.0,8.63,53.09,12.72,50.0,5.3,50.0,1.54,47.83,36.45,16.45,50.0,8.63,49.14,11.77,50.0,5.3,50.0,1.54,43.68
202605051911,2026-05-05,19,11R,daily,69.4,31.31,50.0,8.63,56.78,13.6,50.0,5.3,50.0,1.54,60.38,52.94,23.89,50.0,8.63,57.03,13.66,50.0,5.3,50.0,1.54,53.01,49.93,22.53,50.0,8.63,58.56,14.03,50.0,5.3,50.0,1.54,52.02,48.47,21.87,50.0,8.63,55.06,13.19,50.0,5.3,50.0,1.54,50.52,43.56,19.65,50.0,8.63,54.07,12.95,50.0,5.3,50.0,1.54,48.07,36.45,16.45,50.0,8.63,56.54,13.54,50.0,5.3,50.0,1.54,45.45
