レースコード,レース日,レース場,レース回,締切時刻,取得日時,単勝_艇番,単勝_払戻金,複勝_1着_艇番,複勝_1着_払戻金,複勝_2着_艇番,複勝_2着_払戻金,複勝_3着_艇番,複勝_3着_払戻金,2連単_組番,2連単_払戻金,2連単_人気,2連複_組番,2連複_払戻金,2連複_人気,拡連複_1-2着_組番,拡連複_1-2着_払戻金,拡連複_1-2着_人気,拡連複_1-3着_組番,拡連複_1-3着_払戻金,拡連複_1-3着_人気,拡連複_2-3着_組番,拡連複_2-3着_払戻金,拡連複_2-3着_人気,3連単_組番,3連単_払戻金,3連単_人気,3連複_組番,3連複_払戻金,3連複_人気
202601212001,2026-01-21,20,01R,,,5,1100,5,420,1,270,,,5-1,1500,9,1=5,1210,7,1=5,560,10,2=5,530,9,1=2,240,3,5-1-2,10880,54,1=2=5,990,7
202601212002,2026-01-21,20,02R,,,2,360,2,170,3,130,,,2-3,1190,6,2=3,300,1,2=3,160,2,1=2,280,5,1=3,140,1,2-3-1,3200,11,1=2=3,330,1
202601212003,2026-01-21,20,03R,,,5,780,5,320,1,190,,,5-1,2420,12,1=5,650,3,1=5,400,6,5=6,340,4,1=6,530,8,5-1-6,5770,23,1=5=6,1030,5
202601212004,2026-01-21,20,04R,,,4,1510,4,660,5,290,,,4-5,3000,14,4=5,1570,8,4=5,820,12,1=4,530,7,1=5,640,9,4-5-1,20490,72,1=4=5,2940,13
202601212005,2026-01-21,20,05R,,,1,100,1,100,4,130,,,1-4,310,2,1=4,280,2,1=4,140,2,1=3,140,1,3=4,340,7,1-4-3,980,4,1=3=4,420,2
202601212006,2026-01-21,20,06R,,,5,1120,5,460,1,150,,,5-1,3010,9,1=5,860,5,1=5,230,4,5=6,510,9,1=6,120,1,5-1-6,7010,23,1=5=6,700,4
202601212007,2026-01-21,20,07R,,,5,910,5,240,4,150,,,5-4,2310,8,4=5,460,2,4=5,230,3,5=6,600,10,4=6,360,6,5-4-6,4780,18,4=5=6,1000,4
202601212008,2026-01-21,20,08R,,,3,230,3,160,6,780,,,3-6,3120,9,3=6,2120,6,3=6,490,9,1=3,230,2,1=6,690,12,3-6-1,13960,40,1=3=6,2160,10
202601212009,2026-01-21,20,09R,,,2,570,2,190,1,100,,,2-1,770,3,1=2,170,1,1=2,130,1,2=3,200,4,1=3,140,2,2-1-3,2020,6,1=2=3,280,1
202601212010,2026-01-21,20,10R,,,2,510,2,100,1,100,,,2-1,880,4,1=2,180,1,1=2,110,1,2=4,170,4,1=4,150,3,2-1-4,2760,9,1=2=4,320,2
202601212011,2026-01-21,20,11R,,,1,120,1,120,2,220,,,1-2,370,2,1=2,300,2,1=2,170,2,1=4,200,3,2=4,250,4,1-2-4,930,3,1=2=4,540,3
202601212012,2026-01-21,20,12R,,,6,580,6,190,1,100,,,6-1,1860,6,1=6,420,2,1=6,180,2,3=6,220,3,1=3,130,1,6-1-3,4160,14,1=3=6,340,1
202601211901,2026-01-21,19,01R,,,1,340,1,210,4,210,,,1-4,1580,8,1=4,1360,6,1=4,390,6,1=3,190,2,3=4,250,4,1-4-3,4750,23,1=3=4,540,2
202601211902,2026-01-21,19,02R,,,3,400,3,120,4,310,,,3-4,1140,5,3=4,360,1,3=4,190,2,2=3,690,9,2=4,770,10,3-4-2,9590,41,2=3=4,1230,7
202601211903,2026-01-21,19,03R,,,1,120,1,170,3,430,,,1-3,1800,6,1=3,1870,2,1=3,590,9,1=6,380,4,3=6,1430,14,1-3-6,12850,48,1=3=6,4870,16
202601211904,2026-01-21,19,04R,,,2,160,2,120,1,200,,,2-1,550,2,1=2,310,1,1=2,110,1,2=3,350,7,1=3,160,2,2-1-3,1880,6,1=2=3,960,5
