レースコード,予想1着,予想2着,予想3着,予想決まり手,艇1_予想コース,艇2_予想コース,艇3_予想コース,艇4_予想コース,艇5_予想コース,艇6_予想コース,艇1_予想ST,艇2_予想ST,艇3_予想ST,艇4_予想ST,艇5_予想ST,艇6_予想ST
202603292401,1,3,2,逃げ,5,2,1,4,6,3,0.124,-0.016,0.174,0.023,0.055,0.084
202603292402,1,6,4,逃げ,3,5,2,4,6,1,-0.037,0.038,0.009,0.02,0.1,0.031
202603292403,3,2,1,逃げ,6,1,4,2,5,3,0.054,-0.023,0.069,-0.009,0.083,0.112
202603292404,1,4,2,逃げ,2,5,4,1,3,6,0.018,0.014,0.038,-0.045,0.053,0.04
202603292405,1,6,3,差し,2,5,3,6,4,1,0.032,-0.005,-0.003,-0.015,0.107,-0.053
202603292406,4,1,3,差し,4,3,2,1,6,5,-0.015,0.048,0.053,-0.038,-0.011,0.085
202603292407,1,2,4,逃げ,1,2,5,6,3,4,-0.049,0.053,0.034,0.004,0.104,0.183
202603292408,1,2,5,逃げ,1,6,5,3,4,2,0.01,0.004,0.009,0.085,0.013,0.072
202603292409,1,3,2,逃げ,1,4,3,2,5,6,-0.022,0.1,0.088,0.042,0.089,0.072
202603292410,1,2,4,逃げ,3,1,6,5,4,2,-0.001,-0.022,0.023,0.018,0.045,0.009
202603292411,1,6,2,逃げ,1,6,5,3,4,2,0.009,0.011,0.028,-0.021,0.195,0.07
202603292412,1,3,4,逃げ,3,5,2,1,6,4,-0.001,0.069,-0.004,-0.014,-0.005,0.012
202603292301,1,2,5,逃げ,6,1,4,5,2,3,0.085,0.119,-0.002,0.077,0.041,0.072
202603292302,1,2,3,逃げ,1,5,3,2,4,6,0.043,0.041,0.076,0.039,0.08,0.023
202603292303,1,3,2,逃げ,6,2,3,5,4,1,0.08,0.028,0.021,0.051,0.054,0.06
202603292304,1,5,3,逃げ,2,5,3,6,4,1,0.046,0.059,0.048,0.097,0.021,0.085
202603292305,1,2,4,逃げ,1,5,6,4,2,3,0.06,0.041,0.084,0.057,0.069,0.122
202603292306,5,2,1,逃げ,4,5,6,3,1,2,0.027,0.136,0.063,0.083,0.031,0.04
202603292307,2,4,5,差し,6,3,2,5,1,4,0.067,0.01,0.089,0.126,0.097,0.013
202603292308,5,1,4,差し,1,5,3,4,6,2,0.06,0.064,0.042,0.051,0.089,0.069
202603292309,1,3,2,逃げ,1,4,3,6,2,5,0.124,0.095,0.038,0.083,0.06,0.065
202603292310,6,1,3,逃げ,6,5,4,3,1,2,0.076,0.055,0.067,0.025,0.029,0.121
202603292311,2,1,4,逃げ,5,3,2,1,4,6,0.09,0.075,0.072,0.025,0.046,0.021
202603292312,1,3,2,逃げ,2,5,4,3,6,1,0.109,0.143,0.038,0.047,0.099,0.085
202603292101,1,2,4,逃げ,1,3,6,2,4,5,0.162,0.12,0.123,0.15,0.076,0.153
202603292102,4,1,5,逃げ,3,5,6,1,2,4,0.078,0.162,0.063,0.136,0.152,0.081
202603292103,1,2,5,逃げ,1,4,5,6,3,2,0.19,0.088,0.153,0.103,0.072,0.146
202603292104,2,1,4,逃げ,4,1,5,3,2,6,0.052,0.162,0.094,0.099,0.165,0.08
202603292105,2,1,5,逃げ,5,1,6,4,2,3,0.157,0.118,0.177,0.076,0.126,0.099
202603292106,2,1,3,逃げ,2,1,3,5,6,4,0.135,0.064,0.075,0.082,0.115,0.068
202603292107,5,3,4,逃げ,6,5,3,2,1,4,0.149,0.065,0.152,0.147,0.072,0.121
202603292108,3,1,5,逃げ,2,5,1,6,3,4,0.147,0.096,0.104,0.092,0.133,0.065
202603292109,1,5,6,逃げ,3,6,5,4,1,2,0.124,0.091,0.105,0.122,0.155,0.087
202603292110,1,4,5,逃げ,2,4,6,3,1,5,0.137,0.086,0.113,0.054,0.071,0.132
202603292111,2,1,5,逃げ,3,1,6,4,2,5,0.129,0.082,0.084,0.081,0.133,0.165
202603292112,6,1,2,逃げ,3,2,5,4,6,1,0.111,0.065,0.134,0.054,0.162,0.108
202603291901,3,1,4,逃げ,3,5,1,4,6,2,0.024,0.008,0.045,0.096,0.009,0.034
202603291902,4,1,3,逃げ,4,6,2,1,3,5,0.043,0.005,0.06,0.05,0.048,0.019
202603291903,1,4,2,逃げ,4,1,6,3,2,5,0.035,0.014,0.018,0.007,0.015,0.016
202603291904,2,3,4,逃げ,5,1,4,2,3,6,-0.002,-0.019,0.039,0.04,0.039,0.064
202603291905,4,1,5,逃げ,3,5,2,1,4,6,0.022,0.057,-0.03,-0.005,0.076,0.02
202603291906,4,1,5,逃げ,4,6,5,1,2,3,0.126,0.014,0.009,0.02,0.041,0.016
202603291907,5,2,4,逃げ,5,3,6,2,1,4,0.034,0.019,-0.004,0.0,0.042,0.058
202603291908,3,2,5,逃げ,5,4,1,3,2,6,0.088,-0.018,0.042,0.029,0.048,0.093
202603291909,2,5,3,逃げ,6,1,4,5,3,2,0.044,0.011,0.05,0.068,0.002,0.01
202603291910,3,4,1,逃げ,6,5,1,2,4,3,0.021,0.049,-0.023,-0.0,-0.035,0.045
202603291911,6,1,3,逃げ,3,5,2,4,6,1,0.053,0.024,0.021,0.048,0.0,-0.023
202603291912,5,1,4,逃げ,4,5,6,3,1,2,0.063,0.082,0.06,0.005,-0.022,0.001
202603291701,1,6,2,逃げ,4,3,6,5,1,2,0.001,-0.061,-0.072,0.009,-0.035,-0.148
202603291702,5,2,1,逃げ,5,2,3,4,1,6,-0.04,0.015,-0.095,-0.002,-0.016,-0.05
202603291703,3,5,2,逃げ,4,5,2,6,1,3,-0.049,-0.009,-0.07,-0.023,-0.068,-0.094
202603291704,3,4,2,逃げ,3,4,1,2,6,5,0.054,0.024,0.023,-0.097,-0.122,0.002
202603291705,1,6,2,逃げ,1,3,5,6,4,2,-0.055,-0.058,-0.025,-0.03,-0.016,-0.048
202603291706,4,1,3,逃げ,5,6,3,1,2,4,0.025,-0.013,0.035,-0.043,-0.119,-0.035
