レースコード,予想1着,予想2着,予想3着,予想決まり手,艇1_予想コース,艇2_予想コース,艇3_予想コース,艇4_予想コース,艇5_予想コース,艇6_予想コース,艇1_予想ST,艇2_予想ST,艇3_予想ST,艇4_予想ST,艇5_予想ST,艇6_予想ST
202603240806,1,5,4,逃げ,2,5,6,4,1,3,0.063,0.113,0.118,0.123,0.03,0.003
202603240807,1,4,6,逃げ,2,5,3,1,6,4,0.089,0.062,0.054,0.073,0.096,0.108
202603240808,2,3,5,逃げ,5,4,1,2,3,6,0.07,0.088,0.041,0.013,0.083,0.086
202603240809,1,6,4,逃げ,4,6,2,5,3,1,0.058,0.048,0.08,0.052,0.067,0.153
202603240810,1,4,5,逃げ,4,6,5,1,2,3,0.033,0.118,0.003,0.02,0.124,0.007
202603240811,2,4,5,差し,3,1,2,5,4,6,0.057,0.077,-0.014,0.105,0.103,0.042
202603240812,3,1,2,逃げ,6,4,1,2,3,5,0.086,0.048,0.07,0.072,-0.004,0.019
202603240601,1,6,4,逃げ,5,2,4,6,3,1,0.01,-0.032,-0.013,0.019,0.004,0.021
202603240602,3,2,1,逃げ,5,4,1,2,6,3,0.017,-0.005,0.043,0.011,0.013,0.005
202603240603,4,2,6,差し,2,5,6,1,3,4,0.029,-0.009,-0.018,-0.007,0.001,-0.004
202603240604,1,4,3,逃げ,6,3,4,1,5,2,-0.004,-0.013,0.052,0.004,-0.004,-0.015
202603240605,5,2,6,差し,6,4,2,5,1,3,-0.017,-0.029,-0.018,0.021,0.016,0.005
202603240606,3,5,4,差し,2,6,1,4,3,5,-0.02,-0.043,0.003,-0.022,-0.031,0.013
202603240607,1,4,2,逃げ,3,2,1,5,6,4,-0.003,0.018,0.038,0.012,0.018,0.019
202603240608,1,4,2,逃げ,5,2,4,1,6,3,0.023,0.004,-0.005,0.005,0.012,-0.036
202603240609,3,5,2,逃げ,4,3,1,2,5,6,0.013,0.008,0.056,-0.012,-0.006,0.015
202603240610,1,2,3,逃げ,4,1,3,2,5,6,-0.024,0.021,-0.045,-0.009,0.045,0.013
202603240611,1,2,6,逃げ,1,3,2,6,4,5,-0.003,0.022,-0.008,0.011,-0.002,0.019
202603240612,3,1,2,逃げ,5,4,1,6,3,2,0.023,0.004,0.025,0.043,-0.016,0.012
202603240501,3,1,2,逃げ,6,3,1,2,4,5,0.122,0.053,-0.0,0.039,0.063,0.056
202603240502,2,3,1,逃げ,4,1,3,6,2,5,0.173,0.01,0.043,0.308,0.223,0.028
202603240503,2,1,4,逃げ,3,1,5,4,2,6,-0.002,0.005,0.008,0.028,0.142,0.028
202603240504,2,4,3,差し,4,1,2,3,6,5,0.169,-0.023,0.125,0.037,0.288,0.018
202603240505,2,1,5,逃げ,3,1,5,6,4,2,-0.046,0.015,0.067,0.015,0.032,0.22
202603240506,1,3,5,逃げ,4,2,1,6,5,3,0.03,0.043,-0.024,0.111,0.002,0.046
202603240507,1,6,2,逃げ,1,6,5,2,4,3,0.025,0.035,0.055,0.096,0.054,0.021
202603240508,2,3,1,差し,2,1,3,4,5,6,0.006,0.014,0.033,0.107,0.03,0.288
202603240509,1,2,6,逃げ,1,3,4,6,5,2,0.004,0.006,0.023,0.03,0.05,0.004
202603240510,1,4,3,逃げ,4,6,5,1,3,2,0.01,0.061,0.03,-0.007,0.067,0.308
202603240511,6,3,1,逃げ,5,6,4,2,3,1,0.02,0.05,0.025,0.042,0.011,-0.001
202603240512,1,5,4,逃げ,6,2,5,3,1,4,0.041,0.022,0.177,0.009,0.032,0.03
