レースコード,レース日,レース場,レース回,締切時刻,取得日時,気象観測時刻,風速(m),風向,波の高さ(cm),天候,気温(℃),水温(℃)
202604300301,2026-04-30,03,01R,,backfill-from-daily,,1.0,2,5.0,2,14.0,17.0
202604300302,2026-04-30,03,02R,,backfill-from-daily,,1.0,2,5.0,2,14.0,17.0
202604300303,2026-04-30,03,03R,,backfill-from-daily,,2.0,2,5.0,2,15.0,17.0
202604300304,2026-04-30,03,04R,,backfill-from-daily,,1.0,2,5.0,2,15.0,17.0
202604300305,2026-04-30,03,05R,,backfill-from-daily,,2.0,2,5.0,2,15.0,17.0
202604300306,2026-04-30,03,06R,,backfill-from-daily,,2.0,2,5.0,2,15.0,17.0
202604300307,2026-04-30,03,07R,,backfill-from-daily,,1.0,3,5.0,2,15.0,17.0
202604300308,2026-04-30,03,08R,,backfill-from-daily,,2.0,2,5.0,2,15.0,17.0
202604300309,2026-04-30,03,09R,,backfill-from-daily,,2.0,2,5.0,2,15.0,17.0
202604300310,2026-04-30,03,10R,,backfill-from-daily,,2.0,2,5.0,2,15.0,17.0
202604300311,2026-04-30,03,11R,,backfill-from-daily,,3.0,2,5.0,2,15.0,17.0
202604300312,2026-04-30,03,12R,,backfill-from-daily,,3.0,2,5.0,2,15.0,17.0
202604300501,2026-04-30,05,01R,,backfill-from-daily,,2.0,3,2.0,2,15.0,19.0
202604300502,2026-04-30,05,02R,,backfill-from-daily,,2.0,2,2.0,2,15.0,19.0
202604300503,2026-04-30,05,03R,,backfill-from-daily,,1.0,2,2.0,2,15.0,19.0
202604300504,2026-04-30,05,04R,,backfill-from-daily,,0.0,,2.0,2,15.0,19.0
202604300505,2026-04-30,05,05R,,backfill-from-daily,,0.0,,2.0,2,15.0,19.0
202604300506,2026-04-30,05,06R,,backfill-from-daily,,1.0,3,1.0,2,15.0,19.0
202604300507,2026-04-30,05,07R,,backfill-from-daily,,2.0,7,1.0,2,15.0,19.0
202604300508,2026-04-30,05,08R,,backfill-from-daily,,1.0,7,1.0,2,15.0,19.0
202604300509,2026-04-30,05,09R,,backfill-from-daily,,0.0,,1.0,3,15.0,19.0
202604300510,2026-04-30,05,10R,,backfill-from-daily,,1.0,2,1.0,2,15.0,19.0
202604300511,2026-04-30,05,11R,,backfill-from-daily,,0.0,,1.0,2,15.0,19.0
202604300512,2026-04-30,05,12R,,backfill-from-daily,,0.0,,1.0,2,15.0,19.0
202604300901,2026-04-30,09,01R,,backfill-from-daily,,0.0,,0.0,3,13.0,19.0
202604300902,2026-04-30,09,02R,,backfill-from-daily,,0.0,,0.0,3,13.0,19.0
202604300903,2026-04-30,09,03R,,backfill-from-daily,,0.0,,0.0,3,14.0,19.0
202604300904,2026-04-30,09,04R,,backfill-from-daily,,1.0,3,1.0,3,14.0,19.0
202604300905,2026-04-30,09,05R,,backfill-from-daily,,0.0,,0.0,3,14.0,19.0
202604300906,2026-04-30,09,06R,,backfill-from-daily,,0.0,,0.0,3,14.0,19.0
202604300907,2026-04-30,09,07R,,backfill-from-daily,,0.0,,0.0,3,14.0,19.0
202604300908,2026-04-30,09,08R,,backfill-from-daily,,1.0,3,1.0,3,14.0,19.0
202604300909,2026-04-30,09,09R,,backfill-from-daily,,1.0,3,1.0,3,14.0,19.0
202604300910,2026-04-30,09,10R,,backfill-from-daily,,0.0,,0.0,3,14.0,19.0
202604300911,2026-04-30,09,11R,,backfill-from-daily,,0.0,,0.0,3,14.0,19.0
202604300912,2026-04-30,09,12R,,backfill-from-daily,,0.0,,0.0,3,14.0,19.0
202604301101,2026-04-30,11,01R,,backfill-from-daily,,3.0,2,3.0,3,12.0,18.0
202604301102,2026-04-30,11,02R,,backfill-from-daily,,3.0,2,3.0,3,12.0,18.0
202604301103,2026-04-30,11,03R,,backfill-from-daily,,4.0,2,3.0,3,12.0,18.0
202604301104,2026-04-30,11,04R,,backfill-from-daily,,4.0,2,3.0,3,12.0,18.0
202604301105,2026-04-30,11,05R,,backfill-from-daily,,2.0,1,2.0,3,12.0,18.0
202604301106,2026-04-30,11,06R,,backfill-from-daily,,4.0,2,3.0,3,12.0,18.0
202604301107,2026-04-30,11,07R,,backfill-from-daily,,5.0,2,5.0,3,12.0,18.0
202604301108,2026-04-30,11,08R,,backfill-from-daily,,6.0,2,6.0,3,12.0,18.0
202604301109,2026-04-30,11,09R,,backfill-from-daily,,5.0,2,6.0,3,13.0,18.0
202604301110,2026-04-30,11,10R,,backfill-from-daily,,5.0,1,7.0,3,13.0,18.0
202604301111,2026-04-30,11,11R,,backfill-from-daily,,5.0,2,7.0,3,13.0,18.0
202604301112,2026-04-30,11,12R,,backfill-from-daily,,5.0,2,7.0,3,14.0,18.0
202604301401,2026-04-30,14,01R,,backfill-from-daily,,0.0,,1.0,3,14.0,16.0
202604301402,2026-04-30,14,02R,,backfill-from-daily,,1.0,8,1.0,3,14.0,16.0
202604301403,2026-04-30,14,03R,,backfill-from-daily,,1.0,8,1.0,3,14.0,16.0
202604301404,2026-04-30,14,04R,,backfill-from-daily,,0.0,,1.0,3,14.0,16.0
202604301405,2026-04-30,14,05R,,backfill-from-daily,,0.0,,1.0,3,14.0,16.0
202604301406,2026-04-30,14,06R,,backfill-from-daily,,0.0,,1.0,3,14.0,16.0
202604301407,2026-04-30,14,07R,,backfill-from-daily,,0.0,,1.0,3,14.0,16.0
202604301408,2026-04-30,14,08R,,backfill-from-daily,,0.0,,1.0,3,14.0,16.0
202604301409,2026-04-30,14,09R,,backfill-from-daily,,0.0,,1.0,3,15.0,16.0
202604301410,2026-04-30,14,10R,,backfill-from-daily,,0.0,,1.0,3,15.0,16.0
202604301411,2026-04-30,14,11R,,backfill-from-daily,,1.0,4,1.0,3,15.0,16.0
202604301412,2026-04-30,14,12R,,backfill-from-daily,,1.0,4,1.0,3,15.0,16.0
202604301701,2026-04-30,17,01R,,backfill-from-daily,,2.0,2,2.0,3,13.0,16.0
202604301702,2026-04-30,17,02R,,backfill-from-daily,,2.0,2,2.0,3,13.0,16.0
202604301703,2026-04-30,17,03R,,backfill-from-daily,,2.0,2,2.0,3,13.0,16.0
202604301704,2026-04-30,17,04R,,backfill-from-daily,,2.0,2,2.0,3,13.0,16.0
202604301705,2026-04-30,17,05R,,backfill-from-daily,,2.0,2,2.0,3,13.0,16.0
202604301706,2026-04-30,17,06R,,backfill-from-daily,,1.0,2,1.0,3,14.0,16.0
202604301707,2026-04-30,17,07R,,backfill-from-daily,,3.0,2,3.0,3,14.0,16.0
202604301708,2026-04-30,17,08R,,backfill-from-daily,,3.0,2,3.0,2,14.0,16.0
202604301709,2026-04-30,17,09R,,backfill-from-daily,,3.0,2,3.0,2,14.0,16.0
202604301710,2026-04-30,17,10R,,backfill-from-daily,,3.0,2,3.0,3,14.0,16.0
202604301711,2026-04-30,17,11R,,backfill-from-daily,,3.0,2,3.0,3,14.0,16.0
202604301712,2026-04-30,17,12R,,backfill-from-daily,,3.0,2,3.0,2,14.0,16.0
202604301801,2026-04-30,18,01R,,backfill-from-daily,,2.0,3,2.0,3,11.0,16.0
202604301802,2026-04-30,18,02R,,backfill-from-daily,,2.0,3,2.0,3,12.0,16.0
202604301803,2026-04-30,18,03R,,backfill-from-daily,,2.0,3,2.0,3,12.0,16.0
