レースコード,レース日,レース場コード,レース回,状態,1枠_枠番pt,1枠_寄与_枠番pt,1枠_選手pt,1枠_寄与_選手pt,1枠_モーターpt,1枠_寄与_モーターpt,1枠_展示pt,1枠_寄与_展示pt,1枠_気象pt,1枠_寄与_気象pt,1枠_強さpt,2枠_枠番pt,2枠_寄与_枠番pt,2枠_選手pt,2枠_寄与_選手pt,2枠_モーターpt,2枠_寄与_モーターpt,2枠_展示pt,2枠_寄与_展示pt,2枠_気象pt,2枠_寄与_気象pt,2枠_強さpt,3枠_枠番pt,3枠_寄与_枠番pt,3枠_選手pt,3枠_寄与_選手pt,3枠_モーターpt,3枠_寄与_モーターpt,3枠_展示pt,3枠_寄与_展示pt,3枠_気象pt,3枠_寄与_気象pt,3枠_強さpt,4枠_枠番pt,4枠_寄与_枠番pt,4枠_選手pt,4枠_寄与_選手pt,4枠_モーターpt,4枠_寄与_モーターpt,4枠_展示pt,4枠_寄与_展示pt,4枠_気象pt,4枠_寄与_気象pt,4枠_強さpt,5枠_枠番pt,5枠_寄与_枠番pt,5枠_選手pt,5枠_寄与_選手pt,5枠_モーターpt,5枠_寄与_モーターpt,5枠_展示pt,5枠_寄与_展示pt,5枠_気象pt,5枠_寄与_気象pt,5枠_強さpt,6枠_枠番pt,6枠_寄与_枠番pt,6枠_選手pt,6枠_寄与_選手pt,6枠_モーターpt,6枠_寄与_モーターpt,6枠_展示pt,6枠_寄与_展示pt,6枠_気象pt,6枠_寄与_気象pt,6枠_強さpt
202609190612,2026-09-19,06,12R,daily,69.51,24.92,71.04,14.85,35.04,3.2,50.0,13.18,50.0,3.87,60.03,52.05,18.66,62.7,13.11,49.63,4.54,50.0,13.18,50.0,3.87,53.36,51.1,18.32,50.21,10.5,37.98,3.47,50.0,13.18,50.0,3.87,49.34,48.86,17.52,50.21,10.5,56.36,5.15,50.0,13.18,50.0,3.87,50.22,45.83,16.43,50.21,10.5,55.25,5.05,50.0,13.18,50.0,3.87,49.03,32.64,11.7,48.12,10.06,57.47,5.25,50.0,13.18,50.0,3.87,44.07
202609191201,2026-09-19,12,1R,daily,67.51,28.3,47.39,10.35,56.54,6.37,50.0,9.62,50.0,2.85,57.51,53.82,22.57,43.99,9.61,44.03,4.96,50.0,9.62,50.0,2.85,49.62,50.27,21.08,42.29,9.24,52.79,5.95,50.0,9.62,50.0,2.85,48.74,48.53,20.35,43.99,9.61,56.07,6.32,50.0,9.62,50.0,2.85,48.75,42.56,17.84,43.99,9.61,51.68,5.82,50.0,9.62,50.0,2.85,45.76,36.8,15.43,40.59,8.87,54.36,6.13,50.0,9.62,50.0,2.85,42.9
202609191202,2026-09-19,12,2R,daily,67.51,28.3,43.99,9.61,48.62,5.48,50.0,9.62,50.0,2.85,55.87,53.82,22.57,45.69,9.98,31.62,3.56,50.0,9.62,50.0,2.85,48.59,50.27,21.08,49.09,10.73,49.0,5.52,50.0,9.62,50.0,2.85,49.8,48.53,20.35,43.99,9.61,60.67,6.84,50.0,9.62,50.0,2.85,49.27,42.56,17.84,33.79,7.38,46.45,5.23,50.0,9.62,50.0,2.85,42.94,36.8,15.43,35.49,7.75,47.98,5.41,50.0,9.62,50.0,2.85,41.07
202609191203,2026-09-19,12,3R,daily,67.51,28.3,45.69,9.98,50.92,5.74,50.0,9.62,50.0,2.85,56.5,53.82,22.57,49.09,10.73,52.28,5.89,50.0,9.62,50.0,2.85,51.66,50.27,21.08,45.69,9.98,58.22,6.56,50.0,9.62,50.0,2.85,50.1,48.53,20.35,43.99,9.61,57.65,6.5,50.0,9.62,50.0,2.85,48.93,42.56,17.84,47.39,10.35,53.36,6.01,50.0,9.62,50.0,2.85,46.69,36.8,15.43,43.99,9.61,60.2,6.78,50.0,9.62,50.0,2.85,44.3
202609191204,2026-09-19,12,4R,daily,67.51,28.3,43.99,9.61,49.13,5.54,50.0,9.62,50.0,2.85,55.93,53.82,22.57,47.39,10.35,41.55,4.68,50.0,9.62,50.0,2.85,50.08,50.27,21.08,38.89,8.5,63.93,7.2,50.0,9.62,50.0,2.85,49.26,48.53,20.35,47.39,10.35,39.05,4.4,50.0,9.62,50.0,2.85,47.58,42.56,17.84,67.8,14.81,54.28,6.12,50.0,9.62,50.0,2.85,51.25,36.8,15.43,43.99,9.61,65.05,7.33,50.0,9.62,50.0,2.85,44.85
202609191205,2026-09-19,12,5R,daily,67.51,28.3,49.09,10.73,39.25,4.42,50.0,9.62,50.0,2.85,55.93,53.82,22.57,45.69,9.98,40.25,4.54,50.0,9.62,50.0,2.85,49.56,50.27,21.08,45.69,9.98,47.96,5.41,50.0,9.62,50.0,2.85,48.94,48.53,20.35,42.29,9.24,54.49,6.14,50.0,9.62,50.0,2.85,48.2,42.56,17.84,42.29,9.24,52.79,5.95,50.0,9.62,50.0,2.85,45.51,36.8,15.43,50.79,11.1,54.88,6.18,50.0,9.62,50.0,2.85,45.19
202609191206,2026-09-19,12,6R,daily,67.51,28.3,49.09,10.73,38.23,4.31,50.0,9.62,50.0,2.85,55.82,53.82,22.57,35.49,7.75,47.98,5.41,50.0,9.62,50.0,2.85,48.2,50.27,21.08,45.69,9.98,50.02,5.64,50.0,9.62,50.0,2.85,49.17,48.53,20.35,50.79,11.1,46.77,5.27,50.0,9.62,50.0,2.85,49.19,42.56,17.84,42.29,9.24,67.45,7.6,50.0,9.62,50.0,2.85,47.16,36.8,15.43,43.99,9.61,44.03,4.96,50.0,9.62,50.0,2.85,42.48
202609191207,2026-09-19,12,7R,daily,67.51,28.3,43.99,9.61,51.68,5.82,50.0,9.62,50.0,2.85,56.22,53.82,22.57,50.79,11.1,53.61,6.04,50.0,9.62,50.0,2.85,52.18,50.27,21.08,43.99,9.61,48.62,5.48,50.0,9.62,50.0,2.85,48.64,48.53,20.35,54.2,11.84,54.65,6.16,50.0,9.62,50.0,2.85,50.82,42.56,17.84,45.69,9.98,50.92,5.74,50.0,9.62,50.0,2.85,46.04,36.8,15.43,45.69,9.98,46.02,5.19,50.0,9.62,50.0,2.85,43.07
202609191208,2026-09-19,12,8R,daily,67.51,28.3,38.89,8.5,63.93,7.2,50.0,9.62,50.0,2.85,56.48,53.82,22.57,52.49,11.47,52.27,5.89,50.0,9.62,50.0,2.85,52.4,50.27,21.08,45.69,9.98,31.62,3.56,50.0,9.62,50.0,2.85,47.1,48.53,20.35,47.39,10.35,50.79,5.72,50.0,9.62,50.0,2.85,48.9,42.56,17.84,40.59,8.87,54.36,6.13,50.0,9.62,50.0,2.85,45.31,36.8,15.43,49.09,10.73,52.28,5.89,50.0,9.62,50.0,2.85,44.52
202609191209,2026-09-19,12,9R,daily,67.51,28.3,49.09,10.73,42.41,4.78,50.0,9.62,50.0,2.85,56.29,53.82,22.57,42.29,9.24,54.49,6.14,50.0,9.62,50.0,2.85,50.42,50.27,21.08,69.5,15.18,57.04,6.43,50.0,9.62,50.0,2.85,55.17,48.53,20.35,49.09,10.73,36.49,4.11,50.0,9.62,50.0,2.85,47.66,42.56,17.84,43.99,9.61,49.13,5.54,50.0,9.62,50.0,2.85,45.47,36.8,15.43,43.99,9.61,60.67,6.84,50.0,9.62,50.0,2.85,44.35
