レースコード,レース日,レース場コード,レース回,状態,荒れ度,P_その他_1,P_その他_2,P_その他_3,P_その他_4,P_その他_5,P_その他_6,P_まくり_2,P_まくり_3,P_まくり_4,P_まくり_5,P_まくり_6,P_まくり差し_3,P_まくり差し_4,P_まくり差し_5,P_まくり差し_6,P_差し_2,P_差し_3,P_差し_4,P_差し_5,P_差し_6,P_抜き_1,P_抜き_2,P_抜き_3,P_抜き_4,P_抜き_5,P_抜き_6,P_恵まれ_2,P_恵まれ_3,P_恵まれ_4,P_恵まれ_5,P_逃げ_1,P_逃げ_2
202609200101,2026-09-20,01,01R,daily,0.8392,0.007739,0.001793,0.000894,0.000330,0.000292,0.001396,0.179306,0.043420,0.128383,0.014090,0.001562,0.033878,0.055935,0.057989,0.003266,0.151324,0.023982,0.033570,0.006673,0.001677,0.009734,0.025984,0.008668,0.017831,0.007786,0.001207,0.002422,0.001299,0.001684,0.001651,0.160819,0.013416
202609200101,2026-09-20,01,01R,realtime,0.8713,0.001841,0.002053,0.000810,0.000368,0.000315,0.001119,0.223457,0.025304,0.102090,0.011652,0.001908,0.027122,0.030242,0.080963,0.003515,0.192877,0.026722,0.029832,0.006678,0.001633,0.009818,0.036120,0.008087,0.016225,0.012606,0.001241,0.002478,0.001522,0.001548,0.001666,0.128706,0.009481
202609200102,2026-09-20,01,02R,daily,0.5682,0.003802,0.002486,0.000669,0.000254,0.000229,0.000635,0.040506,0.068062,0.104757,0.015542,0.002280,0.059359,0.042146,0.028844,0.005161,0.057204,0.025103,0.025057,0.003259,0.001650,0.024209,0.008864,0.016836,0.011278,0.006655,0.001398,0.001476,0.001702,0.002035,0.001485,0.431844,0.005214
202609200102,2026-09-20,01,02R,realtime,0.5489,0.002375,0.001448,0.000946,0.000306,0.000262,0.000601,0.037628,0.047151,0.129838,0.008947,0.001941,0.056037,0.039138,0.028975,0.005400,0.052649,0.023645,0.026361,0.003019,0.001727,0.026655,0.009937,0.014706,0.011619,0.006903,0.001362,0.001225,0.001183,0.001749,0.001727,0.451062,0.003478
202609200103,2026-09-20,01,03R,daily,0.6854,0.007433,0.002907,0.001048,0.000398,0.000352,0.002331,0.049947,0.054893,0.090253,0.037105,0.011617,0.043555,0.053564,0.085640,0.041052,0.062425,0.021306,0.013249,0.008833,0.007734,0.016577,0.012088,0.016638,0.007845,0.012658,0.006728,0.001711,0.002069,0.002124,0.003867,0.314575,0.007478
202609200103,2026-09-20,01,03R,realtime,0.7115,0.008408,0.003290,0.001617,0.000374,0.000499,0.002470,0.050423,0.046880,0.091416,0.044184,0.007730,0.032047,0.053867,0.133256,0.029377,0.058501,0.015046,0.017090,0.010407,0.011485,0.020711,0.010336,0.013653,0.008873,0.018345,0.002556,0.001003,0.001902,0.001630,0.003766,0.288516,0.010342
202609200104,2026-09-20,01,04R,daily,0.7077,0.005894,0.003247,0.000734,0.000317,0.000325,0.001171,0.081065,0.056533,0.122206,0.028830,0.004162,0.028578,0.045406,0.059032,0.012751,0.113592,0.017181,0.032607,0.009461,0.004983,0.017541,0.011587,0.007688,0.018988,0.008428,0.003203,0.001645,0.001108,0.001654,0.001856,0.292262,0.005965
202609200104,2026-09-20,01,04R,realtime,0.5830,0.001513,0.001773,0.000608,0.000298,0.000333,0.000889,0.053139,0.022834,0.081068,0.046100,0.001424,0.022857,0.029646,0.092799,0.008834,0.104673,0.010520,0.023478,0.008436,0.004124,0.018691,0.007975,0.005262,0.015373,0.010639,0.001821,0.001201,0.000818,0.000924,0.002043,0.416955,0.002953
202609200105,2026-09-20,01,05R,daily,0.6920,0.004637,0.002403,0.001600,0.000327,0.000267,0.001373,0.070072,0.094405,0.032771,0.018285,0.020098,0.089150,0.015563,0.024306,0.043751,0.096345,0.045710,0.006738,0.003943,0.014368,0.017570,0.016189,0.024124,0.002108,0.005358,0.010526,0.001731,0.002140,0.000722,0.003250,0.308007,0.022162
202609200105,2026-09-20,01,05R,realtime,0.6203,0.002151,0.001491,0.001001,0.000269,0.000280,0.001298,0.046406,0.079709,0.013598,0.018200,0.013866,0.083663,0.011136,0.023966,0.052080,0.103121,0.031809,0.005444,0.002455,0.019661,0.025642,0.018853,0.032493,0.001529,0.006081,0.007543,0.001192,0.001398,0.000580,0.001378,0.379684,0.012024
202609200106,2026-09-20,01,06R,daily,0.4986,0.004482,0.002876,0.000744,0.000283,0.000229,0.001043,0.039075,0.053404,0.051813,0.029786,0.018124,0.036922,0.018627,0.044029,0.034058,0.054547,0.014954,0.009131,0.005133,0.005480,0.028197,0.008382,0.010248,0.002946,0.008091,0.004708,0.001055,0.001559,0.001506,0.002208,0.501404,0.004957
202609200106,2026-09-20,01,06R,realtime,0.5158,0.003174,0.001363,0.000589,0.000323,0.000236,0.000965,0.045741,0.047355,0.050029,0.026097,0.004992,0.045889,0.021948,0.061609,0.027981,0.068933,0.011216,0.012515,0.004214,0.006717,0.027516,0.008425,0.012439,0.003532,0.007481,0.006007,0.001048,0.001556,0.001151,0.001247,0.484206,0.003505
202609200107,2026-09-20,01,07R,daily,0.3725,0.001759,0.001670,0.000398,0.000150,0.000156,0.000743,0.006310,0.059935,0.043304,0.009820,0.003407,0.072658,0.028480,0.023314,0.011840,0.027780,0.015495,0.009007,0.001475,0.002601,0.019049,0.003165,0.012829,0.003690,0.003400,0.001592,0.000884,0.001669,0.000997,0.001194,0.627538,0.003692
202609200107,2026-09-20,01,07R,realtime,0.3777,0.001792,0.000600,0.000549,0.000155,0.000186,0.000630,0.005698,0.069936,0.032401,0.010672,0.001135,0.083371,0.026587,0.018143,0.006495,0.032475,0.016110,0.010388,0.001358,0.003043,0.021388,0.004205,0.017142,0.003035,0.002277,0.001402,0.000779,0.001328,0.000805,0.000865,0.622288,0.002763
202609200108,2026-09-20,01,08R,daily,0.3325,0.004271,0.000756,0.000430,0.000151,0.000154,0.000692,0.051515,0.017356,0.027306,0.016000,0.001055,0.029101,0.012092,0.028946,0.001432,0.059844,0.010144,0.011183,0.001615,0.000247,0.028623,0.005713,0.006047,0.004331,0.003654,0.000316,0.001313,0.001031,0.001329,0.001019,0.667527,0.004809
202609200108,2026-09-20,01,08R,realtime,0.3037,0.002075,0.000826,0.000209,0.000109,0.000134,0.000548,0.052937,0.013882,0.014228,0.008861,0.000448,0.025299,0.008077,0.027876,0.001073,0.067414,0.013185,0.010104,0.002187,0.000165,0.029629,0.004866,0.006767,0.002814,0.001907,0.000285,0.000890,0.001150,0.000678,0.000737,0.696347,0.004291
202609200109,2026-09-20,01,09R,daily,0.3608,0.004184,0.001400,0.000568,0.000186,0.000172,0.001155,0.017057,0.025866,0.015497,0.019302,0.013820,0.021759,0.008754,0.052180,0.033863,0.069675,0.006592,0.001995,0.002815,0.003678,0.022635,0.010812,0.003724,0.001263,0.004645,0.003086,0.001273,0.001265,0.001056,0.001418,0.639232,0.009073
202609200109,2026-09-20,01,09R,realtime,0.4368,0.003455,0.001451,0.000506,0.000259,0.000165,0.001514,0.013902,0.028875,0.022373,0.025125,0.010767,0.028603,0.009861,0.110582,0.052058,0.051964,0.009356,0.001680,0.004175,0.002598,0.016984,0.009212,0.003832,0.001256,0.004455,0.005728,0.001885,0.001340,0.001264,0.001682,0.563229,0.009862
202609200110,2026-09-20,01,10R,daily,0.4684,0.004409,0.001560,0.000669,0.000199,0.000186,0.000529,0.045201,0.045820,0.069307,0.015721,0.001280,0.038870,0.027953,0.025374,0.003124,0.074373,0.017381,0.015896,0.003274,0.001063,0.029522,0.010993,0.011753,0.006840,0.003946,0.000957,0.001842,0.001301,0.001970,0.001691,0.531590,0.005404
202609200110,2026-09-20,01,10R,realtime,0.4556,0.001843,0.001537,0.000797,0.000260,0.000150,0.000447,0.048903,0.046355,0.050886,0.007790,0.000522,0.042768,0.029854,0.024476,0.002127,0.087230,0.019275,0.013208,0.001869,0.000559,0.029313,0.011936,0.012742,0.005095,0.002766,0.001018,0.001782,0.001254,0.001327,0.001249,0.544405,0.006257
202609200111,2026-09-20,01,11R,daily,0.4690,0.004431,0.001039,0.000722,0.000200,0.000205,0.001349,0.027044,0.056289,0.058018,0.009749,0.002760,0.084685,0.030694,0.041138,0.006662,0.048675,0.016631,0.009716,0.005140,0.002599,0.021533,0.006276,0.010079,0.006320,0.004347,0.001157,0.001866,0.002185,0.001050,0.001094,0.530952,0.005398
202609200111,2026-09-20,01,11R,realtime,0.5177,0.002816,0.000890,0.000706,0.000178,0.000239,0.001196,0.032319,0.051351,0.105808,0.004105,0.001233,0.065840,0.036568,0.041393,0.004537,0.064297,0.017412,0.014038,0.007271,0.002610,0.020243,0.006480,0.014506,0.006241,0.003265,0.000832,0.001520,0.002298,0.000817,0.000901,0.482339,0.005753
202609200112,2026-09-20,01,12R,daily,0.4822,0.003929,0.001319,0.000863,0.000238,0.000227,0.001414,0.028018,0.045947,0.081443,0.008389,0.005501,0.054226,0.037073,0.023698,0.010984,0.071394,0.012250,0.015442,0.003805,0.003784,0.019305,0.008748,0.010222,0.010210,0.003953,0.003082,0.001802,0.001786,0.001229,0.001876,0.517828,0.010019
202609200201,2026-09-20,02,01R,daily,0.6996,0.002392,0.001637,0.000761,0.000243,0.000245,0.000386,0.071034,0.116598,0.108771,0.031549,0.004772,0.041133,0.036880,0.047518,0.005835,0.073783,0.012395,0.030806,0.011236,0.002846,0.021337,0.012776,0.023911,0.013291,0.013167,0.002015,0.002618,0.000923,0.002638,0.001988,0.300447,0.004067
202609200201,2026-09-20,02,01R,realtime,0.6575,0.001109,0.000806,0.000817,0.000264,0.000228,0.000317,0.062090,0.110285,0.051816,0.018976,0.004165,0.054086,0.031287,0.068644,0.004127,0.094614,0.013955,0.027388,0.006091,0.002133,0.031757,0.011270,0.029977,0.009139,0.009677,0.001791,0.002551,0.000938,0.002716,0.002488,0.342502,0.001997
202609200202,2026-09-20,02,02R,daily,0.7732,0.002300,0.001456,0.000813,0.000214,0.000192,0.000431,0.020795,0.279734,0.037205,0.025672,0.009716,0.139416,0.020167,0.045504,0.008265,0.030254,0.036628,0.023318,0.006515,0.008074,0.013258,0.005797,0.032170,0.003427,0.005252,0.004569,0.002640,0.001640,0.001305,0.002413,0.226820,0.004041
202609200202,2026-09-20,02,02R,realtime,0.7238,0.001698,0.000354,0.000643,0.000199,0.000180,0.000447,0.019948,0.275333,0.022585,0.017985,0.002978,0.150893,0.014180,0.033720,0.005406,0.035714,0.039753,0.022932,0.004517,0.004681,0.017604,0.005330,0.031385,0.002393,0.003432,0.003405,0.001554,0.000751,0.000821,0.001497,0.276227,0.001456
202609200203,2026-09-20,02,03R,daily,0.8027,0.003006,0.001425,0.000744,0.000316,0.000217,0.001142,0.084826,0.215350,0.077149,0.015336,0.012050,0.079289,0.043886,0.030431,0.015446,0.052512,0.040336,0.038010,0.005102,0.004317,0.016316,0.014972,0.020509,0.008370,0.004815,0.004739,0.002263,0.003207,0.001520,0.002098,0.197343,0.002958
202609200203,2026-09-20,02,03R,realtime,0.8330,0.001236,0.000407,0.000616,0.000277,0.000200,0.001277,0.043401,0.307396,0.090501,0.007486,0.006456,0.096558,0.048697,0.017768,0.015179,0.040988,0.040181,0.042742,0.003430,0.002934,0.012030,0.009330,0.022363,0.006752,0.002142,0.005040,0.002183,0.002118,0.000951,0.001186,0.167047,0.001126
202609200204,2026-09-20,02,04R,daily,0.8391,0.003808,0.000521,0.000904,0.000290,0.000226,0.000591,0.225524,0.068168,0.031759,0.035525,0.020513,0.016623,0.006104,0.033854,0.018519,0.252680,0.017588,0.007909,0.008237,0.002481,0.010440,0.036508,0.011116,0.002647,0.006525,0.005528,0.001929,0.000821,0.000744,0.001801,0.160918,0.009201
202609200204,2026-09-20,02,04R,realtime,0.8601,0.000671,0.000929,0.000642,0.000366,0.000205,0.000641,0.268053,0.062128,0.032380,0.024701,0.036816,0.017428,0.007843,0.037595,0.032961,0.217001,0.023560,0.006110,0.008756,0.002670,0.009294,0.032469,0.009326,0.002444,0.005482,0.007000,0.001856,0.000680,0.000738,0.001669,0.139873,0.007713
202609200205,2026-09-20,02,05R,daily,0.6019,0.002962,0.000675,0.000366,0.000167,0.000165,0.000377,0.035979,0.056999,0.173962,0.011189,0.001821,0.028278,0.052951,0.019900,0.002079,0.059182,0.007681,0.071177,0.004944,0.001064,0.019587,0.007006,0.006882,0.022046,0.004267,0.000901,0.002250,0.001941,0.002930,0.001264,0.398091,0.000916
202609200205,2026-09-20,02,05R,realtime,0.6254,0.001360,0.000354,0.000424,0.000175,0.000174,0.000340,0.023261,0.072680,0.142385,0.002958,0.000656,0.038752,0.072228,0.009744,0.000862,0.061032,0.005556,0.117695,0.002523,0.000666,0.016411,0.004875,0.007385,0.031986,0.002821,0.000780,0.002076,0.002403,0.001488,0.000895,0.374623,0.000432
202609200206,2026-09-20,02,06R,daily,0.7394,0.006570,0.000889,0.000780,0.000237,0.000232,0.000987,0.124677,0.114126,0.036980,0.033525,0.002911,0.042781,0.012046,0.095175,0.006306,0.130840,0.014676,0.012858,0.019632,0.001436,0.012789,0.020843,0.015783,0.005478,0.012387,0.001738,0.002108,0.002479,0.002430,0.001359,0.260647,0.004293
202609200206,2026-09-20,02,06R,realtime,0.6840,0.002262,0.000561,0.000842,0.000269,0.000221,0.000886,0.114453,0.081976,0.044515,0.038016,0.001153,0.046160,0.008145,0.096215,0.006925,0.134124,0.009035,0.008249,0.017703,0.001271,0.011336,0.014547,0.013470,0.004796,0.015583,0.001542,0.002498,0.001693,0.001954,0.001597,0.316045,0.001961
202609200207,2026-09-20,02,07R,daily,0.2662,0.001274,0.000504,0.000330,0.000130,0.000101,0.000345,0.009491,0.051980,0.014315,0.017076,0.007082,0.035215,0.009254,0.022154,0.005332,0.028465,0.005146,0.006352,0.002142,0.001011,0.024830,0.005011,0.006315,0.001830,0.003675,0.001533,0.001113,0.001230,0.001001,0.000744,0.733841,0.001177
202609200207,2026-09-20,02,07R,realtime,0.2850,0.002166,0.000249,0.000317,0.000169,0.000110,0.000351,0.009002,0.073265,0.008804,0.015113,0.004145,0.048740,0.009224,0.019118,0.004009,0.024759,0.005412,0.004964,0.002432,0.000959,0.025905,0.005310,0.007786,0.001593,0.004140,0.001949,0.001150,0.001074,0.000796,0.000536,0.715016,0.001435
202609200208,2026-09-20,02,08R,daily,0.6172,0.003988,0.001044,0.000807,0.000280,0.000285,0.000831,0.083028,0.055747,0.049446,0.024990,0.015125,0.026060,0.015116,0.039897,0.029383,0.138271,0.009552,0.014421,0.014655,0.012038,0.020305,0.016675,0.010702,0.004487,0.007689,0.007840,0.003124,0.001117,0.001213,0.002328,0.382807,0.006752
202609200208,2026-09-20,02,08R,realtime,0.6917,0.001934,0.001559,0.000935,0.000411,0.000302,0.000933,0.098949,0.040634,0.094697,0.028010,0.009082,0.022623,0.014830,0.038865,0.023579,0.165317,0.010751,0.013413,0.009564,0.010237,0.018224,0.033258,0.010954,0.004467,0.011364,0.010044,0.004081,0.001002,0.001233,0.001995,0.308255,0.008500
202609200209,2026-09-20,02,09R,daily,0.4761,0.001958,0.000939,0.000893,0.000232,0.000130,0.000608,0.018151,0.108662,0.024013,0.014244,0.056042,0.052082,0.009338,0.021214,0.043119,0.032207,0.010408,0.006124,0.002655,0.006629,0.019289,0.004215,0.013073,0.002286,0.002619,0.016301,0.001282,0.001993,0.001279,0.001719,0.523850,0.002447
202609200209,2026-09-20,02,09R,realtime,0.4950,0.001580,0.000325,0.000717,0.000235,0.000142,0.000936,0.016635,0.135788,0.020322,0.006911,0.054353,0.056529,0.008811,0.015098,0.048791,0.031308,0.013223,0.006554,0.002277,0.005487,0.020895,0.003943,0.017146,0.001792,0.001354,0.017164,0.001253,0.000935,0.001279,0.001398,0.504968,0.001851
202609200210,2026-09-20,02,10R,daily,0.4846,0.002050,0.000887,0.000705,0.000203,0.000197,0.000660,0.019381,0.115651,0.020692,0.026092,0.006332,0.071440,0.011477,0.064022,0.007931,0.032913,0.019681,0.006954,0.005037,0.003777,0.026179,0.006376,0.011752,0.001683,0.009264,0.002688,0.001530,0.001307,0.000875,0.001231,0.515390,0.005644
202609200210,2026-09-20,02,10R,realtime,0.7267,0.007358,0.002082,0.000993,0.000417,0.000402,0.001277,0.017659,0.104751,0.085972,0.037456,0.035500,0.032211,0.158432,0.081735,0.021908,0.015487,0.008972,0.020463,0.014219,0.007730,0.018669,0.004340,0.008193,0.006914,0.013069,0.005173,0.002552,0.002136,0.002076,0.004153,0.273308,0.004394
202609200211,2026-09-20,02,11R,daily,0.6225,0.001263,0.000889,0.000535,0.000315,0.000167,0.000840,0.065032,0.056656,0.094111,0.016766,0.112337,0.012563,0.023599,0.027372,0.033242,0.065492,0.005294,0.011006,0.006290,0.004220,0.020554,0.028603,0.010624,0.004294,0.003446,0.005206,0.001209,0.001263,0.000942,0.001653,0.377469,0.006748
202609200211,2026-09-20,02,11R,realtime,0.5873,0.001560,0.000599,0.000276,0.000351,0.000153,0.001036,0.071487,0.052549,0.072660,0.011289,0.070137,0.015405,0.022100,0.041815,0.037365,0.079089,0.007887,0.010376,0.004465,0.002811,0.027254,0.027866,0.009037,0.002313,0.003315,0.004731,0.000952,0.001002,0.001082,0.001719,0.412743,0.004574
202609200212,2026-09-20,02,12R,daily,0.3257,0.001240,0.000257,0.000281,0.000141,0.000091,0.000823,0.017276,0.040446,0.077589,0.003642,0.006164,0.026500,0.029427,0.008514,0.003919,0.049490,0.004057,0.009638,0.001894,0.000571,0.014324,0.005258,0.007853,0.007740,0.001318,0.001140,0.001946,0.001664,0.001031,0.000675,0.674268,0.000825
202609200212,2026-09-20,02,12R,realtime,0.3127,0.001091,0.000143,0.000345,0.000136,0.000091,0.000728,0.006781,0.045094,0.088658,0.001737,0.006442,0.025072,0.046209,0.005414,0.003544,0.032651,0.002221,0.009074,0.001085,0.000438,0.012548,0.003228,0.007446,0.005491,0.000751,0.000824,0.001465,0.001572,0.000938,0.000547,0.687251,0.000984
202609200301,2026-09-20,03,01R,daily,0.6614,0.002038,0.001399,0.000430,0.000326,0.000250,0.000629,0.072114,0.030771,0.132631,0.044322,0.014418,0.016289,0.047805,0.053027,0.024350,0.064917,0.006255,0.018790,0.011626,0.014142,0.028477,0.018618,0.010453,0.017193,0.014716,0.007679,0.001053,0.001557,0.001846,0.001747,0.338643,0.001488
