レースコード,レース日,レース場コード,レース回,状態,荒れ度,P_その他_1,P_その他_2,P_その他_3,P_その他_4,P_その他_5,P_その他_6,P_まくり_2,P_まくり_3,P_まくり_4,P_まくり_5,P_まくり_6,P_まくり差し_3,P_まくり差し_4,P_まくり差し_5,P_まくり差し_6,P_差し_2,P_差し_3,P_差し_4,P_差し_5,P_差し_6,P_抜き_1,P_抜き_2,P_抜き_3,P_抜き_4,P_抜き_5,P_抜き_6,P_恵まれ_2,P_恵まれ_3,P_恵まれ_4,P_恵まれ_5,P_逃げ_1,P_逃げ_2
202609260911,2026-09-26,09,11R,daily,0.3951,0.001568,0.000512,0.000360,0.000152,0.000151,0.000670,0.006720,0.050551,0.027160,0.005598,0.003570,0.111381,0.032577,0.020267,0.007404,0.035706,0.012934,0.015516,0.003968,0.001994,0.018664,0.005315,0.015551,0.003525,0.003674,0.001622,0.001966,0.002030,0.001287,0.001338,0.604887,0.001380
202609260912,2026-09-26,09,12R,daily,0.2185,0.001226,0.000224,0.000215,0.000080,0.000087,0.000303,0.005850,0.023176,0.007992,0.006373,0.001800,0.040800,0.005883,0.022438,0.002949,0.042264,0.006695,0.004232,0.002284,0.000546,0.024580,0.004108,0.005573,0.001058,0.001985,0.000482,0.001445,0.001068,0.000754,0.000574,0.781462,0.001493
202609261101,2026-09-26,11,01R,daily,0.3483,0.001571,0.000801,0.000275,0.000169,0.000156,0.000415,0.013793,0.029459,0.029737,0.011339,0.001976,0.044043,0.029151,0.040376,0.008141,0.050910,0.006483,0.016741,0.005061,0.001613,0.021841,0.005129,0.007699,0.005410,0.008025,0.001336,0.001716,0.001740,0.001506,0.000752,0.651690,0.000944
202609261102,2026-09-26,11,02R,daily,0.5212,0.002063,0.001218,0.000403,0.000251,0.000220,0.000601,0.024740,0.042424,0.027878,0.037128,0.006262,0.031782,0.030370,0.132065,0.016462,0.055509,0.011952,0.014594,0.010386,0.004212,0.022532,0.006950,0.006439,0.003224,0.021251,0.002533,0.001545,0.001273,0.001329,0.001410,0.478828,0.002166
202609261103,2026-09-26,11,03R,daily,0.4824,0.001983,0.000987,0.000519,0.000266,0.000210,0.000519,0.034720,0.041814,0.027498,0.033276,0.010368,0.034912,0.023492,0.064413,0.030802,0.060925,0.012649,0.010342,0.010589,0.006154,0.028066,0.008406,0.009435,0.003367,0.013818,0.004542,0.001543,0.002224,0.001129,0.001431,0.517570,0.002030
202609261104,2026-09-26,11,04R,daily,0.5892,0.002146,0.001291,0.000568,0.000299,0.000210,0.000654,0.033620,0.091393,0.034636,0.019091,0.015813,0.079579,0.034995,0.046678,0.043673,0.053752,0.026326,0.019921,0.007887,0.006083,0.020007,0.007457,0.014979,0.005440,0.006550,0.006615,0.001692,0.002778,0.001154,0.001455,0.410829,0.002426
202609261105,2026-09-26,11,05R,daily,0.2882,0.001092,0.000458,0.000204,0.000124,0.000100,0.000350,0.005845,0.031439,0.033440,0.005240,0.002495,0.058725,0.034156,0.018835,0.006253,0.020227,0.005999,0.018848,0.002396,0.001021,0.015150,0.002476,0.009308,0.004583,0.002396,0.001032,0.001467,0.001974,0.001140,0.000807,0.711818,0.000603
202609261106,2026-09-26,11,06R,daily,0.3219,0.001459,0.000418,0.000186,0.000143,0.000116,0.000419,0.010623,0.017433,0.022023,0.023117,0.002667,0.016086,0.022640,0.103463,0.006795,0.030253,0.002743,0.005589,0.008249,0.001016,0.021683,0.003176,0.003219,0.003126,0.009811,0.000686,0.001260,0.001063,0.001213,0.000605,0.678083,0.000638
202609261107,2026-09-26,11,07R,daily,0.3437,0.001527,0.000900,0.000352,0.000206,0.000136,0.000567,0.022314,0.037198,0.022672,0.007012,0.009638,0.029478,0.019499,0.018482,0.026155,0.068972,0.009252,0.011355,0.002754,0.003195,0.020949,0.005625,0.006476,0.003809,0.003203,0.003781,0.001604,0.002476,0.001179,0.001136,0.656314,0.001782
202609261108,2026-09-26,11,08R,daily,0.4733,0.001907,0.000797,0.000404,0.000171,0.000151,0.000671,0.019906,0.081416,0.023839,0.008257,0.003594,0.131881,0.030035,0.025186,0.008697,0.039243,0.021117,0.012769,0.004599,0.001892,0.016129,0.004129,0.017864,0.003658,0.004131,0.001684,0.002060,0.002328,0.001913,0.001485,0.526734,0.001354
202609261109,2026-09-26,11,09R,daily,0.4969,0.001833,0.000944,0.000526,0.000314,0.000171,0.000548,0.051588,0.047021,0.056672,0.011729,0.010933,0.036479,0.055095,0.035233,0.015057,0.061709,0.014618,0.020352,0.004752,0.004425,0.022613,0.009283,0.008245,0.008128,0.005353,0.004032,0.001683,0.002348,0.001310,0.001338,0.503120,0.002551
202609261110,2026-09-26,11,10R,daily,0.3226,0.001292,0.000363,0.000298,0.000166,0.000147,0.000488,0.023769,0.014983,0.024345,0.010673,0.002149,0.014968,0.020392,0.034405,0.006175,0.094018,0.003940,0.007552,0.005688,0.001346,0.022854,0.008960,0.004370,0.004535,0.005145,0.001091,0.002294,0.001546,0.001105,0.001157,0.677383,0.002405
202609261111,2026-09-26,11,11R,daily,0.4410,0.001838,0.000664,0.000467,0.000241,0.000170,0.000702,0.046832,0.033412,0.043232,0.007048,0.005348,0.027363,0.039846,0.022222,0.010968,0.095611,0.011939,0.020484,0.004559,0.001762,0.022978,0.014163,0.006423,0.004925,0.004101,0.001598,0.002737,0.002905,0.001483,0.001669,0.558993,0.003320
202609261112,2026-09-26,11,12R,daily,0.3579,0.002091,0.000543,0.000293,0.000146,0.000136,0.000517,0.010374,0.047702,0.026803,0.008274,0.001360,0.060113,0.022675,0.041909,0.006036,0.038510,0.014262,0.022297,0.003859,0.000944,0.020384,0.004748,0.006661,0.003698,0.003874,0.000833,0.002125,0.002362,0.001415,0.000983,0.642066,0.002006
202609261301,2026-09-26,13,01R,daily,0.5563,0.003005,0.000874,0.000492,0.000166,0.000122,0.000526,0.055212,0.091166,0.016069,0.005552,0.004032,0.114688,0.011267,0.016823,0.008236,0.113309,0.042540,0.008804,0.002000,0.001760,0.014081,0.011526,0.018767,0.002515,0.002141,0.002404,0.001321,0.001549,0.001134,0.000852,0.443738,0.003330
202609261302,2026-09-26,13,02R,daily,0.7404,0.002900,0.000897,0.000607,0.000280,0.000185,0.000715,0.157274,0.034867,0.084718,0.005473,0.004580,0.027282,0.034182,0.013047,0.008301,0.229655,0.019102,0.024291,0.003624,0.001471,0.008945,0.034449,0.012924,0.012407,0.002883,0.002675,0.001973,0.001356,0.001474,0.001465,0.259597,0.006402
202609261303,2026-09-26,13,03R,daily,0.6375,0.002803,0.000900,0.000400,0.000238,0.000190,0.000507,0.088266,0.026772,0.105581,0.013719,0.002201,0.018579,0.055159,0.046951,0.002603,0.143049,0.010147,0.031458,0.005622,0.001009,0.010796,0.027740,0.008010,0.016167,0.008668,0.000942,0.001431,0.000738,0.001464,0.001037,0.362539,0.004314
202609261304,2026-09-26,13,04R,daily,0.3588,0.001874,0.000306,0.000232,0.000103,0.000096,0.000262,0.039057,0.018499,0.017986,0.007494,0.000774,0.027155,0.009188,0.016608,0.001190,0.148503,0.009589,0.007107,0.001639,0.000186,0.019044,0.014546,0.005797,0.002312,0.002356,0.000270,0.001159,0.000863,0.001143,0.000610,0.641166,0.002882
202609261305,2026-09-26,13,05R,daily,0.2842,0.001850,0.000352,0.000201,0.000142,0.000102,0.000453,0.025666,0.008032,0.034273,0.008846,0.002477,0.007403,0.013213,0.026231,0.004690,0.097797,0.002410,0.006412,0.002339,0.000732,0.015148,0.010014,0.002455,0.002972,0.003967,0.000792,0.000932,0.000767,0.000896,0.000665,0.715839,0.001932
