レースコード,レース日,レース場コード,レース回,状態,買い目1,買い目2,買い目3,買い目4,買い目5,決まり手1,決まり手2,決まり手3,決まり手4,決まり手5
202609170401,2026-09-17,04,1R,daily,2-1-3,3-1-2,2-1-4,2-1-5,3-1-4,差し,まくり差し,差し,差し,まくり差し
202609170402,2026-09-17,04,2R,daily,2-1-3,2-1-5,2-1-4,2-1-6,2-3-1,差し,差し,差し,差し,差し
202609170403,2026-09-17,04,3R,daily,2-1-4,4-1-2,2-1-3,4-2-1,4-1-3,差し,まくり,差し,まくり,差し
202609170404,2026-09-17,04,4R,daily,2-1-3,2-1-4,2-1-5,2-3-1,3-1-2,差し,差し,差し,差し,まくり差し
202609170405,2026-09-17,04,5R,daily,3-1-2,2-1-3,3-1-4,3-1-5,2-1-4,まくり差し,差し,まくり差し,まくり差し,差し
202609170406,2026-09-17,04,6R,daily,4-1-2,4-1-3,4-1-5,4-1-6,4-2-1,まくり,差し,まくり差し,まくり,まくり
202609170407,2026-09-17,04,7R,daily,2-1-4,2-1-3,2-1-5,2-1-6,2-4-1,差し,差し,差し,差し,差し
202609170408,2026-09-17,04,8R,daily,5-1-2,3-1-4,3-1-2,5-1-3,3-1-5,まくり差し,まくり差し,まくり差し,まくり差し,まくり差し
202609170409,2026-09-17,04,9R,daily,3-1-4,4-1-3,4-1-2,4-1-5,3-1-5,まくり差し,差し,まくり,まくり差し,まくり差し
202609170410,2026-09-17,04,10R,daily,2-1-3,2-1-4,2-3-1,2-1-5,2-1-6,差し,差し,差し,差し,差し
202609170411,2026-09-17,04,11R,daily,2-1-3,2-1-4,6-1-2,3-1-2,3-1-4,差し,差し,まくり差し,まくり差し,まくり差し
202609170412,2026-09-17,04,12R,daily,4-1-2,4-1-5,4-1-3,2-1-4,4-1-6,まくり,まくり差し,差し,差し,まくり
202609170501,2026-09-17,05,1R,daily,2-1-3,2-1-5,2-1-4,3-1-2,5-1-2,差し,差し,差し,まくり差し,まくり差し
202609170502,2026-09-17,05,2R,daily,3-1-4,3-1-5,3-1-6,3-1-2,2-1-3,まくり差し,まくり差し,まくり差し,まくり差し,差し
202609170503,2026-09-17,05,3R,daily,2-1-4,2-1-3,2-4-1,2-1-5,4-1-2,差し,差し,差し,差し,まくり
202609170504,2026-09-17,05,4R,daily,2-1-3,3-1-2,2-1-4,2-1-5,3-1-4,差し,まくり差し,差し,差し,まくり差し
202609170505,2026-09-17,05,5R,daily,2-1-3,2-1-4,3-1-2,2-1-5,2-3-1,差し,差し,まくり差し,差し,差し
202609170506,2026-09-17,05,6R,daily,3-1-4,4-1-3,3-1-5,3-4-1,4-1-5,まくり差し,差し,まくり差し,まくり,まくり差し
202609170507,2026-09-17,05,7R,daily,4-1-3,4-1-2,4-3-1,3-1-4,4-2-1,差し,まくり,まくり,まくり差し,まくり
202609170508,2026-09-17,05,8R,daily,2-1-3,2-1-4,3-1-4,2-1-5,3-1-2,差し,差し,まくり差し,差し,まくり差し
202609170509,2026-09-17,05,9R,daily,2-1-3,3-1-2,2-1-4,3-1-4,3-1-5,差し,まくり差し,差し,まくり差し,まくり差し
202609170510,2026-09-17,05,10R,daily,3-1-5,3-1-2,3-1-4,3-1-6,2-1-3,まくり差し,まくり差し,まくり差し,まくり差し,差し
202609170511,2026-09-17,05,11R,daily,3-1-4,2-1-3,3-1-2,2-1-4,4-1-3,まくり差し,差し,まくり差し,差し,差し
202609170512,2026-09-17,05,12R,daily,2-1-3,2-1-4,2-1-5,3-1-2,3-1-4,差し,差し,差し,まくり差し,まくり差し
202609170701,2026-09-17,07,1R,daily,2-1-3,2-1-4,2-1-5,2-1-6,2-3-1,差し,差し,差し,差し,差し
202609170702,2026-09-17,07,2R,daily,2-1-3,2-1-4,3-1-2,3-1-4,2-1-5,差し,差し,まくり差し,まくり差し,差し
202609170703,2026-09-17,07,3R,daily,2-1-3,6-1-2,2-1-4,5-1-2,2-1-5,差し,まくり差し,差し,まくり差し,差し
202609170704,2026-09-17,07,4R,daily,2-1-3,2-1-4,2-1-5,5-1-2,3-1-2,差し,差し,差し,まくり差し,まくり差し
202609170705,2026-09-17,07,5R,daily,4-1-2,4-1-5,4-1-3,4-1-6,4-5-1,まくり,まくり差し,差し,まくり,まくり
202609170706,2026-09-17,07,6R,daily,4-1-2,4-1-3,3-1-4,4-1-5,2-1-4,まくり,差し,まくり差し,まくり差し,差し
202609170707,2026-09-17,07,7R,daily,3-1-4,3-1-2,3-1-5,4-1-3,4-1-2,まくり差し,まくり差し,まくり差し,差し,まくり
202609170708,2026-09-17,07,8R,daily,2-1-3,2-1-4,3-1-2,2-1-5,3-1-4,差し,差し,まくり差し,差し,まくり差し
202609170709,2026-09-17,07,9R,daily,2-1-3,3-1-2,2-1-4,3-1-4,3-1-5,差し,まくり差し,差し,まくり差し,まくり差し
202609170710,2026-09-17,07,10R,daily,2-1-3,3-1-2,3-1-4,3-1-5,2-1-4,差し,まくり差し,まくり差し,まくり差し,差し
202609170711,2026-09-17,07,11R,daily,3-1-4,2-1-3,2-1-4,3-1-2,3-1-5,まくり差し,差し,差し,まくり差し,まくり差し
202609170712,2026-09-17,07,12R,daily,2-1-3,2-1-4,3-1-2,2-1-5,3-1-4,差し,差し,まくり差し,差し,まくり差し
202609170801,2026-09-17,08,1R,daily,2-1-4,2-1-3,3-1-4,4-1-2,3-1-2,差し,差し,まくり差し,まくり,まくり差し
202609170802,2026-09-17,08,2R,daily,2-1-3,3-1-2,2-1-4,3-1-4,2-1-5,差し,まくり差し,差し,まくり差し,差し
