レースコード,レース日,レース場コード,レース回,状態,買い目1,買い目2,買い目3,買い目4,買い目5,決まり手1,決まり手2,決まり手3,決まり手4,決まり手5,確率1,確率2,確率3,確率4,確率5
202609220101,2026-09-22,01,1R,daily,2-1-3,2-1-4,2-1-5,2-3-1,3-1-2,差し,差し,差し,差し,まくり差し,0.058991,0.044890,0.032055,0.031441,0.026539
202609220102,2026-09-22,01,2R,daily,4-1-2,3-1-4,3-1-2,2-1-3,2-1-4,まくり,まくり差し,まくり差し,差し,差し,0.023809,0.023102,0.021777,0.019971,0.019594
202609220103,2026-09-22,01,3R,daily,2-1-3,2-1-4,2-3-1,3-1-2,2-3-4,差し,差し,差し,まくり差し,まくり,0.046996,0.035900,0.032188,0.031380,0.028848
202609220104,2026-09-22,01,4R,daily,2-1-3,2-1-4,2-1-5,3-1-2,3-1-4,差し,差し,差し,まくり差し,まくり差し,0.042273,0.031498,0.023216,0.020990,0.015362
202609220105,2026-09-22,01,5R,daily,2-1-3,2-1-4,3-1-2,3-1-4,4-1-2,差し,差し,まくり差し,まくり差し,まくり,0.030172,0.025817,0.023456,0.022765,0.016025
202609220106,2026-09-22,01,6R,daily,4-1-2,3-1-4,4-1-3,4-1-5,3-1-2,まくり,まくり差し,差し,まくり差し,まくり差し,0.014911,0.014565,0.014100,0.013585,0.012565
202609220107,2026-09-22,01,7R,daily,3-1-2,3-1-4,3-1-5,2-1-3,3-2-1,まくり差し,まくり差し,まくり差し,差し,まくり,0.035533,0.026941,0.025360,0.020672,0.014017
202609220108,2026-09-22,01,8R,daily,3-1-2,3-1-4,5-1-2,3-1-5,5-1-3,まくり差し,まくり差し,まくり差し,まくり差し,まくり差し,0.023788,0.021352,0.020082,0.019641,0.018582
202609220109,2026-09-22,01,9R,daily,2-1-3,2-1-4,2-1-5,4-1-2,3-1-2,差し,差し,差し,まくり,まくり差し,0.035969,0.026623,0.018329,0.015998,0.015483
202609220110,2026-09-22,01,10R,daily,3-1-4,3-1-2,3-1-5,2-1-3,5-1-3,まくり差し,まくり差し,まくり差し,差し,まくり差し,0.024685,0.023270,0.022462,0.015964,0.011954
202609220111,2026-09-22,01,11R,daily,4-1-2,3-1-2,4-1-5,5-1-2,3-1-4,まくり,まくり差し,まくり差し,まくり差し,まくり差し,0.016889,0.016248,0.016106,0.015516,0.014901
202609220112,2026-09-22,01,12R,daily,3-1-4,3-1-2,2-1-3,3-1-5,3-2-1,まくり差し,まくり差し,差し,まくり差し,まくり,0.038435,0.038281,0.024931,0.023863,0.022073
