レースコード,レース日,レース場コード,レース回,状態,買い目1,買い目2,買い目3,買い目4,買い目5,決まり手1,決まり手2,決まり手3,決まり手4,決まり手5,確率1,確率2,確率3,確率4,確率5
202609252206,2026-09-25,22,6R,daily,2-1-4,3-1-4,2-1-3,4-1-2,3-1-2,差し,まくり差し,差し,まくり,まくり差し,0.027106,0.025271,0.024943,0.021549,0.020286
202609252206,2026-09-25,22,6R,realtime,3-1-4,3-1-2,3-4-1,2-1-3,3-2-4,まくり差し,まくり差し,まくり,差し,まくり,0.030978,0.027295,0.022856,0.022477,0.020412
202609252207,2026-09-25,22,7R,daily,2-1-3,2-1-4,2-3-1,3-1-2,2-1-5,差し,差し,差し,まくり差し,差し,0.050097,0.041176,0.023984,0.022770,0.019911
202609252207,2026-09-25,22,7R,realtime,2-1-3,2-1-4,3-1-2,2-3-1,2-1-6,差し,差し,まくり差し,差し,差し,0.054405,0.039251,0.024914,0.021701,0.021678
202609252208,2026-09-25,22,8R,daily,5-1-2,5-1-3,5-1-4,3-1-5,2-1-5,まくり差し,まくり差し,まくり差し,まくり差し,差し,0.029734,0.026842,0.018796,0.017696,0.014521
202609252208,2026-09-25,22,8R,realtime,5-1-3,3-1-5,5-1-2,5-1-4,5-3-1,まくり差し,まくり差し,まくり差し,まくり差し,まくり差し,0.045519,0.028665,0.021278,0.017036,0.012353
202609252209,2026-09-25,22,9R,daily,2-1-3,2-1-4,2-1-5,2-3-1,2-4-1,差し,差し,差し,差し,差し,0.060740,0.055277,0.035002,0.022931,0.019322
202609252209,2026-09-25,22,9R,realtime,2-1-4,2-1-3,2-1-5,2-4-1,2-3-1,差し,差し,差し,差し,差し,0.066872,0.052368,0.048856,0.021198,0.017441
202609252210,2026-09-25,22,10R,daily,3-1-2,2-1-3,3-1-4,3-1-5,2-1-4,まくり差し,差し,まくり差し,まくり差し,差し,0.027705,0.027670,0.024552,0.021512,0.018471
202609252210,2026-09-25,22,10R,realtime,3-1-4,3-1-2,2-1-3,2-1-4,4-1-3,まくり差し,まくり差し,差し,差し,差し,0.040751,0.029716,0.026965,0.021762,0.020794
202609252211,2026-09-25,22,11R,daily,2-1-3,2-1-4,2-1-5,3-1-2,2-3-1,差し,差し,差し,まくり差し,差し,0.041997,0.028275,0.019218,0.015557,0.012402
202609252211,2026-09-25,22,11R,realtime,2-1-3,2-1-4,2-1-5,2-1-6,2-3-1,差し,差し,差し,差し,差し,0.059858,0.039269,0.023599,0.012500,0.012186
202609252212,2026-09-25,22,12R,daily,2-1-3,2-1-4,2-1-5,2-1-6,2-3-1,差し,差し,差し,差し,差し,0.052596,0.044050,0.028615,0.010262,0.009580
202609252212,2026-09-25,22,12R,realtime,2-1-4,2-1-3,2-1-5,2-1-6,4-1-2,差し,差し,差し,差し,まくり,0.049845,0.038162,0.024879,0.016515,0.007265
