レースコード,レース日,レース場コード,レース回,状態,買い目1,買い目2,買い目3,買い目4,買い目5,決まり手1,決まり手2,決まり手3,決まり手4,決まり手5,確率1,確率2,確率3,確率4,確率5
202609230101,2026-09-23,01,1R,daily,2-1-3,5-1-2,2-1-4,5-1-3,4-1-5,差し,まくり差し,差し,まくり差し,まくり差し,0.028955,0.025127,0.023604,0.021434,0.020311
202609230102,2026-09-23,01,2R,daily,2-1-3,2-1-4,2-1-5,5-1-2,2-3-1,差し,差し,差し,まくり差し,差し,0.046530,0.042971,0.039330,0.037549,0.025532
202609230103,2026-09-23,01,3R,daily,3-1-2,3-1-4,2-1-3,3-1-5,2-1-4,まくり差し,まくり差し,差し,まくり差し,差し,0.036391,0.034524,0.033082,0.028915,0.022059
202609230104,2026-09-23,01,4R,daily,3-1-2,2-1-3,3-1-4,3-1-5,2-1-4,まくり差し,差し,まくり差し,まくり差し,差し,0.047044,0.040547,0.038024,0.030698,0.023732
202609230105,2026-09-23,01,5R,daily,2-1-3,5-1-2,5-1-3,2-1-5,2-1-4,差し,まくり差し,まくり差し,差し,差し,0.029038,0.025555,0.023231,0.020380,0.019808
202609230106,2026-09-23,01,6R,daily,3-1-2,2-1-3,3-1-5,3-1-4,3-2-1,まくり差し,差し,まくり差し,まくり差し,まくり,0.029237,0.021362,0.020357,0.017929,0.010241
202609230107,2026-09-23,01,7R,daily,3-1-2,2-1-3,3-1-4,2-1-4,3-1-5,まくり差し,差し,まくり差し,差し,まくり差し,0.019572,0.018451,0.016858,0.013879,0.013459
202609230108,2026-09-23,01,8R,daily,3-1-2,3-1-4,3-1-5,2-1-3,4-1-3,まくり差し,まくり差し,まくり差し,差し,差し,0.032242,0.026531,0.026309,0.013925,0.012886
202609230109,2026-09-23,01,9R,daily,4-1-2,4-1-5,2-1-3,2-1-4,4-1-3,まくり,まくり差し,差し,差し,差し,0.021816,0.020757,0.020378,0.017740,0.016644
202609230110,2026-09-23,01,10R,daily,3-1-2,3-1-4,3-1-5,2-1-3,2-1-4,まくり差し,まくり差し,まくり差し,差し,差し,0.036756,0.034953,0.032523,0.029363,0.020172
202609230111,2026-09-23,01,11R,daily,2-1-3,2-1-4,2-1-5,5-1-2,3-1-2,差し,差し,差し,まくり差し,まくり差し,0.028092,0.022948,0.018104,0.017031,0.014299
202609230112,2026-09-23,01,12R,daily,2-1-4,2-1-3,4-1-2,2-1-5,4-1-5,差し,差し,まくり,差し,まくり差し,0.024738,0.020389,0.019132,0.016710,0.015284
202609230201,2026-09-23,02,1R,daily,2-1-3,2-1-4,3-1-4,3-1-2,4-1-2,差し,差し,まくり差し,まくり差し,まくり,0.041944,0.035743,0.031237,0.028335,0.021264
202609230202,2026-09-23,02,2R,daily,2-1-4,2-1-3,2-4-1,4-2-1,2-1-5,差し,差し,差し,まくり,差し,0.062792,0.045447,0.032861,0.027883,0.027867
202609230203,2026-09-23,02,3R,daily,2-1-3,3-1-2,3-1-4,2-3-1,2-1-4,差し,まくり差し,まくり差し,差し,差し,0.040600,0.037428,0.032484,0.031119,0.027491
202609230204,2026-09-23,02,4R,daily,2-1-3,2-3-1,2-1-4,2-1-5,2-3-5,差し,差し,差し,差し,まくり,0.041768,0.028925,0.026633,0.025218,0.022859
202609230205,2026-09-23,02,5R,daily,6-1-3,2-1-3,6-1-2,6-3-1,3-1-6,まくり差し,差し,まくり差し,まくり差し,まくり差し,0.028678,0.023987,0.021335,0.018996,0.017714
202609230206,2026-09-23,02,6R,daily,5-1-2,5-1-3,2-1-3,5-1-4,5-1-6,まくり差し,まくり差し,差し,まくり差し,まくり差し,0.039006,0.031866,0.028457,0.028248,0.025910
202609230207,2026-09-23,02,7R,daily,4-1-2,4-1-3,4-1-5,3-1-4,4-2-1,まくり,差し,まくり差し,まくり差し,まくり,0.032212,0.028921,0.026063,0.024853,0.023049
202609230208,2026-09-23,02,8R,daily,3-1-2,3-1-4,2-1-3,3-1-5,2-1-4,まくり差し,まくり差し,差し,まくり差し,差し,0.030896,0.027873,0.023485,0.016585,0.015123
202609230209,2026-09-23,02,9R,daily,4-1-2,4-1-5,4-1-3,4-5-1,4-2-1,まくり,まくり差し,差し,まくり,まくり,0.039526,0.035444,0.027316,0.026773,0.026299
202609230210,2026-09-23,02,10R,daily,3-1-4,3-1-2,3-1-5,2-1-3,3-4-1,まくり差し,まくり差し,まくり差し,差し,まくり,0.036661,0.031786,0.024351,0.024116,0.021587
202609230211,2026-09-23,02,11R,daily,2-1-3,2-1-4,2-1-5,2-1-6,3-1-2,差し,差し,差し,差し,まくり差し,0.032185,0.023648,0.016364,0.011480,0.009235
202609230212,2026-09-23,02,12R,daily,3-1-5,5-1-3,4-1-5,3-1-4,5-1-4,まくり差し,まくり差し,まくり差し,まくり差し,まくり差し,0.022399,0.021352,0.018186,0.016518,0.016463
202609230301,2026-09-23,03,1R,daily,2-1-3,3-1-2,2-1-4,3-1-4,2-3-1,差し,まくり差し,差し,まくり差し,差し,0.044249,0.031579,0.031101,0.025705,0.021535
