レースコード,レース日,レース場コード,レース回,状態,買い目1,買い目2,買い目3,買い目4,買い目5,決まり手1,決まり手2,決まり手3,決まり手4,決まり手5,確率1,確率2,確率3,確率4,確率5
202609210101,2026-09-21,01,1R,daily,2-1-3,3-1-2,4-1-5,4-1-2,3-1-5,差し,まくり差し,まくり差し,まくり,まくり差し,0.026712,0.021233,0.020935,0.019334,0.018874
202609210101,2026-09-21,01,1R,realtime,4-1-5,4-1-2,4-5-1,4-1-3,2-1-4,まくり差し,まくり,まくり,差し,差し,0.038530,0.032549,0.029327,0.020276,0.020109
202609210102,2026-09-21,01,2R,daily,3-1-4,3-1-2,3-1-5,4-1-3,4-1-2,まくり差し,まくり差し,まくり差し,差し,まくり,0.050615,0.047661,0.038170,0.025663,0.024124
202609210102,2026-09-21,01,2R,realtime,3-1-2,3-1-4,3-1-5,4-1-3,4-1-5,まくり差し,まくり差し,まくり差し,差し,まくり差し,0.048781,0.046883,0.043666,0.023582,0.022972
202609210103,2026-09-21,01,3R,daily,2-1-3,3-1-2,3-1-5,3-1-4,2-1-4,差し,まくり差し,まくり差し,まくり差し,差し,0.036133,0.035883,0.029333,0.029156,0.021811
202609210103,2026-09-21,01,3R,realtime,2-1-3,3-1-2,3-1-4,3-1-5,2-1-4,差し,まくり差し,まくり差し,まくり差し,差し,0.045681,0.039232,0.026179,0.023800,0.023334
202609210104,2026-09-21,01,4R,daily,3-1-4,3-1-2,3-1-5,4-1-3,4-1-2,まくり差し,まくり差し,まくり差し,差し,まくり,0.036003,0.030996,0.025540,0.021936,0.020168
202609210104,2026-09-21,01,4R,realtime,3-1-2,3-1-4,3-1-5,2-1-3,3-2-1,まくり差し,まくり差し,まくり差し,差し,まくり,0.044236,0.040466,0.028233,0.023299,0.016664
202609210105,2026-09-21,01,5R,daily,4-1-5,4-1-3,4-1-2,3-1-4,2-1-3,まくり差し,差し,まくり,まくり差し,差し,0.031752,0.030836,0.030490,0.024099,0.023837
202609210105,2026-09-21,01,5R,realtime,2-1-3,3-1-2,2-3-1,3-1-4,2-1-4,差し,まくり差し,差し,まくり差し,差し,0.049554,0.045886,0.030307,0.027768,0.027194
202609210106,2026-09-21,01,6R,daily,3-1-2,3-1-4,3-1-5,2-1-3,2-1-4,まくり差し,まくり差し,まくり差し,差し,差し,0.026070,0.025466,0.021691,0.016196,0.013398
202609210106,2026-09-21,01,6R,realtime,3-1-4,3-1-5,3-1-2,4-1-3,3-4-1,まくり差し,まくり差し,まくり差し,差し,まくり,0.034428,0.023983,0.022167,0.018563,0.015766
202609210107,2026-09-21,01,7R,daily,3-1-2,2-1-3,3-1-4,2-1-4,3-1-5,まくり差し,差し,まくり差し,差し,まくり差し,0.037253,0.032370,0.026343,0.017062,0.016273
202609210107,2026-09-21,01,7R,realtime,2-1-3,2-1-4,3-1-2,3-1-4,3-1-5,差し,差し,まくり差し,まくり差し,まくり差し,0.034593,0.031214,0.028280,0.022230,0.014731
202609210108,2026-09-21,01,8R,daily,5-1-2,5-1-3,5-1-4,3-1-4,5-1-6,まくり差し,まくり差し,まくり差し,まくり差し,まくり差し,0.026133,0.025902,0.024178,0.016907,0.015850
202609210108,2026-09-21,01,8R,realtime,5-1-2,5-1-3,5-1-4,5-1-6,3-1-4,まくり差し,まくり差し,まくり差し,まくり差し,まくり差し,0.020519,0.020493,0.018947,0.014279,0.014173
202609210109,2026-09-21,01,9R,daily,3-1-4,3-1-2,3-1-5,4-1-3,2-1-3,まくり差し,まくり差し,まくり差し,差し,差し,0.030931,0.023032,0.019943,0.016980,0.015298
