レースコード,レース日,レース場コード,レース回,状態,買い目1,買い目2,買い目3,買い目4,買い目5,決まり手1,決まり手2,決まり手3,決まり手4,決まり手5,確率1,確率2,確率3,確率4,確率5
202609260201,2026-09-26,02,1R,daily,3-1-2,3-1-4,3-1-5,2-1-3,3-2-1,まくり差し,まくり差し,まくり差し,差し,まくり,0.035820,0.035736,0.032133,0.024788,0.023208
202609260201,2026-09-26,02,1R,realtime,3-1-5,3-1-2,3-1-4,2-1-3,3-5-1,まくり差し,まくり差し,まくり差し,差し,まくり,0.040979,0.032330,0.030599,0.025316,0.022771
202609260202,2026-09-26,02,2R,daily,2-1-3,2-1-4,2-1-5,3-1-2,2-3-1,差し,差し,差し,まくり差し,差し,0.065012,0.035958,0.035471,0.027698,0.025863
202609260202,2026-09-26,02,2R,realtime,2-1-3,3-1-2,2-1-4,3-1-4,2-1-5,差し,まくり差し,差し,まくり差し,差し,0.039389,0.029721,0.027950,0.023116,0.019890
202609260203,2026-09-26,02,3R,daily,2-1-3,2-1-4,2-1-5,2-1-6,2-3-1,差し,差し,差し,差し,差し,0.084055,0.068427,0.056880,0.041328,0.040012
202609260203,2026-09-26,02,3R,realtime,2-1-4,2-1-3,2-1-5,2-1-6,2-4-1,差し,差し,差し,差し,差し,0.075457,0.058026,0.052717,0.035888,0.026840
202609260204,2026-09-26,02,4R,daily,6-1-3,3-1-4,3-1-6,6-1-4,6-3-1,まくり差し,まくり差し,まくり差し,まくり差し,まくり差し,0.028913,0.023153,0.023096,0.023084,0.020500
202609260204,2026-09-26,02,4R,realtime,6-1-4,6-1-3,6-1-2,6-3-1,6-4-1,まくり差し,まくり差し,まくり差し,まくり差し,まくり差し,0.041592,0.037838,0.036192,0.025354,0.024744
202609260205,2026-09-26,02,5R,daily,4-1-2,4-1-5,4-1-3,4-2-1,4-5-1,まくり,まくり差し,差し,まくり,まくり,0.053107,0.044386,0.040453,0.037915,0.029711
202609260205,2026-09-26,02,5R,realtime,4-1-5,4-1-3,4-1-2,4-5-1,4-3-1,まくり差し,差し,まくり,まくり,まくり,0.074661,0.073617,0.058248,0.039558,0.036297
202609260206,2026-09-26,02,6R,daily,3-1-5,3-1-4,3-1-2,2-1-3,5-1-3,まくり差し,まくり差し,まくり差し,差し,まくり差し,0.030876,0.028349,0.026429,0.021661,0.019258
202609260206,2026-09-26,02,6R,realtime,3-1-4,3-1-5,3-1-2,2-1-3,3-1-6,まくり差し,まくり差し,まくり差し,差し,まくり差し,0.030382,0.027682,0.025886,0.020422,0.017515
202609260207,2026-09-26,02,7R,daily,2-1-3,3-1-2,3-1-5,5-1-2,5-1-3,差し,まくり差し,まくり差し,まくり差し,まくり差し,0.017321,0.016460,0.014344,0.013456,0.012311
202609260207,2026-09-26,02,7R,realtime,2-1-5,5-1-2,5-1-3,2-1-3,2-1-4,差し,まくり,まくり差し,差し,差し,0.017309,0.016742,0.014982,0.013213,0.012393
202609260208,2026-09-26,02,8R,daily,3-1-2,2-1-3,3-1-4,3-1-5,2-1-4,まくり差し,差し,まくり差し,まくり差し,差し,0.030425,0.026300,0.025389,0.018572,0.017211
202609260208,2026-09-26,02,8R,realtime,3-1-2,2-1-3,3-1-4,3-2-1,3-1-5,まくり差し,差し,まくり差し,まくり,まくり差し,0.044894,0.043723,0.021401,0.019662,0.018880
202609260209,2026-09-26,02,9R,daily,2-1-3,2-1-4,2-1-5,5-1-2,2-3-1,差し,差し,差し,まくり差し,差し,0.030929,0.028091,0.023718,0.017875,0.014487
202609260209,2026-09-26,02,9R,realtime,2-1-4,2-1-3,2-1-5,5-1-2,4-1-2,差し,差し,差し,まくり差し,まくり,0.027157,0.021440,0.020985,0.018457,0.016778
202609260210,2026-09-26,02,10R,daily,4-1-5,2-1-4,2-1-3,4-1-2,4-1-3,まくり差し,差し,差し,まくり,差し,0.023731,0.023221,0.022402,0.020054,0.018468
202609260211,2026-09-26,02,11R,daily,5-1-3,3-1-5,5-1-2,5-1-4,3-1-4,まくり差し,まくり差し,まくり差し,まくり差し,まくり差し,0.024828,0.023878,0.019112,0.016240,0.015346
202609260212,2026-09-26,02,12R,daily,3-1-4,3-1-5,3-1-2,3-4-1,4-1-3,まくり差し,まくり差し,まくり差し,まくり,差し,0.047678,0.046225,0.032724,0.019805,0.019365
202609260301,2026-09-26,03,1R,daily,3-1-2,2-1-3,3-1-4,3-1-5,2-1-4,まくり差し,差し,まくり差し,まくり差し,差し,0.029892,0.028273,0.020142,0.015022,0.014703
202609260301,2026-09-26,03,1R,realtime,3-1-2,3-1-4,3-1-5,2-1-3,3-1-6,まくり差し,まくり差し,まくり差し,差し,まくり差し,0.028550,0.025658,0.019331,0.015303,0.011927
