レースコード,レース日,レース場コード,レース回,状態,買い目1,買い目2,買い目3,買い目4,買い目5,決まり手1,決まり手2,決まり手3,決まり手4,決まり手5,確率1,確率2,確率3,確率4,確率5
202609200101,2026-09-20,01,1R,daily,2-1-3,2-1-4,2-1-5,4-1-2,2-3-1,差し,差し,差し,まくり,差し,0.046174,0.039880,0.027652,0.025857,0.024793
202609200101,2026-09-20,01,1R,realtime,2-1-3,2-1-4,2-1-5,2-3-1,2-3-4,差し,差し,差し,差し,まくり,0.048041,0.044676,0.039407,0.028773,0.028366
202609200102,2026-09-20,01,2R,daily,3-1-2,3-1-5,2-1-3,3-1-4,4-1-5,まくり差し,まくり差し,差し,まくり差し,まくり差し,0.027421,0.024077,0.023936,0.022287,0.016657
202609200103,2026-09-20,01,3R,daily,2-1-3,3-1-2,3-1-4,2-1-4,5-1-2,差し,まくり差し,まくり差し,差し,まくり差し,0.028843,0.026171,0.020410,0.019119,0.017385
202609200104,2026-09-20,01,4R,daily,2-1-3,2-1-4,2-1-5,2-3-1,3-1-2,差し,差し,差し,差し,まくり差し,0.042265,0.027143,0.025189,0.023449,0.022217
202609200105,2026-09-20,01,5R,daily,3-1-2,3-1-4,2-1-3,3-1-5,2-1-4,まくり差し,まくり差し,差し,まくり差し,差し,0.036044,0.035146,0.034105,0.029327,0.024171
202609200106,2026-09-20,01,6R,daily,2-1-3,3-1-2,2-1-4,2-3-1,3-1-4,差し,まくり差し,差し,差し,まくり差し,0.034491,0.026995,0.016484,0.014357,0.014163
202609200107,2026-09-20,01,7R,daily,3-1-2,3-1-4,3-1-5,2-1-3,4-1-3,まくり差し,まくり差し,まくり差し,差し,差し,0.032515,0.030373,0.020587,0.017191,0.012523
202609200108,2026-09-20,01,8R,daily,2-1-3,3-1-2,3-1-4,2-1-4,3-1-5,差し,まくり差し,まくり差し,差し,まくり差し,0.025676,0.021679,0.016103,0.014979,0.014317
202609200109,2026-09-20,01,9R,daily,2-1-3,2-1-4,3-1-2,2-1-5,5-1-2,差し,差し,まくり差し,差し,まくり差し,0.027601,0.018074,0.017402,0.014202,0.011844
202609200110,2026-09-20,01,10R,daily,2-1-3,2-1-4,2-1-5,3-1-2,4-1-2,差し,差し,差し,まくり差し,まくり,0.027518,0.024137,0.019853,0.018243,0.016275
202609200111,2026-09-20,01,11R,daily,3-1-2,2-1-3,3-1-4,3-1-5,2-1-4,まくり差し,差し,まくり差し,まくり差し,差し,0.027874,0.024753,0.023136,0.020459,0.016852
202609200112,2026-09-20,01,12R,daily,2-1-3,2-1-4,3-1-2,3-1-4,4-1-2,差し,差し,まくり差し,まくり差し,まくり,0.029051,0.025261,0.023413,0.021617,0.021047
202609200201,2026-09-20,02,1R,daily,2-1-4,2-1-3,4-1-2,3-1-4,4-1-5,差し,差し,まくり,まくり差し,まくり差し,0.023303,0.023017,0.022985,0.022751,0.021565
202609200201,2026-09-20,02,1R,realtime,2-1-3,3-1-2,3-1-5,3-1-4,2-1-5,差し,まくり差し,まくり差し,まくり差し,差し,0.033283,0.033190,0.032837,0.022132,0.021517
202609200202,2026-09-20,02,2R,daily,3-1-5,3-1-4,3-1-2,3-1-6,3-4-1,まくり差し,まくり差し,まくり差し,まくり差し,まくり,0.053010,0.052544,0.047807,0.026431,0.026394
202609200202,2026-09-20,02,2R,realtime,3-1-2,3-1-4,3-1-5,3-1-6,3-2-1,まくり差し,まくり差し,まくり差し,まくり差し,まくり,0.076449,0.068575,0.063870,0.036059,0.026435
202609200203,2026-09-20,02,3R,daily,3-1-2,3-1-4,3-1-5,3-2-1,3-4-1,まくり差し,まくり差し,まくり差し,まくり,まくり,0.049087,0.046136,0.031483,0.029339,0.025939
202609200203,2026-09-20,02,3R,realtime,3-1-4,3-1-2,3-4-1,3-1-5,3-2-1,まくり差し,まくり差し,まくり,まくり差し,まくり,0.100113,0.068513,0.054639,0.035054,0.034606
202609200204,2026-09-20,02,4R,daily,2-1-3,2-1-4,2-3-1,2-3-4,2-1-5,差し,差し,差し,まくり,差し,0.068423,0.059849,0.042891,0.039352,0.037217
202609200204,2026-09-20,02,4R,realtime,2-4-3,2-3-4,2-1-3,2-1-4,2-4-1,まくり,まくり,差し,差し,差し,0.065527,0.065261,0.052085,0.050620,0.041844
202609200205,2026-09-20,02,5R,daily,4-1-3,4-1-5,4-1-2,4-5-1,3-1-4,差し,まくり差し,まくり,まくり,まくり差し,0.027313,0.026980,0.025490,0.021868,0.020863
202609200205,2026-09-20,02,5R,realtime,4-1-3,4-1-2,3-1-4,4-1-5,4-2-1,差し,まくり,まくり差し,まくり差し,まくり,0.044978,0.041574,0.032048,0.030091,0.027372
202609200206,2026-09-20,02,6R,daily,2-1-3,2-1-5,2-1-4,2-3-1,3-1-2,差し,差し,差し,差し,まくり差し,0.051415,0.031559,0.028835,0.028822,0.028262
202609200206,2026-09-20,02,6R,realtime,2-1-3,2-1-5,5-1-2,3-1-2,2-1-4,差し,差し,まくり差し,まくり差し,差し,0.052698,0.043129,0.032273,0.026444,0.024781
202609200207,2026-09-20,02,7R,daily,3-1-2,3-1-4,3-1-5,2-1-3,2-1-4,まくり差し,まくり差し,まくり差し,差し,差し,0.020391,0.018547,0.015840,0.015566,0.009513
202609200207,2026-09-20,02,7R,realtime,3-1-2,2-1-3,3-1-5,3-1-4,2-1-5,まくり差し,差し,まくり差し,まくり差し,差し,0.022919,0.018791,0.015838,0.015800,0.010245
202609200208,2026-09-20,02,8R,daily,2-1-3,2-1-4,2-1-5,2-1-6,2-3-1,差し,差し,差し,差し,差し,0.038731,0.036163,0.033721,0.019557,0.019022
202609200208,2026-09-20,02,8R,realtime,2-1-3,2-1-5,2-1-4,2-3-1,2-1-6,差し,差し,差し,差し,差し,0.053959,0.039635,0.038888,0.032381,0.028606
202609200209,2026-09-20,02,9R,daily,6-1-2,6-1-3,6-1-4,6-1-5,3-1-6,まくり差し,まくり差し,まくり差し,まくり差し,まくり差し,0.028319,0.028288,0.021465,0.019751,0.016441
202609200209,2026-09-20,02,9R,realtime,6-1-3,3-1-6,3-1-5,3-1-4,3-1-2,まくり差し,まくり差し,まくり差し,まくり差し,まくり差し,0.041209,0.029500,0.022095,0.020369,0.019414
202609200210,2026-09-20,02,10R,daily,3-1-5,5-1-3,5-1-2,3-1-2,3-1-4,まくり差し,まくり差し,まくり差し,まくり差し,まくり差し,0.032217,0.029913,0.025948,0.021837,0.020618
202609200210,2026-09-20,02,10R,realtime,3-1-5,5-1-3,3-5-1,5-1-2,5-3-1,まくり差し,まくり差し,まくり,まくり差し,まくり差し,0.040597,0.033261,0.029358,0.025790,0.022215
202609200211,2026-09-20,02,11R,daily,2-1-3,6-1-2,2-1-4,3-1-2,6-1-3,差し,まくり差し,差し,まくり差し,まくり差し,0.026224,0.019689,0.017051,0.016334,0.016243
202609200212,2026-09-20,02,12R,daily,4-1-2,2-1-4,2-1-3,4-1-3,3-1-4,まくり,差し,差し,差し,まくり差し,0.019255,0.018048,0.017250,0.016268,0.016127
