レースコード,レース日,レース場コード,レース回,状態,買い目1,買い目2,買い目3,買い目4,買い目5,決まり手1,決まり手2,決まり手3,決まり手4,決まり手5
202609010501,2026-09-01,05,1R,daily,3-1-4,3-1-2,3-1-5,2-1-3,3-1-6,まくり差し,まくり差し,まくり差し,差し,まくり差し
202609010501,2026-09-01,05,1R,realtime,3-1-4,3-1-2,4-1-3,3-1-5,2-1-3,まくり差し,まくり差し,差し,まくり差し,差し
202609010502,2026-09-01,05,2R,daily,2-1-3,2-1-4,2-3-1,3-1-2,2-1-5,差し,差し,差し,まくり差し,差し
202609010503,2026-09-01,05,3R,daily,3-1-2,3-1-4,3-1-5,2-1-3,3-1-6,まくり差し,まくり差し,まくり差し,差し,まくり差し
202609010504,2026-09-01,05,4R,daily,3-1-2,2-1-3,3-1-4,2-1-4,4-1-2,まくり差し,差し,まくり差し,差し,まくり
202609010505,2026-09-01,05,5R,daily,3-1-4,4-1-3,3-1-5,4-1-5,3-1-2,まくり差し,差し,まくり差し,まくり差し,まくり差し
202609010506,2026-09-01,05,6R,daily,2-1-3,2-1-4,4-1-2,2-1-5,3-1-4,差し,差し,まくり,差し,まくり差し
202609010507,2026-09-01,05,7R,daily,3-1-4,3-1-2,3-1-5,2-1-4,2-1-3,まくり差し,まくり差し,まくり差し,差し,差し
202609010508,2026-09-01,05,8R,daily,2-1-4,2-1-3,2-1-5,3-1-2,3-1-4,差し,差し,差し,まくり差し,まくり差し
202609010509,2026-09-01,05,9R,daily,2-1-3,2-1-5,2-1-4,3-1-2,5-1-2,差し,差し,差し,まくり差し,まくり差し
202609010510,2026-09-01,05,10R,daily,3-1-4,4-1-2,3-1-2,2-1-4,3-1-5,まくり差し,まくり,まくり差し,差し,まくり差し
202609010511,2026-09-01,05,11R,daily,2-1-3,2-1-4,2-1-5,3-1-4,4-1-3,差し,差し,差し,まくり差し,差し
202609010512,2026-09-01,05,12R,daily,3-1-2,3-1-4,2-1-3,4-1-2,3-1-5,まくり差し,まくり差し,差し,まくり,まくり差し
202609010601,2026-09-01,06,1R,daily,3-1-2,3-1-4,3-1-5,2-1-3,3-1-6,まくり差し,まくり差し,まくり差し,差し,まくり差し
202609010601,2026-09-01,06,1R,realtime,3-1-2,3-1-4,2-1-3,3-1-5,2-1-4,まくり差し,まくり差し,差し,まくり差し,差し
202609010602,2026-09-01,06,2R,daily,3-1-4,3-1-2,3-1-5,3-1-6,3-4-1,まくり差し,まくり差し,まくり差し,まくり差し,まくり
202609010603,2026-09-01,06,3R,daily,2-1-4,4-1-2,2-1-3,4-2-1,2-4-1,差し,まくり,差し,まくり,差し
202609010604,2026-09-01,06,4R,daily,3-1-2,2-1-3,3-1-5,3-1-4,5-1-3,まくり差し,差し,まくり差し,まくり差し,まくり差し
202609010605,2026-09-01,06,5R,daily,3-1-5,3-1-2,3-1-4,3-5-1,5-1-3,まくり差し,まくり差し,まくり差し,まくり,まくり差し
202609010606,2026-09-01,06,6R,daily,2-1-3,2-1-4,2-1-5,2-3-1,2-3-4,差し,差し,差し,差し,まくり
202609010607,2026-09-01,06,7R,daily,3-1-5,3-1-2,3-1-4,2-1-3,5-1-3,まくり差し,まくり差し,まくり差し,差し,まくり差し
202609010608,2026-09-01,06,8R,daily,4-1-2,4-1-5,4-1-3,4-2-1,2-1-4,まくり,まくり差し,差し,まくり,差し
202609010609,2026-09-01,06,9R,daily,3-1-2,2-1-3,3-1-4,3-1-5,2-1-4,まくり差し,差し,まくり差し,まくり差し,差し
202609010610,2026-09-01,06,10R,daily,5-1-3,5-1-2,3-1-5,5-1-4,2-1-3,まくり差し,まくり差し,まくり差し,まくり差し,差し
202609010611,2026-09-01,06,11R,daily,2-1-3,2-1-4,2-1-5,5-1-2,5-1-3,差し,差し,差し,まくり差し,まくり差し
202609010612,2026-09-01,06,12R,daily,3-1-4,3-1-2,3-1-5,4-1-3,4-1-5,まくり差し,まくり差し,まくり差し,差し,まくり差し
202609010701,2026-09-01,07,1R,daily,4-1-2,4-1-5,5-1-2,2-1-4,3-1-4,まくり,まくり差し,まくり差し,差し,まくり差し
202609010702,2026-09-01,07,2R,daily,2-1-3,5-1-2,2-1-4,5-1-3,5-1-4,差し,まくり差し,差し,まくり差し,まくり差し
202609010703,2026-09-01,07,3R,daily,2-1-3,2-1-4,3-1-2,3-1-4,3-1-5,差し,差し,まくり差し,まくり差し,まくり差し
202609010704,2026-09-01,07,4R,daily,2-1-4,4-1-2,2-1-3,3-1-2,4-1-3,差し,まくり,差し,まくり差し,差し
202609010705,2026-09-01,07,5R,daily,4-1-2,4-1-3,4-1-5,3-1-4,2-1-4,まくり,差し,まくり差し,まくり差し,差し
202609010706,2026-09-01,07,6R,daily,5-1-2,5-1-3,5-1-4,3-1-2,5-1-6,まくり差し,まくり差し,まくり差し,まくり差し,まくり差し
202609010707,2026-09-01,07,7R,daily,3-1-2,3-1-4,3-1-5,2-1-3,5-1-2,まくり差し,まくり差し,まくり差し,差し,まくり差し
202609010708,2026-09-01,07,8R,daily,3-1-2,3-1-4,2-1-3,3-1-5,2-1-4,まくり差し,まくり差し,差し,まくり差し,差し
202609010709,2026-09-01,07,9R,daily,3-1-2,3-1-4,3-1-5,2-1-3,3-2-1,まくり差し,まくり差し,まくり差し,差し,まくり
202609010710,2026-09-01,07,10R,daily,2-1-4,2-1-3,3-1-2,4-1-2,3-1-4,差し,差し,まくり差し,まくり,まくり差し
202609010711,2026-09-01,07,11R,daily,2-1-3,3-1-2,2-1-4,3-1-4,3-1-5,差し,まくり差し,差し,まくり差し,まくり差し
202609010712,2026-09-01,07,12R,daily,3-1-4,3-1-2,3-1-5,2-1-3,2-1-4,まくり差し,まくり差し,まくり差し,差し,差し
202609010801,2026-09-01,08,1R,daily,2-1-3,2-1-4,3-1-2,2-1-5,3-1-4,差し,差し,まくり差し,差し,まくり差し
202609010801,2026-09-01,08,1R,realtime,2-1-3,2-3-1,2-1-5,3-2-1,3-1-2,差し,差し,差し,まくり,まくり差し
202609010802,2026-09-01,08,2R,daily,2-1-4,2-1-3,4-1-2,4-1-5,4-1-3,差し,差し,まくり,まくり差し,差し
202609010802,2026-09-01,08,2R,realtime,4-1-2,4-1-6,4-1-3,2-1-4,4-2-1,差し,まくり差し,まくり,まくり差し,まくり
202609010803,2026-09-01,08,3R,daily,3-1-4,3-1-5,3-1-2,5-1-3,2-1-3,まくり差し,まくり差し,まくり差し,まくり差し,差し
202609010803,2026-09-01,08,3R,realtime,3-1-4,3-1-2,2-1-3,4-1-3,2-1-4,まくり差し,まくり差し,差し,差し,差し
202609010804,2026-09-01,08,4R,daily,4-1-5,4-1-2,4-1-3,4-5-1,5-1-2,まくり差し,まくり,差し,まくり,まくり差し
202609010805,2026-09-01,08,5R,daily,2-1-3,2-1-4,2-1-5,5-1-2,4-1-2,差し,差し,差し,まくり差し,まくり
202609010806,2026-09-01,08,6R,daily,2-1-4,2-1-3,5-1-2,2-1-5,5-1-4,差し,差し,まくり差し,差し,まくり差し
202609010807,2026-09-01,08,7R,daily,3-1-4,3-1-2,3-1-5,2-1-3,4-1-3,まくり差し,まくり差し,まくり差し,差し,差し
202609010808,2026-09-01,08,8R,daily,3-1-4,3-1-2,3-1-5,4-1-3,4-1-2,まくり差し,まくり差し,まくり差し,差し,まくり
202609010809,2026-09-01,08,9R,daily,2-1-3,2-1-4,2-1-5,2-3-1,2-4-1,差し,差し,差し,差し,差し
202609010810,2026-09-01,08,10R,daily,3-1-4,3-1-2,3-1-5,2-1-3,3-1-6,まくり差し,まくり差し,まくり差し,差し,まくり差し
202609010811,2026-09-01,08,11R,daily,2-1-3,2-1-4,3-1-4,3-1-2,2-1-5,差し,差し,まくり差し,まくり差し,差し
202609010812,2026-09-01,08,12R,daily,2-1-4,2-1-3,4-1-2,4-1-3,2-1-5,差し,差し,まくり,差し,差し
202609011201,2026-09-01,12,1R,daily,2-1-3,3-1-2,4-1-2,3-1-4,2-1-4,差し,まくり差し,まくり,まくり差し,差し
202609011202,2026-09-01,12,2R,daily,2-1-3,3-1-2,5-1-2,2-1-5,2-1-4,差し,まくり差し,まくり差し,差し,差し
202609011203,2026-09-01,12,3R,daily,3-1-4,3-1-2,3-1-5,4-1-2,4-1-3,まくり差し,まくり差し,まくり差し,まくり,差し
202609011204,2026-09-01,12,4R,daily,2-1-3,2-1-4,2-1-5,2-3-1,2-1-6,差し,差し,差し,差し,差し
202609011205,2026-09-01,12,5R,daily,2-1-4,2-1-3,4-1-2,2-1-5,3-1-2,差し,差し,まくり,差し,まくり差し
202609011206,2026-09-01,12,6R,daily,2-1-3,2-1-4,4-1-2,2-1-5,4-1-5,差し,差し,まくり,差し,まくり差し
202609011207,2026-09-01,12,7R,daily,3-1-2,3-1-4,3-1-5,2-1-3,3-1-6,まくり差し,まくり差し,まくり差し,差し,まくり差し
202609011208,2026-09-01,12,8R,daily,5-1-2,5-1-4,5-1-3,4-1-2,4-1-5,まくり差し,まくり差し,まくり差し,まくり,まくり差し
202609011209,2026-09-01,12,9R,daily,2-1-3,2-1-4,2-1-5,3-1-2,2-3-1,差し,差し,差し,まくり差し,差し
202609011210,2026-09-01,12,10R,daily,2-1-3,3-1-2,2-1-4,4-1-2,3-1-4,差し,まくり差し,差し,まくり,まくり差し
202609011211,2026-09-01,12,11R,daily,2-1-4,4-1-2,2-1-3,3-1-4,4-1-5,差し,まくり,差し,まくり差し,まくり差し
202609011212,2026-09-01,12,12R,daily,3-1-2,2-1-3,3-1-4,3-1-5,2-1-4,まくり差し,差し,まくり差し,まくり差し,差し
202609011301,2026-09-01,13,1R,daily,3-1-2,3-1-4,2-1-3,3-1-5,3-2-1,まくり差し,まくり差し,差し,まくり差し,まくり
202609011301,2026-09-01,13,1R,realtime,3-1-2,3-1-6,3-1-4,3-1-5,3-4-1,差し,まくり,まくり差し,まくり,まくり
202609011302,2026-09-01,13,2R,daily,2-1-3,2-1-4,3-1-2,2-1-5,2-3-1,差し,差し,まくり差し,差し,差し
202609011302,2026-09-01,13,2R,realtime,2-1-4,2-1-3,4-1-2,2-1-5,2-1-6,差し,差し,まくり,差し,差し
202609011303,2026-09-01,13,3R,daily,2-1-3,2-1-4,2-1-5,2-3-1,2-4-1,差し,差し,差し,差し,差し
202609011303,2026-09-01,13,3R,realtime,2-1-3,2-1-4,2-1-5,2-1-6,2-3-1,差し,差し,差し,差し,差し
202609011304,2026-09-01,13,4R,daily,3-1-4,3-1-2,2-1-3,2-1-4,4-1-3,まくり差し,まくり差し,差し,差し,差し
202609011305,2026-09-01,13,5R,daily,2-1-3,2-1-4,2-1-5,2-3-1,2-1-6,差し,差し,差し,差し,差し
202609011306,2026-09-01,13,6R,daily,4-1-2,3-1-2,4-1-5,3-1-4,4-1-3,まくり,まくり差し,まくり差し,まくり差し,差し
202609011307,2026-09-01,13,7R,daily,4-1-2,4-1-3,4-1-5,4-1-6,2-1-4,まくり,差し,まくり差し,まくり,差し
202609011308,2026-09-01,13,8R,daily,3-1-4,3-1-2,3-1-5,3-1-6,5-1-3,まくり差し,まくり差し,まくり差し,まくり差し,まくり差し
202609011309,2026-09-01,13,9R,daily,3-1-4,4-1-3,3-1-2,4-1-5,4-1-2,まくり差し,差し,まくり差し,まくり差し,まくり
202609011310,2026-09-01,13,10R,daily,2-1-3,3-1-2,2-1-4,3-1-4,3-1-5,差し,まくり差し,差し,まくり差し,まくり差し
202609011311,2026-09-01,13,11R,daily,3-1-4,4-1-3,3-1-2,4-1-2,3-1-5,まくり差し,差し,まくり差し,まくり,まくり差し
202609011312,2026-09-01,13,12R,daily,2-1-3,2-1-4,3-1-2,3-1-4,4-1-2,差し,差し,まくり差し,まくり差し,まくり
202609011601,2026-09-01,16,1R,daily,3-1-4,3-1-2,3-1-5,2-1-3,4-1-2,まくり差し,まくり差し,まくり差し,差し,まくり
202609011601,2026-09-01,16,1R,realtime,3-1-4,3-1-2,3-1-5,3-1-6,2-1-3,まくり差し,まくり差し,まくり差し,まくり差し,差し
