レースコード,レース日,レース場コード,レース回,状態,買い目1,買い目2,買い目3,買い目4,買い目5,決まり手1,決まり手2,決まり手3,決まり手4,決まり手5
202609020501,2026-09-02,05,1R,daily,2-1-3,3-1-2,2-1-4,3-1-4,3-1-5,差し,まくり差し,差し,まくり差し,まくり差し
202609020501,2026-09-02,05,1R,realtime,2-1-3,3-1-2,3-1-4,2-1-4,3-1-5,差し,まくり差し,まくり差し,差し,まくり差し
202609020502,2026-09-02,05,2R,daily,2-1-3,2-1-4,5-1-2,2-1-5,5-1-4,差し,差し,まくり差し,差し,まくり差し
202609020502,2026-09-02,05,2R,realtime,2-1-4,5-1-2,2-1-5,5-1-4,2-1-3,差し,まくり差し,差し,まくり差し,差し
202609020503,2026-09-02,05,3R,daily,4-1-5,4-1-2,4-1-3,4-1-6,3-1-4,まくり差し,まくり,差し,まくり,まくり差し
202609020503,2026-09-02,05,3R,realtime,6-1-2,4-1-2,6-1-4,4-1-5,6-1-3,まくり差し,まくり,まくり差し,まくり差し,まくり差し
202609020504,2026-09-02,05,4R,daily,2-1-3,2-1-4,2-1-5,3-1-2,2-3-1,差し,差し,差し,まくり差し,差し
202609020504,2026-09-02,05,4R,realtime,2-1-3,3-1-2,2-1-4,2-3-1,2-1-5,差し,まくり差し,差し,差し,差し
202609020505,2026-09-02,05,5R,daily,2-1-3,3-1-4,2-1-4,3-1-2,3-1-5,差し,まくり差し,差し,まくり差し,まくり差し
202609020505,2026-09-02,05,5R,realtime,2-1-3,3-1-2,2-1-4,3-1-4,3-1-5,差し,まくり差し,差し,まくり差し,まくり差し
202609020506,2026-09-02,05,6R,daily,3-1-4,3-1-5,3-1-2,4-1-5,4-1-3,まくり差し,まくり差し,まくり差し,まくり差し,差し
202609020506,2026-09-02,05,6R,realtime,4-1-5,3-1-4,3-1-5,4-5-1,5-1-4,まくり差し,まくり差し,まくり差し,まくり,まくり差し
202609020507,2026-09-02,05,7R,daily,4-1-2,2-1-4,2-1-3,4-1-5,3-1-4,まくり,差し,差し,まくり差し,まくり差し
202609020507,2026-09-02,05,7R,realtime,4-1-2,2-1-4,4-1-5,2-1-3,4-2-1,まくり,差し,まくり差し,差し,まくり
202609020508,2026-09-02,05,8R,daily,2-1-3,2-1-4,3-1-2,3-1-4,4-1-2,差し,差し,まくり差し,まくり差し,まくり
202609020508,2026-09-02,05,8R,realtime,2-1-3,2-1-4,3-1-2,3-1-4,4-1-2,差し,差し,まくり差し,まくり差し,まくり
202609020509,2026-09-02,05,9R,daily,2-1-3,3-1-2,2-1-4,3-1-4,2-1-5,差し,まくり差し,差し,まくり差し,差し
202609020509,2026-09-02,05,9R,realtime,2-1-3,2-1-4,2-1-5,3-1-2,3-1-4,差し,差し,差し,まくり差し,まくり差し
202609020510,2026-09-02,05,10R,daily,2-1-3,2-1-4,3-1-2,2-1-5,3-1-5,差し,差し,まくり差し,差し,まくり差し
202609020510,2026-09-02,05,10R,realtime,2-1-4,2-1-3,2-1-5,4-1-2,4-1-5,差し,差し,差し,まくり,まくり差し
202609020511,2026-09-02,05,11R,daily,3-1-4,3-1-2,4-1-2,2-1-3,4-1-3,まくり差し,まくり差し,まくり,差し,差し
202609020511,2026-09-02,05,11R,realtime,4-1-2,2-1-4,4-1-5,3-1-4,2-1-3,まくり,差し,まくり差し,まくり差し,差し
202609020512,2026-09-02,05,12R,daily,2-1-3,2-1-4,2-1-5,3-1-2,5-1-2,差し,差し,差し,まくり差し,まくり差し
202609020512,2026-09-02,05,12R,realtime,2-1-3,2-1-4,3-1-2,2-1-5,4-1-2,差し,差し,まくり差し,差し,まくり
202609020601,2026-09-02,06,1R,daily,2-1-3,3-1-2,2-1-4,3-1-4,4-1-3,差し,まくり差し,差し,まくり差し,差し
202609020601,2026-09-02,06,1R,realtime,2-1-3,2-1-4,4-1-3,4-1-2,2-1-5,差し,差し,まくり差し,まくり差し,差し
202609020602,2026-09-02,06,2R,daily,3-1-5,2-1-3,2-1-5,3-1-2,3-1-4,まくり差し,差し,差し,まくり差し,まくり差し
202609020602,2026-09-02,06,2R,realtime,2-1-3,2-1-4,3-1-2,2-1-5,3-1-4,差し,差し,まくり差し,差し,まくり差し
202609020603,2026-09-02,06,3R,daily,2-1-3,2-1-4,2-3-1,2-1-5,2-3-4,差し,差し,差し,差し,まくり
202609020603,2026-09-02,06,3R,realtime,2-1-3,2-3-1,2-1-4,3-1-2,2-3-4,差し,差し,差し,まくり差し,まくり
202609020604,2026-09-02,06,4R,daily,3-1-2,3-1-4,2-1-3,3-1-5,2-1-4,まくり差し,まくり差し,差し,まくり差し,差し
202609020604,2026-09-02,06,4R,realtime,2-1-3,3-1-2,3-1-4,2-1-4,2-1-5,差し,まくり差し,まくり差し,差し,差し
202609020605,2026-09-02,06,5R,daily,4-1-2,4-1-5,4-1-3,3-1-4,4-1-6,まくり,まくり差し,差し,まくり差し,まくり
202609020605,2026-09-02,06,5R,realtime,4-1-3,4-1-2,4-1-5,4-1-6,4-3-1,まくり差し,まくり差し,まくり差し,まくり差し,まくり
