レースコード,レース日,レース場コード,レース回,状態,買い目1,買い目2,買い目3,買い目4,買い目5,決まり手1,決まり手2,決まり手3,決まり手4,決まり手5,確率1,確率2,確率3,確率4,確率5
202609190201,2026-09-19,02,1R,daily,2-1-3,2-1-4,2-1-5,4-1-2,4-2-1,差し,差し,差し,まくり,まくり,,,,,
202609190201,2026-09-19,02,1R,realtime,2-1-4,2-1-3,2-1-5,4-1-2,4-1-5,差し,差し,差し,まくり,まくり差し,,,,,
202609190202,2026-09-19,02,2R,daily,3-1-4,3-1-2,3-1-5,4-1-3,4-1-2,まくり差し,まくり差し,まくり差し,差し,まくり,,,,,
202609190202,2026-09-19,02,2R,realtime,3-1-4,3-1-5,4-1-3,3-1-2,3-4-1,まくり差し,まくり差し,差し,まくり差し,まくり,,,,,
202609190203,2026-09-19,02,3R,daily,4-1-5,4-1-3,4-1-2,4-1-6,4-5-1,まくり差し,差し,まくり,まくり,まくり,,,,,
202609190203,2026-09-19,02,3R,realtime,4-1-5,4-1-6,4-1-2,4-5-1,2-1-4,まくり差し,まくり,まくり,まくり,差し,,,,,
202609190204,2026-09-19,02,4R,daily,2-1-3,2-1-4,2-3-1,2-1-5,5-1-3,差し,差し,差し,差し,まくり差し,,,,,
202609190204,2026-09-19,02,4R,realtime,2-1-3,2-1-6,4-1-2,2-3-1,4-1-3,差し,差し,まくり差し,差し,まくり差し,,,,,
202609190205,2026-09-19,02,5R,daily,4-1-2,4-1-3,4-1-5,4-2-1,4-5-1,まくり,差し,まくり差し,まくり,まくり,,,,,
202609190205,2026-09-19,02,5R,realtime,4-1-2,4-1-5,4-2-1,4-1-3,4-5-1,まくり,まくり差し,まくり,差し,まくり,,,,,
202609190206,2026-09-19,02,6R,daily,2-1-3,2-3-1,2-3-4,3-1-2,3-2-1,差し,差し,まくり,まくり差し,まくり,,,,,
202609190206,2026-09-19,02,6R,realtime,2-3-1,3-2-1,2-1-3,2-3-4,2-3-5,差し,まくり,差し,まくり,まくり,,,,,
202609190207,2026-09-19,02,7R,daily,3-1-2,3-1-4,3-1-5,4-1-3,2-1-3,まくり差し,まくり差し,まくり差し,差し,差し,,,,,
202609190207,2026-09-19,02,7R,realtime,4-1-6,4-1-3,4-1-2,4-1-5,2-1-3,まくり差し,まくり,差し,まくり,まくり差し,,,,,
202609190208,2026-09-19,02,8R,daily,2-1-3,2-1-4,2-3-4,2-4-1,2-3-1,差し,差し,まくり,差し,差し,,,,,
202609190208,2026-09-19,02,8R,realtime,2-1-3,2-1-4,2-1-6,2-3-6,2-3-4,差し,差し,差し,まくり,まくり,,,,,
202609190209,2026-09-19,02,9R,daily,2-1-4,4-1-2,2-1-3,4-2-1,2-4-1,差し,まくり,差し,まくり,差し,,,,,
202609190209,2026-09-19,02,9R,realtime,4-1-6,4-1-2,6-1-4,2-1-4,6-1-2,まくり差し,まくり,まくり差し,差し,まくり差し,,,,,
202609190210,2026-09-19,02,10R,daily,2-1-3,3-1-2,2-1-4,2-1-5,5-1-3,差し,まくり差し,差し,差し,まくり差し,,,,,
202609190210,2026-09-19,02,10R,realtime,2-1-3,2-1-4,2-1-5,2-3-1,3-1-2,差し,差し,差し,差し,まくり差し,,,,,
202609190211,2026-09-19,02,11R,daily,3-1-2,3-1-4,2-1-3,3-1-5,2-1-4,まくり差し,まくり差し,差し,まくり差し,差し,,,,,
202609190211,2026-09-19,02,11R,realtime,3-1-5,3-1-2,3-1-4,2-1-3,3-1-6,まくり差し,まくり差し,まくり差し,差し,まくり差し,,,,,
202609190212,2026-09-19,02,12R,daily,3-1-2,3-1-4,2-1-3,3-1-5,3-1-6,まくり差し,まくり差し,差し,まくり差し,まくり差し,,,,,
202609190212,2026-09-19,02,12R,realtime,3-1-4,3-1-2,3-1-5,3-1-6,2-1-3,まくり差し,まくり差し,まくり差し,まくり差し,差し,,,,,
202609190301,2026-09-19,03,1R,daily,2-1-3,3-1-2,2-1-4,3-1-5,2-1-5,差し,まくり差し,差し,まくり差し,差し,,,,,
202609190301,2026-09-19,03,1R,realtime,2-1-3,3-1-2,3-1-5,3-1-4,2-1-4,差し,まくり差し,まくり差し,まくり差し,差し,,,,,
