レースコード,レース日,レース場コード,レース場,レース回,タイトル,日次,グレード,ナイター,レース名,電話投票締切予定,中止状態
202607180101,2026-07-18,01,桐生,1R,第４８回デイリースポーツ杯,５日目,IP,N,一般,15:24,
202607180102,2026-07-18,01,桐生,2R,第４８回デイリースポーツ杯,５日目,IP,N,一般,15:50,
202607180103,2026-07-18,01,桐生,3R,第４８回デイリースポーツ杯,５日目,IP,N,一般,16:16,
202607180104,2026-07-18,01,桐生,4R,第４８回デイリースポーツ杯,５日目,IP,N,一般,16:43,
202607180105,2026-07-18,01,桐生,5R,第４８回デイリースポーツ杯,５日目,IP,N,一般,17:11,
202607180106,2026-07-18,01,桐生,6R,第４８回デイリースポーツ杯,５日目,IP,N,ドラドキ目玉,17:35,
202607180107,2026-07-18,01,桐生,7R,第４８回デイリースポーツ杯,５日目,IP,N,ドラドキ３,18:02,
202607180108,2026-07-18,01,桐生,8R,第４８回デイリースポーツ杯,５日目,IP,N,ドラドキ５,18:31,
202607180109,2026-07-18,01,桐生,9R,第４８回デイリースポーツ杯,５日目,IP,N,準優勝戦,19:01,
202607180110,2026-07-18,01,桐生,10R,第４８回デイリースポーツ杯,５日目,IP,N,準優勝戦,19:32,
202607180111,2026-07-18,01,桐生,11R,第４８回デイリースポーツ杯,５日目,IP,N,準優勝戦,20:03,
202607180112,2026-07-18,01,桐生,12R,第４８回デイリースポーツ杯,５日目,IP,N,一般特賞,20:30,
202607180201,2026-07-18,02,戸田,1R,ＵＨＡ味覚糖杯,２日目,IP,D,予選,10:47,
202607180202,2026-07-18,02,戸田,2R,ＵＨＡ味覚糖杯,２日目,IP,D,予選,11:16,
202607180203,2026-07-18,02,戸田,3R,ＵＨＡ味覚糖杯,２日目,IP,D,予選,11:45,
202607180204,2026-07-18,02,戸田,4R,ＵＨＡ味覚糖杯,２日目,IP,D,予選,12:14,
202607180205,2026-07-18,02,戸田,5R,ＵＨＡ味覚糖杯,２日目,IP,D,ウインウイン５,12:44,
202607180206,2026-07-18,02,戸田,6R,ＵＨＡ味覚糖杯,２日目,IP,D,予選,13:14,
202607180207,2026-07-18,02,戸田,7R,ＵＨＡ味覚糖杯,２日目,IP,D,ウインウイン７,13:45,
202607180208,2026-07-18,02,戸田,8R,ＵＨＡ味覚糖杯,２日目,IP,D,予選,14:16,
202607180209,2026-07-18,02,戸田,9R,ＵＨＡ味覚糖杯,２日目,IP,D,戸田特賞,14:48,
202607180210,2026-07-18,02,戸田,10R,ＵＨＡ味覚糖杯,２日目,IP,D,戸田特賞,15:21,
202607180211,2026-07-18,02,戸田,11R,ＵＨＡ味覚糖杯,２日目,IP,D,戸田特選,15:55,
202607180212,2026-07-18,02,戸田,12R,ＵＨＡ味覚糖杯,２日目,IP,D,記者選抜戦,16:30,
202607180401,2026-07-18,04,平和島,1R,ＤＭＭ．ｃｏｍ杯,初　日,IP,S,予選,11:55,
202607180402,2026-07-18,04,平和島,2R,ＤＭＭ．ｃｏｍ杯,初　日,IP,S,東京ベイランチ,12:24,
202607180403,2026-07-18,04,平和島,3R,ＤＭＭ．ｃｏｍ杯,初　日,IP,S,予選,12:54,
202607180404,2026-07-18,04,平和島,4R,ＤＭＭ．ｃｏｍ杯,初　日,IP,S,予選,13:25,
202607180405,2026-07-18,04,平和島,5R,ＤＭＭ．ｃｏｍ杯,初　日,IP,S,予選,13:55,
202607180406,2026-07-18,04,平和島,6R,ＤＭＭ．ｃｏｍ杯,初　日,IP,S,予選,14:28,
202607180407,2026-07-18,04,平和島,7R,ＤＭＭ．ｃｏｍ杯,初　日,IP,S,予選,15:00,
