レースコード,レース日,レース場コード,レース場,レース回,タイトル,日次,グレード,ナイター,レース名,電話投票締切予定,中止状態
202607070101,2026-07-07,01,桐生,1R,にっぽん未来プロジェクト競走ｉｎ桐生,４日目,IP,N,予選,15:23,
202607070102,2026-07-07,01,桐生,2R,にっぽん未来プロジェクト競走ｉｎ桐生,４日目,IP,N,予選,15:58,
202607070103,2026-07-07,01,桐生,3R,にっぽん未来プロジェクト競走ｉｎ桐生,４日目,IP,N,予選,16:34,
202607070104,2026-07-07,01,桐生,4R,にっぽん未来プロジェクト競走ｉｎ桐生,４日目,IP,N,予選,17:13,
202607070105,2026-07-07,01,桐生,5R,にっぽん未来プロジェクト競走ｉｎ桐生,４日目,IP,N,予選,17:37,
202607070106,2026-07-07,01,桐生,6R,にっぽん未来プロジェクト競走ｉｎ桐生,４日目,IP,N,ドラドキ目玉,18:04,
202607070107,2026-07-07,01,桐生,7R,にっぽん未来プロジェクト競走ｉｎ桐生,４日目,IP,N,ドラドキ３,18:28,
202607070108,2026-07-07,01,桐生,8R,にっぽん未来プロジェクト競走ｉｎ桐生,４日目,IP,N,ドラドキ５,18:54,
202607070109,2026-07-07,01,桐生,9R,にっぽん未来プロジェクト競走ｉｎ桐生,４日目,IP,N,予選特賞,19:23,
202607070110,2026-07-07,01,桐生,10R,にっぽん未来プロジェクト競走ｉｎ桐生,４日目,IP,N,予選特賞,19:50,
202607070111,2026-07-07,01,桐生,11R,にっぽん未来プロジェクト競走ｉｎ桐生,４日目,IP,N,一般特選,20:16,
202607070112,2026-07-07,01,桐生,12R,にっぽん未来プロジェクト競走ｉｎ桐生,４日目,IP,N,一般桐生特選,20:45,
202607070201,2026-07-07,02,戸田,1R,第８回全国ボートレース甲子園,初　日,G2,D,予選,10:45,
202607070202,2026-07-07,02,戸田,2R,第８回全国ボートレース甲子園,初　日,G2,D,予選,11:13,
202607070203,2026-07-07,02,戸田,3R,第８回全国ボートレース甲子園,初　日,G2,D,予選,11:42,
202607070204,2026-07-07,02,戸田,4R,第８回全国ボートレース甲子園,初　日,G2,D,予選,12:11,
202607070205,2026-07-07,02,戸田,5R,第８回全国ボートレース甲子園,初　日,G2,D,予選,12:41,
202607070206,2026-07-07,02,戸田,6R,第８回全国ボートレース甲子園,初　日,G2,D,予選,13:11,
202607070207,2026-07-07,02,戸田,7R,第８回全国ボートレース甲子園,初　日,G2,D,予選,13:41,
202607070208,2026-07-07,02,戸田,8R,第８回全国ボートレース甲子園,初　日,G2,D,予選,14:12,
202607070209,2026-07-07,02,戸田,9R,第８回全国ボートレース甲子園,初　日,G2,D,予選,14:44,
202607070210,2026-07-07,02,戸田,10R,第８回全国ボートレース甲子園,初　日,G2,D,予選,15:17,
202607070211,2026-07-07,02,戸田,11R,第８回全国ボートレース甲子園,初　日,G2,D,予選,15:51,
202607070212,2026-07-07,02,戸田,12R,第８回全国ボートレース甲子園,初　日,G2,D,ドリーム戦,16:30,
202607070401,2026-07-07,04,平和島,1R,第２回アサヒビールカップ～平和島マスターズ～,最終日,IP,S,一般,11:55,
202607070402,2026-07-07,04,平和島,2R,第２回アサヒビールカップ～平和島マスターズ～,最終日,IP,S,一般,12:24,
202607070403,2026-07-07,04,平和島,3R,第２回アサヒビールカップ～平和島マスターズ～,最終日,IP,S,一般,12:54,
202607070404,2026-07-07,04,平和島,4R,第２回アサヒビールカップ～平和島マスターズ～,最終日,IP,S,一般,13:25,
202607070405,2026-07-07,04,平和島,5R,第２回アサヒビールカップ～平和島マスターズ～,最終日,IP,S,一般,13:55,
202607070406,2026-07-07,04,平和島,6R,第２回アサヒビールカップ～平和島マスターズ～,最終日,IP,S,一般,14:28,
202607070407,2026-07-07,04,平和島,7R,第２回アサヒビールカップ～平和島マスターズ～,最終日,IP,S,一般,15:00,
