レースコード,予想1着,予想2着,予想3着,実際1着,実際2着,実際3着,1着的中,2着的中,3着的中,全的中,予想決まり手,決まり手,決まり手的中,艇1_予想コース,艇1_実際コース,艇2_予想コース,艇2_実際コース,艇3_予想コース,艇3_実際コース,艇4_予想コース,艇4_実際コース,艇5_予想コース,艇5_実際コース,艇6_予想コース,艇6_実際コース,コース一致数,進入完全一致,艇1_予想ST,艇1_実際ST,艇2_予想ST,艇2_実際ST,艇3_予想ST,艇3_実際ST,艇4_予想ST,艇4_実際ST,艇5_予想ST,艇5_実際ST,艇6_予想ST,艇6_実際ST,ST_MAE
202604062201,6,3,5,1,2,3,×,×,×,×,,逃げ,-,1,1.0,2,2.0,6,3.0,3,4.0,5,6.0,4,5.0,2,×,0.113,0.08,0.145,0.17,0.133,0.23,0.138,0.22,0.197,0.28,0.145,0.16,0.055833333333333346
202604062202,3,4,1,2,1,3,×,×,×,×,,差し,-,5,1.0,2,2.0,6,3.0,4,4.0,1,5.0,3,6.0,2,×,0.154,0.24,0.067,0.21,0.102,0.25,0.194,0.26,0.143,0.23,0.209,0.18,0.09316666666666668
202604062203,4,5,1,3,2,4,×,×,×,×,,,-,2,,3,2.0,1,3.0,6,4.0,5,5.0,4,6.0,1,×,0.134,,0.163,0.03,0.139,0.06,0.201,0.12,0.188,0.16,0.163,0.13,0.07080000000000002
202604062204,6,4,2,1,2,6,×,×,×,×,,逃げ,-,2,1.0,5,2.0,1,3.0,3,4.0,4,6.0,6,5.0,0,×,0.172,0.25,0.108,0.3,0.06,0.24,0.068,0.26,0.187,0.1,0.208,0.19,0.1245
202604062205,6,5,3,1,2,4,×,×,×,×,,逃げ,-,4,1.0,1,2.0,2,,3,4.0,5,,6,6.0,1,×,0.164,0.33,0.153,0.34,0.046,,0.138,0.3,0.128,,0.201,0.38,0.1735
202604062206,6,3,5,1,3,6,×,○,×,×,,逃げ,-,1,1.0,5,2.0,3,3.0,4,4.0,2,6.0,6,5.0,3,×,0.077,0.12,0.119,0.15,0.119,0.2,0.186,0.24,0.179,0.39,0.143,0.3,0.09616666666666668
202604062207,6,2,4,4,1,6,×,×,×,×,,,-,1,1.0,3,2.0,2,3.0,4,4.0,5,5.0,6,6.0,4,×,0.129,0.13,0.092,0.15,0.214,0.14,0.089,0.11,0.146,0.07,0.19,0.09,0.05499999999999999
202604062208,4,5,1,3,1,2,×,×,×,×,,,-,5,1.0,4,2.0,1,3.0,6,4.0,3,5.0,2,6.0,0,×,0.154,0.19,0.092,0.16,0.106,0.21,0.172,0.25,0.196,0.22,0.115,0.21,0.0675
202604062209,3,1,4,1,3,5,×,×,×,×,,逃げ,-,4,1.0,5,2.0,6,3.0,3,4.0,1,5.0,2,6.0,0,×,0.178,0.12,0.146,0.2,0.15,0.22,0.04,0.2,0.085,0.15,0.105,0.24,0.09033333333333333
202604062210,4,6,3,3,1,5,×,×,×,×,,差し,-,4,1.0,1,2.0,5,3.0,6,4.0,2,5.0,3,6.0,0,×,0.118,0.17,0.164,0.16,0.145,0.15,0.102,0.15,0.14,0.18,0.186,0.21,0.028833333333333336
202604062211,3,1,6,3,1,2,○,○,×,×,,,-,6,1.0,1,2.0,3,3.0,4,4.0,2,5.0,5,6.0,2,×,0.18,0.21,0.144,0.26,0.058,0.25,0.107,0.24,0.159,0.27,0.142,0.36,0.13333333333333333
202604062212,2,5,4,1,3,6,×,×,×,×,,逃げ,-,4,1.0,6,2.0,3,3.0,2,6.0,5,4.0,1,5.0,1,×,0.204,0.13,0.067,0.19,0.147,0.22,0.095,0.09,0.159,0.21,0.055,0.13,0.06683333333333334
202604062102,1,6,3,1,3,5,○,×,×,×,,逃げ,-,6,1.0,1,2.0,2,3.0,3,4.0,4,5.0,5,6.0,0,×,0.088,0.1,0.076,0.19,0.074,0.16,0.149,0.25,0.316,0.29,0.206,0.28,0.06883333333333336
