レースコード,予想1着,予想2着,予想3着,実際1着,実際2着,実際3着,1着的中,2着的中,3着的中,全的中,予想決まり手,決まり手,決まり手的中,艇1_予想コース,艇1_実際コース,艇2_予想コース,艇2_実際コース,艇3_予想コース,艇3_実際コース,艇4_予想コース,艇4_実際コース,艇5_予想コース,艇5_実際コース,艇6_予想コース,艇6_実際コース,コース一致数,進入完全一致,艇1_予想ST,艇1_実際ST,艇2_予想ST,艇2_実際ST,艇3_予想ST,艇3_実際ST,艇4_予想ST,艇4_実際ST,艇5_予想ST,艇5_実際ST,艇6_予想ST,艇6_実際ST,ST_MAE
202604012401,1,3,2,1,5,4,○,×,×,×,逃げ,逃げ,○,2,1.0,4,2.0,1,3.0,3,4.0,6,5.0,5,6.0,0,×,0.021,0.08,0.062,0.09,0.023,0.08,-0.003,0.11,0.17,0.16,0.006,0.18,0.0735
202604012402,1,2,3,1,3,4,○,×,×,×,逃げ,逃げ,○,1,1.0,3,2.0,6,3.0,5,4.0,4,5.0,2,6.0,1,×,0.072,0.17,0.043,0.14,0.026,0.18,0.071,0.19,0.071,0.13,0.039,0.13,0.103
202604012403,2,4,1,3,1,6,×,×,×,×,差し,,-,2,1.0,1,2.0,5,3.0,3,5.0,6,6.0,4,4.0,2,×,0.031,0.12,-0.042,0.14,0.059,0.15,-0.021,0.16,0.103,0.2,0.035,0.19,0.13249999999999998
202604012404,5,1,3,2,5,3,×,×,○,×,逃げ,差し,×,5,1.0,4,2.0,2,3.0,6,4.0,1,5.0,3,6.0,0,×,0.037,0.17,0.085,0.08,-0.0,0.04,0.022,0.12,-0.029,0.08,0.017,0.08,0.07466666666666667
202604012405,4,1,2,1,3,2,×,×,○,×,差し,逃げ,×,6,1.0,3,3.0,5,2.0,4,4.0,2,5.0,1,6.0,2,×,0.03,0.16,0.035,0.25,0.047,0.2,0.031,0.25,0.062,0.37,-0.052,0.29,0.22783333333333333
202604012406,2,1,4,1,2,6,×,×,×,×,逃げ,逃げ,○,3,1.0,1,2.0,6,3.0,4,4.0,5,5.0,2,6.0,2,×,0.005,0.12,-0.018,0.15,0.12,0.18,-0.019,0.24,-0.023,0.15,0.075,0.17,0.145
202604012407,1,2,3,1,3,4,○,×,×,×,逃げ,逃げ,○,1,1.0,4,2.0,3,3.0,5,4.0,2,5.0,6,6.0,3,×,0.016,0.1,0.012,0.13,0.035,0.14,0.017,0.29,-0.007,0.18,0.122,0.24,0.14750000000000002
202604012408,1,5,4,1,2,3,○,×,×,×,逃げ,逃げ,○,6,1.0,2,2.0,5,3.0,4,4.0,1,5.0,3,6.0,2,×,0.031,0.18,0.055,0.19,0.037,0.17,-0.001,0.19,-0.023,0.16,0.076,0.17,0.14750000000000002
202604012409,1,5,2,1,6,4,○,×,×,×,逃げ,逃げ,○,5,1.0,4,2.0,2,5.0,1,3.0,3,6.0,6,4.0,0,×,0.052,0.02,0.137,0.12,0.047,0.13,-0.012,0.09,0.02,0.11,0.183,0.12,0.06449999999999999
202604012410,1,2,4,1,2,3,○,○,×,×,逃げ,逃げ,○,1,1.0,4,3.0,2,4.0,5,5.0,3,2.0,6,6.0,3,×,-0.035,0.01,-0.019,0.01,-0.001,0.08,0.022,0.18,-0.024,0.03,-0.024,0.16,0.09183333333333334
202604012411,1,2,3,1,3,2,○,×,×,×,逃げ,逃げ,○,1,1.0,4,2.0,3,3.0,6,4.0,2,5.0,5,6.0,2,×,-0.024,0.08,0.037,0.19,0.033,0.15,0.113,0.14,0.005,0.12,0.018,0.17,0.11133333333333334
202604012412,1,3,5,1,6,5,○,×,○,×,逃げ,逃げ,○,2,1.0,4,2.0,1,3.0,5,4.0,3,5.0,6,6.0,1,×,0.005,0.05,0.026,0.05,-0.003,0.11,0.109,0.1,0.094,0.19,0.121,0.19,0.05933333333333334
202604012301,1,3,4,1,4,2,○,×,×,×,逃げ,逃げ,○,5,1.0,3,2.0,4,3.0,1,4.0,6,6.0,2,5.0,1,×,0.083,0.12,0.031,0.21,0.14,0.27,0.014,0.11,0.053,0.04,0.1,0.1,0.07583333333333332
