レースコード,予想1着,予想2着,予想3着,実際1着,実際2着,実際3着,1着的中,2着的中,3着的中,全的中,予想決まり手,決まり手,決まり手的中,艇1_予想コース,艇1_実際コース,艇2_予想コース,艇2_実際コース,艇3_予想コース,艇3_実際コース,艇4_予想コース,艇4_実際コース,艇5_予想コース,艇5_実際コース,艇6_予想コース,艇6_実際コース,コース一致数,進入完全一致,艇1_予想ST,艇1_実際ST,艇2_予想ST,艇2_実際ST,艇3_予想ST,艇3_実際ST,艇4_予想ST,艇4_実際ST,艇5_予想ST,艇5_実際ST,艇6_予想ST,艇6_実際ST,ST_MAE
202604172111,5,6,4,1,6,3,×,○,×,×,,逃げ,-,1,1.0,2,2.0,3,3.0,4,4.0,5,6.0,6,5.0,4,×,0.214,0.09,0.113,0.1,0.125,0.08,0.174,0.16,0.131,0.24,0.134,0.19,0.06016666666666665
202604172112,6,5,4,3,6,5,×,×,×,×,,まくり,-,1,1.0,2,2.0,3,3.0,4,4.0,5,5.0,6,6.0,6,○,0.103,0.22,0.218,0.19,0.188,0.1,0.156,0.2,0.156,0.11,0.117,0.13,0.056
202604172001,6,5,3,1,4,3,×,×,○,×,,逃げ,-,1,1.0,2,2.0,3,3.0,4,4.0,5,5.0,6,6.0,6,○,0.057,0.13,0.05,0.13,0.073,0.15,0.051,0.14,0.124,0.21,0.122,0.2,0.0805
202604172002,6,5,2,4,1,5,×,×,×,×,,,-,1,1.0,2,2.0,3,3.0,4,4.0,5,5.0,6,6.0,6,○,0.075,0.13,0.063,0.18,0.054,0.21,0.06,0.17,0.066,0.24,0.145,0.33,0.13283333333333333
202604172003,6,4,5,2,3,6,×,×,×,×,,まくり,-,1,1.0,2,2.0,3,3.0,4,4.0,5,5.0,6,6.0,6,○,0.055,0.23,0.073,0.12,0.044,0.07,0.11,0.13,0.129,0.16,0.089,0.11,0.053333333333333344
202604172004,6,5,3,3,2,4,×,×,×,×,,,-,1,1.0,2,2.0,3,3.0,4,5.0,5,6.0,6,4.0,3,×,-0.017,0.14,0.062,0.14,0.089,0.12,0.042,0.14,0.084,0.15,0.081,0.06,0.07516666666666667
202604172005,6,5,4,2,1,4,×,×,○,×,,まくり,-,1,1.0,2,2.0,3,3.0,4,4.0,5,5.0,6,6.0,6,○,0.104,0.28,0.12,0.11,0.069,0.09,0.064,0.11,0.068,0.14,0.115,0.15,0.060000000000000005
202604172006,6,2,5,1,2,6,×,○,×,×,,逃げ,-,1,1.0,2,2.0,3,3.0,4,4.0,5,5.0,6,6.0,6,○,0.047,0.09,0.042,0.22,0.062,0.21,0.063,0.15,0.054,0.18,0.096,0.23,0.11933333333333333
202604172007,6,3,4,1,3,5,×,○,×,×,,逃げ,-,1,1.0,2,2.0,3,3.0,4,4.0,5,5.0,6,6.0,6,○,0.045,0.1,0.042,0.06,0.098,0.07,0.097,0.09,0.063,0.12,0.075,0.13,0.036666666666666674
202604172008,6,3,4,1,2,3,×,×,×,×,,逃げ,-,1,1.0,2,2.0,3,3.0,4,4.0,5,5.0,6,6.0,6,○,0.055,0.13,0.053,0.15,0.043,0.13,0.055,0.13,0.054,0.16,0.049,0.18,0.09516666666666668
202604172009,6,5,4,1,2,3,×,×,×,×,,逃げ,-,1,1.0,2,2.0,3,3.0,4,4.0,5,5.0,6,6.0,6,○,0.118,0.19,0.04,0.17,0.044,0.23,0.123,0.21,0.076,0.16,0.096,0.23,0.11549999999999999
202604172010,5,6,2,1,2,6,×,×,×,×,,逃げ,-,1,1.0,2,2.0,3,3.0,4,4.0,5,5.0,6,6.0,6,○,0.041,0.11,0.068,0.12,0.045,0.12,0.047,0.12,0.075,0.11,0.043,0.16,0.07016666666666667
