レースコード,予想1着,予想2着,予想3着,実際1着,実際2着,実際3着,1着的中,2着的中,3着的中,全的中,予想決まり手,決まり手,決まり手的中,艇1_予想コース,艇1_実際コース,艇2_予想コース,艇2_実際コース,艇3_予想コース,艇3_実際コース,艇4_予想コース,艇4_実際コース,艇5_予想コース,艇5_実際コース,艇6_予想コース,艇6_実際コース,コース一致数,進入完全一致,艇1_予想ST,艇1_実際ST,艇2_予想ST,艇2_実際ST,艇3_予想ST,艇3_実際ST,艇4_予想ST,艇4_実際ST,艇5_予想ST,艇5_実際ST,艇6_予想ST,艇6_実際ST,ST_MAE
202604162201,6,5,4,4,2,1,×,×,×,×,,,-,1,1.0,2,2.0,3,3.0,4,4.0,5,5.0,6,6.0,6,○,0.112,0.16,0.134,0.17,0.18,0.21,0.094,0.22,0.2,0.21,0.118,0.16,0.048666666666666664
202604162202,6,5,3,1,3,4,×,×,×,×,,逃げ,-,1,1.0,2,2.0,3,3.0,4,4.0,5,5.0,6,6.0,6,○,0.193,0.1,0.091,0.17,0.166,0.15,0.108,0.14,0.159,0.15,0.091,0.11,0.04133333333333334
202604162203,6,3,5,5,4,1,×,×,×,×,,まくり,-,1,1.0,2,2.0,3,3.0,4,4.0,5,5.0,6,6.0,6,○,0.167,0.19,0.135,0.17,0.117,0.16,0.107,0.14,0.186,0.07,0.034,0.16,0.06266666666666666
202604162204,6,5,4,1,3,2,×,×,×,×,,逃げ,-,1,1.0,2,2.0,3,3.0,4,4.0,5,5.0,6,6.0,6,○,0.119,0.14,0.123,0.11,0.084,0.12,0.082,0.13,0.109,0.06,0.081,0.12,0.034333333333333334
202604162206,6,5,4,1,2,3,×,×,×,×,,逃げ,-,1,1.0,2,2.0,3,3.0,4,4.0,5,5.0,6,6.0,6,○,0.209,0.15,0.188,0.16,0.112,0.17,0.097,0.18,0.082,0.15,0.181,0.19,0.050833333333333335
202604162207,6,5,4,1,2,5,×,×,×,×,,逃げ,-,1,1.0,2,2.0,3,3.0,4,4.0,5,5.0,6,6.0,6,○,0.073,0.17,0.179,0.23,0.08,0.16,0.136,0.19,0.088,0.21,0.162,0.22,0.077
202604162208,6,4,5,2,1,3,×,×,×,×,,差し,-,1,1.0,2,2.0,3,3.0,4,4.0,5,5.0,6,6.0,6,○,0.103,0.13,0.162,0.07,0.077,0.12,0.12,0.08,0.123,0.15,0.117,0.2,0.052
202604162209,6,4,5,1,3,4,×,×,×,×,,逃げ,-,1,1.0,2,2.0,3,3.0,4,5.0,5,4.0,6,6.0,4,×,0.033,0.17,0.125,0.15,0.161,0.15,0.163,0.09,0.093,0.08,0.12,0.16,0.04983333333333334
202604162210,5,4,6,3,1,4,×,×,×,×,,まくり,-,1,1.0,2,2.0,3,3.0,4,4.0,5,5.0,6,6.0,6,○,0.154,0.21,0.13,0.23,0.166,0.13,0.137,0.15,0.121,0.18,0.092,0.18,0.058666666666666666
202604162211,6,5,3,1,2,6,×,×,×,×,,逃げ,-,1,1.0,2,2.0,3,3.0,4,4.0,5,5.0,6,6.0,6,○,0.052,0.11,0.188,0.15,0.085,0.14,0.117,0.25,0.14,0.13,0.206,0.21,0.04966666666666667
